case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex230,ex230_fp16_sigmoid_sign_exp_mant_case,fp16_sigmoid,sign_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522/ex230/verilog/ex230_fp16_sigmoid_sign_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex230/aigs/ex230_fp16_sigmoid_sign_exp_mant_case.aig,1,1,7038,21,147798,108320,1.364457,1,0,structural_exact,structural_exact FP16 frontend candidate
ex231,ex231_fp16_reciprocal_positive_default_exp_mant_case,fp16_reciprocal,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/verilog/ex231_fp16_reciprocal_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522_arith/ex231/aigs/ex231_fp16_reciprocal_positive_default_exp_mant_case.aig,1,1,1226,17,20842,14066,1.481729,1,0,structural_exact,structural_exact FP16 frontend candidate
ex232,ex232_fp16_square_positive_default_exp_mant_delta,fp16_square,positive_default_exp_mant_delta,student/work/reverse_fp16_semantic_20260604_1522_extra/ex232/verilog/ex232_fp16_square_positive_default_exp_mant_delta.v,student/work/reverse_fp16_semantic_20260604_1522_extra/ex232/aigs/ex232_fp16_square_positive_default_exp_mant_delta.aig,1,1,1365,17,23205,13392,1.732751,0,0,structural_exact,structural_exact FP16 frontend candidate
ex233,ex233_fp16_sqrt_positive_default_exp_mant_case,fp16_sqrt,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522_arith/ex233/verilog/ex233_fp16_sqrt_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522_arith/ex233/aigs/ex233_fp16_sqrt_positive_default_exp_mant_case.aig,1,1,1714,18,30852,20174,1.529295,0,0,structural_exact,structural_exact FP16 frontend candidate
ex234,ex234_fp16_reciprocal_square_sign_pair_case,fp16_reciprocal_square,sign_pair_case,student/work/reverse_fp16_semantic_20260604_1522_extra/ex234/verilog/ex234_fp16_reciprocal_square_sign_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522_extra/ex234/aigs/ex234_fp16_reciprocal_square_sign_pair_case.aig,1,1,1362,17,23154,15561,1.487951,1,0,structural_exact,structural_exact FP16 frontend candidate
ex235,ex235_fp16_reciprocal_sqrt_semantic_sign_exp_field_defaults,fp16_reciprocal_sqrt,semantic_sign_exp_field_defaults,student/work/reverse_fp16_semantic_20260604_1522_arith/ex235/verilog/ex235_fp16_reciprocal_sqrt_semantic_sign_exp_field_defaults.v,student/work/reverse_fp16_semantic_20260604_1522_arith/ex235/aigs/ex235_fp16_reciprocal_sqrt_semantic_sign_exp_field_defaults.aig,1,1,1781,18,32058,20800,1.541250,0,0,semantic_hybrid,semantic_hybrid FP16 frontend candidate
ex236,ex236_fp16_cube_positive_default_exp_mant_delta,fp16_cube,positive_default_exp_mant_delta,student/work/reverse_fp16_semantic_20260604_1522_extra/ex236/verilog/ex236_fp16_cube_positive_default_exp_mant_delta.v,student/work/reverse_fp16_semantic_20260604_1522_extra/ex236/aigs/ex236_fp16_cube_positive_default_exp_mant_delta.aig,1,1,1576,17,26792,17290,1.549566,0,0,structural_exact,structural_exact FP16 frontend candidate
ex237,ex237_fp16_cbrt_positive_default_exp_mant_case,fp16_cbrt,positive_default_exp_mant_case,student/work/reverse_fp16_semantic_20260604_1522_arith/ex237/verilog/ex237_fp16_cbrt_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522_arith/ex237/aigs/ex237_fp16_cbrt_positive_default_exp_mant_case.aig,1,1,1987,18,35766,25440,1.405896,1,0,structural_exact,structural_exact FP16 frontend candidate
ex238,ex238_fp16_reciprocal_cube_exp_mant_pair_case,fp16_reciprocal_cube,exp_mant_pair_case,student/work/reverse_fp16_semantic_20260604_1522_arith/ex238/verilog/ex238_fp16_reciprocal_cube_exp_mant_pair_case.v,student/work/reverse_fp16_semantic_20260604_1522_arith/ex238/aigs/ex238_fp16_reciprocal_cube_exp_mant_pair_case.aig,1,1,1580,17,26860,16549,1.623059,0,0,structural_exact,structural_exact FP16 frontend candidate
ex239,ex239_fp16_reciprocal_cbrt_semantic_arith_fields,fp16_reciprocal_cbrt,semantic_arith_fields,student/work/reverse_fp16_semantic_20260604_1522_arith/ex239/verilog/ex239_fp16_reciprocal_cbrt_semantic_arith_fields.v,student/work/reverse_fp16_semantic_20260604_1522_arith/ex239/aigs/ex239_fp16_reciprocal_cbrt_semantic_arith_fields.aig,1,1,2028,19,38532,25965,1.483998,1,0,semantic_exact,semantic_exact FP16 frontend candidate
