agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,method_signature,notes,shard_csv,evidence_path,dossier_path,representation_family,expected_benefit,observed_status,observed_adp,output_grouping,qor,variant,status,high_level_description,shared_structures,estimated_reuse,observed_qor,outcome,prior_low_value_signatures_avoided
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_compare_case_increment_repo_yosys,,"E4M3FN hypot(abs(high),abs(low))",ex244_field_compare_case_increment,,field-level compare plus constant increment saturation tail,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex244,float_fp8,ex244_ex244_field_key_gated_case_increment_repo_yosys,,"E4M3FN hypot(abs(high),abs(low))",ex244_field_key_gated_case_increment,,field-level compare gated BDD key and constant increment tail,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_delta_case_attrs_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_delta_case_attrs,,original delta case with full/parallel case attributes,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_split_delta_pred_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_split_delta_pred,,split delta table into shared inc1/inc2 predicates,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_inc_mux_delta_pred_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_inc_mux_delta_pred,,split delta predicates and mux plus-one/plus-two carry paths,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_effgap_split_delta_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_effgap_split_delta,,effective exponent gap plus split inc predicates,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_effgap_inc_mux_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_effgap_inc_mux,,effective exponent gap with muxed increment paths,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_direct_carry_delta_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_direct_carry_delta,,split delta predicates with hand-written limited carry incrementer,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_effgap_direct_carry_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_effgap_direct_carry,,effective exponent gap with hand-written limited carry incrementer,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_or_pred_delta_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_or_pred_delta,,equality-OR delta predicates for shared inc1/inc2,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_or_pred_direct_carry_repo_yosys,,"E5M2FN hypot(abs(high),abs(low))",ex249_or_pred_direct_carry,,equality-OR delta predicates with hand-written limited carry incrementer,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex245,float_fp8,ex245_ex245_active_table_mux_repo_yosys,,E5M2FN add high byte plus low byte,ex245_active_table_mux,,gate same/diff table use before output mux,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex245,float_fp8,ex245_ex245_selected_mag_function_repo_yosys,,E5M2FN add high byte plus low byte,ex245_selected_mag_function,,selected same/diff table inside one function,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex245,float_fp8,ex245_ex245_key_gated_tables_repo_yosys,,E5M2FN add high byte plus low byte,ex245_key_gated_tables,,gate same/diff table keys when inactive,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_same_gapcase_split_norm_repo_yosys,,E4M3FN add high byte plus low byte,ex240_field_same_gapcase_split_norm,,field-level decode and same-gapcase constants with split diff normalizer parameter tables,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_same_gapcase_case_attrs_repo_yosys,,E4M3FN add high byte plus low byte,ex240_field_same_gapcase_case_attrs,,field-level decode and same-gapcase constants with case attributes,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_same_gapcase_split_norm_attrs_repo_yosys,,E4M3FN add high byte plus low byte,ex240_field_same_gapcase_split_norm_attrs,,field-level same-gapcase split norm tables with case attributes,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_compare_case_attrs_repo_yosys,,E4M3FN add high byte plus low byte,ex240_field_compare_case_attrs,,field-level decode with case attributes on source tables,,repo default Yosys frontend only,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/shared_structure_report.csv,,,,,,,,,,,,,,,,
,ex241,,ex241_r74_sigpair_exp_mag_table,,,,,"sign xor, effective exponent sum, and direct significand-pair table",ex241|E4M3FN packed multiply high byte times low byte|sigpair plus exponent-sum exact magnitude table|shared sign xor effective exponent and 4-bit significand pair keys|repo_yosys_frontend_default|official_evaluate|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex241,,ex241_r74_product_split_exp_mant,,,,,"shared product key, split exponent and mantissa output functions",ex241|E4M3FN packed multiply high byte times low byte|split exponent and mantissa tables over product/exponent key|shared product and exponent-sum with separated output clusters|repo_yosys_frontend_default|official_evaluate|exp_mant_split,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex246,,ex246_r74_sigpair_exp_mag_table,,,,,"sign xor, effective exponent sum, and direct significand-pair table",ex246|E5M2FN packed multiply high byte times low byte|sigpair plus exponent-sum exact magnitude table|shared sign xor effective exponent and 3-bit significand pair keys|repo_yosys_frontend_default|official_evaluate|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex246,,ex246_r74_product_split_exp_mant,,,,,"shared product key, split exponent and mantissa output functions",ex246|E5M2FN packed multiply high byte times low byte|split exponent and mantissa tables over product/exponent key|shared product and exponent-sum with separated output clusters|repo_yosys_frontend_default|official_evaluate|exp_mant_split,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex247,,ex247_r74_flat_delta_sigpair_mag,,,,,"shared exponent delta and sigpair key, flat exact magnitude table",ex247|E5M2FN packed low-over-high division|flat exact magnitude table over delta and numerator-denominator significands|shared sign xor exponent-delta and sigpair key|repo_yosys_frontend_default|official_evaluate|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex247,,ex247_r74_den_nested_delta_num_mag,,,,,"denominator-major nested tables, local delta/numerator residual",ex247|E5M2FN packed low-over-high division|denominator-nested exact delta-numerator magnitude functions|shared denominator class with local delta numerator key|repo_yosys_frontend_default|official_evaluate|den_nested_full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex248,,ex248_r74_magpair_remainder_table,,,,,shared special-case shell and direct magnitude-pair remainder table,ex248|E5M2FN packed fmod low mod high|direct magnitude-pair remainder table|shared NaN/divisor-zero shell with exact numerator-denominator magnitude key|repo_yosys_frontend_default|official_evaluate|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex248,,ex248_r74_den_group_remainder_table,,,,,denominator-major grouped exact remainder tables,ex248|E5M2FN packed fmod low mod high|denominator-grouped numerator remainder tables|shared divisor magnitude group and numerator local table|repo_yosys_frontend_default|official_evaluate|den_grouped_full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/shared_structure_report.csv,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/notes/high_level_dossier.md,,,,,,,,,,,,,,
,ex260,,ex260_r74_digit2_signed_recompose,,,,,shared 2-bit signed subproducts and arithmetic recomposition,ex260|signed_digit2_block_recomposition|2x2_signed_digit_decomposition_with_shifted_cross_products|shared_2-bit_signed_subproducts_and_arithmetic_recomposition|repo_yosys_abc_AND|signed_low4_high4_multiply|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,2x2 signed digit decomposition with shifted cross products,expose arithmetic sharing to Yosys without backend remap,OK,2121,,,,,,,,,,
,ex260,,ex260_r74_sign_offset_fold,,,,,shared unsigned low product and two sign-offset correction terms,ex260|signed_signbit_offset_product|unsigned_low3_product_plus_folded_signbit_offset_correction|shared_unsigned_low_product_and_two_sign-offset_correction_terms|repo_yosys_abc_AND|signed_low4_high4_multiply|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,unsigned low3 product plus folded signbit offset correction,expose arithmetic sharing to Yosys without backend remap,OK,1804,,,,,,,,,,
,ex265,,ex265_r74_qthreshold_ladder,,,,,shared divisor multiples feeding a word-level quotient priority ladder,ex265|udiv_parallel_quotient_thresholds|descending_q*b_threshold_ladder|shared_divisor_multiples_feeding_a_word-level_quotient_priority_ladder|repo_yosys_abc_AND|unsigned_low4_high4_div_dbz_sat|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,descending q*b threshold ladder,expose arithmetic sharing to Yosys without backend remap,OK,3100,,,,,,,,,,
,ex265,,ex265_r74_divisor_case_const,,,,,one shared divisor case selects constant-divisor arithmetic arms,ex265|udiv_divisor_constant_actions|divisor-keyed_constant_quotient_arms|one_shared_divisor_case_selects_constant-divisor_arithmetic_arms|repo_yosys_abc_AND|unsigned_low4_high4_div_dbz_sat|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,divisor-keyed constant quotient arms,expose arithmetic sharing to Yosys without backend remap,OK,640,,,,,,,,,,
,ex266,,ex266_r74_qthreshold_ladder,,,,,shared divisor multiples feeding a word-level quotient priority ladder,ex266|udiv_parallel_quotient_thresholds|descending_q*b_threshold_ladder|shared_divisor_multiples_feeding_a_word-level_quotient_priority_ladder|repo_yosys_abc_AND|unsigned_low5_high5_div_dbz_sat|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,descending q*b threshold ladder,expose arithmetic sharing to Yosys without backend remap,OK,26896,,,,,,,,,,
,ex266,,ex266_r74_divisor_case_const,,,,,one shared divisor case selects constant-divisor arithmetic arms,ex266|udiv_divisor_constant_actions|divisor-keyed_constant_quotient_arms|one_shared_divisor_case_selects_constant-divisor_arithmetic_arms|repo_yosys_abc_AND|unsigned_low5_high5_div_dbz_sat|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,divisor-keyed constant quotient arms,expose arithmetic sharing to Yosys without backend remap,OK,3172,,,,,,,,,,
,ex267,,ex267_r74_qthreshold_ladder,,,,,shared divisor multiples feeding a word-level quotient priority ladder,ex267|udiv_parallel_quotient_thresholds|descending_q*b_threshold_ladder|shared_divisor_multiples_feeding_a_word-level_quotient_priority_ladder|repo_yosys_abc_AND|unsigned_low6_high6_div_dbz_sat|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,descending q*b threshold ladder,expose arithmetic sharing to Yosys without backend remap,OK,150708,,,,,,,,,,
,ex267,,ex267_r74_divisor_case_const,,,,,one shared divisor case selects constant-divisor arithmetic arms,ex267|udiv_divisor_constant_actions|divisor-keyed_constant_quotient_arms|one_shared_divisor_case_selects_constant-divisor_arithmetic_arms|repo_yosys_abc_AND|unsigned_low6_high6_div_dbz_sat|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,divisor-keyed constant quotient arms,expose arithmetic sharing to Yosys without backend remap,OK,9197,,,,,,,,,,
,ex270,,ex270_r74_square_split4_cross,,,,,"shared low square, high square, and cross term","ex270|square_block_decomposition|low4/high4_square_plus_one_cross_product|shared_low_square,_high_square,_and_cross_term|repo_yosys_abc_AND|unsigned_8_square|full_word",,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,low4/high4 square plus one cross product,expose arithmetic sharing to Yosys without backend remap,OK,5640,,,,,,,,,,
,ex270,,ex270_r74_square_low3_case,,,,,low-bit constant square table with shared high cross product,ex270|square_lowbits_constant_decomposition|low3_square_case_plus_high_arithmetic_square/cross|low-bit_constant_square_table_with_shared_high_cross_product|repo_yosys_abc_AND|unsigned_8_square|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,low3 square case plus high arithmetic square/cross,expose arithmetic sharing to Yosys without backend remap,OK,5832,,,,,,,,,,
,ex273,,ex273_r74_square_split7_cross,,,,,"shared low square, high square, and cross term","ex273|square_block_decomposition|low7/high7_square_plus_one_cross_product|shared_low_square,_high_square,_and_cross_term|repo_yosys_abc_AND|unsigned_14_square|full_word",,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,low7/high7 square plus one cross product,expose arithmetic sharing to Yosys without backend remap,OK,55366,,,,,,,,,,
,ex273,,ex273_r74_square_low4_case,,,,,low-bit constant square table with shared high cross product,ex273|square_lowbits_constant_decomposition|low4_square_case_plus_high_arithmetic_square/cross|low-bit_constant_square_table_with_shared_high_cross_product|repo_yosys_abc_AND|unsigned_14_square|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,low4 square case plus high arithmetic square/cross,expose arithmetic sharing to Yosys without backend remap,OK,45936,,,,,,,,,,
,ex274,,ex274_r74_square_split8_cross,,,,,"shared low square, high square, and cross term","ex274|square_block_decomposition|low8/high8_square_plus_one_cross_product|shared_low_square,_high_square,_and_cross_term|repo_yosys_abc_AND|unsigned_16_square|full_word",,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,low8/high8 square plus one cross product,expose arithmetic sharing to Yosys without backend remap,OK,76362,,,,,,,,,,
,ex274,,ex274_r74_square_low4_case,,,,,low-bit constant square table with shared high cross product,ex274|square_lowbits_constant_decomposition|low4_square_case_plus_high_arithmetic_square/cross|low-bit_constant_square_table_with_shared_high_cross_product|repo_yosys_abc_AND|unsigned_16_square|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,low4 square case plus high arithmetic square/cross,expose arithmetic sharing to Yosys without backend remap,OK,68418,,,,,,,,,,
,ex276,,ex276_r74_isqrt_priority_threshold,,,,,shared square thresholds select the complete sqrt word,ex276|isqrt_word_priority_thresholds|whole-word_descending_square_threshold_priority_ladder|shared_square_thresholds_select_the_complete_sqrt_word|repo_yosys_abc_AND|floor_isqrt_10_to_5|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,whole-word descending square threshold priority ladder,expose arithmetic sharing to Yosys without backend remap,OK,4260,,,,,,,,,,
,ex276,,ex276_r74_isqrt_restoring_loop,,,,,shared remainder and trial-subtract path across sqrt digits,ex276|isqrt_restoring_digit_loop|combinational_restoring_square-root_loop|shared_remainder_and_trial-subtract_path_across_sqrt_digits|repo_yosys_abc_AND|floor_isqrt_10_to_5|full_word,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-integer-r74/shared_structure_report.csv,,,combinational restoring square-root loop,expose arithmetic sharing to Yosys without backend remap,OK,2375,,,,,,,,,,
