agent_id,case,domain,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,equivalent,verified_truth,simulation_pass,area,delay,adp,reference_adp,beats_frontend,beats_reference,beats_overall_current,notes,shard_csv,variant,synthesized,frontend_baseline_adp,improves_frontend,synth_runtime_sec,eval_runtime_sec,official_output_dir
,ex223,,ex223_r74_nested_low10_hi7_abc_g_aig,fp16_log,,,,,ex223|fp16_log_r74_low10_nested_cut|low10_hi7_nested_lut|shared_special_decode_plus_highbit_runs|yosys_abc_g_aig|abc_xf_official_evaluate|not_round73_segword_or_wordrun,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/verilog/ex223_r74_nested_low10_hi7.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp16-r74/ex223/aigs/ex223_r74_nested_low10_hi7_abc_g_aig.aig,,,1,1,,13049,18,234882,,,,,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=10; nested_hi=7; nested_lo=3; low_items=28151; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20",student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp16-r74/candidates.csv,r74_nested_low10_hi7,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_inc_mux_delta_pred_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_inc_mux_delta_pred,,split delta predicates and mux plus-one/plus-two carry paths,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_inc_mux_delta_pred|split_delta_predicates_and_mux_plus_one_plus_two_carry_paths|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred.evaluate.py.log,1,,not_run,203,30,6090,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred.yosys.log; eval_sec=0.869; total_sec=1.398,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_effgap_split_delta_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_effgap_split_delta,,effective exponent gap plus split inc predicates,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_effgap_split_delta|effective_exponent_gap_plus_split_inc_predicates|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_split_delta/verilog/ex249_effgap_split_delta.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_split_delta/aigs/ex249_ex249_effgap_split_delta_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_split_delta/logs/ex249_ex249_effgap_split_delta.evaluate.py.log,1,,not_run,186,30,5580,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_split_delta/logs/ex249_ex249_effgap_split_delta.yosys.log; eval_sec=0.882; total_sec=1.756,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_effgap_inc_mux_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_effgap_inc_mux,,effective exponent gap with muxed increment paths,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_effgap_inc_mux|effective_exponent_gap_with_muxed_increment_paths|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_inc_mux/verilog/ex249_effgap_inc_mux.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_inc_mux/aigs/ex249_ex249_effgap_inc_mux_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_inc_mux/logs/ex249_ex249_effgap_inc_mux.evaluate.py.log,1,,not_run,180,30,5400,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_inc_mux/logs/ex249_ex249_effgap_inc_mux.yosys.log; eval_sec=1.183; total_sec=1.866,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_direct_carry_delta_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_direct_carry_delta,,split delta predicates with hand-written limited carry incrementer,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_direct_carry_delta|split_delta_predicates_with_hand_written_limited_carry_incrementer|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_direct_carry_delta/verilog/ex249_direct_carry_delta.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_direct_carry_delta/aigs/ex249_ex249_direct_carry_delta_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_direct_carry_delta/logs/ex249_ex249_direct_carry_delta.evaluate.py.log,1,,not_run,194,28,5432,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_direct_carry_delta/logs/ex249_ex249_direct_carry_delta.yosys.log; eval_sec=0.551; total_sec=1.030,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_effgap_direct_carry_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_effgap_direct_carry,,effective exponent gap with hand-written limited carry incrementer,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_effgap_direct_carry|effective_exponent_gap_with_hand_written_limited_carry_incrementer|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_direct_carry/verilog/ex249_effgap_direct_carry.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_direct_carry/aigs/ex249_ex249_effgap_direct_carry_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_direct_carry/logs/ex249_ex249_effgap_direct_carry.evaluate.py.log,1,,not_run,186,30,5580,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_effgap_direct_carry/logs/ex249_ex249_effgap_direct_carry.yosys.log; eval_sec=0.554; total_sec=0.834,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_or_pred_delta_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_or_pred_delta,,equality-OR delta predicates for shared inc1/inc2,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_or_pred_delta|equality_or_delta_predicates_for_shared_inc1_inc2|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_delta/verilog/ex249_or_pred_delta.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_delta/aigs/ex249_ex249_or_pred_delta_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_delta/logs/ex249_ex249_or_pred_delta.evaluate.py.log,1,,not_run,214,31,6634,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_delta/logs/ex249_ex249_or_pred_delta.yosys.log; eval_sec=0.530; total_sec=0.792,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex249,float_fp8,ex249_ex249_or_pred_direct_carry_repo_yosys,"E5M2FN hypot(abs(high),abs(low))",ex249_or_pred_direct_carry,,equality-OR delta predicates with hand-written limited carry incrementer,,"ex249|E5M2FN hypot(abs(high),abs(low))|ex249_or_pred_direct_carry|equality_or_delta_predicates_with_hand_written_limited_carry_incrementer|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_direct_carry/verilog/ex249_or_pred_direct_carry.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_direct_carry/aigs/ex249_ex249_or_pred_direct_carry_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_direct_carry/logs/ex249_ex249_or_pred_direct_carry.evaluate.py.log,1,,not_run,211,31,6541,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex249/ex249_or_pred_direct_carry/logs/ex249_ex249_or_pred_direct_carry.yosys.log; eval_sec=0.556; total_sec=0.819,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex245,float_fp8,ex245_ex245_active_table_mux_repo_yosys,E5M2FN add high byte plus low byte,ex245_active_table_mux,,gate same/diff table use before output mux,,ex245|E5M2FN add high byte plus low byte|ex245_active_table_mux|gate_same_diff_table_use_before_output_mux|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_active_table_mux/verilog/ex245_active_table_mux.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_active_table_mux/aigs/ex245_ex245_active_table_mux_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_active_table_mux/logs/ex245_ex245_active_table_mux.evaluate.py.log,1,,not_run,726,36,26136,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_active_table_mux/logs/ex245_ex245_active_table_mux.yosys.log; eval_sec=0.936; total_sec=2.319,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex245,float_fp8,ex245_ex245_selected_mag_function_repo_yosys,E5M2FN add high byte plus low byte,ex245_selected_mag_function,,selected same/diff table inside one function,,ex245|E5M2FN add high byte plus low byte|ex245_selected_mag_function|selected_same_diff_table_inside_one_function|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_selected_mag_function/verilog/ex245_selected_mag_function.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_selected_mag_function/aigs/ex245_ex245_selected_mag_function_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_selected_mag_function/logs/ex245_ex245_selected_mag_function.evaluate.py.log,1,,not_run,734,34,24956,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_selected_mag_function/logs/ex245_ex245_selected_mag_function.yosys.log; eval_sec=0.928; total_sec=2.432,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex245,float_fp8,ex245_ex245_key_gated_tables_repo_yosys,E5M2FN add high byte plus low byte,ex245_key_gated_tables,,gate same/diff table keys when inactive,,ex245|E5M2FN add high byte plus low byte|ex245_key_gated_tables|gate_same_diff_table_keys_when_inactive|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_key_gated_tables/verilog/ex245_key_gated_tables.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_key_gated_tables/aigs/ex245_ex245_key_gated_tables_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_key_gated_tables/logs/ex245_ex245_key_gated_tables.evaluate.py.log,1,,not_run,739,42,31038,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex245/ex245_key_gated_tables/logs/ex245_ex245_key_gated_tables.yosys.log; eval_sec=0.910; total_sec=2.445,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_same_gapcase_split_norm_repo_yosys,E4M3FN add high byte plus low byte,ex240_field_same_gapcase_split_norm,,field-level decode and same-gapcase constants with split diff normalizer parameter tables,,ex240|E4M3FN add high byte plus low byte|ex240_field_same_gapcase_split_norm|field_level_decode_and_same_gapcase_constants_with_split_diff_normalizer_paramet|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm/verilog/ex240_field_same_gapcase_split_norm.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm/aigs/ex240_ex240_field_same_gapcase_split_norm_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm/logs/ex240_ex240_field_same_gapcase_split_norm.evaluate.py.log,1,,not_run,645,45,29025,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm/logs/ex240_ex240_field_same_gapcase_split_norm.yosys.log; eval_sec=1.070; total_sec=1.723,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_same_gapcase_case_attrs_repo_yosys,E4M3FN add high byte plus low byte,ex240_field_same_gapcase_case_attrs,,field-level decode and same-gapcase constants with case attributes,,ex240|E4M3FN add high byte plus low byte|ex240_field_same_gapcase_case_attrs|field_level_decode_and_same_gapcase_constants_with_case_attributes|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_case_attrs/verilog/ex240_field_same_gapcase_case_attrs.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_case_attrs/aigs/ex240_ex240_field_same_gapcase_case_attrs_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_case_attrs/logs/ex240_ex240_field_same_gapcase_case_attrs.evaluate.py.log,1,,not_run,641,45,28845,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_case_attrs/logs/ex240_ex240_field_same_gapcase_case_attrs.yosys.log; eval_sec=1.065; total_sec=1.726,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_same_gapcase_split_norm_attrs_repo_yosys,E4M3FN add high byte plus low byte,ex240_field_same_gapcase_split_norm_attrs,,field-level same-gapcase split norm tables with case attributes,,ex240|E4M3FN add high byte plus low byte|ex240_field_same_gapcase_split_norm_attrs|field_level_same_gapcase_split_norm_tables_with_case_attributes|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm_attrs/verilog/ex240_field_same_gapcase_split_norm_attrs.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm_attrs/aigs/ex240_ex240_field_same_gapcase_split_norm_attrs_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm_attrs/logs/ex240_ex240_field_same_gapcase_split_norm_attrs.evaluate.py.log,1,,not_run,645,45,29025,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_same_gapcase_split_norm_attrs/logs/ex240_ex240_field_same_gapcase_split_norm_attrs.yosys.log; eval_sec=1.052; total_sec=1.702,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
sub-fp8-addhyp-r74,ex240,float_fp8,ex240_ex240_field_compare_case_attrs_repo_yosys,E4M3FN add high byte plus low byte,ex240_field_compare_case_attrs,,field-level decode with case attributes on source tables,,ex240|E4M3FN add high byte plus low byte|ex240_field_compare_case_attrs|field_level_decode_with_case_attributes_on_source_tables|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_compare_case_attrs/verilog/ex240_field_compare_case_attrs.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_compare_case_attrs/aigs/ex240_ex240_field_compare_case_attrs_repo_yosys.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_compare_case_attrs/logs/ex240_ex240_field_compare_case_attrs.evaluate.py.log,1,,not_run,658,47,30926,,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-addhyp-r74/ex240/ex240_field_compare_case_attrs/logs/ex240_ex240_field_compare_case_attrs.yosys.log; eval_sec=1.211; total_sec=1.830,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-addhyp-r74/candidates.csv,,,,,,,
,ex241,,ex241_r74_sigpair_exp_mag_table,E4M3FN packed multiply high byte times low byte,,,"sign xor, effective exponent sum, and direct significand-pair table",,ex241|E4M3FN packed multiply high byte times low byte|sigpair plus exponent-sum exact magnitude table|shared sign xor effective exponent and 4-bit significand pair keys|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/verilog/ex241_r74_sigpair_exp_mag_table.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/aigs/ex241_r74_sigpair_exp_mag_table.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/logs/ex241_r74_sigpair_exp_mag_table.evaluate.py.log,1,,,1456,21,30576,7224,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,sigpair_exp_mag_table,1,14094,0,1.431,0.557,
,ex241,,ex241_r74_product_split_exp_mant,E4M3FN packed multiply high byte times low byte,,,"shared product key, split exponent and mantissa output functions",,ex241|E4M3FN packed multiply high byte times low byte|split exponent and mantissa tables over product/exponent key|shared product and exponent-sum with separated output clusters|repo_yosys_frontend_default|official_evaluate|exp_mant_split,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/verilog/ex241_r74_product_split_exp_mant.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/aigs/ex241_r74_product_split_exp_mant.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex241/logs/ex241_r74_product_split_exp_mant.evaluate.py.log,1,,,1400,38,53200,7224,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,product_split_exp_mant,1,14094,0,2.440,0.614,
,ex246,,ex246_r74_sigpair_exp_mag_table,E5M2FN packed multiply high byte times low byte,,,"sign xor, effective exponent sum, and direct significand-pair table",,ex246|E5M2FN packed multiply high byte times low byte|sigpair plus exponent-sum exact magnitude table|shared sign xor effective exponent and 3-bit significand pair keys|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/verilog/ex246_r74_sigpair_exp_mag_table.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/aigs/ex246_r74_sigpair_exp_mag_table.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/logs/ex246_r74_sigpair_exp_mag_table.evaluate.py.log,1,,,553,19,10507,2805,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,sigpair_exp_mag_table,1,6888,0,0.671,0.495,
,ex246,,ex246_r74_product_split_exp_mant,E5M2FN packed multiply high byte times low byte,,,"shared product key, split exponent and mantissa output functions",,ex246|E5M2FN packed multiply high byte times low byte|split exponent and mantissa tables over product/exponent key|shared product and exponent-sum with separated output clusters|repo_yosys_frontend_default|official_evaluate|exp_mant_split,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/verilog/ex246_r74_product_split_exp_mant.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/aigs/ex246_r74_product_split_exp_mant.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex246/logs/ex246_r74_product_split_exp_mant.evaluate.py.log,1,,,816,31,25296,2805,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,product_split_exp_mant,1,6888,0,1.219,0.544,
,ex247,,ex247_r74_flat_delta_sigpair_mag,E5M2FN packed division low byte over high byte,,,"shared exponent delta and sigpair key, flat exact magnitude table",,ex247|E5M2FN packed low-over-high division|flat exact magnitude table over delta and numerator-denominator significands|shared sign xor exponent-delta and sigpair key|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/verilog/ex247_r74_flat_delta_sigpair_mag.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/aigs/ex247_r74_flat_delta_sigpair_mag.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/logs/ex247_r74_flat_delta_sigpair_mag.evaluate.py.log,1,,,1012,25,25300,2975,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,flat_delta_sigpair_mag,1,7291,0,1.923,0.523,
,ex247,,ex247_r74_den_nested_delta_num_mag,E5M2FN packed division low byte over high byte,,,"denominator-major nested tables, local delta/numerator residual",,ex247|E5M2FN packed low-over-high division|denominator-nested exact delta-numerator magnitude functions|shared denominator class with local delta numerator key|repo_yosys_frontend_default|official_evaluate|den_nested_full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/verilog/ex247_r74_den_nested_delta_num_mag.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/aigs/ex247_r74_den_nested_delta_num_mag.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex247/logs/ex247_r74_den_nested_delta_num_mag.evaluate.py.log,1,,,774,26,20124,2975,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,den_nested_delta_num_mag,1,7291,0,1.263,0.523,
,ex248,,ex248_r74_magpair_remainder_table,E5M2FN packed fmod low byte modulo high byte,,,shared special-case shell and direct magnitude-pair remainder table,,ex248|E5M2FN packed fmod low mod high|direct magnitude-pair remainder table|shared NaN/divisor-zero shell with exact numerator-denominator magnitude key|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/verilog/ex248_r74_magpair_remainder_table.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/aigs/ex248_r74_magpair_remainder_table.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/logs/ex248_r74_magpair_remainder_table.evaluate.py.log,1,,,4535,23,104305,4180,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,magpair_remainder_table,1,7938,0,3.963,0.500,
,ex248,,ex248_r74_den_group_remainder_table,E5M2FN packed fmod low byte modulo high byte,,,denominator-major grouped exact remainder tables,,ex248|E5M2FN packed fmod low mod high|denominator-grouped numerator remainder tables|shared divisor magnitude group and numerator local table|repo_yosys_frontend_default|official_evaluate|den_grouped_full_word,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/verilog/ex248_r74_den_group_remainder_table.v,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/aigs/ex248_r74_den_group_remainder_table.aig,,student/work/frontend_source_parallel_round74_20260613_1439/sub-fp8-muldiv-r74/ex248/logs/ex248_r74_den_group_remainder_table.evaluate.py.log,1,,,3520,18,63360,4180,,0,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round74_20260613_1439/agent_shards/sub-fp8-muldiv-r74/candidates.csv,den_group_remainder_table,1,7938,0,3.838,0.459,
