case,metric,key,value,detail
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=12:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x1ffe;omask=0xfff,55,bit_matches=56104/106496;first=x=0x0;xp=0x1ffe;y=0x0;got=0x1ffd;expected=0xfff
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0xfff;omask=0x1ffe,54,bit_matches=56768/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=2:3:4:5:6:7:8:9:10:11:12:0:1;imask=0xfff;omask=0x1ffe,54,bit_matches=56384/106496;first=x=0x0;xp=0xfff;y=0x0;got=0x1fef;expected=0x1ffe
ex286,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12;pout=6:7:8:9:10:11:12:0:1:2:3:4:5;imask=0x1fff;omask=0x1fff,53,bit_matches=60490/106496;first=x=0x1;xp=0x1ffe;y=0x40;got=0x1ffd;expected=0xfff
ex286,affine_perm_duality,pin=0:1:2:3:5:4:7:6:8:9:10:11:12;pout=6:7:8:9:10:11:12:0:1:2:3:4:5;imask=0x1fff;omask=0x1fff,53,bit_matches=60490/106496;first=x=0x1;xp=0x1ffe;y=0x40;got=0x1ffd;expected=0xfff
ex286,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:0:1;pout=11:12:0:1:2:3:4:5:6:7:8:9:10;imask=0x1fff;omask=0x1fff,51,bit_matches=57776/106496;first=x=0x1;xp=0x1ffb;y=0x40;got=0x1fbf;expected=0x1fef
ex286,affine_perm_duality,pin=11:12:0:1:2:3:4:5:6:7:8:9:10;pout=2:3:4:5:6:7:8:9:10:11:12:0:1;imask=0x1fff;omask=0x1fff,51,bit_matches=57776/106496;first=x=0x1;xp=0x17ff;y=0x40;got=0x1bff;expected=0x1eff
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=7:8:9:10:11:12:13:0:1:2:3:4:5:6;imask=0x3fff;omask=0x3fff,798,bit_matches=162884/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x1fff
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=7:8:9:10:11:12:13:0:1:2:3:4:5:6;imask=0x3fff;omask=0x3fff,798,bit_matches=162884/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x1fff
ex287,affine_perm_duality,pin=13:12:11:10:9:8:7:6:5:4:3:2:1:0;pout=0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x3fff;omask=0x3fff,464,bit_matches=119336/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3fbf
ex287,affine_perm_duality,pin=13:12:11:10:8:9:6:7:4:5:3:2:1:0;pout=0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x3fff;omask=0x3fff,464,bit_matches=119336/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3fbf
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x3fff;omask=0x3fff,432,bit_matches=148704/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x3f7f
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x3fff;omask=0x3fff,432,bit_matches=148704/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x3f7f
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=12:13:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x3fff;omask=0x3fff,417,bit_matches=124284/229376;first=x=0x1;xp=0x3ffb;y=0x40;got=0x3fbf;expected=0x3fef
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=2:3:4:5:6:7:8:9:10:11:12:13:0:1;imask=0x3fff;omask=0x3fff,417,bit_matches=124284/229376;first=x=0x2;xp=0x1fff;y=0x2000;got=0x3fef;expected=0x3ffd
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x3fff;omask=0x3fff,336,bit_matches=122750/229376;first=x=0x1;xp=0x3ffb;y=0x40;got=0x3fbf;expected=0x3f7f
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x3fff;omask=0x3fff,336,bit_matches=122750/229376;first=x=0x1;xp=0x2fff;y=0x40;got=0x3eff;expected=0x3f7f
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=2:3:4:5:6:7:8:9:10:11:12:13:0:1;imask=0x3fff;omask=0x3fff,306,bit_matches=122314/229376;first=x=0x1;xp=0x3ffb;y=0x40;got=0x3fbf;expected=0x3eff
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=12:13:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x3fff;omask=0x3fff,306,bit_matches=122314/229376;first=x=0x1;xp=0x2fff;y=0x40;got=0x3eff;expected=0x3fef
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x3fff;omask=0x3fff,285,bit_matches=122814/229376;first=x=0x2;xp=0x3ff7;y=0x2000;got=0x3bff;expected=0x1fff
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x3fff;omask=0x3fff,285,bit_matches=122814/229376;first=x=0x1;xp=0x2fff;y=0x40;got=0x3eff;expected=0x3fbf
ex287,affine_perm_duality,pin=13:12:11:10:9:8:7:6:5:4:3:2:1:0;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x3fff;omask=0x3fff,277,bit_matches=123710/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3f7f
ex287,affine_perm_duality,pin=13:12:11:10:9:8:7:6:5:4:3:2:1:0;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x3fff;omask=0x3fff,277,bit_matches=123710/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3fdf
ex287,affine_perm_duality,pin=13:12:11:10:8:9:6:7:4:5:3:2:1:0;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x3fff;omask=0x3fff,277,bit_matches=123710/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3f7f
ex287,affine_perm_duality,pin=13:12:11:10:8:9:6:7:4:5:3:2:1:0;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x3fff;omask=0x3fff,277,bit_matches=123710/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3fdf
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x3fff;omask=0x3fff,258,bit_matches=123334/229376;first=x=0x1;xp=0x3ffb;y=0x40;got=0x3fbf;expected=0x3fdf
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x3fff;omask=0x3fff,258,bit_matches=123334/229376;first=x=0x1;xp=0x2fff;y=0x40;got=0x3eff;expected=0x3f7f
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x3fff;omask=0x3fff,258,bit_matches=121798/229376;first=x=0x1;xp=0x3ffb;y=0x40;got=0x3fbf;expected=0x3f7f
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x3fff;omask=0x3fff,258,bit_matches=121798/229376;first=x=0x1;xp=0x2fff;y=0x40;got=0x3eff;expected=0x3fdf
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x3fff;omask=0x3fff,253,bit_matches=148168/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x3f7f
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x3fff;omask=0x3fff,253,bit_matches=148168/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x3fdf
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x3fff;omask=0x3fff,253,bit_matches=148168/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x3f7f
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x3fff;omask=0x3fff,253,bit_matches=148168/229376;first=x=0x1;xp=0x3ffe;y=0x40;got=0x3ffd;expected=0x3fdf
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x1fff;omask=0x3ffe,248,bit_matches=152564/229376;first=x=0x0;xp=0x1fff;y=0x0;got=0x3fef;expected=0x3ffe
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,248,bit_matches=152564/229376;first=x=0x0;xp=0x1fff;y=0x0;got=0x3fef;expected=0x1fff
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:0;imask=0x1fff;omask=0x3ffe,248,bit_matches=152564/229376;first=x=0x0;xp=0x1fff;y=0x0;got=0x3fef;expected=0x3ffe
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,248,bit_matches=152564/229376;first=x=0x0;xp=0x1fff;y=0x0;got=0x3fef;expected=0x1fff
ex287,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:0:1;pout=7:8:9:10:11:12:13:0:1:2:3:4:5:6;imask=0x3fff;omask=0x3fff,215,bit_matches=123006/229376;first=x=0x1;xp=0x3ffb;y=0x40;got=0x3fbf;expected=0x1fff
ex287,affine_perm_duality,pin=12:13:0:1:2:3:4:5:6:7:8:9:10:11;pout=7:8:9:10:11:12:13:0:1:2:3:4:5:6;imask=0x3fff;omask=0x3fff,215,bit_matches=123006/229376;first=x=0x1;xp=0x2fff;y=0x40;got=0x3eff;expected=0x1fff
ex287,affine_perm_duality,pin=13:12:11:10:9:8:7:6:5:4:3:2:1:0;pout=2:3:4:5:6:7:8:9:10:11:12:13:0:1;imask=0x3fff;omask=0x3fff,187,bit_matches=122068/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3eff
ex287,affine_perm_duality,pin=13:12:11:10:9:8:7:6:5:4:3:2:1:0;pout=12:13:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x3fff;omask=0x3fff,187,bit_matches=122068/229376;first=x=0x2;xp=0x2fff;y=0x2000;got=0x3eff;expected=0x37ff
ex287,affine_perm_duality,pin=13:12:11:10:8:9:6:7:4:5:3:2:1:0;pout=2:3:4:5:6:7:8:9:10:11:12:13:0:1;imask=0x3fff;omask=0x3fff,187,bit_matches=122068/229376;first=x=0x1;xp=0x1fff;y=0x40;got=0x3fef;expected=0x3eff
ex287,affine_perm_duality,pin=13:12:11:10:8:9:6:7:4:5:3:2:1:0;pout=12:13:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x3fff;omask=0x3fff,187,bit_matches=122068/229376;first=x=0x2;xp=0x2fff;y=0x2000;got=0x3eff;expected=0x37ff
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x3ffe,144,bit_matches=152664/229376;first=x=0x0;xp=0x1fff;y=0x0;got=0x3fef;expected=0x3ffe
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=13:0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x3ffe,144,bit_matches=152664/229376;first=x=0x0;xp=0x1fff;y=0x0;got=0x3fef;expected=0x3ffe
ex287,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13;pout=12:13:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x3ffe;omask=0x3ffe,143,bit_matches=145094/229376;first=x=0x0;xp=0x3ffe;y=0x0;got=0x3ffd;expected=0x3ffe
ex287,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13;pout=12:13:0:1:2:3:4:5:6:7:8:9:10:11;imask=0x3ffe;omask=0x3ffe,143,bit_matches=145094/229376;first=x=0x0;xp=0x3ffe;y=0x0;got=0x3ffd;expected=0x3ffe
ex288,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:14:0;imask=0x3fff;omask=0x7ffe,644,bit_matches=324900/491520;first=x=0x0;xp=0x3fff;y=0x0;got=0x7fbf;expected=0x7ffe
ex288,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;pout=14:0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x3fff;omask=0x3fff,644,bit_matches=324900/491520;first=x=0x0;xp=0x3fff;y=0x0;got=0x7fbf;expected=0x3fff
ex288,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13:14;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:14:0;imask=0x3fff;omask=0x7ffe,644,bit_matches=324900/491520;first=x=0x0;xp=0x3fff;y=0x0;got=0x7fbf;expected=0x7ffe
ex288,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13:14;pout=14:0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x3fff;omask=0x3fff,644,bit_matches=324900/491520;first=x=0x0;xp=0x3fff;y=0x0;got=0x7fbf;expected=0x3fff
ex288,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;pout=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x7ffe;omask=0x7ffe,419,bit_matches=350596/491520;first=x=0x0;xp=0x7ffe;y=0x0;got=0x7ffd;expected=0x7ffe
ex288,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;pout=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x7ffe;omask=0x3fff,419,bit_matches=350596/491520;first=x=0x0;xp=0x7ffe;y=0x0;got=0x7ffd;expected=0x3fff
ex288,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13:14;pout=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x7ffe;omask=0x7ffe,419,bit_matches=350596/491520;first=x=0x0;xp=0x7ffe;y=0x0;got=0x7ffd;expected=0x7ffe
ex288,affine_perm_duality,pin=0:1:2:3:5:4:7:6:9:8:10:11:12:13:14;pout=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x7ffe;omask=0x3fff,419,bit_matches=350596/491520;first=x=0x0;xp=0x7ffe;y=0x0;got=0x7ffd;expected=0x3fff
ex288,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:14:0:1;pout=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;imask=0x7fff;omask=0x7fff,233,bit_matches=262878/491520;first=x=0x1;xp=0x7ffb;y=0x4000;got=0x7fbf;expected=0x3fff
ex288,affine_perm_duality,pin=13:14:0:1:2:3:4:5:6:7:8:9:10:11:12;pout=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;imask=0x7fff;omask=0x7fff,233,bit_matches=262878/491520;first=x=0x1;xp=0x5fff;y=0x4000;got=0x7eff;expected=0x3fff
ex288,affine_perm_duality,pin=2:3:4:5:6:7:8:9:10:11:12:13:14:0:1;pout=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x7fff;omask=0x7fff,217,bit_matches=262322/491520;first=x=0x1;xp=0x7ffb;y=0x4000;got=0x7fbf;expected=0x7ffe
ex288,affine_perm_duality,pin=13:14:0:1:2:3:4:5:6:7:8:9:10:11:12;pout=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x7fff;omask=0x7fff,217,bit_matches=262322/491520;first=x=0x1;xp=0x5fff;y=0x4000;got=0x7eff;expected=0x7ffe
ex288,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;pout=1:2:3:4:5:6:7:8:9:10:11:12:13:14:0;imask=0x7fff;omask=0x7fff,214,bit_matches=302888/491520;first=x=0x1;xp=0x7ffe;y=0x4000;got=0x7ffd;expected=0x7ffe
ex288,affine_perm_duality,pin=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14;pout=14:0:1:2:3:4:5:6:7:8:9:10:11:12:13;imask=0x7fff;omask=0x7fff,214,bit_matches=302888/491520;first=x=0x1;xp=0x7ffe;y=0x4000;got=0x7ffd;expected=0x5fff
