case,domain,agent_id,candidate_id,hypothesis,variant,representation,shared_structure,method_signature,verilog_path,aig_path,verified_truth,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_default,delta table with explicit saturation predicate,sigdelta_fullcase_satsplit/raw/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_raw_default.aig,1,1,,366,34,12444,,official evaluate.py OK; synth_sec=0.397; eval_sec=0.501; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_mixed_tail_lut_raw_synth_preset,mixed shared decode plus selected-output residual LUT,mixed_tail_lut/raw/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_mixed_tail_lut_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_mixed_tail_lut_raw_synth_preset.aig,1,1,,378,33,12474,,official evaluate.py OK; synth_sec=0.505; eval_sec=0.505; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_mixed_tail_lut_raw_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_mixed_tail_lut_field_abc_g_aig,mixed field decode plus selected-output residual LUT,mixed_tail_lut/field/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_mixed_tail_lut_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_mixed_tail_lut_field_abc_g_aig.aig,1,1,,378,33,12474,,official evaluate.py OK; synth_sec=0.384; eval_sec=0.511; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_mixed_tail_lut_field_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_mixed_tail_lut_field_synth_preset,mixed field decode plus selected-output residual LUT,mixed_tail_lut/field/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_mixed_tail_lut_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_mixed_tail_lut_field_synth_preset.aig,1,1,,381,33,12573,,official evaluate.py OK; synth_sec=0.522; eval_sec=0.524; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_mixed_tail_lut_field_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset,delta table with explicit saturation predicate,sigdelta_fullcase_satsplit/raw/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset.aig,1,1,,353,36,12708,,official evaluate.py OK; synth_sec=0.566; eval_sec=0.504; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_raw_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_mixed_tail_lut_raw_abc_g_aig,mixed shared decode plus selected-output residual LUT,mixed_tail_lut/raw/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_mixed_tail_lut_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_mixed_tail_lut_raw_abc_g_aig.aig,1,1,,387,33,12771,,official evaluate.py OK; synth_sec=0.343; eval_sec=0.490; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_mixed_tail_lut_raw_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_synth_preset,max/min plus max-eff-free unsaturated delta table,sigdelta_fullcase/raw/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_raw_synth_preset.aig,1,1,,339,38,12882,,official evaluate.py OK; synth_sec=0.507; eval_sec=0.508; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_mixed_tail_lut_field_default,mixed field decode plus selected-output residual LUT,mixed_tail_lut/field/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_mixed_tail_lut_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_mixed_tail_lut_field_default.aig,1,1,,385,34,13090,,official evaluate.py OK; synth_sec=0.374; eval_sec=0.505; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_mixed_tail_lut_field_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_mixed_tail_lut_raw_default,mixed shared decode plus selected-output residual LUT,mixed_tail_lut/raw/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_mixed_tail_lut_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_mixed_tail_lut_raw_default.aig,1,1,,400,33,13200,,official evaluate.py OK; synth_sec=0.364; eval_sec=0.505; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_mixed_tail_lut_raw_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_raw_default,max/min plus max-eff-free unsaturated delta table,sigdelta_fullcase/raw/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_raw_default.aig,1,1,,358,37,13246,,official evaluate.py OK; synth_sec=0.381; eval_sec=0.498; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_raw_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_field_default,shallow field compare with saturation split,sigdelta_fullcase_satsplit/field/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_sigdelta_fullcase_satsplit_field.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_sigdelta_fullcase_satsplit_field_default.aig,1,1,,370,36,13320,,official evaluate.py OK; synth_sec=0.398; eval_sec=0.515; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_sigdelta_fullcase_satsplit_field_default.yosys.log
ex244,,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_abc_g_aig,selected delta-bit tables with constant increment tail,bitplane_incmux/raw/abc_g_aig,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_bitplane_incmux_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_bitplane_incmux_raw_abc_g_aig.aig,1,1,,487,36,17532,,official evaluate.py OK; synth_sec=0.402; eval_sec=0.510; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_bitplane_incmux_raw_abc_g_aig.yosys.log
ex244,,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_synth_preset,selected delta-bit tables with constant increment tail,bitplane_incmux/raw/synth_preset,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_bitplane_incmux_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_bitplane_incmux_raw_synth_preset.aig,1,1,,449,40,17960,,official evaluate.py OK; synth_sec=0.593; eval_sec=0.500; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_bitplane_incmux_raw_synth_preset.yosys.log
ex244,,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_default,selected delta-bit tables with constant increment tail,bitplane_incmux/raw/default,,,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/verilog/ex244_r60_bitplane_incmux_raw.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/aigs/ex244_r60_bitplane_incmux_raw_default.aig,1,1,,503,37,18611,,official evaluate.py OK; synth_sec=0.393; eval_sec=0.497; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex244-r60/ex244/logs/ex244_r60_bitplane_incmux_raw_default.yosys.log
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_product_predicate_round_default,E5M2FN packed multiply with shared product rounding predicates,,product predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, product, bias/mant rounding predicates, derived boundary formulas, compact low-boundary residual table",ex246|E5M2FN packed multiply|product rounding predicate attr with derived boundaries|shared sign xor exponent sum product bias mant and formulaic zero/sat predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_mul_high_times_low|product_predicate_residual_low|default,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/verilog/ex246_r60_product_predicate_round.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/aigs/ex246_r60_product_predicate_round_default.aig,,1,not_run,421,39,16419,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_product_predicate_round_default.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_product_predicate_round_default.yosys.log; flow=project yosys frontend flow with internal abc -g AND
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_product_predicate_round_synth_flatten,E5M2FN packed multiply with shared product rounding predicates,,product predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, product, bias/mant rounding predicates, derived boundary formulas, compact low-boundary residual table",ex246|E5M2FN packed multiply|product rounding predicate attr with derived boundaries|shared sign xor exponent sum product bias mant and formulaic zero/sat predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_mul_high_times_low|product_predicate_residual_low|synth_flatten,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/verilog/ex246_r60_product_predicate_round.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/aigs/ex246_r60_product_predicate_round_synth_flatten.aig,,1,not_run,420,39,16380,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_product_predicate_round_synth_flatten.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_product_predicate_round_synth_flatten.yosys.log; flow=Yosys synth -flatten with internal abc -g AND
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_sigpair_round_predicates_default,E5M2FN packed multiply with sigpair rounding predicates,,sigpair predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, sigpair key, bias/mant predicates, derived boundary formulas, compact low-boundary residual table",ex246|E5M2FN packed multiply|sigpair rounding predicate attr with derived boundaries|shared sign xor exponent sum sigpair bias mant and formulaic zero/sat predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_mul_high_times_low|sigpair_predicate_residual_low|default,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/verilog/ex246_r60_sigpair_round_predicates.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/aigs/ex246_r60_sigpair_round_predicates_default.aig,,1,not_run,440,28,12320,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_sigpair_round_predicates_default.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_sigpair_round_predicates_default.yosys.log; flow=project yosys frontend flow with internal abc -g AND
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_sigpair_round_predicates_synth_flatten,E5M2FN packed multiply with sigpair rounding predicates,,sigpair predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, sigpair key, bias/mant predicates, derived boundary formulas, compact low-boundary residual table",ex246|E5M2FN packed multiply|sigpair rounding predicate attr with derived boundaries|shared sign xor exponent sum sigpair bias mant and formulaic zero/sat predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_mul_high_times_low|sigpair_predicate_residual_low|synth_flatten,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/verilog/ex246_r60_sigpair_round_predicates.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/aigs/ex246_r60_sigpair_round_predicates_synth_flatten.aig,,1,not_run,419,30,12570,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_sigpair_round_predicates_synth_flatten.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex246/logs/ex246_r60_sigpair_round_predicates_synth_flatten.yosys.log; flow=Yosys synth -flatten with internal abc -g AND
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_boundary_formula_default,E5M2FN packed low-over-high division with quotient-derived boundaries,,quotient offset/mant attr with formulaic zero/saturation boundaries,"shared special shell, exponent delta, sigpair quotient offset/mant predicates, derived low/sat boundaries, compact low-boundary residual table",ex247|E5M2FN packed low-over-high division|quotient offset mant attr with derived boundaries|shared sign exponent delta sigpair quotient offset mant and formulaic zero/sat predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_boundary_residual_low|default,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/verilog/ex247_r60_quotient_boundary_formula.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/aigs/ex247_r60_quotient_boundary_formula_default.aig,,1,not_run,429,31,13299,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_boundary_formula_default.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_boundary_formula_default.yosys.log; flow=project yosys frontend flow with internal abc -g AND
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_boundary_formula_synth_flatten,E5M2FN packed low-over-high division with quotient-derived boundaries,,quotient offset/mant attr with formulaic zero/saturation boundaries,"shared special shell, exponent delta, sigpair quotient offset/mant predicates, derived low/sat boundaries, compact low-boundary residual table",ex247|E5M2FN packed low-over-high division|quotient offset mant attr with derived boundaries|shared sign exponent delta sigpair quotient offset mant and formulaic zero/sat predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_boundary_residual_low|synth_flatten,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/verilog/ex247_r60_quotient_boundary_formula.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/aigs/ex247_r60_quotient_boundary_formula_synth_flatten.aig,,1,not_run,403,31,12493,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_boundary_formula_synth_flatten.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_boundary_formula_synth_flatten.yosys.log; flow=Yosys synth -flatten with internal abc -g AND
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_region_split_default,E5M2FN packed low-over-high division with split quotient low-boundary regions,,quotient attr plus step-split low-boundary residual functions,"shared special shell, exponent delta, quotient offset/mant predicates, formulaic boundaries, step-local low-boundary functions",ex247|E5M2FN packed low-over-high division|quotient boundary decomposition with step split residuals|shared quotient offset mant formulaic zero/sat and step-local low-boundary predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_step_split_residual_low|default,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/verilog/ex247_r60_quotient_region_split.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/aigs/ex247_r60_quotient_region_split_default.aig,,1,not_run,393,34,13362,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_region_split_default.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_region_split_default.yosys.log; flow=project yosys frontend flow with internal abc -g AND
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_region_split_synth_flatten,E5M2FN packed low-over-high division with split quotient low-boundary regions,,quotient attr plus step-split low-boundary residual functions,"shared special shell, exponent delta, quotient offset/mant predicates, formulaic boundaries, step-local low-boundary functions",ex247|E5M2FN packed low-over-high division|quotient boundary decomposition with step split residuals|shared quotient offset mant formulaic zero/sat and step-local low-boundary predicates|yosys_internal_abc_official_evaluate|exact_e5m2fn_div_low_over_high|quotient_step_split_residual_low|synth_flatten,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/verilog/ex247_r60_quotient_region_split.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/aigs/ex247_r60_quotient_region_split_synth_flatten.aig,,1,not_run,367,32,11744,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_region_split_synth_flatten.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex246-ex247-r60/ex247/logs/ex247_r60_quotient_region_split_synth_flatten.yosys.log; flow=Yosys synth -flatten with internal abc -g AND
ex285,unknown,sub-ex285-r60,ex285_r60_countkey_majority_pairdelta_abc_g_and,hamming_weight_preserving_lossy_routing_normalizer,,countkey_majority_pairdelta_case,shared onehot bucket count base and two pair selector delta,ex285|hamming_weight_preserving_lossy_routing_normalizer|countkey_majority_pairdelta_case|shared_onehot_bucket_count_base_and_two_pair_selector_delta|yosys_internal_abc_g_and|official_evaluate|full_word_xor_reconstruction,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/verilog/ex285_r60_countkey_majority_pairdelta.v,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/aigs/ex285_r60_countkey_majority_pairdelta_abc_g_and.aig,,1,1,6161,20,123220,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/logs/ex285_r60_countkey_majority_pairdelta_abc_g_and.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/logs/ex285_r60_countkey_majority_pairdelta_abc_g_and.yosys.log; source_model_rows=4096
