case,domain,agent_id,candidate_id,method_signature,hypothesis,representation,shared_structure,sharing_strategy,synth_flow,structure,shared_nodes,output_bits,prior_low_value_signatures_avoided,status,evidence,evidence_path,result,notes
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_abc_g_aig,ex244|E4M3FN packed hypot|bitplane_incmux_raw|independent delta bit tables plus constant increment output mux|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,selected delta-bit tables with constant increment tail,bitplane_incmux + raw + abc_g_aig,independent delta bit tables plus constant increment output mux,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_bitplane_incmux_raw_synth_preset,ex244|E4M3FN packed hypot|bitplane_incmux_raw|independent delta bit tables plus constant increment output mux|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,selected delta-bit tables with constant increment tail,bitplane_incmux + raw + synth_preset,independent delta bit tables plus constant increment output mux,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_field_default,ex244|E4M3FN packed hypot|gapcofactor_satsplit_field|field-level compare feeding gap0/gap1/gap2 delta tables|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,shallow field compare with gap-cofactored delta,gapcofactor_satsplit + field + default,field-level compare feeding gap0/gap1/gap2 delta tables,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_field_abc_g_aig,ex244|E4M3FN packed hypot|gapcofactor_satsplit_field|field-level compare feeding gap0/gap1/gap2 delta tables|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,shallow field compare with gap-cofactored delta,gapcofactor_satsplit + field + abc_g_aig,field-level compare feeding gap0/gap1/gap2 delta tables,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_gapcofactor_satsplit_field_synth_preset,ex244|E4M3FN packed hypot|gapcofactor_satsplit_field|field-level compare feeding gap0/gap1/gap2 delta tables|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,shallow field compare with gap-cofactored delta,gapcofactor_satsplit + field + synth_preset,field-level compare feeding gap0/gap1/gap2 delta tables,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_field_default,ex244|E4M3FN packed hypot|sigdelta_fullcase_satsplit_field|field-level compare plus max-eff-free delta and saturation predicates|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,shallow field compare with saturation split,sigdelta_fullcase_satsplit + field + default,field-level compare plus max-eff-free delta and saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_field_abc_g_aig,ex244|E4M3FN packed hypot|sigdelta_fullcase_satsplit_field|field-level compare plus max-eff-free delta and saturation predicates|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,shallow field compare with saturation split,sigdelta_fullcase_satsplit + field + abc_g_aig,field-level compare plus max-eff-free delta and saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_sigdelta_fullcase_satsplit_field_synth_preset,ex244|E4M3FN packed hypot|sigdelta_fullcase_satsplit_field|field-level compare plus max-eff-free delta and saturation predicates|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,shallow field compare with saturation split,sigdelta_fullcase_satsplit + field + synth_preset,field-level compare plus max-eff-free delta and saturation predicates,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_mixed_tail_lut_raw_default,ex244|E4M3FN packed hypot|mixed_tail_lut_raw|shared special/max/gap predicates plus residual carry+low-bit LUT|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,mixed shared decode plus selected-output residual LUT,mixed_tail_lut + raw + default,shared special/max/gap predicates plus residual carry+low-bit LUT,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_mixed_tail_lut_raw_abc_g_aig,ex244|E4M3FN packed hypot|mixed_tail_lut_raw|shared special/max/gap predicates plus residual carry+low-bit LUT|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,mixed shared decode plus selected-output residual LUT,mixed_tail_lut + raw + abc_g_aig,shared special/max/gap predicates plus residual carry+low-bit LUT,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_mixed_tail_lut_raw_synth_preset,ex244|E4M3FN packed hypot|mixed_tail_lut_raw|shared special/max/gap predicates plus residual carry+low-bit LUT|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,mixed shared decode plus selected-output residual LUT,mixed_tail_lut + raw + synth_preset,shared special/max/gap predicates plus residual carry+low-bit LUT,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_mixed_tail_lut_field_default,ex244|E4M3FN packed hypot|mixed_tail_lut_field|field-level max/min predicates plus residual carry+low-bit LUT|yosys_default|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,mixed field decode plus selected-output residual LUT,mixed_tail_lut + field + default,field-level max/min predicates plus residual carry+low-bit LUT,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_mixed_tail_lut_field_abc_g_aig,ex244|E4M3FN packed hypot|mixed_tail_lut_field|field-level max/min predicates plus residual carry+low-bit LUT|yosys_abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,mixed field decode plus selected-output residual LUT,mixed_tail_lut + field + abc_g_aig,field-level max/min predicates plus residual carry+low-bit LUT,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex244,float_fp8,sub-ex244-r60,ex244_r60_mixed_tail_lut_field_synth_preset,ex244|E4M3FN packed hypot|mixed_tail_lut_field|field-level max/min predicates plus residual carry+low-bit LUT|yosys_synth_preset|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_saturation_split,mixed field decode plus selected-output residual LUT,mixed_tail_lut + field + synth_preset,field-level max/min predicates plus residual carry+low-bit LUT,,,,,,,,,,,source-only Yosys RTL synthesis; no standalone AIG remap
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_product_predicate_round_default,,E5M2FN packed multiply with shared product rounding predicates,product predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, product, bias/mant rounding predicates, derived boundary formulas, compact low-boundary residual table",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_product_predicate_round_synth_flatten,,E5M2FN packed multiply with shared product rounding predicates,product predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, product, bias/mant rounding predicates, derived boundary formulas, compact low-boundary residual table",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_sigpair_round_predicates_default,,E5M2FN packed multiply with sigpair rounding predicates,sigpair predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, sigpair key, bias/mant predicates, derived boundary formulas, compact low-boundary residual table",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex246,float_fp8,sub-ex246-ex247-r60,ex246_r60_sigpair_round_predicates_synth_flatten,,E5M2FN packed multiply with sigpair rounding predicates,sigpair predicate attr with derived zero/saturation bounds,"shared sign xor, exponent sum, sigpair key, bias/mant predicates, derived boundary formulas, compact low-boundary residual table",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_boundary_formula_default,,E5M2FN packed low-over-high division with quotient-derived boundaries,quotient offset/mant attr with formulaic zero/saturation boundaries,"shared special shell, exponent delta, sigpair quotient offset/mant predicates, derived low/sat boundaries, compact low-boundary residual table",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_boundary_formula_synth_flatten,,E5M2FN packed low-over-high division with quotient-derived boundaries,quotient offset/mant attr with formulaic zero/saturation boundaries,"shared special shell, exponent delta, sigpair quotient offset/mant predicates, derived low/sat boundaries, compact low-boundary residual table",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_region_split_default,,E5M2FN packed low-over-high division with split quotient low-boundary regions,quotient attr plus step-split low-boundary residual functions,"shared special shell, exponent delta, quotient offset/mant predicates, formulaic boundaries, step-local low-boundary functions",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-ex246-ex247-r60,ex247_r60_quotient_region_split_synth_flatten,,E5M2FN packed low-over-high division with split quotient low-boundary regions,quotient attr plus step-split low-boundary residual functions,"shared special shell, exponent delta, quotient offset/mant predicates, formulaic boundaries, step-local low-boundary functions",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex285,,sub-ex285-r60,ex285_r60_countkey_majority_pairdelta,,,,,,,onehot_bucket_count_base_plus_pair_selector_delta,count_keys=540;pair_keys=2304;delta_keys=1589,out[11:0],,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/diagnostics/shared_structure_screen.md,,source_model_exact,materially different from decision-tree replay; still uses exact selector repair because count-only key is insufficient
ex285,,sub-ex285-r60,ex285_r60_twopair_selector_direct_case,,,,,,,two_pair_swap_invariant_selector_direct_table,pair_keys=2304,out[11:0],,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/diagnostics/shared_structure_screen.md,,source_model_exact,baseline for comparing mixed-source residual forms; not a decision-tree source replay
ex285,,sub-ex285-r60,ex285_r60_twopair_canoninput_delta_case,,,,,,,shared_canonical_input_descriptor_plus_selected_residual_table,pair_keys=2304;nonzero_delta_keys=2256,out[11:0],,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex285-r60/ex285/diagnostics/shared_structure_screen.md,,source_model_exact,mixed-source hypothesis from recording clue: shared low-area descriptor plus selected-output residual LUT/table
ex297,unknown,sub-ex297-ex299-r60,,,cyclic 2-bit-symbol nonlocal mixed-source state basis,shared predicates plus selected-output LUT/residual cofactor table,,share ring prefix/delta/bridge predicates and only keep residual table if exception mass drops,no_synth_blocked_before_yosys,,,,symbol-plane replay; case attrs/default_out factoring; BDD fallback; transformed-coordinate grouped BDD; cell-prefix bridge; rot2 canonical; local-radius residual,blocked_no_candidate,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex297-ex299-r60/ex297/notes/ex297_r60_mixed_source_blocker.md,,frontier mixed-source idea tested at source level; no compact residual found
ex299,unknown,sub-ex297-ex299-r60,,,cyclic 2-bit-symbol nonlocal mixed-source state basis,shared predicates plus selected-output LUT/residual cofactor table,,share ring prefix/delta/bridge predicates and only keep residual table if exception mass drops,no_synth_blocked_before_yosys,,,,symbol-plane replay; case attrs/default_out factoring; BDD fallback; transformed-coordinate grouped BDD; cell-prefix bridge; rot2 canonical; local-radius residual,blocked_no_candidate,,student/work/frontend_source_parallel_round60_20260613_0825/sub-ex297-ex299-r60/ex299/notes/ex299_r60_mixed_source_blocker.md,,frontier mixed-source idea tested at source level; no compact residual found
