case,target_degree,basis_mask,basis_popcount,terms,actual_degree,degree_hist,notes
ex288,5,0x61e1,7,275,5,d1:6;d2:41;d3:81;d4:78;d5:69,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,5,0x2222,4,114,4,d1:8;d2:40;d3:49;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,5,0x4444,4,88,4,d1:1;d2:17;d3:53;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,5,0x888,3,99,4,d1:4;d2:29;d3:49;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,5,0x70f0,7,235,5,d1:6;d2:33;d3:52;d4:75;d5:69,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,6,0x4141,4,278,6,d1:2;d2:19;d3:93;d4:70;d5:57;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,6,0x282,3,283,6,d1:4;d2:38;d3:83;d4:65;d5:56;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,6,0x4444,4,88,4,d1:1;d2:17;d3:53;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,6,0x888,3,99,4,d1:4;d2:29;d3:49;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,6,0x5050,4,222,6,d1:2;d2:17;d3:56;d4:53;d5:57;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,6,0x20a0,3,251,6,d1:4;d2:28;d3:64;d4:62;d5:56;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x181,3,497,7,d1:1;d2:24;d3:107;d4:124;d5:114;d6:106;d7:21,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x282,3,283,6,d1:4;d2:38;d3:83;d4:65;d5:56;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x484,3,371,7,d2:16;d3:79;d4:97;d5:79;d6:79;d7:21,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x888,3,99,4,d1:4;d2:29;d3:49;d4:17,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x1090,3,471,7,d1:1;d2:18;d3:90;d4:121;d5:114;d6:106;d7:21,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x20a0,3,251,6,d1:4;d2:28;d3:64;d4:62;d5:56;d6:37,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,7,0x40c0,3,359,7,d1:1;d2:19;d3:66;d4:94;d5:79;d6:79;d7:21,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x101,2,542,8,d1:1;d2:16;d3:69;d4:143;d5:134;d6:106;d7:65;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x202,2,452,8,d1:4;d2:30;d3:91;d4:118;d5:94;d6:63;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x404,2,486,8,d2:8;d3:61;d4:126;d5:117;d6:101;d7:65;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x808,2,346,8,d1:4;d2:29;d3:77;d4:80;d5:56;d6:48;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x1010,2,528,8,d1:1;d2:12;d3:64;d4:138;d5:134;d6:106;d7:65;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x2020,2,438,8,d1:4;d2:28;d3:84;d4:113;d5:94;d6:63;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x4040,2,486,8,d1:1;d2:13;d3:60;d4:121;d5:117;d6:101;d7:65;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex288,8,0x80,1,281,8,d2:8;d3:44;d4:73;d5:56;d6:48;d7:44;d8:8,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,5,0xe1e1,8,212,5,d1:8;d2:38;d3:68;d4:50;d5:48,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,5,0x2222,4,154,4,d1:10;d2:50;d3:68;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,5,0x4444,4,98,4,d1:2;d2:10;d3:60;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,5,0x8888,4,132,4,d1:4;d2:34;d3:68;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,5,0xf0f0,8,132,5,d1:8;d2:28;d3:16;d4:32;d5:48,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,6,0x4141,4,322,6,d1:1;d2:19;d3:106;d4:70;d5:64;d6:62,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,6,0x8282,4,372,6,d1:7;d2:59;d3:110;d4:70;d5:64;d6:62,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,6,0x4444,4,98,4,d1:2;d2:10;d3:60;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,6,0x8888,4,132,4,d1:4;d2:34;d3:68;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,6,0x5050,4,250,6,d1:1;d2:17;d3:58;d4:48;d5:64;d6:62,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,6,0xa0a0,4,276,6,d1:7;d2:37;d3:58;d4:48;d5:64;d6:62,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0x8181,4,550,7,d1:2;d2:40;d3:144;d4:116;d5:104;d6:128;d7:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0x8282,4,372,6,d1:7;d2:59;d3:110;d4:70;d5:64;d6:62,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0x8484,4,354,7,d1:3;d2:35;d3:88;d4:76;d5:62;d6:74;d7:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0x8888,4,132,4,d1:4;d2:34;d3:68;d4:26,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0x9090,4,482,7,d1:2;d2:38;d3:100;d4:94;d5:104;d6:128;d7:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0xa0a0,4,276,6,d1:7;d2:37;d3:58;d4:48;d5:64;d6:62,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,7,0xc0c0,4,296,7,d1:3;d2:27;d3:56;d4:58;d5:62;d6:74;d7:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x101,2,624,8,d2:14;d3:71;d4:157;d5:149;d6:121;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x202,2,704,8,d1:5;d2:39;d3:113;d4:165;d5:149;d6:121;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x404,2,544,8,d1:1;d2:11;d3:51;d4:137;d5:125;d6:107;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x808,2,606,8,d1:2;d2:28;d3:95;d4:137;d5:125;d6:107;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x1010,2,612,8,d2:12;d3:63;d4:155;d5:149;d6:121;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x2020,2,686,8,d1:5;d2:33;d3:103;d4:163;d5:149;d6:121;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x4040,2,534,8,d1:1;d2:11;d3:47;d4:131;d5:125;d6:107;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
ex289,8,0x8080,2,596,8,d1:2;d2:26;d3:85;d4:139;d5:125;d6:107;d7:96;d8:16,output XOR coordinate in nullspace of high-degree ANF coefficients
