case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10 + default + raw,sig-pair product-code table plus seed12 product-class completion,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_normsplit_attr_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_normsplit_attr + abc_g_aig + raw,normal/subnormal split attribute source,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_normsplit_attr_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_normsplit_attr + synth_preset + raw,normal/subnormal split attribute source,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_default_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_logcode + default + raw,log-code add plus boundary tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_extra_share_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_logcode + extra_share + raw,log-code add plus boundary tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_logcode + abc_g_aig + raw,log-code add plus boundary tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex246,float_fp8,local-fp8-source-r50,ex246_ex246_semantic_mul_logcode_synth_preset_raw,FP8 source predicate/table restructuring,ex246_semantic_mul_logcode + synth_preset + raw,log-code add plus boundary tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den + default + raw,denominator-first bound/smallpat classifier,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den + extra_share + raw,denominator-first bound/smallpat classifier,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den + abc_g_aig + raw,denominator-first bound/smallpat classifier,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_den_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_den + synth_preset + raw,denominator-first bound/smallpat classifier,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num + default + raw,numerator-first bound/smallpat classifier,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num + extra_share + raw,numerator-first bound/smallpat classifier,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num + abc_g_aig + raw,numerator-first bound/smallpat classifier,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_bound_smallpat_nested_num_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_bound_smallpat_nested_num + synth_preset + raw,numerator-first bound/smallpat classifier,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_split_attr + default + raw,split zero/sat/offset/mant attribute tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_split_attr + extra_share + raw,split zero/sat/offset/mant attribute tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_split_attr + abc_g_aig + raw,split zero/sat/offset/mant attribute tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_split_attr_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_split_attr + synth_preset + raw,split zero/sat/offset/mant attribute tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_possible_class + default + raw,nonzero sigpair class with explicit special handling,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_possible_class + extra_share + raw,nonzero sigpair class with explicit special handling,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_possible_class + abc_g_aig + raw,nonzero sigpair class with explicit special handling,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_sigpair_possible_class_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_sigpair_possible_class + synth_preset + raw,nonzero sigpair class with explicit special handling,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_normsplit_attr + default + raw,normal/subnormal split attribute source,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_normsplit_attr + extra_share + raw,normal/subnormal split attribute source,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_normsplit_attr + abc_g_aig + raw,normal/subnormal split attribute source,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_normsplit_attr_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_normsplit_attr + synth_preset + raw,normal/subnormal split attribute source,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_default_raw,FP8 source predicate/table restructuring,ex247_semantic_div_logcode + default + raw,log-code subtract plus boundary tables,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_extra_share_raw,FP8 source predicate/table restructuring,ex247_semantic_div_logcode + extra_share + raw,log-code subtract plus boundary tables,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_abc_g_aig_raw,FP8 source predicate/table restructuring,ex247_semantic_div_logcode + abc_g_aig + raw,log-code subtract plus boundary tables,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex247,float_fp8,local-fp8-source-r50,ex247_ex247_semantic_div_logcode_synth_preset_raw,FP8 source predicate/table restructuring,ex247_semantic_div_logcode + synth_preset + raw,log-code subtract plus boundary tables,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
