case,bit,one_count,one_fraction,entropy,run_count,support_size,support_bits,anf_degree,anf_terms,constant
ex284,13,32768,0.500000,1.000000,38912,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,809,0
ex284,14,32768,0.500000,1.000000,32768,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,745,0
ex284,15,32768,0.500000,1.000000,32768,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,4,485,0
ex285,0,2013,0.491455,0.999789,2626,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1045,0
ex285,1,2037,0.497314,0.999979,2548,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1099,0
ex285,2,2011,0.490967,0.999765,2574,12,0:1:2:3:4:5:6:7:8:9:10:11,12,961,0
ex285,3,2035,0.496826,0.999971,2646,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1055,0
ex285,4,2048,0.500000,1.000000,2676,11,0:1:2:3:4:5:6:7:8:9:10,8,315,0
ex285,5,2048,0.500000,1.000000,2676,11,0:1:2:3:4:5:6:7:8:9:10,8,337,0
ex285,6,2048,0.500000,1.000000,2676,11,0:1:2:3:4:5:6:7:8:9:10,8,287,0
ex285,7,2048,0.500000,1.000000,2676,11,0:1:2:3:4:5:6:7:8:9:10,8,281,0
ex285,8,2083,0.508545,0.999789,2440,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1091,0
ex285,9,2059,0.502686,0.999979,2356,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1203,0
ex285,10,2085,0.509033,0.999765,2320,12,0:1:2:3:4:5:6:7:8:9:10:11,12,993,0
ex285,11,2061,0.503174,0.999971,2422,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1139,0
ex286,0,3903,0.476440,0.998398,4338,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,1647,0
ex286,1,4096,0.500000,1.000000,4968,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1227,0
ex286,2,4096,0.500000,1.000000,4970,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1169,0
ex286,3,4096,0.500000,1.000000,5010,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1125,0
ex286,4,3951,0.482300,0.999096,4192,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,1597,0
ex286,5,4096,0.500000,1.000000,5352,11,0:1:2:3:4:5:6:7:9:10:11,8,337,0
ex286,6,4096,0.500000,1.000000,5352,11,0:1:2:3:4:5:6:7:9:10:11,8,287,0
ex286,7,4096,0.500000,1.000000,5352,11,0:1:2:3:4:5:6:7:9:10:11,8,281,0
ex286,8,4289,0.523560,0.998398,4118,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,1687,0
ex286,9,4096,0.500000,1.000000,4968,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1359,0
ex286,10,4096,0.500000,1.000000,4970,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1193,0
ex286,11,4096,0.500000,1.000000,5010,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,1245,0
ex286,12,4241,0.517700,0.999096,4412,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,1611,0
ex287,0,8023,0.489685,0.999693,10822,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2789,0
ex287,1,8053,0.491516,0.999792,10426,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2583,0
ex287,2,8192,0.500000,1.000000,9530,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,1297,0
ex287,3,8192,0.500000,1.000000,10426,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,1527,0
ex287,4,7975,0.486755,0.999494,9254,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2771,0
ex287,5,8037,0.490540,0.999742,9034,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2513,0
ex287,6,8192,0.500000,1.000000,10704,11,0:1:2:3:4:5:6:7:10:11:12,8,287,0
ex287,7,8192,0.500000,1.000000,10704,11,0:1:2:3:4:5:6:7:10:11:12,8,281,0
ex287,8,8361,0.510315,0.999693,9422,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2785,0
ex287,9,8331,0.508484,0.999792,9084,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2681,0
ex287,10,8192,0.500000,1.000000,9530,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,1343,0
ex287,11,8192,0.500000,1.000000,10426,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,1621,0
ex287,12,8409,0.513245,0.999494,10672,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2803,0
ex287,13,8347,0.509460,0.999742,10426,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,2579,0
ex288,0,16145,0.492706,0.999846,18736,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,6087,0
ex288,1,16384,0.500000,1.000000,19830,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,3133,0
ex288,2,16165,0.493317,0.999871,18782,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,4519,0
ex288,3,16384,0.500000,1.000000,19956,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,12,2065,0
ex288,4,16177,0.493683,0.999885,18340,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,5441,0
ex288,5,16384,0.500000,1.000000,19786,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,3295,0
ex288,6,16197,0.494293,0.999906,18802,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,4363,0
ex288,7,16384,0.500000,1.000000,21408,11,0:1:2:3:4:5:6:7:11:12:13,8,281,0
ex288,8,16623,0.507294,0.999846,18894,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,6057,0
ex288,9,16384,0.500000,1.000000,19830,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,3195,0
ex288,10,16603,0.506683,0.999871,18328,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,4505,0
ex288,11,16384,0.500000,1.000000,19956,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,12,2139,0
ex288,12,16591,0.506317,0.999885,18594,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,5435,0
ex288,13,16384,0.500000,1.000000,19786,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,3283,0
ex288,14,16571,0.505707,0.999906,18732,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,4339,0
ex289,0,32435,0.494919,0.999926,40618,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,7387,0
ex289,1,32675,0.498581,0.999994,40952,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,7315,0
ex289,2,32419,0.494675,0.999918,41230,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6027,0
ex289,3,32691,0.498825,0.999996,40832,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6817,0
ex289,4,32691,0.498825,0.999996,38610,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,8479,0
ex289,5,32419,0.494675,0.999918,38342,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,7413,0
ex289,6,32675,0.498581,0.999994,38630,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6305,0
ex289,7,32435,0.494919,0.999926,38770,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6239,0
ex289,8,33101,0.505081,0.999926,38770,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,7351,0
ex289,9,32861,0.501419,0.999994,38630,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,7257,0
ex289,10,33117,0.505325,0.999918,38342,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,5927,0
ex289,11,32845,0.501175,0.999996,38610,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6761,0
ex289,12,32845,0.501175,0.999996,40832,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,8421,0
ex289,13,33117,0.505325,0.999918,41230,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,7325,0
ex289,14,32861,0.501419,0.999994,40952,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6231,0
ex289,15,33101,0.505081,0.999926,40618,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16,6153,0
ex290,0,2579,0.629639,0.950949,2022,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1349,0
ex290,1,2543,0.620850,0.957440,1886,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1439,0
ex290,2,2540,0.620117,0.957959,1794,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1537,0
ex290,3,2502,0.610840,0.964255,1864,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1715,0
ex290,4,2503,0.611084,0.964096,1908,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1681,0
ex290,5,2580,0.629883,0.950762,1802,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1799,0
ex290,6,2632,0.642578,0.940522,1850,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1583,0
ex290,7,2723,0.664795,0.920156,1774,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1575,0
ex290,8,2593,0.633057,0.948296,1802,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1393,0
ex290,9,2496,0.609375,0.965202,1774,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1397,0
ex290,10,2630,0.642090,0.940935,1822,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1353,0
ex290,11,2736,0.667969,0.916988,1778,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1367,0
ex291,0,5370,0.655518,0.929044,3786,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2091,0
ex291,1,5064,0.618164,0.959328,3838,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2139,0
ex291,2,5170,0.631104,0.949821,3506,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2317,0
ex291,3,5236,0.639160,0.943378,3762,13,0:1:2:3:4:5:6:7:8:9:10:11:12,11,2677,0
ex291,4,5180,0.632324,0.948871,3816,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2973,0
ex291,5,5282,0.644775,0.938648,3544,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,3401,0
ex291,6,5206,0.635498,0.946357,3662,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,3357,0
ex291,7,5258,0.641846,0.941140,3732,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2731,0
ex291,8,5476,0.668457,0.916495,3462,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2395,0
ex291,9,5252,0.641113,0.941755,3510,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2093,0
ex291,10,4788,0.584473,0.979312,3970,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2181,0
ex291,11,5120,0.625000,0.954434,3766,13,0:1:2:3:4:5:6:7:8:9:10:11:12,11,2411,0
ex291,12,5462,0.666748,0.918214,3810,13,0:1:2:3:4:5:6:7:8:9:10:11:12,11,2149,0
ex292,0,10476,0.639404,0.943177,7732,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3157,0
ex292,1,10190,0.621948,0.956654,7868,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3583,0
ex292,2,10402,0.634888,0.946845,7392,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3463,0
ex292,3,10338,0.630981,0.949916,7340,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,4121,0
ex292,4,10418,0.635864,0.946063,7280,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,4345,0
ex292,5,10684,0.652100,0.932179,6934,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,5683,0
ex292,6,10478,0.639526,0.943076,7226,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,5219,0
ex292,7,10396,0.634521,0.947137,6962,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,4845,0
ex292,8,10430,0.636597,0.945472,7394,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3875,0
ex292,9,10380,0.633545,0.947911,7488,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3403,0
ex292,10,9940,0.606689,0.966903,7300,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3227,0
ex292,11,10546,0.643677,0.939589,6786,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,3571,0
ex292,12,10718,0.654175,0.930284,7152,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,11,3579,0
ex292,13,10324,0.630127,0.950575,7388,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,11,3623,0
ex293,0,20896,0.637695,0.944580,15392,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4749,0
ex293,1,20968,0.639893,0.942772,15534,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4783,0
ex293,2,21432,0.654053,0.930396,14688,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4715,0
ex293,3,21280,0.649414,0.934590,14120,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,5267,0
ex293,4,21024,0.641602,0.941346,14608,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,5563,0
ex293,5,21816,0.665771,0.919188,13980,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,6857,0
ex293,6,21520,0.656738,0.927906,14450,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,7929,0
ex293,7,21568,0.658203,0.926528,13666,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,7041,0
ex293,8,21376,0.652344,0.931957,14300,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,6499,0
ex293,9,21512,0.656494,0.928134,14774,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4895,0
ex293,10,21336,0.651123,0.933061,14012,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4543,0
ex293,11,21080,0.643311,0.939901,14058,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4533,0
ex293,12,20936,0.638916,0.943579,14740,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4683,0
ex293,13,20696,0.631592,0.949442,15040,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4781,0
ex293,14,20784,0.634277,0.947331,15180,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4537,0
ex294,0,42248,0.644653,0.938753,30398,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6227,0
ex294,1,41448,0.632446,0.948775,29328,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6421,0
ex294,2,42088,0.642212,0.940832,28132,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,5873,0
ex294,3,42512,0.648682,0.935240,28842,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6305,0
ex294,4,41648,0.635498,0.946357,28660,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6521,0
ex294,5,42504,0.648560,0.935348,27938,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,7867,0
ex294,6,43088,0.657471,0.927219,28442,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,9517,0
ex294,7,42056,0.641724,0.941243,28794,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,9519,0
ex294,8,42256,0.644775,0.938648,29390,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,8577,0
ex294,9,42184,0.643677,0.939589,29426,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,7775,0
ex294,10,43160,0.658569,0.926181,28120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6153,0
ex294,11,43608,0.665405,0.919552,30116,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6031,0
ex294,12,41896,0.639282,0.943277,28266,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,5785,0
ex294,13,41560,0.634155,0.947428,28138,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,5811,0
ex294,14,40880,0.623779,0.955329,30366,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,5791,0
ex294,15,42064,0.641846,0.941140,30164,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,12,6019,0
ex295,0,2031,0.495850,0.999950,2199,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1748,0
ex295,1,1926,0.470215,0.997439,2237,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1838,0
ex295,2,2031,0.495850,0.999950,1791,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1748,0
ex295,3,1926,0.470215,0.997439,1739,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1838,0
ex295,4,2031,0.495850,0.999950,1791,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1748,0
ex295,5,1926,0.470215,0.997439,1737,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1838,0
ex295,6,2031,0.495850,0.999950,1951,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1748,0
ex295,7,1926,0.470215,0.997439,1855,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1838,0
ex295,8,2031,0.495850,0.999950,2017,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1748,0
ex295,9,1926,0.470215,0.997439,1865,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1838,0
ex295,10,2031,0.495850,0.999950,2127,12,0:1:2:3:4:5:6:7:8:9:10:11,12,1748,0
ex295,11,1926,0.470215,0.997439,2073,12,0:1:2:3:4:5:6:7:8:9:10:11,11,1838,0
ex296,0,4190,0.511475,0.999620,4859,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,3072,0
ex296,1,3712,0.453125,0.993651,4851,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,3030,0
ex296,2,4002,0.488525,0.999620,2651,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2552,0
ex296,3,3756,0.458496,0.995024,2655,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2594,0
ex296,4,4048,0.494141,0.999901,2449,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2360,0
ex296,5,3770,0.460205,0.995426,2303,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2534,0
ex296,6,3855,0.470581,0.997501,2205,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,2468,0
ex296,7,3896,0.475586,0.998279,2147,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2450,0
ex296,8,3655,0.446167,0.991622,2241,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,2550,0
ex296,9,4303,0.525269,0.998157,1759,13,0:1:2:3:4:5:6:7:8:9:10:11:12,13,2328,0
ex296,10,4024,0.491211,0.999777,2785,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2760,0
ex296,11,4168,0.508789,0.999777,2799,13,0:1:2:3:4:5:6:7:8:9:10:11:12,12,2760,0
ex296,12,0,0.000000,0.000000,1,0,,0,0,1
ex297,0,8314,0.507446,0.999840,9011,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
ex297,1,7851,0.479187,0.998750,9203,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex297,2,8314,0.507446,0.999840,6775,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
ex297,3,7851,0.479187,0.998750,6583,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex297,4,8314,0.507446,0.999840,6797,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
ex297,5,7851,0.479187,0.998750,6495,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex297,6,8314,0.507446,0.999840,7265,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
