case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig.aig,1,1,1,97,31,3007,848,3.545991,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_interleave_lo_direct_synth_preset.aig,1,1,1,152,28,4256,848,5.018868,0,0,0.367,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.286,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_wreduce_abc_g_aig.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.287,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi2_bmsb_lo_direct_synth_preset.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.343,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct_abc_g_aig.aig,1,1,1,104,28,2912,848,3.433962,0,0,0.292,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_bmsb_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct_wreduce_abc_g_aig.aig,1,1,1,104,28,2912,848,3.433962,0,0,0.291,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi3_bmsb_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi3_bmsb_lo_direct_synth_preset.aig,1,1,1,101,28,2828,848,3.334906,0,0,0.344,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_lo_direct; flow=synth_preset
ex266,ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct_abc_g_aig.aig,1,1,1,155,28,4340,848,5.117925,0,0,0.298,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_lo_direct; flow=abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_bmsb_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct_wreduce_abc_g_aig.aig,1,1,1,155,28,4340,848,5.117925,0,0,0.301,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_lo_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct_synth_preset,unsigned low5_high5:a/b dbz=max,hybrid_bdd_hi4_bmsb_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/verilog/ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex266/aigs/ex266_udiv_hybrid_bdd_hi4_bmsb_lo_direct_synth_preset.aig,1,1,1,152,28,4256,848,5.018868,0,0,0.358,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_lo_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct_abc_g_aig.aig,1,1,1,134,44,5896,2651,2.224066,0,0,0.315,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,134,44,5896,2651,2.224066,0,0,0.316,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi1_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi1_interleave_lo_direct_synth_preset.aig,1,1,1,134,44,5896,2651,2.224066,0,0,0.372,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi1_interleave_lo_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct_abc_g_aig.aig,1,1,1,137,42,5754,2651,2.170502,0,0,0.317,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,137,42,5754,2651,2.170502,0,0,0.318,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_lo_direct_synth_preset.aig,1,1,1,136,43,5848,2651,2.205960,0,0,0.372,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_lo_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct_abc_g_aig.aig,1,1,1,158,43,6794,2651,2.562806,0,0,0.320,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,158,43,6794,2651,2.562806,0,0,0.325,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_lo_direct_synth_preset.aig,1,1,1,155,44,6820,2651,2.572614,0,0,0.387,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_lo_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_interleave_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct_abc_g_aig.aig,1,1,1,207,41,8487,2651,3.201433,0,0,0.337,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_interleave_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct_wreduce_abc_g_aig.aig,1,1,1,207,41,8487,2651,3.201433,0,0,0.342,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_interleave_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_lo_direct_synth_preset.aig,1,1,1,206,41,8446,2651,3.185968,0,0,0.401,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_lo_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_abc_g_aig.aig,1,1,1,136,42,5712,2651,2.154659,0,0,0.332,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_wreduce_abc_g_aig.aig,1,1,1,136,42,5712,2651,2.154659,0,0,0.317,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_bmsb_lo_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_hibdd_20260609_1010/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_bmsb_lo_direct_synth_preset.aig,1,1,1,136,42,5712,2651,2.154659,0,0,0.376,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_lo_direct; flow=synth_preset
