case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path
ex246,ex246_r69_product_selected_outputs_synth_preset_aig,"E5M2FN packed multiply, high byte times low byte","shared sign, exponent sum, significand product, zero/sat/exp/mant subfunctions",zero saturation exponent mantissa outputs,source-only diagnostic,519/25/12975,"ex246|E5M2FN packed multiply|selected-output product residual functions|shared sign, exponent sum, significand product, zero/sat/exp/mant subfunctions|selected_output_product_residuals|yosys_synth_preset_aig|official_evaluate|zero_sat_exp_mant",sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex246,ex246_r69_predecoded_product_zero_synth_preset_aig,"E5M2FN packed multiply, high byte times low byte",shared sig decode product and explicit zero bypass before product residual,full word product class with selected zero residual,source-only diagnostic,341/22/7502,ex246|E5M2FN packed multiply|predecoded product-zero selector around seed12 product class|shared sig decode product and explicit zero bypass before product residual|predecoded_product_zero|yosys_synth_preset_aig|official_evaluate|product_class_zero_bypass,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex247,ex247_r69_lowpat_boolean_synth_preset_aig,"E5M2FN packed division, low byte over high byte",known denominator boundary attributes with low_from_pat rewritten as small predicates,region mux with selected low-underflow residual,source-only diagnostic,352/24/8448,ex247|E5M2FN low-over-high division|boolean low-underflow residual subfunction|known denominator boundary attributes with low_from_pat rewritten as small predicates|lowpat_boolean_subfunction|yosys_synth_preset_aig|official_evaluate|region_mux_low_residual,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex247,ex247_r69_lowpat_boolean_assign_synth_preset_aig,"E5M2FN packed division, low byte over high byte","denominator boundary attributes, boolean low pattern, and direct selected region mux",selected zero sat low linear outputs,source-only diagnostic,361/27/9747,"ex247|E5M2FN low-over-high division|boolean low-underflow residual with direct region assignment|denominator boundary attributes, boolean low pattern, and direct selected region mux|lowpat_boolean_direct_region|yosys_synth_preset_aig|official_evaluate|direct_region_low_residual",sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex249,ex249_r69_split_gap_delta_synth_preset_aig,"E5M2FN packed hypot(abs(high), abs(low))",raw exponent max/min decode with active-gap selected residual tables,max-plus-delta selected by gap selector,source-only diagnostic,184/28/5152,ex249|E5M2FN packed hypot|gap0/gap1 split delta subfunctions|raw exponent max/min decode with active-gap selected residual tables|split_gap_delta_subfunctions|yosys_synth_preset_aig|official_evaluate|gap_selected_delta,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex249,ex249_r69_manual_sat_increment_synth_preset_aig,"E5M2FN packed hypot(abs(high), abs(low))",raw-exp active-gap delta table with hand exposed increment and saturation selector,max-plus-delta manual carry outputs,source-only diagnostic,165/28/4620,ex249|E5M2FN packed hypot|manual saturating increment over raw-exp threshold residual|raw-exp active-gap delta table with hand exposed increment and saturation selector|manual_sat_increment|yosys_synth_preset_aig|official_evaluate|max_plus_delta_manual_carry,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex244,ex244_r69_gapmask_delta_select,"E4M3FN packed hypot(abs(high), abs(low))",shared max/min effective exponent decode plus explicit gap0 gap1 gap2 delta selector,max-plus-delta selected by gap mask,source-only diagnostic,321/34/10914,ex244|E4M3FN packed hypot|gap-mask selected delta factoring|shared max/min effective exponent decode plus explicit gap0 gap1 gap2 delta selector|gapmask_delta_select|yosys_synth_preset_aig|official_evaluate|max_plus_delta_gapmask,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex246,ex246_r69_product_zero_select,"E5M2FN packed multiply, high byte times low byte",shared sign exponent sum sig-product product-zero and product_mag selector,product class with explicit zero bypass,source-only diagnostic,355/24/8520,ex246|E5M2FN packed multiply|explicit product-zero selected magnitude factoring|shared sign exponent sum sig-product product-zero and product_mag selector|product_zero_select|yosys_synth_preset_aig|official_evaluate|product_class_zero_bypass,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex247,ex247_r69_ternary_region_mux,"E5M2FN packed division, low byte over high byte",shared denominator-nested attrs plus direct priority ternary magnitude selector,selected zero sat low linear outputs,source-only diagnostic,379/26/9854,ex247|E5M2FN low-over-high division|ternary priority region mux factoring|shared denominator-nested attrs plus direct priority ternary magnitude selector|ternary_region_mux|yosys_synth_preset_aig|official_evaluate|direct_region_mux,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex249,ex249_r69_gap_split_delta_select,"E5M2FN packed hypot(abs(high), abs(low))",raw exponent max/min decode plus separate gap0 and gap1 delta selectors,max-plus-delta selected by split gap selector,source-only diagnostic,194/28/5432,ex249|E5M2FN packed hypot|gap-split delta selector factoring|raw exponent max/min decode plus separate gap0 and gap1 delta selectors|gap_split_delta_select|yosys_synth_preset_aig|official_evaluate|gap_selected_delta,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex244,ex244_r69_copyfact_gap_delta,"E4M3FN packed hypot(abs(high), abs(low))",shared max/min effective exponent decode plus named small-gap delta selector,max-plus-delta selected by named gap predicate,source-only diagnostic,328/37/12136,ex244|E4M3FN packed hypot|current-best copy-preserving gap-delta factoring|shared max/min effective exponent decode plus named small-gap delta selector|copyfact_gap_delta|yosys_synth_preset_aig|official_evaluate|max_plus_delta_named_gap,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex246,ex246_r69_copyfact_product_sign,"E5M2FN packed multiply, high byte times low byte",shared sign xor exponent sum sig-product and product_mag selector,product class with named mag selector,source-only diagnostic,355/24/8520,ex246|E5M2FN packed multiply|current-best copy-preserving product/sign factoring|shared sign xor exponent sum sig-product and product_mag selector|copyfact_product_sign|yosys_synth_preset_aig|official_evaluate|product_class_named_mag,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex247,ex247_r69_copyfact_region_select,"E5M2FN packed division, low byte over high byte",shared denominator-nested attrs plus named priority region selector,region mux with named selector,source-only diagnostic,367/24/8808,ex247|E5M2FN low-over-high division|current-best copy-preserving region-select factoring|shared denominator-nested attrs plus named priority region selector|copyfact_region_select|yosys_synth_preset_aig|official_evaluate|region_mux_named_select,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex249,ex249_r69_copyfact_active_delta,"E5M2FN packed hypot(abs(high), abs(low))",shared max/min raw-exp decode plus named active-gap saturation and delta-mag selectors,max-plus-delta selected by active-gap predicate,source-only diagnostic,191/30/5730,ex249|E5M2FN packed hypot|current-best copy-preserving active-delta factoring|shared max/min raw-exp decode plus named active-gap saturation and delta-mag selectors|copyfact_active_delta|yosys_synth_preset_aig|official_evaluate|max_plus_delta_named_active,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/shared_structure_report.csv,,,,,,
ex285,ex285_r69_copy_preserve_decision_tree,,,,,,,sub-unknown-source-r69,copy-preserving family; official non-improving baseline,,current source sanity row,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,copy-preserve current decision tree,decision-tree source copy,"local-rule screens, treefact replay, symcof, key-BDD",OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/logs/ex285_r69_copy_preserve_decision_tree.evaluate.py.log
ex285,ex285_r69_route_state_selected_residual,,,,,,,sub-unknown-source-r69,"selected_bits=(1,6,10); hi_bits=(11,10,9,8,3,2); line_count=819",,decision-tree base with exact selected output residuals over a new raw route-state split,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,hamming-weight routing-state selected residual,raw route-state selected-bit cofactor cubes,"local-rule screens, treefact replay, symcof, key-BDD",OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/logs/ex285_r69_route_state_selected_residual.evaluate.py.log
ex288,ex288_r69_copy_preserve_keybdd_selected,,,,,,,sub-unknown-source-r69,copy-preserving family; official non-improving baseline,,current source sanity row,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,copy-preserve current keybdd selected source,keybdd selected source copy,"local-rule screens, symcof replay as-is, key-BDD selected-cell replay",OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/logs/ex288_r69_copy_preserve_keybdd_selected.evaluate.py.log
ex288,ex288_r69_route_state_selected_residual,,,,,,,sub-unknown-source-r69,"selected_bits=(2,7); hi_bits=(14,13,12,11,10,3,2,1,0); line_count=3681",,current exact source with independently emitted selected residual bits over a raw route-state split,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,conservative routing selected-output residual,raw high-state selected-bit cofactor cubes,"local-rule screens, symcof replay as-is, key-BDD selected-cell replay",OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/logs/ex288_r69_route_state_selected_residual.evaluate.py.log
ex297,ex297_r69_copy_preserve_cell_cube_defaults,,,,,,,sub-unknown-source-r69,copy-preserving family; official non-improving baseline,,current source sanity row,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,copy-preserve r66 cell cube defaults,cell value cube default overrides,r66 cube-default as-is; r68 rot1 and selected-cell phase signatures,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/logs/ex297_r69_copy_preserve_cell_cube_defaults.evaluate.py.log
ex297,ex297_r69_output_plane_hybrid,,,,,,,sub-unknown-source-r69,"bit_source_bits=(1,2,4,5,7,8,10,11,13); line_count=26",,select output bits from cell-default or bit-default cube sources using a mod-3 bit-plane split,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,cyclic 2-bit source compression by mixed output planes,r66 cube-source output-plane hybrid,r66 cube-default as-is; r68 rot1 and selected-cell phase signatures,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/logs/ex297_r69_output_plane_hybrid.evaluate.py.log
ex299,ex299_r69_output_plane_hybrid,,,,,,,sub-unknown-source-r69,"bit_source_bits=(0,3,4,7,8,11,12,15); line_count=28",,select lane-edge output bits from bit-default cubes and middle cell bits from cell-default cubes,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/shared_structure_report.csv,unknown,cyclic 2-bit source compression by lane-edge output planes,r66 cube-source output-plane hybrid,r66 cube-default as-is; r68 rot1 and selected-cell phase signatures,OK,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex299/logs/ex299_r69_output_plane_hybrid.evaluate.py.log
