round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,outcome,failure_reason,reuse_policy,evidence_path,next_action,shard_csv,candidate_id,variant,blocker_evidence
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,round86 product exception DAG replay,shared sign xor exp_sum product roots and bit-level residual functions,ex241|E4M3FN packed multiply high byte times low byte|product-param formula with exact per-bit exception DAGs instead of full product table|shared sign xor exp_sum product roots exception flag and bit-level residual functions|repo_yosys_frontend_default|official_evaluate|full_word,blocked_prior_nonwinning,prior official OK ADP 30135 did not improve frontend or reference,,,checkpoint blocker evidence; replay is banned by assignment,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,round87 product round bucket DAG replay,shared sign xor exponent sum product class and round increment predicates,ex241|E4M3FN packed multiply high byte times low byte|product round bucket decision DAG|shared sign xor exponent sum product class and round increment predicates|repo_yosys_frontend_default|official_evaluate|full_word,blocked_prior_nonwinning,prior official OK ADP 23280 did not improve frontend or reference,,,checkpoint blocker evidence; replay is banned by assignment,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex245,float_fp8,E5M2FN packed add high byte plus low byte,round86 max-eff active DAG replay,shared sorted decode same-diff active roots and max-eff saturation predicates,ex245|E5M2FN packed add high byte plus low byte|max-effective-exponent split active-region DAG over small-gap class source|shared sorted decode same-diff active roots and max-eff saturation predicates|repo_yosys_frontend_default|official_evaluate|full_word,blocked_prior_nonwinning,prior official OK ADP 25270 did not improve frontend or reference,,,checkpoint blocker evidence; replay is banned by assignment,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex245,float_fp8,E5M2FN packed add high byte plus low byte,round87 active LZD bucket DAG replay,shared sorted E5M2 decode same-diff small-gap buckets and saturation predicates,ex245|E5M2FN packed add high byte plus low byte|active-region leading-one bucket decision DAG|shared sorted E5M2 decode same-diff small-gap buckets and saturation predicates|repo_yosys_frontend_default|official_evaluate|full_word,blocked_prior_nonwinning,prior official OK ADP 43523 did not improve frontend or reference,,,checkpoint blocker evidence; replay is banned by assignment,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex240,float_fp8,E4M3FN packed add high byte plus low byte,diff_residual_support_screen,semantic support clustering before RTL,ex240|E4M3FN packed add high byte plus low byte|diff_residual_support_screen|shared same-sign GRS shell plus bounded diff-sign residual candidates|repo_yosys_frontend_default|official_evaluate|semantic_support_clusters,BLOCKED_NO_CANDIDATE,compact diff-sign keys conflict without min_eff and exact keys remain table-sized,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp8-arith-r88/ex240/notes/high_level_dossier.md,round86 max-eff DAG and round87 diff-LZD are blocked; new screen must be smaller than exact min-eff residual table; same_active_gap_sig:rows=7527:keys=496:conflicts=288:cells=3826; same_active_gap_sig_eff:rows=7527:keys=3826:conflicts=0:cells=3826; diff_active_gap_sig:rows=7652:keys=496:conflicts=496:cells=7652; diff_active_gap_sig_eff:rows=7652:keys=3826:conflicts=3826:cells=7652,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,product_round_shared_predicate_screen,semantic support clustering before RTL,ex241|E4M3FN packed multiply high byte times low byte|product_round_shared_predicate_screen|shared sign xor exponent sum product class and compact increment predicates|repo_yosys_frontend_default|official_evaluate|semantic_support_clusters,BLOCKED_NO_CANDIDATE,product-only and shared predicate keys conflict while exact product-exp key is broad,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp8-arith-r88/ex241/notes/high_level_dossier.md,product-param formula still needs many product params plus exception rows; replaying round86 or round87 is nonwinning; product_only:rows=16129:keys=90:conflicts=78:cells=1236; product_exp_sum:rows=16129:keys=1675:conflicts=0:cells=1675,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-fp8-arith-r88,ex245,float_fp8,E5M2FN packed add high byte plus low byte,active_residual_support_screen,semantic support clustering before RTL,ex245|E5M2FN packed add high byte plus low byte|active_residual_support_screen|shared sorted E5M2 decode with same-sign and diff-sign residual clusters|repo_yosys_frontend_default|official_evaluate|semantic_support_clusters,BLOCKED_NO_CANDIDATE,small-gap active residuals require min_eff or full sorted-code support and are not bounded,,student/work/frontend_highlevel_factor_round88_20260613_2335/sub-fp8-arith-r88/ex245/notes/high_level_dossier.md,round86 max-eff active and round87 active-LZD DAGs are blocked as nonwinning; same_active_gap_sig:rows=3175:keys=90:conflicts=56:cells=1650; same_active_gap_sig_eff:rows=3175:keys=1650:conflicts=0:cells=1650; diff_active_gap_sig:rows=3300:keys=90:conflicts=90:cells=3300; diff_active_gap_sig_eff:rows=3300:keys=1650:conflicts=1650:cells=3300,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-arith-r88/failed_hypotheses.csv,,,
,,sub-fp8-range-r88,ex247,,E5M2FN packed low-over-high division,,,ex247|blocked_prior|round87_guarded_lowpat_and_den_step,blocked_prior_evidence,,,,do not repeat guarded lowpat/den-step unchanged,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,prior_r87_guard_blocker,round87 guarded lowpat and den-step residual DAG,round87 official OK nonwinning best 362/24/8688 versus frontend 317/23/7291 and reference 175/17/2975
,,sub-fp8-range-r88,ex246,,E5M2FN packed multiply,,,ex246|blocked_prior|round87_guarded_product_and_boundary,blocked_prior_evidence,,,,do not repeat guarded product/product-boundary unchanged,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,prior_r87_guard_blocker,round87 guarded product shell and product boundary DAG,round87 official OK nonwinning best 355/24/8520 versus frontend 328/21/6888 and reference 187/15/2805
,,sub-fp8-range-r88,ex244,,E4M3FN packed hypot abs high low,,,ex244|blocked_prior|round87_guarded_delta_and_gap2,blocked_prior_evidence,,,,do not repeat guarded delta/gap2 unchanged,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,prior_r87_guard_blocker,round87 guarded delta saturation and gap2 decision DAG,round87 official OK nonwinning best 325/36/11700 versus frontend 285/32/9120 and reference 356/12/4272
,,sub-fp8-range-r88,ex249,,E5M2FN packed hypot abs high low,,,ex249|blocked_prior|round87_guarded_activegap_and_sigbucket,blocked_prior_evidence,,,,do not repeat active-gap/sigbucket unchanged,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,prior_r87_guard_blocker,round87 guarded active-gap saturation and sigbucket DAG,round87 official OK nonwinning best 176/30/5280 versus frontend 167/26/4342 and reference 189/11/2079
,,sub-fp8-range-r88,ex247,,E5M2FN packed low-over-high division,,,ex247|round88_compactness_screen|field_pair_div_semantic|support_clusters_and_residual_counts|no_rtl_emitted|abc_xf_truth|descriptor_blocker,blocked_descriptor_not_compact,,,,no table-style RTL emitted; prior r84-r87 exact descriptors/guarded structures were official nonwinning,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,r88_field_pair_div_semantic_blocker,field_pair_div_semantic,exact=True;states=4446;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1
,,sub-fp8-range-r88,ex246,,E5M2FN packed multiply,,,ex246|round88_compactness_screen|product_range_no_subflags|support_clusters_and_residual_counts|no_rtl_emitted|abc_xf_truth|descriptor_blocker,blocked_descriptor_not_compact,,,,no table-style RTL emitted; prior r84-r87 exact descriptors/guarded structures were official nonwinning,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,r88_product_range_no_subflags_blocker,product_range_no_subflags,exact=True;states=2212;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1
,,sub-fp8-range-r88,ex244,,E4M3FN packed hypot abs high low,,,ex244|round88_compactness_screen|active_tail_only|support_clusters_and_residual_counts|no_rtl_emitted|abc_xf_truth|descriptor_blocker,blocked_descriptor_not_compact,,,,no table-style RTL emitted; prior r84-r87 exact descriptors/guarded structures were official nonwinning,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,r88_active_tail_only_blocker,active_tail_only,exact=True;states=2592;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1
,,sub-fp8-range-r88,ex249,,E5M2FN packed hypot abs high low,,,ex249|round88_compactness_screen|ordered_magnitude_pair|support_clusters_and_residual_counts|no_rtl_emitted|abc_xf_truth|descriptor_blocker,blocked_descriptor_not_compact,,,,no table-style RTL emitted; prior r84-r87 exact descriptors/guarded structures were official nonwinning,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-fp8-range-r88/failed_hypotheses.csv,r88_ordered_magnitude_pair_blocker,ordered_magnitude_pair,exact=True;states=8256;ambiguous_states=0;ambiguous_inputs=0;max_outputs_per_key=1
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex285,unknown,repeat round84 sorted-position descriptor,prior sorted-position route descriptor,none,ex285|hamming_weight_preserving_lossy_routing_normalizer|r84_sorted_position_descriptor_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r84 descriptors unchanged and prior official row was nonwinning,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_summaries/sub-unknown-route-r84.md,prior ADP 13736 versus frontend 11033 and current 9132,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex288,unknown,repeat round84 route descriptors,prior inverse edge middle lane descriptors,none,ex288|hamming_weight_preserving_lossy_routing_normalizer|r84_route_descriptor_replay|blocked_conflict_heavy|no_synth|prior_screen|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r84 descriptors unchanged and prior screens left conflict-heavy descriptors,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_summaries/sub-unknown-route-r84.md,prior conflict rows include 32557 and 30976,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex297,unknown,repeat round84 cyclic descriptor,full-ring local cell window or adjacency invariant,none,ex297|cyclic_2bit_symbol_full_ring_descriptor|r84_cyclic_descriptor_replay|blocked_table_sized_or_conflicted|no_synth|prior_screen|cell_pair_outputs,BLOCKED_NO_CANDIDATE,assignment excludes r84 descriptors unchanged and exact local window covers full 7-cell ring,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_summaries/sub-unknown-descriptor-r84.md,prior full-ring key count 16384; adjacency-mod3 had 5404 conflicting samples,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex299,unknown,repeat round84 cyclic descriptor,full-ring local cell window or adjacency invariant,none,ex299|cyclic_2bit_symbol_full_ring_descriptor|r84_cyclic_descriptor_replay|blocked_table_sized_or_conflicted|no_synth|prior_screen|cell_pair_outputs,BLOCKED_NO_CANDIDATE,assignment excludes r84 descriptors unchanged and exact local window covers full 8-cell ring,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_summaries/sub-unknown-descriptor-r84.md,prior full-ring key count 65536; best adjacency-mod3 had 104168 conflicting samples,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex285,unknown,repeat round85 source graft or keyBDD wrapper,selected-output grafts over current tree,selected bit roots only,ex285|hamming_weight_route_source_graft|r85_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r85 grafts/keyBDD unchanged and prior official rows were nonwinning,,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_summaries/sub-unknown-hybrid-r85.md,best r85 ADP 13668 versus frontend 11033 and current 9132,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex288,unknown,repeat round85 keyBDD graft,keyBDD loww2 edge or center bit grafts,selected bit roots only,ex288|hamming_weight_route_keybdd_graft|r85_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r85 grafts/keyBDD unchanged and prior official rows were nonwinning,,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_summaries/sub-unknown-hybrid-r85.md,best r85 ADP 31682 versus frontend 31598 and current 26224,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex297,unknown,repeat round85 output graft,pairsel pairxor or celllocal selected-bit grafts,selected cell roots only,ex297|cyclic_2bit_output_graft|r85_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|cell_pair_outputs,BLOCKED_NO_CANDIDATE,assignment excludes r85 grafts unchanged and prior official rows were nonwinning,,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_summaries/sub-unknown-hybrid-r85.md,best r85 ADP 425696 versus current/frontend 425024,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex285,unknown,repeat round86 natural learned DAG,natural-order learned decision graph,shared mux DAG,ex285|learned_multioutput_decision_graph|r86_natural_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r86 natural DAG unchanged and prior official row was far worse,,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_summaries/sub-unknown-root-r86.md,prior ADP 79743,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex288,unknown,repeat round86 natural learned DAG,natural-order learned decision graph,shared mux DAG,ex288|learned_multioutput_decision_graph|r86_natural_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r86 natural DAG unchanged and prior official row was far worse,,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_summaries/sub-unknown-root-r86.md,prior ADP 449098,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex297,unknown,repeat round86 natural cell-bit DAG,natural cell-bit learned decision graph,shared mux DAG,ex297|learned_multioutput_decision_graph|r86_natural_cell_bits_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|cell_pair_outputs,BLOCKED_NO_CANDIDATE,assignment excludes r86 natural DAG unchanged and prior official row was far worse,,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_summaries/sub-unknown-root-r86.md,prior ADP 719774,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex299,unknown,repeat round86 natural cell-bit DAG,natural cell-bit learned decision graph,shared mux DAG,ex299|learned_multioutput_decision_graph|r86_natural_cell_bits_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|cell_pair_outputs,BLOCKED_NO_CANDIDATE,assignment excludes r86 natural DAG unchanged and prior official row was far worse,,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_summaries/sub-unknown-root-r86.md,prior ADP 3082482,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex285,unknown,repeat round87 route-popcount or cofactor DAG,route-popcount descriptor graph or cofactor module reuse,popcount layer and route descriptors,ex285|hamming_weight_preserving_lossy_routing_normalizer|r87_route_popcount_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r87 route-popcount screens unchanged and prior official rows were far worse,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_summaries/sub-unknown-route-r87.md,prior ADPs 172480 and 708816,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
round88,frontend_highlevel_factor_round88_20260613_2335,sub-unknown-spectral-r88,ex288,unknown,repeat round87 route-popcount or cofactor DAG,route-popcount descriptor graph or cofactor module reuse,popcount layer and route descriptors,ex288|hamming_weight_preserving_lossy_routing_normalizer|r87_route_popcount_replay|blocked_prior_nonwinning|no_synth|prior_evaluate|full_word,BLOCKED_NO_CANDIDATE,assignment excludes r87 route-popcount screens unchanged and prior official rows were far worse,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_summaries/sub-unknown-route-r87.md,prior ADPs 1101772 and 6583115,,,,,,student/frontend_campaigns/campaigns/frontend_highlevel_factor_round88_20260613_2335/agent_shards/sub-unknown-spectral-r88/failed_hypotheses.csv,,,
