case,interval_start,interval_len,output_bits,notes
ex286,4,3,0:1:11,single contiguous input run
ex286,4,4,0:1:2:3,single contiguous input run
ex286,4,5,0:1:2:3:11,single contiguous input run
ex286,4,6,0:1:2:3:8:9,single contiguous input run
ex286,4,7,0:1:2:3:4:10:11,single contiguous input run
ex286,4,8,1:2:3:4:5:6:7:12,single contiguous input run
ex286,4,9,4:5:6:7:8:9:10:11:12,single contiguous input run
ex286,5,1,11,single contiguous input run
ex286,5,2,9:11,single contiguous input run
ex286,5,3,2:3:9,single contiguous input run
ex286,5,4,2:3:9:11,single contiguous input run
ex286,5,5,0:2:3:8:9,single contiguous input run
ex286,5,6,0:1:2:4:10:11,single contiguous input run
ex286,5,7,1:2:3:4:5:6:12,single contiguous input run
ex286,5,8,4:5:6:8:9:10:11:12,single contiguous input run
ex286,6,1,9,single contiguous input run
ex286,6,2,0:1,single contiguous input run
ex286,6,3,0:1:3,single contiguous input run
ex286,6,4,0:1:8:9,single contiguous input run
ex286,6,5,2:3:4:10:11,single contiguous input run
ex286,6,6,1:2:3:4:6:7,single contiguous input run
ex286,6,7,6:7:8:9:10:11:12,single contiguous input run
ex286,7,1,9,single contiguous input run
ex286,7,2,3:9,single contiguous input run
ex286,7,3,0:8:9,single contiguous input run
ex286,7,4,2:4:10:11,single contiguous input run
ex286,7,5,1:2:3:4:6,single contiguous input run
ex286,7,6,6:8:9:10:11:12,single contiguous input run
ex286,8,1,3,single contiguous input run
ex286,8,2,0:1,single contiguous input run
ex286,8,3,2:3:4,single contiguous input run
ex286,8,4,1:2:3:4,single contiguous input run
ex286,8,5,8:9:10:11:12,single contiguous input run
ex286,9,1,2,single contiguous input run
ex286,9,2,2:4,single contiguous input run
ex286,9,3,1:2:4,single contiguous input run
ex286,9,4,8:9:10:12,single contiguous input run
ex286,10,1,3,single contiguous input run
ex286,10,2,2:3,single contiguous input run
ex286,10,3,10:11:12,single contiguous input run
ex286,11,1,1,single contiguous input run
ex286,11,2,8:9,single contiguous input run
ex286,12,1,8,single contiguous input run
ex287,0,1,6,single contiguous input run
ex287,0,2,2:3,single contiguous input run
ex287,0,3,6:7:8,single contiguous input run
ex287,0,4,6:7:12:13,single contiguous input run
ex287,0,5,0:6:7:12:13,single contiguous input run
ex287,0,6,6:7:10:11:12:13,single contiguous input run
ex287,0,7,0:6:7:10:11:12:13,single contiguous input run
ex287,0,8,6:7:8:9:10:11:12:13,single contiguous input run
ex287,0,9,0:6:7:8:9:10:11:12:13,single contiguous input run
ex287,0,10,2:3:6:7:8:9:10:11:12:13,single contiguous input run
ex287,0,11,1:2:3:6:7:8:9:10:11:12:13,single contiguous input run
ex287,0,12,2:3:4:5:6:7:8:9:10:11:12:13,single contiguous input run
ex287,0,13,0:1:2:3:5:6:7:8:9:10:11:12:13,single contiguous input run
ex287,0,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,single contiguous input run
ex287,1,1,13,single contiguous input run
ex287,1,2,9:11,single contiguous input run
ex287,1,3,3:12:13,single contiguous input run
ex287,1,4,1:3:12:13,single contiguous input run
ex287,1,5,7:10:11:12:13,single contiguous input run
ex287,1,6,1:7:10:11:12:13,single contiguous input run
ex287,1,7,7:8:9:10:11:12:13,single contiguous input run
ex287,1,8,1:7:8:9:10:11:12:13,single contiguous input run
ex287,1,9,2:3:7:8:9:10:11:12:13,single contiguous input run
ex287,1,10,0:2:3:6:8:9:10:11:12:13,single contiguous input run
ex287,1,11,2:3:4:5:6:7:8:9:10:11:12,single contiguous input run
ex287,1,12,0:1:2:3:4:6:7:8:10:11:12:13,single contiguous input run
ex287,1,13,0:2:3:4:5:6:7:8:9:10:11:12:13,single contiguous input run
ex287,2,1,9,single contiguous input run
ex287,2,2,12:13,single contiguous input run
ex287,2,3,7:12:13,single contiguous input run
ex287,2,4,8:9:12:13,single contiguous input run
ex287,2,5,7:8:9:12:13,single contiguous input run
ex287,2,6,6:7:8:9:12:13,single contiguous input run
ex287,2,7,6:7:8:9:11:12:13,single contiguous input run
ex287,2,8,4:5:6:7:8:9:12:13,single contiguous input run
ex287,2,9,4:5:6:7:8:9:10:12:13,single contiguous input run
ex287,2,10,2:3:4:5:6:7:10:11:12:13,single contiguous input run
ex287,2,11,0:1:2:3:6:7:8:9:10:11:12,single contiguous input run
ex287,2,12,0:1:2:3:4:5:6:7:8:9:10:11,single contiguous input run
ex287,3,1,5,single contiguous input run
ex287,3,2,3:5,single contiguous input run
ex287,3,3,1:12:13,single contiguous input run
ex287,3,4,1:3:12:13,single contiguous input run
ex287,3,5,1:10:11:12:13,single contiguous input run
ex287,3,6,1:3:10:11:12:13,single contiguous input run
ex287,3,7,0:1:9:10:11:12:13,single contiguous input run
ex287,3,8,0:1:2:8:10:11:12:13,single contiguous input run
ex287,3,9,0:1:2:3:6:7:8:9:10,single contiguous input run
ex287,3,10,2:3:4:5:6:8:10:11:12:13,single contiguous input run
ex287,3,11,0:1:2:3:4:5:6:10:11:12:13,single contiguous input run
ex287,4,1,11,single contiguous input run
ex287,4,2,0:1,single contiguous input run
ex287,4,3,0:1:11,single contiguous input run
ex287,4,4,0:1:2:3,single contiguous input run
ex287,4,5,0:1:2:3:11,single contiguous input run
ex287,4,6,0:1:2:3:8:9,single contiguous input run
ex287,4,7,0:1:2:3:8:9:10,single contiguous input run
ex287,4,8,0:1:2:3:8:9:10:11,single contiguous input run
ex287,4,9,0:2:3:4:5:6:7:12:13,single contiguous input run
ex287,4,10,4:5:6:7:8:9:10:11:12:13,single contiguous input run
ex287,5,1,11,single contiguous input run
ex287,5,2,9:11,single contiguous input run
ex287,5,3,2:3:9,single contiguous input run
ex287,5,4,2:3:9:11,single contiguous input run
ex287,5,5,1:2:3:8:9,single contiguous input run
ex287,5,6,0:2:3:8:9:10,single contiguous input run
ex287,5,7,0:1:2:8:9:10:11,single contiguous input run
ex287,5,8,0:2:3:4:5:6:12:13,single contiguous input run
ex287,5,9,4:5:6:8:9:10:11:12:13,single contiguous input run
ex287,6,1,9,single contiguous input run
ex287,6,2,0:1,single contiguous input run
ex287,6,3,0:1:3,single contiguous input run
ex287,6,4,0:1:8:9,single contiguous input run
ex287,6,5,0:1:2:8:9,single contiguous input run
ex287,6,6,0:1:2:3:10:11,single contiguous input run
ex287,6,7,0:2:3:4:5:6:7,single contiguous input run
ex287,6,8,6:7:8:9:10:11:12:13,single contiguous input run
ex287,7,1,9,single contiguous input run
ex287,7,2,3:9,single contiguous input run
ex287,7,3,1:8:9,single contiguous input run
ex287,7,4,0:2:8:9,single contiguous input run
ex287,7,5,0:1:2:10:11,single contiguous input run
ex287,7,6,0:2:3:4:5:6,single contiguous input run
ex287,7,7,6:8:9:10:11:12:13,single contiguous input run
ex287,8,1,3,single contiguous input run
ex287,8,2,0:1,single contiguous input run
ex287,8,3,0:1:2,single contiguous input run
ex287,8,4,0:1:2:3,single contiguous input run
ex287,8,5,0:2:3:4:5,single contiguous input run
ex287,8,6,8:9:10:11:12:13,single contiguous input run
ex287,9,1,3,single contiguous input run
ex287,9,2,2:4,single contiguous input run
ex287,9,3,0:1:2,single contiguous input run
ex287,9,4,0:2:4:5,single contiguous input run
ex287,9,5,8:9:10:12:13,single contiguous input run
ex287,10,1,4,single contiguous input run
ex287,10,2,2:3,single contiguous input run
ex287,10,3,2:3:4,single contiguous input run
ex287,10,4,10:11:12:13,single contiguous input run
ex287,11,1,3,single contiguous input run
ex287,11,2,3:5,single contiguous input run
ex287,11,3,11:12:13,single contiguous input run
ex287,12,1,5,single contiguous input run
ex287,12,2,12:13,single contiguous input run
ex287,13,1,9,single contiguous input run
ex288,0,1,14,single contiguous input run
ex288,0,2,2:3,single contiguous input run
ex288,0,3,6:7:8,single contiguous input run
ex288,0,4,7:12:13:14,single contiguous input run
ex288,0,5,0:7:12:13:14,single contiguous input run
ex288,0,6,7:10:11:12:13:14,single contiguous input run
ex288,0,7,0:7:10:11:12:13:14,single contiguous input run
ex288,0,8,7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,9,0:7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,10,3:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,11,0:3:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,12,3:4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,13,1:3:4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,14,0:1:2:3:4:5:7:8:9:10:11:12:13:14,single contiguous input run
ex288,0,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,1,1,13,single contiguous input run
ex288,1,2,9:11,single contiguous input run
ex288,1,3,3:12:13,single contiguous input run
ex288,1,4,1:3:12:13,single contiguous input run
ex288,1,5,7:10:11:12:13,single contiguous input run
ex288,1,6,1:7:10:11:12:13,single contiguous input run
ex288,1,7,7:8:9:10:11:12:13,single contiguous input run
ex288,1,8,1:7:8:9:10:11:12:13,single contiguous input run
ex288,1,9,3:6:7:8:9:10:11:12:13,single contiguous input run
ex288,1,10,1:3:6:7:8:9:10:11:12:13,single contiguous input run
ex288,1,11,3:4:5:6:8:9:10:11:12:13:14,single contiguous input run
ex288,1,12,2:3:4:5:6:7:8:9:10:11:12:14,single contiguous input run
ex288,1,13,0:1:2:3:4:5:7:8:10:11:12:13:14,single contiguous input run
ex288,1,14,0:2:3:4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,2,1,9,single contiguous input run
ex288,2,2,12:13,single contiguous input run
ex288,2,3,7:12:13,single contiguous input run
ex288,2,4,8:9:12:13,single contiguous input run
ex288,2,5,7:8:9:12:13,single contiguous input run
ex288,2,6,7:8:9:12:13:14,single contiguous input run
ex288,2,7,7:8:9:11:12:13:14,single contiguous input run
ex288,2,8,4:5:7:8:9:12:13:14,single contiguous input run
ex288,2,9,4:5:7:8:9:11:12:13:14,single contiguous input run
ex288,2,10,4:5:6:7:8:9:11:12:13:14,single contiguous input run
ex288,2,11,3:4:5:6:7:8:10:11:12:13:14,single contiguous input run
ex288,2,12,0:1:2:3:6:7:8:9:10:11:13:14,single contiguous input run
ex288,2,13,0:1:2:3:4:5:6:7:8:9:10:11:14,single contiguous input run
ex288,3,1,5,single contiguous input run
ex288,3,2,3:5,single contiguous input run
ex288,3,3,1:12:13,single contiguous input run
ex288,3,4,1:3:12:13,single contiguous input run
ex288,3,5,1:10:11:12:13,single contiguous input run
ex288,3,6,1:3:10:11:12:13,single contiguous input run
ex288,3,7,0:1:9:10:11:12:13,single contiguous input run
ex288,3,8,0:1:3:9:10:11:12:13,single contiguous input run
ex288,3,9,0:1:2:3:8:10:11:12:13,single contiguous input run
ex288,3,10,0:1:2:3:7:8:9:10:12:14,single contiguous input run
ex288,3,11,2:3:4:5:6:9:10:11:12:13:14,single contiguous input run
ex288,3,12,0:1:2:3:4:5:6:10:11:12:13:14,single contiguous input run
ex288,4,1,11,single contiguous input run
ex288,4,2,0:1,single contiguous input run
ex288,4,3,0:1:11,single contiguous input run
ex288,4,4,0:1:2:3,single contiguous input run
ex288,4,5,0:1:2:3:11,single contiguous input run
ex288,4,6,0:1:2:3:8:9,single contiguous input run
ex288,4,7,0:1:2:3:8:9:11,single contiguous input run
ex288,4,8,0:1:2:3:8:9:10:11,single contiguous input run
ex288,4,9,0:1:2:3:4:8:9:10:11,single contiguous input run
ex288,4,10,1:2:3:4:5:6:7:12:13:14,single contiguous input run
ex288,4,11,4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,5,1,11,single contiguous input run
ex288,5,2,9:11,single contiguous input run
ex288,5,3,2:3:9,single contiguous input run
ex288,5,4,2:3:9:11,single contiguous input run
ex288,5,5,1:2:3:8:9,single contiguous input run
ex288,5,6,1:2:3:8:9:11,single contiguous input run
ex288,5,7,0:2:3:8:9:10:11,single contiguous input run
ex288,5,8,0:1:2:4:8:9:10:11,single contiguous input run
ex288,5,9,1:2:3:4:5:6:12:13:14,single contiguous input run
ex288,5,10,4:5:6:8:9:10:11:12:13:14,single contiguous input run
ex288,6,1,9,single contiguous input run
ex288,6,2,0:1,single contiguous input run
ex288,6,3,0:1:3,single contiguous input run
ex288,6,4,0:1:8:9,single contiguous input run
ex288,6,5,0:1:3:8:9,single contiguous input run
ex288,6,6,0:1:2:3:8:9,single contiguous input run
ex288,6,7,0:1:2:3:4:10:11,single contiguous input run
ex288,6,8,1:2:3:4:5:6:7:14,single contiguous input run
ex288,6,9,6:7:8:9:10:11:12:13:14,single contiguous input run
ex288,7,1,9,single contiguous input run
ex288,7,2,3:9,single contiguous input run
ex288,7,3,1:8:9,single contiguous input run
ex288,7,4,1:3:8:9,single contiguous input run
ex288,7,5,0:2:3:8:9,single contiguous input run
ex288,7,6,0:1:2:4:10:11,single contiguous input run
ex288,7,7,1:2:3:4:5:6:14,single contiguous input run
ex288,7,8,6:8:9:10:11:12:13:14,single contiguous input run
ex288,8,1,3,single contiguous input run
ex288,8,2,0:1,single contiguous input run
ex288,8,3,0:1:3,single contiguous input run
ex288,8,4,0:1:2:3,single contiguous input run
ex288,8,5,0:1:2:3:4,single contiguous input run
ex288,8,6,1:2:3:4:5:6,single contiguous input run
ex288,8,7,8:9:10:11:12:13:14,single contiguous input run
ex288,9,1,3,single contiguous input run
ex288,9,2,3:5,single contiguous input run
ex288,9,3,2:3:4,single contiguous input run
ex288,9,4,0:1:4:6,single contiguous input run
ex288,9,5,1:2:4:5:6,single contiguous input run
ex288,9,6,8:9:10:12:13:14,single contiguous input run
ex288,10,1,5,single contiguous input run
ex288,10,2,0:1,single contiguous input run
ex288,10,3,0:2:3,single contiguous input run
ex288,10,4,2:3:5:6,single contiguous input run
ex288,10,5,10:11:12:13:14,single contiguous input run
ex288,11,1,4,single contiguous input run
ex288,11,2,0:6,single contiguous input run
ex288,11,3,2:5:6,single contiguous input run
ex288,11,4,10:12:13:14,single contiguous input run
ex288,12,1,1,single contiguous input run
ex288,12,2,5:6,single contiguous input run
ex288,12,3,12:13:14,single contiguous input run
ex288,13,1,5,single contiguous input run
ex288,13,2,13:14,single contiguous input run
ex288,14,1,8,single contiguous input run
ex289,0,1,14,single contiguous input run
ex289,0,2,2:3,single contiguous input run
ex289,0,3,6:7:8,single contiguous input run
ex289,0,4,12:13:14:15,single contiguous input run
ex289,0,5,0:12:13:14:15,single contiguous input run
ex289,0,6,10:11:12:13:14:15,single contiguous input run
ex289,0,7,0:10:11:12:13:14:15,single contiguous input run
ex289,0,8,8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,9,0:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,10,6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,11,0:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,12,4:5:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,13,1:4:5:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,14,0:1:4:5:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,15,0:1:2:3:4:5:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,0,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,1,1,13,single contiguous input run
ex289,1,2,9:11,single contiguous input run
ex289,1,3,3:12:13,single contiguous input run
ex289,1,4,1:3:12:13,single contiguous input run
ex289,1,5,7:10:11:12:13,single contiguous input run
ex289,1,6,1:7:10:11:12:13,single contiguous input run
ex289,1,7,7:8:9:10:11:12:13,single contiguous input run
ex289,1,8,1:7:8:9:10:11:12:13,single contiguous input run
ex289,1,9,6:7:8:9:10:11:12:13:15,single contiguous input run
ex289,1,10,1:6:7:8:9:10:11:12:13:15,single contiguous input run
ex289,1,11,4:5:6:7:8:9:10:11:12:13:15,single contiguous input run
ex289,1,12,0:4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex289,1,13,0:1:4:5:6:7:8:9:10:11:12:14:15,single contiguous input run
ex289,1,14,0:1:2:3:4:5:6:8:10:11:12:13:14:15,single contiguous input run
ex289,1,15,0:2:3:4:5:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,2,1,9,single contiguous input run
ex289,2,2,12:13,single contiguous input run
ex289,2,3,7:12:13,single contiguous input run
ex289,2,4,8:9:12:13,single contiguous input run
ex289,2,5,7:8:9:12:13,single contiguous input run
ex289,2,6,8:9:12:13:14:15,single contiguous input run
ex289,2,7,8:9:11:12:13:14:15,single contiguous input run
ex289,2,8,4:5:8:9:12:13:14:15,single contiguous input run
ex289,2,9,4:5:8:9:11:12:13:14:15,single contiguous input run
ex289,2,10,4:5:6:7:8:9:12:13:14:15,single contiguous input run
ex289,2,11,4:5:6:7:8:9:10:12:13:14:15,single contiguous input run
ex289,2,12,2:3:4:5:6:7:10:11:12:13:14:15,single contiguous input run
ex289,2,13,0:1:2:3:6:7:8:9:10:11:12:14:15,single contiguous input run
ex289,2,14,0:1:2:3:4:5:6:7:8:9:10:11:14:15,single contiguous input run
ex289,3,1,5,single contiguous input run
ex289,3,2,3:5,single contiguous input run
ex289,3,3,1:12:13,single contiguous input run
ex289,3,4,1:3:12:13,single contiguous input run
ex289,3,5,1:10:11:12:13,single contiguous input run
ex289,3,6,1:10:11:12:13:15,single contiguous input run
ex289,3,7,0:1:9:10:11:12:13,single contiguous input run
ex289,3,8,0:1:9:10:11:12:13:15,single contiguous input run
ex289,3,9,0:1:2:3:9:10:11:12:13,single contiguous input run
ex289,3,10,0:1:2:3:8:10:11:12:13:14,single contiguous input run
ex289,3,11,0:1:2:3:6:7:8:9:10:14:15,single contiguous input run
ex289,3,12,2:3:4:5:6:7:8:10:11:12:13:14,single contiguous input run
ex289,3,13,0:1:2:3:4:5:6:10:11:12:13:14:15,single contiguous input run
ex289,4,1,11,single contiguous input run
ex289,4,2,0:1,single contiguous input run
ex289,4,3,0:1:11,single contiguous input run
ex289,4,4,0:1:2:3,single contiguous input run
ex289,4,5,0:1:2:3:7,single contiguous input run
ex289,4,6,0:1:2:3:8:9,single contiguous input run
ex289,4,7,0:1:2:3:7:8:9,single contiguous input run
ex289,4,8,0:1:2:3:8:9:10:11,single contiguous input run
ex289,4,9,0:1:2:3:6:8:9:10:11,single contiguous input run
ex289,4,10,0:1:2:3:6:7:8:9:10:11,single contiguous input run
ex289,4,11,0:2:3:4:5:6:7:12:13:14:15,single contiguous input run
ex289,4,12,4:5:6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,5,1,11,single contiguous input run
ex289,5,2,9:11,single contiguous input run
ex289,5,3,2:3:9,single contiguous input run
ex289,5,4,2:3:7:9,single contiguous input run
ex289,5,5,1:2:3:8:9,single contiguous input run
ex289,5,6,1:2:3:7:8:9,single contiguous input run
ex289,5,7,1:2:3:8:9:10:11,single contiguous input run
ex289,5,8,0:2:3:6:8:9:10:11,single contiguous input run
ex289,5,9,0:1:2:6:7:8:9:10:11,single contiguous input run
ex289,5,10,0:2:3:4:5:6:12:13:14:15,single contiguous input run
ex289,5,11,4:5:6:7:8:9:10:11:12:13:14,single contiguous input run
ex289,6,1,9,single contiguous input run
ex289,6,2,0:1,single contiguous input run
ex289,6,3,0:1:7,single contiguous input run
ex289,6,4,0:1:8:9,single contiguous input run
ex289,6,5,0:1:7:8:9,single contiguous input run
ex289,6,6,0:1:2:3:8:9,single contiguous input run
ex289,6,7,0:1:2:3:6:8:9,single contiguous input run
ex289,6,8,0:1:2:3:6:7:10:11,single contiguous input run
ex289,6,9,0:2:3:4:5:6:7:14:15,single contiguous input run
ex289,6,10,6:7:8:9:10:11:12:13:14:15,single contiguous input run
ex289,7,1,9,single contiguous input run
ex289,7,2,7:9,single contiguous input run
ex289,7,3,1:8:9,single contiguous input run
ex289,7,4,1:7:8:9,single contiguous input run
ex289,7,5,1:2:3:8:9,single contiguous input run
ex289,7,6,0:2:3:6:8:9,single contiguous input run
ex289,7,7,0:1:2:6:7:10:11,single contiguous input run
ex289,7,8,0:2:3:4:5:6:14:15,single contiguous input run
ex289,7,9,6:7:8:9:10:11:12:13:14,single contiguous input run
ex289,8,1,7,single contiguous input run
ex289,8,2,0:1,single contiguous input run
ex289,8,3,0:1:7,single contiguous input run
ex289,8,4,0:1:2:3,single contiguous input run
ex289,8,5,0:1:2:3:6,single contiguous input run
ex289,8,6,0:1:2:3:6:7,single contiguous input run
ex289,8,7,0:2:3:4:5:6:7,single contiguous input run
ex289,8,8,8:9:10:11:12:13:14:15,single contiguous input run
ex289,9,1,7,single contiguous input run
ex289,9,2,5:7,single contiguous input run
ex289,9,3,2:3:5,single contiguous input run
ex289,9,4,2:3:4:6,single contiguous input run
ex289,9,5,0:1:2:6:7,single contiguous input run
ex289,9,6,0:2:3:4:5:6,single contiguous input run
ex289,9,7,8:9:10:11:12:13:14,single contiguous input run
ex289,10,1,5,single contiguous input run
ex289,10,2,0:1,single contiguous input run
ex289,10,3,0:1:2,single contiguous input run
ex289,10,4,2:3:6:7,single contiguous input run
ex289,10,5,2:3:4:6:7,single contiguous input run
ex289,10,6,10:11:12:13:14:15,single contiguous input run
ex289,11,1,5,single contiguous input run
ex289,11,2,2:4,single contiguous input run
ex289,11,3,2:6:7,single contiguous input run
ex289,11,4,2:3:4:6,single contiguous input run
ex289,11,5,10:11:12:13:14,single contiguous input run
ex289,12,1,2,single contiguous input run
ex289,12,2,2:3,single contiguous input run
ex289,12,3,4:6:7,single contiguous input run
ex289,12,4,12:13:14:15,single contiguous input run
ex289,13,1,1,single contiguous input run
ex289,13,2,5:7,single contiguous input run
ex289,13,3,12:13:15,single contiguous input run
ex289,14,1,5,single contiguous input run
ex289,14,2,12:13,single contiguous input run
ex289,15,1,9,single contiguous input run
