case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,variant,official_output_dir,evaluate_log,verified_truth,reference_adp,beats_overall_current,shard_csv,domain,shared_structure,simulation_pass,method_signature_original
ex240,ex240_r68_bit_predicate_network,E4M3FN packed add,reduced per-output-bit predicate network,,,"ex240|E4M3FN packed add|reduced per-output-bit predicate network|shared sorted field decode with independent active-region bit predicates, no descriptor high/low split|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/verilog/ex240_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/aigs/ex240_r68_bit_predicate_network.aig,,1,10683,40,427320,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_bit_predicate_network.yosys.log; synth_sec=28.441; eval_sec=0.889,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex240/logs/ex240_r68_bit_predicate_network.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,"shared sorted field decode with independent active-region bit predicates, no descriptor high/low split",not_run,
ex241,ex241_r68_product_exception_formula,E4M3FN packed multiply,direct product exponent arithmetic with exception overlay,,,ex241|E4M3FN packed multiply|direct product exponent arithmetic with exception overlay|shared sign xor exponent-sum product and boundary predicates|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/verilog/ex241_r68_product_exception_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/aigs/ex241_r68_product_exception_formula.aig,,1,582,40,23280,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_product_exception_formula.yosys.log; synth_sec=0.733; eval_sec=0.499,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_product_exception_formula.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,shared sign xor exponent-sum product and boundary predicates,not_run,
ex241,ex241_r68_lowbit_overlay,E4M3FN packed multiply,selected low-bit cofactor overlay on nested product source,,,ex241|E4M3FN packed multiply|selected low-bit cofactor overlay on nested product source|preserve nested product high/sign decode; recompute low magnitude bits from product cofactors|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/verilog/ex241_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/aigs/ex241_r68_lowbit_overlay.aig,,1,819,35,28665,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_lowbit_overlay.yosys.log; synth_sec=2.183; eval_sec=0.498,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_lowbit_overlay.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,preserve nested product high/sign decode; recompute low magnitude bits from product cofactors,not_run,
ex241,ex241_r68_bit_predicate_network,E4M3FN packed multiply,reduced per-output-bit product predicate network,,,ex241|E4M3FN packed multiply|reduced per-output-bit product predicate network|shared exponent-sum product key with independent output-bit predicates|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/verilog/ex241_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/aigs/ex241_r68_bit_predicate_network.aig,,1,761,35,26635,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_bit_predicate_network.yosys.log; synth_sec=2.360; eval_sec=0.501,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_bit_predicate_network.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,shared exponent-sum product key with independent output-bit predicates,not_run,
ex242,ex242_r68_quotient_exception_formula,E4M3FN packed low-over-high division,direct quotient exponent arithmetic with bitwise boundary exceptions,,,ex242|E4M3FN packed low-over-high division|direct quotient exponent arithmetic with bitwise boundary exceptions|shared divisor special decode and exponent-delta quotient predicates|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/verilog/ex242_r68_quotient_exception_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/aigs/ex242_r68_quotient_exception_formula.aig,,1,1439,27,38853,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_quotient_exception_formula.yosys.log; synth_sec=1.898; eval_sec=0.510,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_quotient_exception_formula.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,shared divisor special decode and exponent-delta quotient predicates,not_run,
ex242,ex242_r68_lowbit_overlay,E4M3FN packed low-over-high division,selected low-bit cofactor overlay on sparse quotient source,,,ex242|E4M3FN packed low-over-high division|selected low-bit cofactor overlay on sparse quotient source|preserve sparse field-table high/sign decode; recompute low magnitude bits from quotient cofactors|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/verilog/ex242_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/aigs/ex242_r68_lowbit_overlay.aig,,1,1315,22,28930,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_lowbit_overlay.yosys.log; synth_sec=2.414; eval_sec=0.521,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_lowbit_overlay.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,preserve sparse field-table high/sign decode; recompute low magnitude bits from quotient cofactors,not_run,
ex242,ex242_r68_bit_predicate_network,E4M3FN packed low-over-high division,reduced per-output-bit quotient predicate network,,,ex242|E4M3FN packed low-over-high division|reduced per-output-bit quotient predicate network|shared exponent-delta quotient key with independent output-bit predicates|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/verilog/ex242_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/aigs/ex242_r68_bit_predicate_network.aig,,1,1309,20,26180,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_bit_predicate_network.yosys.log; synth_sec=2.826; eval_sec=0.505,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_bit_predicate_network.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,shared exponent-delta quotient key with independent output-bit predicates,not_run,
ex245,ex245_r68_gap_class_formula,E5M2FN packed add,direct small-gap field arithmetic with shared saturation predicates,,,ex245|E5M2FN packed add|direct small-gap field arithmetic with shared saturation predicates|shared sorted field decode plus gap/max/min significand class formulas|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/verilog/ex245_r68_gap_class_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/aigs/ex245_r68_gap_class_formula.aig,,1,734,35,25690,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_gap_class_formula.yosys.log; synth_sec=1.127; eval_sec=0.764,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_gap_class_formula.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,shared sorted field decode plus gap/max/min significand class formulas,not_run,
ex245,ex245_r68_lowbit_overlay,E5M2FN packed add,selected low-bit cofactor overlay on active-table source,,,ex245|E5M2FN packed add|selected low-bit cofactor overlay on active-table source|preserve active-table high/sign decode; recompute only low magnitude bits from same/diff cofactors|repo_yosys_frontend_default|official_evaluate|full_word,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/verilog/ex245_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/aigs/ex245_r68_lowbit_overlay.aig,,1,3755,37,138935,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_lowbit_overlay.yosys.log; synth_sec=7.421; eval_sec=0.764,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_lowbit_overlay.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,preserve active-table high/sign decode; recompute only low magnitude bits from same/diff cofactors,not_run,
ex245,ex245_r68_bit_predicate_network,E5M2FN packed add,reduced per-output-bit predicate network,,,"ex245|E5M2FN packed add|reduced per-output-bit predicate network|shared sorted field decode with independent active-region bit predicates, no descriptor high/low split|repo_yosys_frontend_default|official_evaluate|full_word",student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/verilog/ex245_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/aigs/ex245_r68_bit_predicate_network.aig,,1,6422,38,244036,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_bit_predicate_network.yosys.log; synth_sec=9.575; eval_sec=0.782,sub-fp8-mid-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_bit_predicate_network.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/candidates.csv,float_fp8,"shared sorted field decode with independent active-region bit predicates, no descriptor high/low split",not_run,
ex244,ex244_r68_maxcode_threshold_ranges_synth_preset_aig,E4M3FN packed hypot exact max/min code ranges,max-code threshold range decoder,,,ex244|E4M3FN packed hypot exact max/min code ranges|max-code threshold range decoder|shared abs max/min decode plus per-max min-code delta ranges|maxcode_threshold_ranges|yosys_synth_preset_aig|official_evaluate|max_plus_delta_ranges,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/verilog/ex244_r68_maxcode_threshold_ranges.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/aigs/ex244_r68_maxcode_threshold_ranges_synth_preset_aig.aig,,1,1632,36,58752,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/logs/ex244_r68_maxcode_threshold_ranges.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared abs max/min decode plus per-max min-code delta ranges,not_run,
ex244,ex244_r68_gap_sig_interval_bank_synth_preset_aig,E4M3FN packed hypot exact gap/significand interval bank,gap/significand interval decoder,,,ex244|E4M3FN packed hypot exact gap/significand interval bank|gap/significand interval decoder|shared max/min effective exponent and significand decode with min-sig intervals|gap_sig_interval_bank|yosys_synth_preset_aig|official_evaluate|max_plus_delta_intervals,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/verilog/ex244_r68_gap_sig_interval_bank.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/aigs/ex244_r68_gap_sig_interval_bank_synth_preset_aig.aig,,1,887,41,36367,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/logs/ex244_r68_gap_sig_interval_bank.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared max/min effective exponent and significand decode with min-sig intervals,not_run,
ex246,ex246_r68_exp_product_mag_table_synth_preset_aig,E5M2FN packed multiply exact exp-product magnitude table,exp-sum outer product-value table,,,ex246|E5M2FN packed multiply exact exp-product magnitude table|exp-sum outer product-value table|shared sign exponent/significand decode and direct exp-product magnitude rows|exp_product_mag_table|yosys_synth_preset_aig|official_evaluate|exp_major_product_output,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/verilog/ex246_r68_exp_product_mag_table.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/aigs/ex246_r68_exp_product_mag_table_synth_preset_aig.aig,,1,451,24,10824,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/logs/ex246_r68_exp_product_mag_table.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared sign exponent/significand decode and direct exp-product magnitude rows,not_run,
ex246,ex246_r68_product_interval_ranges_synth_preset_aig,E5M2FN packed multiply exact product interval ranges,product-major exp-sum interval ranges,,,ex246|E5M2FN packed multiply exact product interval ranges|product-major exp-sum interval ranges|shared product value with exp-sum range predicates per product|product_interval_ranges|yosys_synth_preset_aig|official_evaluate|product_major_range_output,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/verilog/ex246_r68_product_interval_ranges.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/aigs/ex246_r68_product_interval_ranges_synth_preset_aig.aig,,1,534,28,14952,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/logs/ex246_r68_product_interval_ranges.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared product value with exp-sum range predicates per product,not_run,
