case,agent_id,hypothesis,shared_structure,estimated_saved_logic,observed_qor,notes,domain,candidate_id,representation,shard_csv,structure,shared_nodes,output_bits,evidence,result,sharing_strategy,synth_flow,prior_low_value_signatures_avoided,status,evidence_path
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level compare gated BDD key and constant increment tail,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_field_key_gated_case_increment_abc_g_aig_raw,ex244_field_key_gated_case_increment + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,field-level compare gated BDD key and constant increment tail,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_field_key_gated_case_increment_synth_preset_raw,ex244_field_key_gated_case_increment + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current max-eff BDD source with unchanged delta network,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r66_current_split_outputs_default_raw,ex244_r66_current_split_outputs + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current max-eff BDD source with unchanged delta network,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r66_current_split_outputs_extra_share_raw,ex244_r66_current_split_outputs + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current max-eff BDD source with unchanged delta network,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r66_current_split_outputs_abc_g_aig_raw,ex244_r66_current_split_outputs + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current max-eff BDD source with unchanged delta network,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r66_current_split_outputs_synth_preset_raw,ex244_r66_current_split_outputs + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output splitting plus explicit shared delta/saturation predicates,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r66_selected_output_satfact_default_raw,ex244_r66_selected_output_satfact + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output splitting plus explicit shared delta/saturation predicates,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r66_selected_output_satfact_extra_share_raw,ex244_r66_selected_output_satfact + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output splitting plus explicit shared delta/saturation predicates,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r66_selected_output_satfact_abc_g_aig_raw,ex244_r66_selected_output_satfact + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output splitting plus explicit shared delta/saturation predicates,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r66_selected_output_satfact_synth_preset_raw,ex244_r66_selected_output_satfact + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-decoded common subexpressions, small-gap key gating, and factored saturation/output split",,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r66_branch_order_key_satfact_default_raw,ex244_r66_branch_order_key_satfact + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-decoded common subexpressions, small-gap key gating, and factored saturation/output split",,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r66_branch_order_key_satfact_extra_share_raw,ex244_r66_branch_order_key_satfact + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-decoded common subexpressions, small-gap key gating, and factored saturation/output split",,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r66_branch_order_key_satfact_abc_g_aig_raw,ex244_r66_branch_order_key_satfact + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex244,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-decoded common subexpressions, small-gap key gating, and factored saturation/output split",,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r66_branch_order_key_satfact_synth_preset_raw,ex244_r66_branch_order_key_satfact + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current raw-exp threshold source,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r66_current_split_outputs_default_raw,ex249_r66_current_split_outputs + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current raw-exp threshold source,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r66_current_split_outputs_extra_share_raw,ex249_r66_current_split_outputs + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current raw-exp threshold source,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r66_current_split_outputs_abc_g_aig_raw,ex249_r66_current_split_outputs + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,selected-output split of current raw-exp threshold source,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_r66_current_split_outputs_synth_preset_raw,ex249_r66_current_split_outputs + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"shared active-gap, split inc predicates, explicit saturation, reduced mux priority",,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r66_sat_delta_pred_factored_default_raw,ex249_r66_sat_delta_pred_factored + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"shared active-gap, split inc predicates, explicit saturation, reduced mux priority",,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r66_sat_delta_pred_factored_extra_share_raw,ex249_r66_sat_delta_pred_factored + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"shared active-gap, split inc predicates, explicit saturation, reduced mux priority",,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r66_sat_delta_pred_factored_abc_g_aig_raw,ex249_r66_sat_delta_pred_factored + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"shared active-gap, split inc predicates, explicit saturation, reduced mux priority",,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_r66_sat_delta_pred_factored_synth_preset_raw,ex249_r66_sat_delta_pred_factored + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap common subexpression with factored delta and saturation predicates,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r66_effgap_satfact_default_raw,ex249_r66_effgap_satfact + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap common subexpression with factored delta and saturation predicates,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r66_effgap_satfact_extra_share_raw,ex249_r66_effgap_satfact + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap common subexpression with factored delta and saturation predicates,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r66_effgap_satfact_abc_g_aig_raw,ex249_r66_effgap_satfact + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap common subexpression with factored delta and saturation predicates,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_r66_effgap_satfact_synth_preset_raw,ex249_r66_effgap_satfact + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-level compare, effective gap factoring, selected-output split, and saturation predicate factoring",,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r66_fieldcmp_effgap_satfact_default_raw,ex249_r66_fieldcmp_effgap_satfact + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-level compare, effective gap factoring, selected-output split, and saturation predicate factoring",,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r66_fieldcmp_effgap_satfact_extra_share_raw,ex249_r66_fieldcmp_effgap_satfact + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-level compare, effective gap factoring, selected-output split, and saturation predicate factoring",,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r66_fieldcmp_effgap_satfact_abc_g_aig_raw,ex249_r66_fieldcmp_effgap_satfact + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,"field-level compare, effective gap factoring, selected-output split, and saturation predicate factoring",,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_r66_fieldcmp_effgap_satfact_synth_preset_raw,ex249_r66_fieldcmp_effgap_satfact + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta table into shared inc1/inc2 predicates,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_split_delta_pred_default_raw,ex249_split_delta_pred + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta table into shared inc1/inc2 predicates,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_split_delta_pred_extra_share_raw,ex249_split_delta_pred + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta table into shared inc1/inc2 predicates,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_split_delta_pred_abc_g_aig_raw,ex249_split_delta_pred + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta table into shared inc1/inc2 predicates,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_split_delta_pred_synth_preset_raw,ex249_split_delta_pred + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta predicates and mux plus-one/plus-two carry paths,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_inc_mux_delta_pred_default_raw,ex249_inc_mux_delta_pred + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta predicates and mux plus-one/plus-two carry paths,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_inc_mux_delta_pred_extra_share_raw,ex249_inc_mux_delta_pred + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta predicates and mux plus-one/plus-two carry paths,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,ex249_inc_mux_delta_pred + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,split delta predicates and mux plus-one/plus-two carry paths,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_inc_mux_delta_pred_synth_preset_raw,ex249_inc_mux_delta_pred + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap with hand-written limited carry incrementer,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_effgap_direct_carry_default_raw,ex249_effgap_direct_carry + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap with hand-written limited carry incrementer,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_effgap_direct_carry_extra_share_raw,ex249_effgap_direct_carry + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap with hand-written limited carry incrementer,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_effgap_direct_carry_abc_g_aig_raw,ex249_effgap_direct_carry + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex249,sub-fp8-hypot-currentfact-r66,FP8 source predicate/table restructuring,effective exponent gap with hand-written limited carry incrementer,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_effgap_direct_carry_synth_preset_raw,ex249_effgap_direct_carry + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-hypot-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source factoring,"shared NaN, sign xor, sig3, effective exponent, product, and product_mag table",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r66_mul_current_decode_factored_default,current product table with explicit shared operand decode wires / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source factoring,"shared NaN, sign xor, sig3, effective exponent, product, and product_mag table",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r66_mul_current_decode_factored_synth_preset_aig,current product table with explicit shared operand decode wires / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source output grouping,shared product_mag result with separated NaN sign and magnitude output assignments,,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r66_mul_current_output_grouped_default,current product table with sign/magnitude output-bit grouping / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex246,sub-fp8-muldiv-currentfact-r66,E5M2FN multiply current product source output grouping,shared product_mag result with separated NaN sign and magnitude output assignments,,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex246_r66_mul_current_output_grouped_synth_preset_aig,current product table with sign/magnitude output-bit grouping / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex247,sub-fp8-muldiv-currentfact-r66,E5M2FN division current boundary source branch ordering,"shared denominator-nested attr table, delta, low-pattern decoder, and branch-priority magnitude mux",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r66_div_current_branch_ordered_default,current bound_attr table with explicit denominator/zero/sat/low priority expression / default,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
ex247,sub-fp8-muldiv-currentfact-r66,E5M2FN division current boundary source branch ordering,"shared denominator-nested attr table, delta, low-pattern decoder, and branch-priority magnitude mux",,,source-only RTL synthesis; no standalone ABC/AIG post-processing,float_fp8,ex247_r66_div_current_branch_ordered_synth_preset_aig,current bound_attr table with explicit denominator/zero/sat/low priority expression / synth_preset_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round66_20260613_1050/agent_shards/sub-fp8-muldiv-currentfact-r66/shared_structure_report.csv,,,,,,,,,,
