round,run_id,agent_id,case,domain,candidate_id,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_log,official_status,equivalent,area,delay,adp,reference_adp,current_adp,frontend_best_adp,notes,shard_csv,official_output_dir,runtime_sec,evaluate_status,status,output_dir
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex241,float_fp8,ex241_r73_cofactor_exp_product_dag,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex241/verilog/ex241_r73_cofactor_exp_product_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex241/aigs/ex241_r73_cofactor_exp_product_dag.aig,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex241/logs/ex241_r73_cofactor_exp_product_dag.evaluate.py.log,,,1,2906,40,116240,,,,family=shared_predicate_dag; elapsed_sec=8.38,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/evaluation_results.csv,,,,,
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex241,float_fp8,ex241_r73_selected_low_common_subfunc,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex241/verilog/ex241_r73_selected_low_common_subfunc.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex241/aigs/ex241_r73_selected_low_common_subfunc.aig,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex241/logs/ex241_r73_selected_low_common_subfunc.evaluate.py.log,,,1,1254,40,50160,,,,family=selected_output_common_subfunctions; elapsed_sec=7.73,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/evaluation_results.csv,,,,,
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex246,float_fp8,ex246_r73_cofactor_product_pred_dag,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex246/verilog/ex246_r73_cofactor_product_pred_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex246/aigs/ex246_r73_cofactor_product_pred_dag.aig,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex246/logs/ex246_r73_cofactor_product_pred_dag.evaluate.py.log,,,1,1593,32,50976,,,,family=shared_predicate_dag; elapsed_sec=3.86,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/evaluation_results.csv,,,,,
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex246,float_fp8,ex246_r73_selected_mant_common_subfunc,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex246/verilog/ex246_r73_selected_mant_common_subfunc.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex246/aigs/ex246_r73_selected_mant_common_subfunc.aig,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex246/logs/ex246_r73_selected_mant_common_subfunc.evaluate.py.log,,,1,630,28,17640,,,,family=selected_output_common_subfunctions; elapsed_sec=3.40,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/evaluation_results.csv,,,,,
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex247,float_fp8,ex247_r73_cofactor_delta_quot_dag,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex247/verilog/ex247_r73_cofactor_delta_quot_dag.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex247/aigs/ex247_r73_cofactor_delta_quot_dag.aig,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex247/logs/ex247_r73_cofactor_delta_quot_dag.evaluate.py.log,,,1,2741,31,84971,,,,family=shared_predicate_dag; elapsed_sec=8.52,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/evaluation_results.csv,,,,,
round73,frontend_source_parallel_round73_20260613_1404,sub-fp8-muldiv-r73,ex247,float_fp8,ex247_r73_selected_quot_hi_common_subfunc,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex247/verilog/ex247_r73_selected_quot_hi_common_subfunc.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex247/aigs/ex247_r73_selected_quot_hi_common_subfunc.aig,,student/work/frontend_source_parallel_round73_20260613_1404/sub-fp8-muldiv-r73/ex247/logs/ex247_r73_selected_quot_hi_common_subfunc.evaluate.py.log,,,1,960,27,25920,,,,family=selected_output_common_subfunctions; elapsed_sec=5.59,student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-fp8-muldiv-r73/evaluation_results.csv,,,,,
,,sub-unknown-r73,ex285,unknown,ex285_r73_twohot_direct_overlay,ex285|hamming-weight routing source boundary factoring|exact popcount-2 direct source overlay on current exact source|reuse current source for all rows and override only two-hot rows with direct truth outputs|yosys_internal_abc_g_aig|official_evaluate|ex285_r73_twohot_direct_overlay,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/verilog/ex285_r73_twohot_direct_overlay.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/aigs/ex285_r73_twohot_direct_overlay.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_twohot_direct_overlay.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_twohot_direct_overlay.evaluate.py.log,,,1,805,17,13685,,,,"round73 stats={'twohot_rows': 66, 'line_count': 82}; synth_sec=10.156; eval_sec=0.314",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,0.314,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/official_eval/ex285_r73_twohot_direct_overlay
,,sub-unknown-r73,ex285,unknown,ex285_r73_dualbit_outerkey_bdd,ex285|compact BDD cofactor by alternate outer key|two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key|one inner-node pool shared across selected outputs and all outer-key cofactors|yosys_internal_abc_g_aig|official_evaluate|ex285_r73_dualbit_outerkey_bdd,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/verilog/ex285_r73_dualbit_outerkey_bdd.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/aigs/ex285_r73_dualbit_outerkey_bdd.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_dualbit_outerkey_bdd.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/logs/ex285_r73_dualbit_outerkey_bdd.evaluate.py.log,,,1,1742,16,27872,,,,"round73 stats={'selected_bits': (2, 9), 'outer': (0, 11, 5, 6), 'inner': (1, 10, 2, 9, 3, 8, 4, 7), 'bdd_nodes': 634, 'line_count': 699}; synth_sec=11.183; eval_sec=0.280",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,0.280,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex285/official_eval/ex285_r73_dualbit_outerkey_bdd
,,sub-unknown-r73,ex288,unknown,ex288_r73_twohot_direct_overlay,ex288|hamming-weight routing source boundary factoring|exact popcount-2 direct source overlay on current exact source|reuse current source for all rows and override only two-hot rows with direct truth outputs|yosys_internal_abc_g_aig|official_evaluate|ex288_r73_twohot_direct_overlay,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/verilog/ex288_r73_twohot_direct_overlay.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/aigs/ex288_r73_twohot_direct_overlay.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/logs/ex288_r73_twohot_direct_overlay.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/logs/ex288_r73_twohot_direct_overlay.evaluate.py.log,,,1,2300,14,32200,,,,"round73 stats={'twohot_rows': 105, 'line_count': 121}; synth_sec=3.227; eval_sec=0.823",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,0.823,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/official_eval/ex288_r73_twohot_direct_overlay
,,sub-unknown-r73,ex288,unknown,ex288_r73_dualbit_outerkey_bdd,ex288|compact BDD cofactor by alternate outer key|two selected output roots emitted as shared inner ROBDD cofactors under a new raw outer key|one inner-node pool shared across selected outputs and all outer-key cofactors|yosys_internal_abc_g_aig|official_evaluate|ex288_r73_dualbit_outerkey_bdd,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/verilog/ex288_r73_dualbit_outerkey_bdd.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/aigs/ex288_r73_dualbit_outerkey_bdd.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/logs/ex288_r73_dualbit_outerkey_bdd.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/logs/ex288_r73_dualbit_outerkey_bdd.evaluate.py.log,,,1,3909,17,66453,,,,"round73 stats={'selected_bits': (5, 9), 'outer': (0, 14, 6, 7, 8), 'inner': (1, 13, 2, 12, 3, 11, 4, 10, 5, 9), 'bdd_nodes': 1194, 'line_count': 1294}; synth_sec=4.204; eval_sec=0.826",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,0.826,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex288/official_eval/ex288_r73_dualbit_outerkey_bdd
,,sub-unknown-r73,ex297,unknown,ex297_r73_sel1_fullword_overlay,ex297|bounded local selector wrapper for nonzero selector|selector-1 full-word inner cofactor table overlay on current exact source|reuse current source and replace only one nonzero selector branch without duplicating another whole source|yosys_internal_abc_g_aig|official_evaluate|ex297_r73_sel1_fullword_overlay,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/verilog/ex297_r73_sel1_fullword_overlay.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/aigs/ex297_r73_sel1_fullword_overlay.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/logs/ex297_r73_sel1_fullword_overlay.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/logs/ex297_r73_sel1_fullword_overlay.evaluate.py.log,,,1,26721,16,427536,,,,"round73 stats={'selector': 1, 'inner_rows': 128, 'line_count': 146}; synth_sec=31.042; eval_sec=1.041",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,1.041,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/official_eval/ex297_r73_sel1_fullword_overlay
,,sub-unknown-r73,ex297,unknown,ex297_r73_sel2_cluster_bdd,ex297|shared local identity/selector PO-cluster replacement|selector-2 selected output-cluster BDD overlay on current exact source|single inner BDD pool replaces only one 2-bit PO cluster under sel==2|yosys_internal_abc_g_aig|official_evaluate|ex297_r73_sel2_cluster_bdd,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/verilog/ex297_r73_sel2_cluster_bdd.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/aigs/ex297_r73_sel2_cluster_bdd.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/logs/ex297_r73_sel2_cluster_bdd.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/logs/ex297_r73_sel2_cluster_bdd.evaluate.py.log,,,1,26603,16,425648,,,,"round73 stats={'selector': 2, 'cluster_bits': (10, 11), 'bdd_nodes': 28, 'line_count': 51}; synth_sec=28.238; eval_sec=0.982",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,0.982,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex297/official_eval/ex297_r73_sel2_cluster_bdd
,,sub-unknown-r73,ex299,unknown,ex299_r73_sel1_fullword_overlay,ex299|bounded local selector wrapper for nonzero selector|selector-1 full-word inner cofactor table overlay on current exact source|reuse current source and replace only one nonzero selector branch without duplicating another whole source|yosys_internal_abc_g_aig|official_evaluate|ex299_r73_sel1_fullword_overlay,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/verilog/ex299_r73_sel1_fullword_overlay.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/aigs/ex299_r73_sel1_fullword_overlay.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/logs/ex299_r73_sel1_fullword_overlay.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/logs/ex299_r73_sel1_fullword_overlay.evaluate.py.log,,,1,98970,18,1781460,,,,"round73 stats={'selector': 1, 'inner_rows': 256, 'line_count': 274}; synth_sec=151.887; eval_sec=7.146",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,7.146,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/official_eval/ex299_r73_sel1_fullword_overlay
,,sub-unknown-r73,ex299,unknown,ex299_r73_sel2_cluster_bdd,ex299|shared local identity/selector PO-cluster replacement|selector-2 selected output-cluster BDD overlay on current exact source|single inner BDD pool replaces only one 2-bit PO cluster under sel==2|yosys_internal_abc_g_aig|official_evaluate|ex299_r73_sel2_cluster_bdd,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/verilog/ex299_r73_sel2_cluster_bdd.v,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/aigs/ex299_r73_sel2_cluster_bdd.aig,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/logs/ex299_r73_sel2_cluster_bdd.evaluate.py.log,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/logs/ex299_r73_sel2_cluster_bdd.evaluate.py.log,,,1,98767,18,1777806,,,,"round73 stats={'selector': 2, 'cluster_bits': (8, 9), 'bdd_nodes': 54, 'line_count': 79}; synth_sec=142.733; eval_sec=6.386",student/frontend_campaigns/campaigns/frontend_source_parallel_round73_20260613_1404/agent_shards/sub-unknown-r73/evaluation_results.csv,,6.386,OK,OK,student/work/frontend_source_parallel_round73_20260613_1404/sub-unknown-r73/ex299/official_eval/ex299_r73_sel2_cluster_bdd
