round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-root-r86,ex245,,truth_root_mining,25,0-7,active small-gap residual roots over sorted decode,,,,top_predicate=max_eff_ge30:bit3:score3888; top_monomial=max_eff_ge30:bit3:score3888; mixed_cofactors=40,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-root-r86/shared_structure_report.csv,"predicate roots, common monomials, selected output cofactors","active_any,cancel_zero,diff_active,diff_sign,diff_sigval_pow2,diff_sigval_zero,gap0,gap1,gap2,gap3,gap4,gap_ge4",selected expensive bits from entropy ranking,,,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex240,ex240_r86_maxeff_diff_dag,decision_dag_residual,,0-7,reduce selected high-cost residual decode without backend remap,661,46,30406,max_eff_hi diff_cancel_zero gap_far gap_mid5 diff_norm_or_gap roots,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/shared_structure_report.csv,max_eff_hi diff_cancel_zero gap_far gap_mid5 diff_norm_or_gap roots,"max_eff_hi,gap_far,gap_mid5,diff_cancel_zero",full_word,,,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex241,ex241_r86_product_bit_exception_dag,decision_dag_residual,,0-7,reduce selected high-cost residual decode without backend remap,735,41,30135,sign_xor exp_sum product param_table exc_flag exc_bit roots,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/shared_structure_report.csv,sign_xor exp_sum product param_table exc_flag exc_bit roots,"exp_sum,product,exc_flag,product_ge64,subnormal_region",product_active_bits,,,,
round86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-addmul-struct-r86,ex245,ex245_r86_maxeff_active_dag,decision_dag_residual,,0-7,reduce selected high-cost residual decode without backend remap,722,35,25270,use_active_table max_eff_ge30 active_hi active_lo active_mag roots,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-addmul-struct-r86/shared_structure_report.csv,use_active_table max_eff_ge30 active_hi active_lo active_mag roots,"active_any,max_eff_ge30,use_same_table,use_diff_table",full_word,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex247,r86_active_div_roots,planned_truth_root_bank,0,8,find smaller selected roots for active low-underflow quotient residual,,,,Checkpoint row only; no synthesis/evaluate yet.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,shared denominator/numerator sig decode plus exponent-delta and low-underflow predicates,,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex246,r86_product_roots,planned_truth_root_bank,0,8,find smaller product/rounding roots without product-code replay,,,,Checkpoint row only; no synthesis/evaluate yet.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,shared sign/exponent-sum/product predicates plus selected mantissa residual roots,,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex244,r86_hypot_delta_roots,planned_truth_root_bank,0,8,find smaller delta predicates or shorter max/min correction basis,,,,Checkpoint row only; no synthesis/evaluate yet.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,shared max/min effective exponent gap and selected delta roots,,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex249,r86_active_gap_roots,planned_truth_root_bank,0,8,find new small-support increment/saturation roots beyond r85 minimized predicates,,,,Checkpoint row only; no synthesis/evaluate yet.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,shared max/min decode plus gap0/gap1 increment roots,,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex247,ex247_r86_lowpat_lut_roots,truth_root_lut_bank,4,low underflow output bits,materially different active-region root basis from r84/r85 blocked families,373,23,8579,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"denominator/numerator sig decode, exponent delta, lowpat bit root LUTs",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex246,ex246_r86_product_output_roots,truth_root_output_bank,4,sign and magnitude field bits,materially different active-region root basis from r84/r85 blocked families,361,24,8664,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"sign, exponent-sum, product, zero/saturate/mag field roots",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex244,ex244_r86_delta_mux_roots,truth_root_delta_bank,4,delta correction and saturation bits,materially different active-region root basis from r84/r85 blocked families,439,36,15804,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,max/min effective exponent gap and delta-root increment mux,,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex249,ex249_r86_gap_split_root_funcs,truth_root_active_gap_bank,4,increment and saturation bits,materially different active-region root basis from r84/r85 blocked families,189,28,5292,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"max/min decode, gap0/gap1 roots, split increment functions",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex244,ex244_r86_struct_gap_threshold_dag,structural_rtl_decision_tree,4,hypot magnitude increment and saturation bits,materially different active-region root basis from r84/r85 blocked families,332,37,12284,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"max/min comparator, effective exponent gap, sig4 decoders, shared threshold blocks",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex246,ex246_r86_struct_product_threshold_dag,structural_rtl_decision_graph,4,"sign, zero, saturation, exponent and mantissa bits",materially different active-region root basis from r84/r85 blocked families,413,35,14455,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"sig3 decoders, product node, zero threshold, bias/mant decision nodes, low-edge table",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex247,ex247_r86_struct_sigpair_split_attr_dag,hierarchical_case_decomposition,4,"division sign, magnitude, low/saturation bits",materially different active-region root basis from r84/r85 blocked families,484,28,13552,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"sig3 pair key, split zero/sat/offset/mant subdecoders, shared low-edge table",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex249,ex249_r86_struct_gap_formula_dag,learned_decision_graph,4,active-gap increment and saturation bits,materially different active-region root basis from r84/r85 blocked families,174,36,6264,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"max/min comparator, sig3 decoders, effective exponent gap predicates, d2/d1 delta graph",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex244,ex244_r86_struct_gap_orbit_dag,learned_decision_graph,4,hypot delta bit predicates and saturation bits,materially different active-region root basis from r84/r85 blocked families,348,36,12528,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"max/min comparator, sig4 decoders, gap predicate, common orbit terms for delta bits",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex246,ex246_r86_struct_product_attr_dag,hierarchical_case_decomposition,4,multiply sign and magnitude region bits,materially different active-region root basis from r84/r85 blocked families,430,33,14190,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"sig3 decoders, product class, packed region attributes, shared low-edge table",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex247,ex247_r86_struct_sigpair_attr_dag,hierarchical_case_decomposition,4,"division sign, magnitude, low/saturation bits",materially different active-region root basis from r84/r85 blocked families,488,27,13176,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"sig3 pair key, packed quotient attributes, shared low-edge table and output mux",,active_region_roots,,,,
86,frontend_truthroot_parallel_round86_20260613_2221,sub-fp8-root-r86,ex249,ex249_r86_struct_gap_case_dag,hierarchical_case_decomposition,4,active-gap increment and saturation bits,materially different active-region root basis from r84/r85 blocked families,185,30,5550,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-fp8-root-r86/shared_structure_report.csv,"max/min comparator, sig3 decoders, effective exponent gap predicates, active-gap case delta decoder",,active_region_roots,,,,
,,sub-unknown-root-r86,ex285,ex285_r86_learned_dag_natural,,,,,,,,Materially new structural RTL family; no r84 descriptor table or r85 graft.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/shared_structure_report.csv,reduced shared mux DAG; order=natural; nodes=1785; leaves=903,,,,,learned_multioutput_decision_graph,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-unknown-root-r86/ex285/diagnostics/ex285_r86_decision_graph_order_screen.csv
,,sub-unknown-root-r86,ex288,ex288_r86_learned_dag_natural,,,,,,,,Materially new structural RTL family; no r84 descriptor table or r85 graft.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/shared_structure_report.csv,reduced shared mux DAG; order=natural; nodes=12048; leaves=6734,,,,,learned_multioutput_decision_graph,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-unknown-root-r86/ex288/diagnostics/ex288_r86_decision_graph_order_screen.csv
,,sub-unknown-root-r86,ex297,ex297_r86_learned_dag_natural_cell_bits,,,,,,,,Materially new structural RTL family; no r84 descriptor table or r85 graft.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/shared_structure_report.csv,reduced shared mux DAG; order=natural_cell_bits; nodes=13189; leaves=6660,,,,,learned_multioutput_decision_graph,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-unknown-root-r86/ex297/diagnostics/ex297_r86_decision_graph_order_screen.csv
,,sub-unknown-root-r86,ex299,ex299_r86_learned_dag_natural_cell_bits,,,,,,,,Materially new structural RTL family; no r84 descriptor table or r85 graft.,student/frontend_campaigns/campaigns/frontend_truthroot_parallel_round86_20260613_2221/agent_shards/sub-unknown-root-r86/shared_structure_report.csv,reduced shared mux DAG; order=natural_cell_bits; nodes=50329; leaves=24485,,,,,learned_multioutput_decision_graph,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-unknown-root-r86/ex299/diagnostics/ex299_r86_decision_graph_order_screen.csv
