case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex244,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex244|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|current_frontend_semantics|full_output,flow probe from ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex244/logs/ex244_resynth_abc_g_aig.yosys.log,312/37/11544,official evaluate.py status OK
ex240,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex240|current frontend best source|alternate synth mapping resynth_noabc_aigmap|reuse existing source shared decode|resynth_noabc_aigmap_evaluate.py|current_frontend_semantics|full_output,flow probe from ex240_semantic_add_same_grs_diff_param8_synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/logs/ex240_resynth_noabc_aigmap.yosys.log,1116/90/100440,official evaluate.py status OK
ex240,float_fp8,fp8-worst-r25,current semantic frontend source alternate mapping probe,current best source replay with materially different Yosys/AIG mapping flow,inherits source-level shared decode from current frontend best,ex240|current frontend best source|alternate synth mapping resynth_abc_g_aig|reuse existing source shared decode|resynth_abc_g_aig_evaluate.py|current_frontend_semantics|full_output,flow probe from ex240_semantic_add_same_grs_diff_param8_synth_preset_aig; yosys_log=student/work/ex240_ex299_frontend_gt2_round25_20260613_0531/fp8-worst-r25/ex240/logs/ex240_resynth_abc_g_aig.yosys.log,626/50/31300,official evaluate.py status OK
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k3_onehot_group,,,"pairs=4:5,6:7; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; classes=8; group_nodes=155:167:154:162:167:157:162:152; total_group_nodes=1276; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=61a58f588094"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k3_tree_group,,,"pairs=4:5,6:7; order=interleave; policy=f00; mux_style=tree; bdd_share=group; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; classes=8; group_nodes=155:167:154:162:167:157:162:152; total_group_nodes=1276; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=0927e8e07e7f"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k4_onehot_group,,,"pairs=4:5,6:7; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=100:103:87:89:103:94:89:87:81:78:84:87:78:82:87:90; total_group_nodes=1419; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=a4bc25203d27"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k4_tree_group,,,"pairs=4:5,6:7; order=interleave; policy=f00; mux_style=tree; bdd_share=group; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=100:103:87:89:103:94:89:87:81:78:84:87:78:82:87:90; total_group_nodes=1419; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=159daf90643e"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k5_onehot_group,,,"pairs=4:5,6:7; order=interleave; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; classes=32; group_nodes=60:56:51:48:56:45:48:43:38:42:37:45:42:48:45:52:50:53:44:47:53:57:47:51:47:42:51:48:42:38:48:42; total_group_nodes=1516; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=5f7311b5f601"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00_k5_tree_group,,,"pairs=4:5,6:7; order=interleave; policy=f00; mux_style=tree; bdd_share=group; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; classes=32; group_nodes=60:56:51:48:56:45:48:43:38:42:37:45:42:48:45:52:50:53:44:47:53:57:47:51:47:42:51:48:42:38:48:42; total_group_nodes=1516; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=7b81a25bda60"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k3_onehot_group,,,"pairs=4:5,6:7; order=interleave; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; classes=8; group_nodes=163:175:162:170:175:165:170:160; total_group_nodes=1340; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=b49131ad45d7"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k3_tree_group,,,"pairs=4:5,6:7; order=interleave; policy=f10; mux_style=tree; bdd_share=group; outer_bits=0:11:1; inner_bits=2:3:4:5:6:7:8:9:10; classes=8; group_nodes=163:175:162:170:175:165:170:160; total_group_nodes=1340; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=3614f71e1362"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k4_onehot_group,,,"pairs=4:5,6:7; order=interleave; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=108:111:95:97:111:102:97:95:89:85:92:94:85:89:94:97; total_group_nodes=1541; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=05dbf7babc58"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k4_tree_group,,,"pairs=4:5,6:7; order=interleave; policy=f10; mux_style=tree; bdd_share=group; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; classes=16; group_nodes=108:111:95:97:111:102:97:95:89:85:92:94:85:89:94:97; total_group_nodes=1541; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=83e09f4fb3b9"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k5_onehot_group,,,"pairs=4:5,6:7; order=interleave; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; classes=32; group_nodes=68:63:59:55:63:53:55:51:45:49:44:52:49:55:52:59:57:61:51:55:61:65:55:59:55:49:59:55:49:45:55:49; total_group_nodes=1752; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=1710fad0d582"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10_k5_tree_group,,,"pairs=4:5,6:7; order=interleave; policy=f10; mux_style=tree; bdd_share=group; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; classes=32; group_nodes=68:63:59:55:63:53:55:51:45:49:44:52:49:55:52:59:57:61:51:55:61:65:55:59:55:49:59:55:49:45:55:49; total_group_nodes=1752; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=608c534f50c3"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k3_onehot_group,,,"pairs=4:5,6:7; order=sym_first; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=4:5:6; inner_bits=0:1:2:3:7:8:9:10:11; classes=6; group_nodes=323:348:301:576:594:611; total_group_nodes=2753; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=e03f39e58226"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k3_tree_group,,,"pairs=4:5,6:7; order=sym_first; policy=f00; mux_style=tree; bdd_share=group; outer_bits=4:5:6; inner_bits=0:1:2:3:7:8:9:10:11; classes=6; group_nodes=323:348:301:576:594:611; total_group_nodes=2753; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=c82dc90fd276"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k4_onehot_group,,,"pairs=4:5,6:7; order=sym_first; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=4:5:6:7; inner_bits=0:1:2:3:8:9:10:11; classes=8; group_nodes=323:348:301:336:295:339:353:326; total_group_nodes=2621; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=18d9efc0ed3c"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k4_tree_group,,,"pairs=4:5,6:7; order=sym_first; policy=f00; mux_style=tree; bdd_share=group; outer_bits=4:5:6:7; inner_bits=0:1:2:3:8:9:10:11; classes=8; group_nodes=323:348:301:336:295:339:353:326; total_group_nodes=2621; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=913bd18daa89"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k5_onehot_group,,,"pairs=4:5,6:7; order=sym_first; policy=f00; mux_style=onehot; bdd_share=group; outer_bits=4:5:6:7:0; inner_bits=1:2:3:8:9:10:11; classes=16; group_nodes=219:235:215:223:197:235:226:224:218:230:216:233:198:227:237:221; total_group_nodes=3554; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=d362acb8cacd"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00_k5_tree_group,,,"pairs=4:5,6:7; order=sym_first; policy=f00; mux_style=tree; bdd_share=group; outer_bits=4:5:6:7:0; inner_bits=1:2:3:8:9:10:11; classes=16; group_nodes=219:235:215:223:197:235:226:224:218:230:216:233:198:227:237:221; total_group_nodes=3554; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=36f869330e7c"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10_k3_onehot_group,,,"pairs=4:5,6:7; order=sym_first; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=4:5:6; inner_bits=0:1:2:3:7:8:9:10:11; classes=6; group_nodes=608:587:570:576:594:611; total_group_nodes=3546; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=6ace37805355"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10_k3_tree_group,,,"pairs=4:5,6:7; order=sym_first; policy=f10; mux_style=tree; bdd_share=group; outer_bits=4:5:6; inner_bits=0:1:2:3:7:8:9:10:11; classes=6; group_nodes=608:587:570:576:594:611; total_group_nodes=3546; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=ee69fe4aeff3"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10_k4_onehot_group,,,"pairs=4:5,6:7; order=sym_first; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=4:5:6:7; inner_bits=0:1:2:3:8:9:10:11; classes=8; group_nodes=323:348:301:336:295:339:353:326; total_group_nodes=2621; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=1aa8e770ae04"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10_k4_tree_group,,,"pairs=4:5,6:7; order=sym_first; policy=f10; mux_style=tree; bdd_share=group; outer_bits=4:5:6:7; inner_bits=0:1:2:3:8:9:10:11; classes=8; group_nodes=323:348:301:336:295:339:353:326; total_group_nodes=2621; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=a0b6d139ae9a"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10_k5_onehot_group,,,"pairs=4:5,6:7; order=sym_first; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=4:5:6:7:0; inner_bits=1:2:3:8:9:10:11; classes=16; group_nodes=219:235:215:223:197:235:226:224:218:230:216:233:198:227:237:221; total_group_nodes=3554; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=c0c41a0eff4b"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_classonehot,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_classonehot|shared_two_pair_canonical_key_and_cofactor_bdds|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10_k5_tree_group,,,"pairs=4:5,6:7; order=sym_first; policy=f10; mux_style=tree; bdd_share=group; outer_bits=4:5:6:7:0; inner_bits=1:2:3:8:9:10:11; classes=16; group_nodes=219:235:215:223:197:235:226:224:218:230:216:233:198:227:237:221; total_group_nodes=3554; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; hash=86f96bb4bba0"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f00,,,"pairs=4:5,6:7; order=interleave; invalid_policy=f00; bdd_nodes=587; hash=11df58527047"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|interleave_f10,,,"pairs=4:5,6:7; order=interleave; invalid_policy=f10; bdd_nodes=595; hash=e7a9f4e54427"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|natural_f00,,,"pairs=4:5,6:7; order=natural; invalid_policy=f00; bdd_nodes=1916; hash=c48507ecee00"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|natural_f10,,,"pairs=4:5,6:7; order=natural; invalid_policy=f10; bdd_nodes=2492; hash=fca9b2d47393"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|reverse_f00,,,"pairs=4:5,6:7; order=reverse; invalid_policy=f00; bdd_nodes=1921; hash=7c5564bbbcb6"
