case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes
ex247,float_fp8,local-targeted,E5M2FN division low-over-high with boundary attr valid bit removed,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/notes/ex247_r24_bound_novalid_nested_default_and.md,official evaluate.py status OK; synth=default_and
ex246,float_fp8,local-targeted,E5M2FN multiply with unreachable product effective-map,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_seed12_default_aig.md,official evaluate.py status OK; synth=default_aig
ex246,float_fp8,local-targeted,E5M2FN multiply with unreachable product effective-map,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|synth_preset_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_seed12_synth_preset_and.md,official evaluate.py status OK; synth=synth_preset_and
ex246,float_fp8,local-targeted,E5M2FN multiply with unreachable product effective-map,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_seed12_synth_preset_aig.md,official evaluate.py status OK; synth=synth_preset_aig
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case effective product map,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_parallel_default_and.md,official evaluate.py status OK; synth=default_and
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case effective product map,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_parallel_default_aig.md,official evaluate.py status OK; synth=default_aig
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case effective product map,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|synth_preset_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_parallel_synth_preset_and.md,official evaluate.py status OK; synth=synth_preset_and
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case effective product map,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_effmap_parallel_synth_preset_aig.md,official evaluate.py status OK; synth=synth_preset_aig
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case seed12 product-class table,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|default_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_parallel_seed12_default_and.md,official evaluate.py status OK; synth=default_and
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case seed12 product-class table,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|default_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_parallel_seed12_default_aig.md,official evaluate.py status OK; synth=default_aig
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case seed12 product-class table,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|synth_preset_and,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_parallel_seed12_synth_preset_and.md,official evaluate.py status OK; synth=synth_preset_and
ex246,float_fp8,local-targeted,E5M2FN multiply with parallel-case seed12 product-class table,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/notes/ex246_r24_product_parallel_seed12_synth_preset_aig.md,official evaluate.py status OK; synth=synth_preset_aig
