case,domain,agent_id,hypothesis,method_signature,status,reason,verilog_path,evaluate_log,notes
ex286,unknown,routing-r4,fredkin_route_lossless,ex286|fredkin_route_lossless|r0|abc_blif_strash|official_evaluate,not_equivalent,official evaluate.py counterexample input 13'h0DFF output z 13'h1FFC versus 13'h0FF7,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex286/verilog/ex286_fredkin_route_lossless_r0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex286/logs/ex286_fredkin_route_lossless_r0.evaluate.log,not bucket SOP or synth-flow-only symcof
ex287,unknown,routing-r4,truth_rom_direct,ex287|truth_rom_direct|r0|abc_read_truth_xf|official_evaluate,equivalent_but_no_improvement,ADP 667616 worse than current frontend 27480,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex287/verilog/ex287_truth_rom_direct_r0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4/ex287/logs/ex287_truth_rom_direct_r0.evaluate.log,exact but too expensive; not a routing QoR direction
ex297,unknown,state-r4,truth_table_high_split_replay,ex297|truth_table_high_split_replay|high_split_default|official_evaluate,equivalent_but_bad_qor,ADP 694029 worse than current frontend 583596,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex297/verilog/ex297_state_r4_truth_high_split_replay.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex297/logs/ex297_state_r4_truth_high_split_replay.evaluate.log,do_not_repeat_as_is
ex299,unknown,state-r4,truth_table_direct_value_case_replay,ex299|truth_table_direct_value_case_replay|value_case|official_evaluate,equivalent_but_bad_qor,ADP 3529387 worse than current frontend 2604734,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex299/verilog/ex299_state_r4_value_case_replay.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4/ex299/logs/ex299_state_r4_value_case_replay.evaluate.log,do_not_repeat_as_is; not a compact state model
ex225,fp16,mixed-r4b,fp16_log10,ex225|fp16_log10_nested_mantissa_recheck|log_nested_low12_hi5|shared_special_sign_exp_decode_plus_nested_mantissa_lut|official_evaluate_py|abc_xf_official_evaluate|positive_normal_exp_group_nested_low12_hi5,equivalent_but_bad_qor,official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex225/verilog/ex225_log_nested_low12_hi5_mixedr4b_smoke0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex225/logs/ex225_log_nested_low12_hi5_mixedr4b_smoke0.evaluate.log,normalized from misplaced agent_shards/mixed-r4b row; official evaluate.py OK; candidate copied into mixed-r4b shard for replacement-worker smoke run; does not improve current frontend best
ex247,float_fp8,float-fp8-r4b,E5M2FN low-byte/high-byte division as direct exact magnitude-pair quotient representation,ex247|fp8_division_magpair_quotient_wordcase|direct_magpair_quotient_wordcase|no_shared_structure_large_wordcase|official_evaluate_py|abc_xf_official_evaluate|full_fp8_output,equivalent_but_bad_qor,official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/verilog/ex247_e5m2fn_div_magpair_quotient_wordcase.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/logs/ex247_e5m2fn_div_magpair_quotient_wordcase.official_evaluate.log,"normalized from run candidates.csv; official evaluate.py status OK; exact direct {num_mag,den_mag}->quotient magnitude wordcase; replacement worker first candidate"
ex286,unknown,routing-r4b,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|multipair_symcof_interleave_f11_k4|shared_pair_canonical_key_cofactor_groups|yosys_abc_g_and|abc_xf_official_evaluate|classonehot_grouped_outputs,equivalent_but_bad_qor,official evaluate.py ADP 23424 did not beat frontend best 21705,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex286/verilog/ex286_unknown_symcof_interleave_f11_k4_onehot_group.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex286/logs/ex286_unknown_symcof_interleave_f11_k4_onehot_group.evaluate.py.log,"single-candidate r4b replacement run; invalid pair-key completion f11; not bucket/SOP, not fredkin r0, not synth-flow-only symcof"
ex297,unknown,state-r4b,nonlinear_ring_shear_state_transform,ex297|nonlinear_ring_shear_state_transform|high_bit_quadratic_shear_bijective_key_case|shared nonlinear shear key with full case output|yosys_abc_g_aig|abc_xf_official_evaluate|full word case by transformed key,equivalent_but_bad_qor,official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4b/ex297/verilog/ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/state-r4b/ex297/logs/ex297_state_r4b_nonlinear_ring_shear_case_abc_g_aig.evaluate.log,normalized from misplaced agent_shards/state-r4b row; equivalent_but_bad_qor; nonlinear_high-bit_ring_shear_bijective_key_case; not_high_split_not_cell_delta_not_bdd_not_anf
ex287,unknown,routing-r4b,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|multipair_symcof_interleave_f11_k5_case|shared_pair_canonical_key_cofactor_groups|yosys_abc_g_and|abc_xf_official_evaluate|case_mux_grouped_outputs,equivalent_but_bad_qor,official evaluate.py ADP 29808 did not beat frontend best 27480,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex287/verilog/ex287_unknown_symcof_interleave_f11_k5_case_group.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/routing-r4b/ex287/logs/ex287_unknown_symcof_interleave_f11_k5_case_group.evaluate.py.log,"single-candidate r4b ex287 run; invalid pair-key completion f11 plus k5 case descriptor; not symcof k4 onehot, not bucket/SOP, not keybdd/tie, not synth-flow-only symcof"
ex247,float_fp8,float-fp8-r4b,E5M2FN low-byte/high-byte division as direct exact magnitude-pair quotient representation,ex247|fp8_e5m2fn_arithmetic_or_wordcase|magpair_quotient_wordcase|replacement_worker_float_r4b|official_evaluate_py|abc_xf_official_evaluate|full_fp8_output,equivalent_but_bad_qor,official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/verilog/ex247_e5m2fn_div_magpair_quotient_wordcase.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex247/logs/ex247_e5m2fn_div_magpair_quotient_wordcase.official_evaluate.log,"normalized from root agent_shards/float-fp8-r4b; official evaluate.py status OK; exact direct {num_mag,den_mag}->quotient magnitude wordcase; replacement worker first candidate"
ex246,float_fp8,float-fp8-r4b,E5M2FN packed multiply as decoded significand product followed by exact RNE product-to-FP8 normalization,ex246|fp8_e5m2fn_arithmetic_or_wordcase|arith_normalize_rne|replacement_worker_float_r4b|official_evaluate_py|abc_xf_official_evaluate|full_fp8_output,equivalent_but_bad_qor,official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex246/verilog/ex246_e5m2fn_mul_arith_normalize_rne.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/float-fp8-r4b/ex246/logs/ex246_e5m2fn_mul_arith_normalize_rne.official_evaluate.log,"normalized from root agent_shards/float-fp8-r4b; official evaluate.py status OK; arithmetic product normalizer, not direct wordcase"
ex223,fp16,mixed-r4b,fp16_log,ex223|fp16_log_nested_mantissa_recheck|log_nested_low13_hi5|shared_special_sign_exp_decode_plus_nested_mantissa_lut|official_evaluate_py|abc_xf_official_evaluate|positive_normal_exp_group_nested_low13_hi5,equivalent_but_bad_qor,official equivalent but worse than current frontend best,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex223/verilog/ex223_log_nested_low13_hi5_mixedr4b_smoke0.v,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705/mixed-r4b/ex223/logs/ex223_log_nested_low13_hi5_mixedr4b_smoke0.evaluate.log,official evaluate.py OK at 10754/19/204326 versus current frontend 204193; do not repeat unchanged
