case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex244,float_fp8,E4M3FN packed hypot,"ex244|E4M3FN packed hypot|sig-gap threshold runs with saturation cap|shared abs max/min decode, exponent gap, significand predicates, and threshold delta runs|yosys_abc_g_aig_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_runs",equivalent_low_value,ADP 11840 did not improve current frontend ADP 10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/aigs/ex244_sig_gap_threshold_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_abc_g_aig.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,source-level threshold representation distinct from round8 orbit bits and current max-eff BDD anchor replay
ex244,float_fp8,E4M3FN packed hypot,"ex244|E4M3FN packed hypot|sig-gap threshold runs with saturation cap|shared abs max/min decode, exponent gap, significand predicates, and threshold delta runs|yosys_default_official_evaluate|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_runs",equivalent_low_value,ADP 12284 did not improve current frontend ADP 10234,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/aigs/ex244_sig_gap_threshold_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex244/logs/ex244_sig_gap_threshold_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,source-level threshold representation distinct from round8 orbit bits and current max-eff BDD anchor replay
ex245,float_fp8,E5M2 packed add gap-class current source synth-flow replay,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_AND_D21|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 25690 versus current frontend 23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_AND_D21.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g AND -D 21`; avoids changing low-value source table
ex245,float_fp8,E5M2 packed add gap-class current source synth-flow replay,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D18|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 24446 versus current frontend 23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_aig_D18.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 18`; avoids changing low-value source table
ex245,float_fp8,E5M2 packed add gap-class current source synth-flow replay,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D21|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 24446 versus current frontend 23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_aig_D21.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 21`; avoids changing low-value source table
ex245,float_fp8,E5M2 packed add gap-class current source synth-flow replay,ex245|E5M2 packed add gap-class current source synth-flow replay|semantic_add_gap_class_current_source|shared_current_decode_region_logic|yosys_abc_g_aig|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 24446 versus current frontend 23834,student/work/ex245_frontend_fp8_e5m2_add_gap_class_fix_20260608_1705/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex245/logs/ex245_semantic_add_gap_class_abc_g_aig.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig`; avoids changing low-value source table
ex246,float_fp8,E5M2FN packed multiply,"ex246|E5M2FN packed multiply|reachable product-class formula|shared sign xor, exponent sum, reachable product classes, and boundary predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|reachable_product_class",equivalent_low_value,ADP 8119 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex246/aigs/ex246_product_possible_class_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex246/logs/ex246_product_possible_class_round9_abc_g_aig.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,different from round8 low-area seed228 and threshold-normalizer checks
ex246,float_fp8,E5M2FN packed multiply,"ex246|E5M2FN packed multiply|reachable product-class formula|shared sign xor, exponent sum, reachable product classes, and boundary predicates|yosys_default_official_evaluate|exact_e5m2fn_mul_high_times_low|reachable_product_class",equivalent_low_value,ADP 8165 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex246/aigs/ex246_product_possible_class_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex246/logs/ex246_product_possible_class_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,different from round8 low-area seed228 and threshold-normalizer checks
ex246,float_fp8,E5M2FN packed multiply,ex246|E5M2FN packed multiply|reduced semantic-key BDD ordered by exponent sum before product bits|shared exponent-sum/product semantic key feeding all output bits|yosys_default_official_evaluate|exact_e5m2fn_mul_high_times_low|semantic_key_bdd_exp_then_product,equivalent_low_value,ADP 10556 did not improve current frontend ADP 7502,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex246/aigs/ex246_key_bdd_exp_product_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex246/logs/ex246_key_bdd_exp_product_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"BDD-style source is a materially different multiply encoding, included as explore row"
ex247,float_fp8,E5M2FN packed low-over-high division,"ex247|E5M2FN packed low-over-high division|nonzero sigpair quotient class plus explicit denominator-zero rows|shared sign xor, exponent delta, nonzero quotient class, and denominator-zero saturation predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|nonzero_sigpair_with_denzero_rows",equivalent_low_value,ADP 10212 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_sigpair_possible_denzero_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_sigpair_possible_denzero_round9_abc_g_aig.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"source-level special-row factoring, not the round8 bound-region mux or extra-opt replay"
ex247,float_fp8,E5M2FN packed low-over-high division,"ex247|E5M2FN packed low-over-high division|nonzero sigpair quotient class plus explicit denominator-zero rows|shared sign xor, exponent delta, nonzero quotient class, and denominator-zero saturation predicates|yosys_default_official_evaluate|exact_e5m2fn_div_low_over_high|nonzero_sigpair_with_denzero_rows",equivalent_low_value,ADP 10258 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_sigpair_possible_denzero_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_sigpair_possible_denzero_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,"source-level special-row factoring, not the round8 bound-region mux or extra-opt replay"
ex247,float_fp8,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|numerator-first bound/smallpat classifier with case attributes|shared numerator-first boundary attributes and low-pattern reconstruction|yosys_abc_d18_official_evaluate|exact_e5m2fn_div_low_over_high|numerator_nested_bound_smallpat_parallel_case,equivalent_low_value,ADP 9500 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_bound_smallpat_nested_num_parallel_round9_abc_d18.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_bound_smallpat_nested_num_parallel_round9_abc_d18.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,materially different nesting from denominator-first round8 source and from round5 region mux replay
ex247,float_fp8,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|numerator-first bound/smallpat classifier with case attributes|shared numerator-first boundary attributes and low-pattern reconstruction|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|numerator_nested_bound_smallpat_parallel_case,equivalent_low_value,ADP 9400 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_bound_smallpat_nested_num_parallel_round9_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_bound_smallpat_nested_num_parallel_round9_abc_g_aig.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,materially different nesting from denominator-first round8 source and from round5 region mux replay
ex247,float_fp8,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|numerator-first bound/smallpat classifier with case attributes|shared numerator-first boundary attributes and low-pattern reconstruction|yosys_default_official_evaluate|exact_e5m2fn_div_low_over_high|numerator_nested_bound_smallpat_parallel_case,equivalent_low_value,ADP 9500 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_bound_smallpat_nested_num_parallel_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_bound_smallpat_nested_num_parallel_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,materially different nesting from denominator-first round8 source and from round5 region mux replay
ex247,float_fp8,E5M2FN packed low-over-high division,ex247|E5M2FN packed low-over-high division|reduced semantic-key BDD ordered by exponent delta before sigpair bits|shared exponent-delta/sigpair semantic key feeding all output bits|yosys_default_official_evaluate|exact_e5m2fn_div_low_over_high|semantic_key_bdd_delta_then_sigpair,equivalent_low_value,ADP 15290 did not improve current frontend ADP 8349,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/aigs/ex247_key_bdd_delta_sig_round9_default.aig,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/fp8-r9/ex247/logs/ex247_key_bdd_delta_sig_round9_default.official_evaluate.log,fp8-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,different hypothesis family from bound-smallpat/region mux factoring
ex249,float_fp8,E5M2 packed hypot threshold rawexp current source synth-flow replay,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_AND_D21|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 5730 versus current frontend 4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_AND_D21.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g AND -D 21`; avoids changing low-value source table
ex249,float_fp8,E5M2 packed hypot threshold rawexp current source synth-flow replay,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D18|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 5190 versus current frontend 4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D18.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 18`; avoids changing low-value source table
ex249,float_fp8,E5M2 packed hypot threshold rawexp current source synth-flow replay,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_aig_D21|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 5190 versus current frontend 4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_D21.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig -D 21`; avoids changing low-value source table
ex249,float_fp8,E5M2 packed hypot threshold rawexp current source synth-flow replay,ex249|E5M2 packed hypot threshold rawexp current source synth-flow replay|semantic_hypot_threshold_rawexp_current_source|shared_current_decode_region_logic|yosys_abc_g_aig|abc_xf_official_evaluate|full_output,equivalent_but_no_frontend_improvement,official ADP 5190 versus current frontend 4368,student/work/ex249_frontend_fp8_e5m2_hypot_rawexp_20260608_1712/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/coordinator-fp8-gap/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig.evaluate.py.log,coordinator-fp8-gap,ex200_ex299_frontend_refgap_round9_20260612_1855,official evaluate.py for current source with `abc -g aig`; avoids changing low-value source table
ex266,integer,unsigned low5_high5 division with dbz saturation,ex266|blocked_no_materially_different_round9_structure|prior_equivalent_nonwinning_families_cover_obvious_sources|no_synth|unsigned low5_high5 division with dbz saturation|blocked,BLOCKED_PRIOR_COVERAGE,"Prior and round8 rows cover cofactor word-mux, per-bit BDD, radix4 shift-subtract, and parallel threshold comparators; remaining work needs a new shallow quotient classifier, not another replay.",,,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,Recorded instead of replaying round8/prior source or synth-flow attempts.
ex270,integer,unsigned 8-bit square,ex270|blocked_no_materially_different_round9_structure|prior_equivalent_nonwinning_families_cover_obvious_sources|no_synth|unsigned 8-bit square|blocked,BLOCKED_PRIOR_COVERAGE,"Round8 already retested Wallace/csel5, Dadda, BDD-top, and factored compressors; prior notes reject selected mid/high BDDs and broad square decompositions without new final-carry sharing.",,,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,Recorded instead of replaying round8/prior source or synth-flow attempts.
ex274,integer,unsigned 16-bit square,ex274|blocked_no_materially_different_round9_structure|prior_equivalent_nonwinning_families_cover_obvious_sources|no_synth|unsigned 16-bit square|blocked,BLOCKED_PRIOR_COVERAGE,"Existing notes index many exact/non-winning top-BDD, comparator, Booth, block, factored-compressor, csel, and prefix variants; no new carry-sharing source was available in this shard.",,,mixed-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,Recorded instead of replaying round8/prior source or synth-flow attempts.
ex285,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,blocked_no_seed,"no Verilog emitted: component orientation encoding is exact (conflicts=0) but pair-count fields remain full-support (max_support=12, full_support_fields=8) and dominate BDD nodes (pair_count=560, orientation=32, raw=595)",student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round9_20260612_1855/agent_shards/routing-r9/diagnostics/component_pair_field/summary.csv,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex285/logs/ex285_component_pair_field_blocker.log,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,degree3_nullity=15; components=0:1:2:3:4:5; encoded_nodes=586; current_frontend_adp=13175; reference_adp=5499
ex286,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,blocked_no_seed,"no Verilog emitted: component orientation encoding is exact (conflicts=0) but pair-count fields remain full-support (max_support=13, full_support_fields=11) and dominate BDD nodes (pair_count=1179, orientation=335, raw=837)",student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round9_20260612_1855/agent_shards/routing-r9/diagnostics/component_pair_field/summary.csv,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex286/logs/ex286_component_pair_field_blocker.log,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,degree3_nullity=4; components=0:4;1:3:5;2; encoded_nodes=1417; current_frontend_adp=20190; reference_adp=2376
ex287,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,blocked_no_seed,"no Verilog emitted: component orientation encoding is exact (conflicts=0) but pair-count fields remain full-support (max_support=14, full_support_fields=12) and dominate BDD nodes (pair_count=998, orientation=35, raw=1088)",student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round9_20260612_1855/agent_shards/routing-r9/diagnostics/component_pair_field/summary.csv,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex287/logs/ex287_component_pair_field_blocker.log,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,degree3_nullity=21; components=0:1:2:3:4:5:6; encoded_nodes=1031; current_frontend_adp=27480; reference_adp=5782
ex288,unknown,hamming_weight_preserving_lossy_routing_normalizer,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_paircount_orientation_descriptor|fresh_degree3_image_constraints_plus_pair_field_split|no_synth|abc_xf_truth_diagnostic|adjacent_pair_count_fields,blocked_no_seed,"no Verilog emitted: component orientation encoding is exact (conflicts=0) but pair-count fields remain full-support (max_support=15, full_support_fields=15) and dominate BDD nodes (pair_count=2170, orientation=608, raw=1170)",student/frontend_campaigns/campaigns/ex200_ex299_frontend_refgap_round9_20260612_1855/agent_shards/routing-r9/diagnostics/component_pair_field/summary.csv,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855/routing-r9/ex288/logs/ex288_component_pair_field_blocker.log,routing-r9,ex200_ex299_frontend_refgap_round9_20260612_1855,degree3_nullity=3; components=0:4;1:5;2:6;3; encoded_nodes=2566; current_frontend_adp=31598; reference_adp=16394
