case,agent_id,candidate_id,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,notes
ex287,unknown-routing-r3,ex287_multipair_symcof_interleave_f00_k5_extra_share_abc_g_aig_d14,multipair_symcof_synthflow_extension,existing_shared_cofactor_groups,14,reduce delay on current multipair symcof source with delay-targeted AIG mapping,area=1832;delay=15;adp=27480,source=current multipair symcof interleave_f00_k5; flow=extra_share plus abc -g aig -D 14
ex246,float-fp8-r3,ex246_mul_product_base_bitcofactor_synth_preset_aig,shared rounding/saturation predicates with shallow output bit cofactors,"sig3 operands, product, exp_sum, zero_hi, sat_lo, base exponent/mantissa, per-bit exception keys",all 8 output bits,avoid another product-code don't-care completion while preserving compact exact rounding corrections,status=NOT_EQUIV area= delay= adp=,round3 ex246 bit-cofactor source; official evaluate.py log recorded
ex246,float-fp8-r3,ex246_mul_product_base_bitcofactor_subnormfix_synth_preset_aig,shared rounding/saturation predicates with shallow output bit cofactors,"sig3 operands, product, exp_sum, zero_hi, sat_lo, base exponent/mantissa, per-bit exception keys",all 8 output bits,avoid another product-code don't-care completion while preserving compact exact rounding corrections,status=OK area=389 delay=30 adp=11670,round3 ex246 bit-cofactor source; official evaluate.py log recorded
ex244,float-fp8-r3,ex244_hypot_maxeff_delta_bitcofactor_synth_preset_aig,shared range-class max-plus-delta with output bit cofactors,"maxc, minc, max_eff, gap, max_sig, min_sig, delta_bit0/1/2",all 8 output bits,test a non-BDD non-packed-threshold source for the ex244 delta bottleneck,status=OK area=715 delay=37 adp=26455,round3 ex244 delta-bit cofactor source; official evaluate.py log recorded
ex256,integer-r3,ex256_current_frontend_replay_yosys_abc_g_aig,unsigned multiplier shared partial-product CSA/CLA synth-flow variation,"partial-product rows, CSA residual rows, CLA propagate/generate terms",out[9:0],check whether abc -g aig improves current best mapping,"159/18/2862 equivalent, non-winning",does not repeat ex260 bias-product CSA; ex256 source unchanged but synth flow materially changed
ex223,unary-r3,ex223_selected_residual_low8_hi5_abc_g_aig,selected_bit_residual_predicate,special decode; positive-normal sign/exp decode; out[15:8] run-tree predicates; low8 nested LUT,out[15:0],move high output bits into shallow predicates while preserving exact low-bit table,10940/19/207860,"selected high-bit residual predicates over positive-normal semantic shell; positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=8; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24; b10:runs=58,max=11,const=20; b9:runs=82,max=19,const=16; b8:runs=125,max=34,const=9; runtime_sec=12.575"
ex200,unary-r3,ex200_selected_highbits_low12_hilo3_abc_g_aig,selected_highbit_residual_predicate,BF16 sign/exp decode; out[15:12] mantissa run predicates; low12 hi/lo LUT,out[15:0],avoid sparse residual defaults and isolate high output predicates for lower critical path,3895/15/58425,"selected high output-bit predicates over BF16 sign/exponent groups plus low nested LUT; low_width=12; hi_bits=3; lo_bits=4; const_groups=480; hi_groups=256; low_items=3601; b15:runs=512,max=1,const=512; b14:runs=514,max=2,const=510; b13:runs=516,max=2,const=508; b12:runs=520,max=2,const=504; runtime_sec=3.583"
ex299,unknown-state-r3,ex299_r3_cell_prefix_bridge_cofactorized_bdd_pair_outside_in_abc_g_aig,cell_prefix_bridge_cofactorized_bdd,86987,16,descriptor transform may reduce BDD sharing cost versus raw outside-in roots,area=147090; delay=36; adp=5295240,cell_prefix_bridge descriptor; pair outside-in order 0:1:14:15:2:3:12:13:4:5:10:11:6:7:8:9; shared BDD nodes 86987
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=161;delay=30;adp=4830;equivalent=1,coord_width=20; candidate_products=8164; unique_products=43; roots=29; selected_terms=49; linear_correction_bits=2; terms_by_bit=1:3:2:2:2:2:2:2:2:2:3:7:6:7:6; linear_factored=1; scheduler=greedy; pool_by_bit=small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots; hash_pending=1; exact Python model over 32768 rows; hash=f12ea272c7fd
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_wide_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_wide_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=163;delay=31;adp=5053;equivalent=1,coord_width=20; candidate_products=15208; unique_products=42; roots=28; selected_terms=47; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:2:3:7:4:5:8; linear_factored=1; scheduler=greedy; pool_by_bit=wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots; hash_pending=1; exact Python model over 32768 rows; hash=4e8f9c1c0a33
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_small_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=255;delay=33;adp=8415;equivalent=1,coord_width=21; candidate_products=8093; unique_products=57; roots=30; selected_terms=64; linear_correction_bits=1; terms_by_bit=1:3:2:2:2:2:2:2:2:4:3:4:8:9:9:9; linear_factored=1; scheduler=greedy; pool_by_bit=small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots:small_roots; hash_pending=1; exact Python model over 65536 rows; hash=819dcc5fa931
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_wide_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_wide_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=167;delay=36;adp=6012;equivalent=1,coord_width=21; candidate_products=16980; unique_products=44; roots=30; selected_terms=49; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:4:5:8; linear_factored=1; scheduler=greedy; pool_by_bit=wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots; hash_pending=1; exact Python model over 65536 rows; hash=768c9d7f6214
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_mixed_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_mixed_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=171;delay=31;adp=5301;equivalent=1,coord_width=20; candidate_products=23372; unique_products=40; roots=30; selected_terms=45; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:2:3:7:4:5:6; linear_factored=1; scheduler=greedy; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:wide:wide:small; hash_pending=1; exact Python model over 32768 rows; hash=3dead4e36cf7
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_mixed_roots_balanced_linfact_abc_g_aig,overlap_root_product_basis_mixed_roots,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=226;delay=30;adp=6780;equivalent=1,coord_width=21; candidate_products=25073; unique_products=45; roots=32; selected_terms=50; linear_correction_bits=2; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:4:5:9; linear_factored=1; scheduler=greedy; pool_by_bit=small:small:small:small:small:small:small:small:small:wide:wide:wide:wide:wide:wide:small; hash_pending=1; exact Python model over 65536 rows; hash=ac8d3428efcd
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,overlap_root_product_basis_wide_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=150;delay=30;adp=4500;equivalent=1,coord_width=20; candidate_products=15208; unique_products=27; roots=34; selected_terms=30; linear_correction_bits=15; terms_by_bit=1:1:1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots; hash_pending=1; exact Python model over 32768 rows; hash=2188ce312b49
ex284,unknown-gf2-r3,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,overlap_root_product_basis_wide_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=160;delay=34;adp=5440;equivalent=1,coord_width=21; candidate_products=16980; unique_products=28; roots=36; selected_terms=31; linear_correction_bits=16; terms_by_bit=1:1:1:1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots:wide_roots; hash_pending=1; exact Python model over 65536 rows; hash=0d94e1d82b38
ex249,float-fp8-r3,ex249_hypot_expclass_output_cofactor_synth_preset_aig,shared rounding/saturation predicate network with compact exponent-class output cofactors,"maxc, minc, max_eff, gap, max_sig, min_sig, final magnitude cofactor",all 8 output bits,avoid raw threshold-delta and max-plus-delta BDD families while keeping the gap>=2 passthrough,status=OK area=626 delay=37 adp=23162,round3 ex249 final-output cofactor source; official evaluate.py log recorded
ex241,float-fp8-r3,ex241_mul_product_threshold_split_synth_preset_aig,shallow common comparator tree split by special/normal/subnormal,"nan, zero, subnormal class, sig4 operands, product, exp_sum, product thresholds",all 8 output bits,avoid nested product tables and product-base/bit-exception overlays,status=NOT_EQUIV area= delay= adp=,round3 ex241 product-threshold comparator source; official evaluate.py log recorded
ex270,integer-r3,ex270_square_trirow_csa_compact_abc_g_and,square-specific partial products / compact CSA compressor,"28 cross terms generated once, 8 diagonal bits, 6 CSA stages",out[15:0],reduce square source rows without generic multiply,"254/25/6350 equivalent, non-winning",materially different from current carry-select Wallace replay; final add remains too deep
ex276,integer-r3,ex276_isqrt_restoring_state_sub_abc_g_and,restoring sqrt shared trial subtract/state,"five remainder states, five root states, five subtract-sign comparators",out[4:0],share trial subtract and comparator state across sqrt output bits,"99/25/2475 equivalent, non-winning",low area near current but serial recurrence delay is too high
ex277,integer-r3,ex277_isqrt_restoring_state_sub_abc_g_and,restoring sqrt shared trial subtract/state,"six remainder states, six root states, six subtract-sign comparators",out[5:0],share trial subtract and comparator state across sqrt output bits,"150/38/5700 equivalent, non-winning",area is lower than current but recurrence delay dominates ADP
ex260,integer-r3,ex260_baugh_rev_hcla4_yosys_abc_g_and,signed multiplier current Baugh-Wooley source / AND mapping flow,"signed partial products, Wallace compressor rows, hCLA propagate/generate terms",out[7:0],check whether AND mapping improves current AIG flow without repeating biased CSA,"114/13/1482 equivalent, non-winning",does not use smul_bias_product_csa_rows; exact flow should not be repeated as-is
ex224,unary-r3,ex224_semantic_clustered_corr_abc_g_aig,semantic_exponent_base_clustered_residual,log2 exponent base; corr128/corr256/corr512/corr1024 LUTs; exp14/15 near-one LUTs,out[15:0],factor log2 exponent base and share mantissa correction across exponent classes,5141/31/159371,"semantic exponent-base log2 clustered correction; shared correction LUTs: corr128,corr256,corr512,corr1024 plus exp14/15 near-one LUTs; runtime_sec=4.294"
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=128;delay=26;adp=3328;equivalent=1,coord_width=18; candidate_products=20318; unique_products=25; roots=30; selected_terms=28; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small; hash_pending=1; exact Python model over 8192 rows; hash=b15f5758694b
ex282,unknown-gf2-r3,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=144;delay=28;adp=4032;equivalent=1,coord_width=19; candidate_products=21632; unique_products=26; roots=32; selected_terms=29; linear_correction_bits=14; terms_by_bit=1:1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small:small; hash_pending=1; exact Python model over 16384 rows; hash=49153dad5926
ex283,unknown-gf2-r3,ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=159;delay=32;adp=5088;equivalent=1,coord_width=20; candidate_products=23372; unique_products=29; roots=33; selected_terms=31; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:1:1:2:5:5:4:5; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small:wide:small; hash_pending=1; exact Python model over 32768 rows; hash=f6a59476b2fe
ex281,unknown-gf2-r3,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig_d18,overlap_root_product_basis_mixed_roots_delaycap,shared_overlapping_linear_roots_with_factored_linear_corrections,all,reduce duplicated linear correction/root fanin,area=128;delay=26;adp=3328;equivalent=1,coord_width=18; candidate_products=20318; unique_products=25; roots=30; selected_terms=28; linear_correction_bits=13; terms_by_bit=1:1:1:1:1:1:1:1:2:4:4:4:6; linear_factored=1; scheduler=delay_capped; pool_by_bit=small:small:small:small:small:small:small:small:small:small:small:small:small; hash_pending=1; exact Python model over 8192 rows; hash=b15f5758694b
ex286,unknown-routing-r3,ex286_multipair_symcof_interleave_f00_k4_abc_g_aig_d14,multipair_symcof_synthflow_extension,existing_shared_cofactor_groups,13,test delay target on current multipair symcof source,area=1447;delay=15;adp=21705,source=current multipair symcof interleave_f00_k4; flow=abc -g aig -D 14
ex295,unknown-state-r3,ex295_r3_linearperm_bit_reverse_identity_outside_i6_abc_g_aig,linear_permutation_residual,3688,12,test whether a shallow linear/permutation base reduces residual table cost,area=8768; delay=18; adp=157824,descriptor=bit_reverse; base=identity; order=outside; inner=6; sparse_exceptions=3688
ex298,unknown-state-r3,ex298_r3_linearperm_bit_reverse_identity_natural_i7_abc_g_aig,linear_permutation_residual,30007,15,test whether a shallow linear/permutation base reduces residual table cost,area=36951; delay=21; adp=775971,descriptor=bit_reverse; base=identity; order=natural; inner=7; sparse_exceptions=30007
ex294,unknown-state-r3,ex294_r3_linearperm_rotr2_key_gray_natural_i8_abc_g_aig,linear_permutation_residual,64628,16,test whether a shallow linear/permutation base reduces residual table cost,area=39684; delay=21; adp=833364,descriptor=rotr2_key; base=gray; order=natural; inner=8; sparse_exceptions=64628
ex297,unknown-state-r3,ex297_r3_linearperm_bit_reverse_identity_outside_i7_abc_g_aig,linear_permutation_residual,15351,14,test whether a shallow linear/permutation base reduces residual table cost,area=32650; delay=21; adp=685650,descriptor=bit_reverse; base=identity; order=outside; inner=7; sparse_exceptions=15351
ex225,unary-r3,ex225_expbase_addres_low11_hi5_abc_g_aig,semantic_exponent_base_additive_residual,special decode; per-exponent semantic base; modular additive delta high-bit run trees; low nested delta LUT,out[15:0],factor FP16 log10 exponent contribution before compact mantissa correction,10105/48/485040,"semantic exponent-base additive modular residual normalizer; special_const_groups=33; special_full_groups=1; special_items=1057; base=mantissa_zero_output_per_positive_exponent; delta_low_width=11; nested_hi=5; nested_lo=5; low_items=30720; const_hi=0; delta_b15:runs=44,max=2,const=16; delta_b14:runs=44,max=2,const=16; delta_b13:runs=46,max=3,const=15; delta_b12:runs=49,max=4,const=15; delta_b11:runs=55,max=7,const=15; runtime_sec=12.408"
ex247,float-fp8-r3,ex247_div_roundsat_expclass_lowpattern_synth_preset_aig,shared rounding/saturation predicate network with compact exponent-class output cofactors,"sig3 operands, quotient_shift comparator tree, rounded_sig thresholds, zero_hi/sat_lo predicates, four low-underflow pattern classes",all 8 output bits,avoid the prior high-delay sigpair delta range-run table while sharing rounding and saturation logic across all bits,status=OK area=374 delay=31 adp=11594,round3 ex247 round/sat predicate source; official evaluate.py log recorded
ex295,unknown-state-r3,ex295_r3_shared_cell3_transition_base_residual_i6_abc_g_aig,shared_cell_local_transition_residual,64+3794,12,replace repeated output-cell logic with one shared local transition table,area=8836; delay=18; adp=159048,shared 3-cell 2-bit transition table entries=64; residual outer groups=64; sparse_exceptions=3794
ex224,unary-r3,ex224_expclass_wordbdd_msb_abc_g_aig,exponent_class_wordbdd_cofactor,sign_exp cofactor; per-class word-valued BDD over mantissa bits,out[15:0],keep exact log2 truth while reducing mux depth through mantissa BDD cofactors,6296/20/125920,exact word MTBDD cofactored by sign_exp; mant_order=msb_to_lsb; const_groups=33; variable_groups=31; total_nodes=17210; max_nodes_per_group=1023; runtime_sec=18.882
ex285,unknown-routing-r3,ex285_controlled_routing_symcof_f00_k4_case_global_abc_g_aig_d14,controlled_routing_symcof_case_global,shared_pair_canonical_key_case_global,12,test compact controlled-routing descriptor with delay-targeted AIG mapping,area=1031;delay=14;adp=14434,compact controlled-routing symcof case-global descriptor; flow=abc -g aig -D 14
ex298,unknown-state-r3,ex298_r3_linearperm_gray_identity_natural_i7_abc_g_aig,linear_permutation_residual,30032,15,test whether a shallow linear/permutation base reduces residual table cost,area=33009; delay=24; adp=792216,descriptor=gray; base=identity; order=natural; inner=7; sparse_exceptions=30032
ex249,float-fp8-r3,ex249_hypot_sqscore_threshold_tree_synth_preset_aig,exact shared exponent-class comparator tree,"maxc, minc, smax/smin, emax/emin, gap0/gap1, sq3, score, raise1/raise2 thresholds",all 8 output bits,avoid final-output cofactor and max-plus-delta table families by deriving the correction from shared score comparators,status=OK area=281 delay=47 adp=13207,round3 ex249 squared-score threshold source; official evaluate.py log recorded
ex277,integer-r3,ex277_isqrt_restoring_tapered_state_sub_abc_g_and,restoring sqrt tapered trial subtract/state,"six tapered remainder states, six root states, six subtract-sign comparators",out[5:0],reduce fixed-wide subtractor area while sharing recurrence state,"152/38/5776 equivalent, non-winning",materially different from fixed-wide restoring_state_sub; delay still dominates
ex204,unary-r3,ex204_arithbase_delta_hilo4_add_abc_g_aig,compact_semantic_exp_mant_delta,sign_exp cofactor; mantissa-high base; low mantissa additive delta,out[15:0],use a semantic log2 exponent/mantissa base with shorter low-mantissa residual decode,2127/37/78699,compact BF16 log2 semantic exponent/mantissa additive base-delta; base_delta hi_lo split hi_bits=4 op=add items=8298; runtime_sec=5.078
ex294,unknown-state-r3,ex294_r3_anf_deg2_sharedpool_residual_i8_abc_g_aig,anf_shared_monomial_pool_residual,114+64665,16,share low-degree algebraic terms before exact residual correction,area=136593; delay=23; adp=3141639,degree<=2 ANF pool terms=114; output term refs=383; residual outer groups=256; sparse_exceptions=64665
ex241,float-fp8-r3,ex241_mul_sns_shifted_quant_synth_preset_aig,compact shared exponent-class comparator/special-normal-subnormal split,"nan, zero/subnormal/normal class wires, sig4 operands, exp_sum, shifted_product, quant_div512_mag",all 8 output bits,avoid prior product-threshold run table by sharing one exact quantizer after exponent-class shifting,status=OK area=1138 delay=47 adp=53486,round3 ex241 SNS shifted-quant source; official evaluate.py log recorded
ex288,unknown-routing-r3,ex288_keybdd_selected_controlled_routing_abc_g_aig,keybdd_selected_controlled_routing_descriptor,shared_pair_canonical_key_group_keybdd_bit7,15,test selected-bit key-BDD controlled-routing descriptor with shared normalized key groups,area=2257;delay=14;adp=31598,selected-bit key-BDD controlled-routing descriptor; source=interleave_f10_k6_onehot_group_keybdd_7; not bucket/SOP; not synth-flow-only symcof
ex205,unary-r3,ex205_log10_exp_runs_mant_sep_m4_abc_g_aig,compact_semantic_field_cofactor,output sign cofactor; positive-domain exponent range runs; mantissa field hi/lo cofactor,out[15:0],separate low-delay exponent range decode from mantissa correction without arithbase residuals,4886/18/87948,compact BF16 log10 semantic field cofactor; log10 positive exp range runs plus mant sep mhi=4 exp_items=194 items=7582; official_runtime_sec=6.047
