case,domain,hypothesis,method_signature,status,reason,artifact_path,log_path,agent_id,run_id,notes
ex287,unknown,nonlinear hidden-state or constructive shared pair-count basis,ex287|hamming_weight_preserving_lossy_routing_normalizer|no_new_exact_nonlinear_basis_available|n/a|no_synth|blocked_before_verilog|full_word,blocked_no_verilog,No new exact compact nonlinear hidden-state descriptor was available after the required scoped reads; exact fallback would repeat prohibited symcof/cofactor/table/rank/colex/bucket/lane/mod8-ANF/pair-count MDD/component-orientation wrappers.,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/routing-r11/ex287/notes/high_level_dossier.md,,routing-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,Frontend best 27480 vs reference 5782; official evaluate.py not run because no candidate was emitted.
ex295,unknown,lower-delay bitplane symbol split,ex295|state/cell interleaved selector exact split|bitplane_majority_default_exception|per_output_bit_balanced_tables|abc_g_aig_d14|official_truth_exact_partition|per_bit_outputs,equivalent_but_no_improvement,ADP 125520 did not beat current frontend 123855,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.yosys.log; stats={""bit_exceptions_after_bit_modes"": 18054, ""inner_bits"": [1, 3, 5, 7, 9, 11], ""row_exceptions_after_bit_modes"": 3942, ""selector_bits"": [0, 2, 4, 6, 8, 10]}"
ex295,unknown,lower-delay bitplane symbol split,ex295|state/cell interleaved selector exact split|bitplane_majority_default_exception|per_output_bit_balanced_tables|abc_g_aig_d14|official_truth_exact_partition|per_bit_outputs,failed_or_not_equivalent,RuntimeError: yosys failed; see student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.yosys.log; exact Python model over all truth rows,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.v,,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,RuntimeError: yosys failed; see student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_bitplane_symbol_split_abc_g_aig_d14.yosys.log; exact Python model over all truth rows
ex295,unknown,even-plane base plus compressed residual,ex295|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig_d14|official_truth_exact_partition|all_outputs_grouped_residual,equivalent_but_no_improvement,ADP 139927 did not beat current frontend 123855,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_evenbase_residual_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig_d14.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11], ""residual_exceptions"": 3684, ""selector_bits"": [0, 2, 4, 6, 8, 10], ""unique_residual_modes"": 59}"
ex295,unknown,even-plane base plus compressed residual,ex295|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,equivalent_but_no_improvement,ADP 139927 did not beat current frontend 123855,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11], ""residual_exceptions"": 3684, ""selector_bits"": [0, 2, 4, 6, 8, 10], ""unique_residual_modes"": 59}"
ex295,unknown,even-plane base plus compressed residual,ex295|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,failed_or_not_equivalent,RuntimeError: yosys failed; see student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.yosys.log; exact Python model over all truth rows,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/verilog/ex295_r11_evenbase_residual_split_abc_g_aig.v,,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,RuntimeError: yosys failed; see student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex295/logs/ex295_r11_evenbase_residual_split_abc_g_aig.yosys.log; exact Python model over all truth rows
ex297,unknown,even-plane base plus compressed residual,ex297|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig_d14|official_truth_exact_partition|all_outputs_grouped_residual,equivalent_but_no_improvement,ADP 629440 did not beat current frontend 569592,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/verilog/ex297_r11_evenbase_residual_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig_d14.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13], ""residual_exceptions"": 15281, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12], ""unique_residual_modes"": 128}"
ex297,unknown,even-plane base plus compressed residual,ex297|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,equivalent_but_no_improvement,ADP 629440 did not beat current frontend 569592,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/verilog/ex297_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex297/logs/ex297_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13], ""residual_exceptions"": 15281, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12], ""unique_residual_modes"": 128}"
ex299,unknown,even-plane base plus compressed residual,ex299|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig_d14|official_truth_exact_partition|all_outputs_grouped_residual,equivalent_but_no_improvement,ADP 2715748 did not beat current frontend 2487261,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/verilog/ex299_r11_evenbase_residual_split_abc_g_aig_d14.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/logs/ex299_r11_evenbase_residual_split_abc_g_aig_d14.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/logs/ex299_r11_evenbase_residual_split_abc_g_aig_d14.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13, 15], ""residual_exceptions"": 62994, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12, 14], ""unique_residual_modes"": 255}"
ex299,unknown,even-plane base plus compressed residual,ex299|state/cell interleaved selector exact split|even_plane_base_xor_residual|shared_even_cell_base_plus_residual_table|abc_g_aig|official_truth_exact_partition|all_outputs_grouped_residual,equivalent_but_no_improvement,ADP 2715748 did not beat current frontend 2487261,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/verilog/ex299_r11_evenbase_residual_split_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/logs/ex299_r11_evenbase_residual_split_abc_g_aig.evaluate.log,state-r11,ex200_ex299_frontend_refgap_round11_20260612_1944,"official evaluate.py OK; exact Python model over all truth rows; synth_log=student/work/ex200_ex299_frontend_refgap_round11_20260612_1944/state-r11/ex299/logs/ex299_r11_evenbase_residual_split_abc_g_aig.yosys.log; stats={""base"": ""even_input_plane"", ""inner_bits"": [1, 3, 5, 7, 9, 11, 13, 15], ""residual_exceptions"": 62994, ""selector_bits"": [0, 2, 4, 6, 8, 10, 12, 14], ""unique_residual_modes"": 255}"
