case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,family,shared_structure,outcome,shard_csv,domain,hypothesis,representation,prior_low_value_signatures_avoided,status,evidence_path
ex245,ex245_r71_po_high_low2_residual,E5M2FN packed add,"sorted E5M2 decode, small-gap same/diff guards, high magnitude plane, low2 residual LUT",po_high_low2_planes,medium,4640/38/176320,ex245|E5M2FN packed add|source-level PO split with active-table high plane plus low2 cancellation LUT|shared E5M2 sorted decode and small-gap active predicates with separate high/low residual output planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes,sub-fp8-addhyp-hybrid-r71,avoids r68 low-bit overlay/current-source copy and r70 branch/gap-major planes,source-level PO split with active-table high plane plus low2 cancellation LUT,"sorted E5M2 decode, small-gap same/diff guards, high magnitude plane, low2 residual LUT",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed add,source-level PO split with active-table high plane plus low2 cancellation LUT,avoids r68 low-bit overlay/current-source copy and r70 branch/gap-major planes,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_po_high_low2_residual.evaluate.py.log
ex245,ex245_r71_signed_delta_csa_adjust,E5M2FN packed add,"small-gap guards, signed residual adjust ROMs, shared maxc-plus-adjust datapath",signed_adjust_full_word,medium,1856/49/90944,ex245|E5M2FN packed add|carry-save-style signed magnitude adjustment with shared sticky/guard predicates|shared E5M2 max/min decode; signed same/diff residual adjustment ROMs feed one magnitude assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word,sub-fp8-addhyp-hybrid-r71,"avoids direct gap-class formula replay, active-table copy, and r70 gap-major nested planes",carry-save-style signed magnitude adjustment with shared sticky/guard predicates,"small-gap guards, signed residual adjust ROMs, shared maxc-plus-adjust datapath",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed add,carry-save-style signed magnitude adjustment with shared sticky/guard predicates,"avoids direct gap-class formula replay, active-table copy, and r70 gap-major nested planes",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_signed_delta_csa_adjust.evaluate.py.log
ex244,ex244_r71_gap_correction_rom,E4M3FN packed hypot,"max/min decode, effective exponent gap, per-gap correction ROM, saturation clamp",max_plus_gap_correction_rom,medium,610/39/23790,"ex244|E4M3FN packed hypot|max-plus correction ROM per effective exponent gap|shared max/min magnitude decode; exact correction ROM keyed by max_eff, gap, max_sig, min_sig|repo_yosys_frontend_default|official_evaluate|max_plus_gap_correction_rom",sub-fp8-addhyp-hybrid-r71,"avoids maxcode interval banks, manual saturation BDD, delta-ge cells, and square-kernel thresholds",max-plus correction ROM per effective exponent gap,"max/min decode, effective exponent gap, per-gap correction ROM, saturation clamp",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed hypot,max-plus correction ROM per effective exponent gap,"avoids maxcode interval banks, manual saturation BDD, delta-ge cells, and square-kernel thresholds",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_gap_correction_rom.evaluate.py.log
ex244,ex244_r71_core_patch_correction,E4M3FN packed hypot,"max/min decode, coarse gap-sig delta, sparse max-eff patch residual, saturation clamp",coarse_delta_with_patch,medium,644/42/27048,ex244|E4M3FN packed hypot|CORDIC-like coarse correction plus max-eff patch ROM|coarse gap/sig correction table reused across exponents with small max-eff patch table|repo_yosys_frontend_default|official_evaluate|coarse_delta_with_patch,sub-fp8-addhyp-hybrid-r71,"avoids full max-eff BDD replay, maxcode/gap interval banks, and r70 monotone threshold cells",CORDIC-like coarse correction plus max-eff patch ROM,"max/min decode, coarse gap-sig delta, sparse max-eff patch residual, saturation clamp",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed hypot,CORDIC-like coarse correction plus max-eff patch ROM,"avoids full max-eff BDD replay, maxcode/gap interval banks, and r70 monotone threshold cells",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_core_patch_correction.evaluate.py.log
ex249,ex249_r71_rawgap_correction_rom,E5M2FN packed hypot,"raw max/min exponent decode, active gap shell, correction ROM, saturation guard",rawgap_correction_rom,medium,375/31/11625,ex249|E5M2FN packed hypot|raw-exponent max-plus correction ROM per active gap|shared raw exponent active-gap shell and exact correction ROM with max-exp context|repo_yosys_frontend_default|official_evaluate|rawgap_correction_rom,sub-fp8-addhyp-hybrid-r71,"avoids threshold cube classifier, onehot gap threshold, minsq delta cells, and split-gap delta replay",raw-exponent max-plus correction ROM per active gap,"raw max/min exponent decode, active gap shell, correction ROM, saturation guard",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed hypot,raw-exponent max-plus correction ROM per active gap,"avoids threshold cube classifier, onehot gap threshold, minsq delta cells, and split-gap delta replay",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_rawgap_correction_rom.evaluate.py.log
ex249,ex249_r71_piecewise_tiny_mantissa,E5M2FN packed hypot,"raw exponent active gap decode, gap0/gap1 mantissa-class correction ROMs, saturation guard",gap_split_tiny_mantissa_tables,medium,332/31/10292,ex249|E5M2FN packed hypot|piecewise sqrt exact table for tiny mantissa classes|shared active-gap shell; separate gap0/gap1 tiny mantissa correction tables|repo_yosys_frontend_default|official_evaluate|gap_split_tiny_mantissa_tables,sub-fp8-addhyp-hybrid-r71,"avoids direct predicate formulas, onehot threshold cells, and delta-inc/manual carry variants",piecewise sqrt exact table for tiny mantissa classes,"raw exponent active gap decode, gap0/gap1 mantissa-class correction ROMs, saturation guard",equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed hypot,piecewise sqrt exact table for tiny mantissa classes,"avoids direct predicate formulas, onehot threshold cells, and delta-inc/manual carry variants",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_piecewise_tiny_mantissa.evaluate.py.log
ex246,ex246_r71_axis_attr_hardrom,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,compact exp-zone selector plus hard-zone mantissa product ROM,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed multiply high byte times low byte,,,,
ex246,ex246_r71_splitpo_hardpieces,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,source-level output-bit crossover between arithmetic shell and split hard-zone PO pieces,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed multiply high byte times low byte,,,,
ex247,ex247_r71_axis_attr_hardrom,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,reciprocal-class exponent-delta shell plus hard-zone quotient ROM,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed low-over-high division,,,,
ex247,ex247_r71_splitpo_hardpieces,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,source-level split-PO quotient crossover with shared delta/sigpair shell,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E5M2FN packed low-over-high division,,,,
ex241,ex241_r71_axis_attr_hardrom,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,compact exp-zone selector plus hard-zone mantissa product ROM,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed multiply high byte times low byte,,,,
ex241,ex241_r71_splitpo_hardpieces,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,source-level output-bit crossover between arithmetic shell and split hard-zone PO pieces,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed multiply high byte times low byte,,,,
ex242,ex242_r71_axis_attr_hardrom,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,reciprocal-class exponent-delta shell plus hard-zone quotient ROM,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,,,,
ex242,ex242_r71_splitpo_hardpieces,,,,,,,sub-fp8-arith-hybrid-r71,source-level hybrid RTL; synthesized by repo frontend only,source-level split-PO quotient crossover with shared delta/sigpair shell,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/shared_structure_report.csv,float_fp8,E4M3FN packed low-over-high division,,,,
ex285,ex285_r71_cyclic_window_selected_bdd,"12-bit Hamming-weight-preserving lossy routing/normalizer with exact swap symmetries on input pairs 4/5 and 6/7; current source is a compact decision tree, but prior small local routing descriptors still conflict on central layers.",current exact source plus selected PO roots from a shared cyclic-window ROBDD,cyclic_window_selected_bdd,materially different from forbidden r66/r68/r69/r70 signatures,1043/17/17731,ex285|source-level conservative routing selected BDD|cyclic-window ordered shared ROBDD for selected output bits over exact current source|single BDD node pool shared by selected PO roots using outside-to-inside cyclic window order|yosys_internal_abc_g_aig|official_evaluate|ex285_r71_cyclic_window_selected_bdd,sub-unknown-hybrid-r71,"round71 stats={'selected_bits': (5, 9), 'order': (0, 11, 1, 10, 2, 9, 3, 8, 4, 7, 5, 6), 'bdd_nodes': 219, 'line_count': 239}; synth_sec=7.617; eval_sec=0.205",source-level conservative routing selected BDD,current exact source plus selected PO roots from a shared cyclic-window ROBDD,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/shared_structure_report.csv,unknown,source-level conservative routing selected BDD,cyclic-window ordered shared ROBDD for selected output bits over exact current source,"r66/r68 selected-source replay, r69 route_state_selected_residual, r70 outsidein_cube_residual, r70 lane_parity_lowrep_anf, paircanon cube residuals",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_cyclic_window_selected_bdd.evaluate.py.log
ex285,ex285_r71_outer_window_cube_selected,"12-bit Hamming-weight-preserving lossy routing/normalizer with exact swap symmetries on input pairs 4/5 and 6/7; current source is a compact decision tree, but prior small local routing descriptors still conflict on central layers.",current exact source plus selected PO roots from contiguous outer-window cofactor cubes,outer_window_cube_selected,materially different from forbidden r66/r68/r69/r70 signatures,1089/15/16335,ex285|outer-window cofactor cube selected PO|contiguous outer-window cofactor cube covers for selected output bits over exact current source|shared contiguous high-window decode with low-window wildcard cube cover|yosys_internal_abc_g_aig|official_evaluate|ex285_r71_outer_window_cube_selected,sub-unknown-hybrid-r71,"round71 stats={'selected_bits': (2,), 'hi_bits': (11, 10, 9, 8), 'lo_bits': (0, 1, 2, 3, 4, 5, 6, 7), 'bit_stats': [{'bit': 2, 'total_cubes': 236, 'max_cubes': 24, 'nonempty_hi': 16}], 'line_count': 97}; synth_sec=7.939; eval_sec=0.189",outer-window cofactor cube selected PO,current exact source plus selected PO roots from contiguous outer-window cofactor cubes,equivalent,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/shared_structure_report.csv,unknown,outer-window cofactor cube selected PO,contiguous outer-window cofactor cube covers for selected output bits over exact current source,"r66/r68 selected-source replay, r69 route_state_selected_residual, r70 outsidein_cube_residual, r70 lane_parity_lowrep_anf, paircanon cube residuals",OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_outer_window_cube_selected.evaluate.py.log
