case,hypothesis,representation,sharing_strategy,synth_flow,method_signature,status,reason,artifact_path,agent_id,candidate_id,variant,verilog_path,aig_path,stage,failure_reason,reuse_policy,notes,shard_csv,domain,shared_structure,log_path,evidence_path
ex247,E5M2FN packed low-over-high division,axis/minor affine shell with full hard-row ROM repairs,,,"ex247|E5M2FN packed low-over-high division|reciprocal-class exponent-delta shell plus hard-zone quotient ROM|shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes|axis/minor affine shell with full hard-row ROM repairs|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex247_r71_axis_attr_hardrom,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/verilog/ex247_r71_axis_attr_hardrom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/aigs/ex247_r71_axis_attr_hardrom.aig,,,,official OK ADP 8250; prompt current 6804; reference 2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/logs/ex247_r71_axis_attr_hardrom.evaluate.py.log,
ex247,E5M2FN packed low-over-high division,axis/minor affine shell with independent exponent and mantissa hard-piece functions,,,"ex247|E5M2FN packed low-over-high division|source-level split-PO quotient crossover with shared delta/sigpair shell|shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes|axis/minor affine shell with independent exponent and mantissa hard-piece functions|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex247_r71_splitpo_hardpieces,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/verilog/ex247_r71_splitpo_hardpieces.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/aigs/ex247_r71_splitpo_hardpieces.aig,,,,official OK ADP 9545; prompt current 6804; reference 2975,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/logs/ex247_r71_splitpo_hardpieces.evaluate.py.log,
ex241,E4M3FN packed multiply high byte times low byte,axis/minor affine shell with full hard-row ROM repairs,,,"ex241|E4M3FN packed multiply high byte times low byte|compact exp-zone selector plus hard-zone mantissa product ROM|shared sign xor, effective exponent sum, significand product, per-product affine attributes|axis/minor affine shell with full hard-row ROM repairs|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex241_r71_axis_attr_hardrom,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/verilog/ex241_r71_axis_attr_hardrom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/aigs/ex241_r71_axis_attr_hardrom.aig,,,,official OK ADP 30280; prompt current 11592; reference 7224,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/logs/ex241_r71_axis_attr_hardrom.evaluate.py.log,
ex241,E4M3FN packed multiply high byte times low byte,axis/minor affine shell with independent exponent and mantissa hard-piece functions,,,"ex241|E4M3FN packed multiply high byte times low byte|source-level output-bit crossover between arithmetic shell and split hard-zone PO pieces|shared sign xor, effective exponent sum, significand product, per-product affine attributes|axis/minor affine shell with independent exponent and mantissa hard-piece functions|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex241_r71_splitpo_hardpieces,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/verilog/ex241_r71_splitpo_hardpieces.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/aigs/ex241_r71_splitpo_hardpieces.aig,,,,official OK ADP 53177; prompt current 11592; reference 7224,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, effective exponent sum, significand product, per-product affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/logs/ex241_r71_splitpo_hardpieces.evaluate.py.log,
ex242,E4M3FN packed low-over-high division,axis/minor affine shell with independent exponent and mantissa hard-piece functions,,,"ex242|E4M3FN packed low-over-high division|source-level split-PO quotient crossover with shared delta/sigpair shell|shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes|axis/minor affine shell with independent exponent and mantissa hard-piece functions|repo_yosys_frontend_default|official_evaluate|full_word",equivalent_but_no_current_or_reference_gain,,,sub-fp8-arith-hybrid-r71,ex242_r71_splitpo_hardpieces,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex242/verilog/ex242_r71_splitpo_hardpieces.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex242/aigs/ex242_r71_splitpo_hardpieces.aig,,,,official OK ADP 19026; prompt current 18540; reference 11900,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/failed_hypotheses.csv,float_fp8,"shared sign xor, exponent delta, numerator/denominator significands, per-sigpair affine attributes",student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex242/logs/ex242_r71_splitpo_hardpieces.evaluate.py.log,
ex285,source-level conservative routing selected BDD,cyclic-window ordered shared ROBDD for selected output bits over exact current source,single BDD node pool shared by selected PO roots using outside-to-inside cyclic window order,yosys_internal_abc_g_aig,ex285|source-level conservative routing selected BDD|cyclic-window ordered shared ROBDD for selected output bits over exact current source|single BDD node pool shared by selected PO roots using outside-to-inside cyclic window order|yosys_internal_abc_g_aig|official_evaluate|ex285_r71_cyclic_window_selected_bdd,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_cyclic_window_selected_bdd.evaluate.py.log,sub-unknown-hybrid-r71,ex285_r71_cyclic_window_selected_bdd,cyclic_window_selected_bdd,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/verilog/ex285_r71_cyclic_window_selected_bdd.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/aigs/ex285_r71_cyclic_window_selected_bdd.aig,official_evaluate,"ADP 17731 vs current 9132, frontend 11033, reference 5499",do_not_repeat_as_is,"round71 stats={'selected_bits': (5, 9), 'order': (0, 11, 1, 10, 2, 9, 3, 8, 4, 7, 5, 6), 'bdd_nodes': 219, 'line_count': 239}; synth_sec=7.617; eval_sec=0.205",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,current exact source plus selected PO roots from a shared cyclic-window ROBDD,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_cyclic_window_selected_bdd.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_cyclic_window_selected_bdd.evaluate.py.log
ex285,outer-window cofactor cube selected PO,contiguous outer-window cofactor cube covers for selected output bits over exact current source,shared contiguous high-window decode with low-window wildcard cube cover,yosys_internal_abc_g_aig,ex285|outer-window cofactor cube selected PO|contiguous outer-window cofactor cube covers for selected output bits over exact current source|shared contiguous high-window decode with low-window wildcard cube cover|yosys_internal_abc_g_aig|official_evaluate|ex285_r71_outer_window_cube_selected,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_outer_window_cube_selected.evaluate.py.log,sub-unknown-hybrid-r71,ex285_r71_outer_window_cube_selected,outer_window_cube_selected,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/verilog/ex285_r71_outer_window_cube_selected.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/aigs/ex285_r71_outer_window_cube_selected.aig,official_evaluate,"ADP 16335 vs current 9132, frontend 11033, reference 5499",do_not_repeat_as_is,"round71 stats={'selected_bits': (2,), 'hi_bits': (11, 10, 9, 8), 'lo_bits': (0, 1, 2, 3, 4, 5, 6, 7), 'bit_stats': [{'bit': 2, 'total_cubes': 236, 'max_cubes': 24, 'nonempty_hi': 16}], 'line_count': 97}; synth_sec=7.939; eval_sec=0.189",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,current exact source plus selected PO roots from contiguous outer-window cofactor cubes,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_outer_window_cube_selected.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex285/logs/ex285_r71_outer_window_cube_selected.evaluate.py.log
ex288,source-level conservative routing selected BDD,cyclic-window ordered shared ROBDD for selected output bits over exact current source,single BDD node pool shared by selected PO roots using outside-to-inside cyclic window order,yosys_internal_abc_g_aig,ex288|source-level conservative routing selected BDD|cyclic-window ordered shared ROBDD for selected output bits over exact current source|single BDD node pool shared by selected PO roots using outside-to-inside cyclic window order|yosys_internal_abc_g_aig|official_evaluate|ex288_r71_cyclic_window_selected_bdd,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/logs/ex288_r71_cyclic_window_selected_bdd.evaluate.py.log,sub-unknown-hybrid-r71,ex288_r71_cyclic_window_selected_bdd,cyclic_window_selected_bdd,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/verilog/ex288_r71_cyclic_window_selected_bdd.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/aigs/ex288_r71_cyclic_window_selected_bdd.aig,official_evaluate,"ADP 38505 vs current 26224, frontend 31598, reference 16394",do_not_repeat_as_is,"round71 stats={'selected_bits': (5, 12), 'order': (0, 14, 1, 13, 2, 12, 3, 11, 4, 10, 5, 9, 6, 8, 7), 'bdd_nodes': 550, 'line_count': 573}; synth_sec=2.435; eval_sec=0.613",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,current exact source plus selected PO roots from a shared cyclic-window ROBDD,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/logs/ex288_r71_cyclic_window_selected_bdd.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/logs/ex288_r71_cyclic_window_selected_bdd.evaluate.py.log
ex288,outer-window cofactor cube selected PO,contiguous outer-window cofactor cube covers for selected output bits over exact current source,shared contiguous high-window decode with low-window wildcard cube cover,yosys_internal_abc_g_aig,ex288|outer-window cofactor cube selected PO|contiguous outer-window cofactor cube covers for selected output bits over exact current source|shared contiguous high-window decode with low-window wildcard cube cover|yosys_internal_abc_g_aig|official_evaluate|ex288_r71_outer_window_cube_selected,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/logs/ex288_r71_outer_window_cube_selected.evaluate.py.log,sub-unknown-hybrid-r71,ex288_r71_outer_window_cube_selected,outer_window_cube_selected,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/verilog/ex288_r71_outer_window_cube_selected.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/aigs/ex288_r71_outer_window_cube_selected.aig,official_evaluate,"ADP 62192 vs current 26224, frontend 31598, reference 16394",do_not_repeat_as_is,"round71 stats={'selected_bits': (6,), 'hi_bits': (14, 13, 12, 11, 10, 9, 8), 'lo_bits': (0, 1, 2, 3, 4, 5, 6, 7), 'bit_stats': [{'bit': 6, 'total_cubes': 2046, 'max_cubes': 25, 'nonempty_hi': 128}], 'line_count': 548}; synth_sec=4.158; eval_sec=0.827",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,current exact source plus selected PO roots from contiguous outer-window cofactor cubes,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/logs/ex288_r71_outer_window_cube_selected.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex288/logs/ex288_r71_outer_window_cube_selected.evaluate.py.log
ex297,source-level cross-initialized cyclic template mix,r66 cell-default source crossed with r24 majority-default source by rotation quotient cell groups,stable r66 cell classes plus selected rotation-quotient cells from majority-default template,yosys_internal_abc_g_aig,ex297|source-level cross-initialized cyclic template mix|r66 cell-default source crossed with r24 majority-default source by rotation quotient cell groups|stable r66 cell classes plus selected rotation-quotient cells from majority-default template|yosys_internal_abc_g_aig|official_evaluate|ex297_r71_rotquot_majority_mix,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/logs/ex297_r71_rotquot_majority_mix.evaluate.py.log,sub-unknown-hybrid-r71,ex297_r71_rotquot_majority_mix,rotquot_majority_mix,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/verilog/ex297_r71_rotquot_majority_mix.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/aigs/ex297_r71_rotquot_majority_mix.aig,official_evaluate,"ADP 504645 vs current 426768, frontend 426768, reference 225900",do_not_repeat_as_is,"round71 stats={'selected_bits': (4, 5, 6, 7), 'line_count': 26}; synth_sec=33.207; eval_sec=0.924",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,cell-source PO roots mixed with majority-template PO roots for non-even rotation quotient cells,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/logs/ex297_r71_rotquot_majority_mix.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/logs/ex297_r71_rotquot_majority_mix.evaluate.py.log
ex297,cyclic window PO-group source hybrid,r66 cell-default source crossed with r66 bit-default source by cyclic diagonal PO groups,stable cell source for most POs plus diagonal cyclic-window bit-source roots,yosys_internal_abc_g_aig,ex297|cyclic window PO-group source hybrid|r66 cell-default source crossed with r66 bit-default source by cyclic diagonal PO groups|stable cell source for most POs plus diagonal cyclic-window bit-source roots|yosys_internal_abc_g_aig|official_evaluate|ex297_r71_cyclic_diagonal_bit_mix,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/logs/ex297_r71_cyclic_diagonal_bit_mix.evaluate.py.log,sub-unknown-hybrid-r71,ex297_r71_cyclic_diagonal_bit_mix,cyclic_diagonal_bit_mix,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/verilog/ex297_r71_cyclic_diagonal_bit_mix.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/aigs/ex297_r71_cyclic_diagonal_bit_mix.aig,official_evaluate,"ADP 471952 vs current 426768, frontend 426768, reference 225900",do_not_repeat_as_is,"round71 stats={'selected_bits': (0, 3, 5, 8, 10, 13), 'line_count': 26}; synth_sec=37.141; eval_sec=0.994",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,"cell-source PO roots mixed with bit-source PO roots on a cyclic diagonal, not low/high/even cells",student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/logs/ex297_r71_cyclic_diagonal_bit_mix.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex297/logs/ex297_r71_cyclic_diagonal_bit_mix.evaluate.py.log
ex299,source-level cross-initialized cyclic template mix,r66 cell-default source crossed with r24 majority-default source by rotation quotient cell groups,stable r66 cell classes plus selected rotation-quotient cells from majority-default template,yosys_internal_abc_g_aig,ex299|source-level cross-initialized cyclic template mix|r66 cell-default source crossed with r24 majority-default source by rotation quotient cell groups|stable r66 cell classes plus selected rotation-quotient cells from majority-default template|yosys_internal_abc_g_aig|official_evaluate|ex299_r71_rotquot_majority_mix,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/logs/ex299_r71_rotquot_majority_mix.evaluate.py.log,sub-unknown-hybrid-r71,ex299_r71_rotquot_majority_mix,rotquot_majority_mix,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/verilog/ex299_r71_rotquot_majority_mix.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/aigs/ex299_r71_rotquot_majority_mix.aig,official_evaluate,"ADP 2278460 vs current 1779138, frontend 1779138, reference 1013807",do_not_repeat_as_is,"round71 stats={'selected_bits': (4, 5, 6, 7, 14, 15), 'line_count': 28}; synth_sec=156.308; eval_sec=5.167",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,cell-source PO roots mixed with majority-template PO roots for non-even rotation quotient cells,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/logs/ex299_r71_rotquot_majority_mix.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/logs/ex299_r71_rotquot_majority_mix.evaluate.py.log
ex299,cyclic window PO-group source hybrid,r66 cell-default source crossed with r66 bit-default source by cyclic diagonal PO groups,stable cell source for most POs plus diagonal cyclic-window bit-source roots,yosys_internal_abc_g_aig,ex299|cyclic window PO-group source hybrid|r66 cell-default source crossed with r66 bit-default source by cyclic diagonal PO groups|stable cell source for most POs plus diagonal cyclic-window bit-source roots|yosys_internal_abc_g_aig|official_evaluate|ex299_r71_cyclic_diagonal_bit_mix,EQUIVALENT_NONWINNING,official evaluate.py equivalent but did not beat target current ADP,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/logs/ex299_r71_cyclic_diagonal_bit_mix.evaluate.py.log,sub-unknown-hybrid-r71,ex299_r71_cyclic_diagonal_bit_mix,cyclic_diagonal_bit_mix,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/verilog/ex299_r71_cyclic_diagonal_bit_mix.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/aigs/ex299_r71_cyclic_diagonal_bit_mix.aig,official_evaluate,"ADP 2011464 vs current 1779138, frontend 1779138, reference 1013807",do_not_repeat_as_is,"round71 stats={'selected_bits': (0, 3, 5, 8, 10, 13, 15), 'line_count': 28}; synth_sec=162.483; eval_sec=5.051",student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-unknown-hybrid-r71/failed_hypotheses.csv,unknown,"cell-source PO roots mixed with bit-source PO roots on a cyclic diagonal, not low/high/even cells",student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/logs/ex299_r71_cyclic_diagonal_bit_mix.evaluate.py.log,student/work/frontend_source_parallel_round71_20260613_1308/sub-unknown-hybrid-r71/ex299/logs/ex299_r71_cyclic_diagonal_bit_mix.evaluate.py.log
