case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,decoded integer add/sub arithmetic normalizer,single signed-magnitude arithmetic path with one RNE normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,decoded integer add/sub arithmetic normalizer,single signed-magnitude arithmetic path with one RNE normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,decoded integer add/sub arithmetic normalizer,single signed-magnitude arithmetic path with one RNE normalizer,,,,beats_frontend=0; beats_reference=0
ex245,float_fp8,fp8-region-r26,E5M2FN packed add high plus low,decoded integer add/sub arithmetic normalizer,single signed-magnitude arithmetic path with one RNE normalizer,,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,product-class formula with exact exception rows,"shared sign xor, exponent sum, significand product, boundary exceptions",,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,product-class formula with exact exception rows,"shared sign xor, exponent sum, significand product, boundary exceptions",,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,product-class formula with exact exception rows,"shared sign xor, exponent sum, significand product, boundary exceptions",,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,product-class formula with exact exception rows,"shared sign xor, exponent sum, significand product, boundary exceptions",,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,selected output-bit exception predicates,shared exponent sum and product with bitwise boundary overlay,,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,selected output-bit exception predicates,shared exponent sum and product with bitwise boundary overlay,,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,selected output-bit exception predicates,shared exponent sum and product with bitwise boundary overlay,,,,beats_frontend=0; beats_reference=0
ex241,float_fp8,fp8-region-r26,E4M3FN packed multiply high times low,selected output-bit exception predicates,shared exponent sum and product with bitwise boundary overlay,,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,quotient formula with bitwise boundary exceptions,"shared special-case shell, exponent delta, sig pair, bit exceptions",,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,quotient formula with bitwise boundary exceptions,"shared special-case shell, exponent delta, sig pair, bit exceptions",,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,quotient formula with bitwise boundary exceptions,"shared special-case shell, exponent delta, sig pair, bit exceptions",,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,quotient formula with bitwise boundary exceptions,"shared special-case shell, exponent delta, sig pair, bit exceptions",,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,delta-major nested significand quotient table,shared NaN/zero/sign shell plus exponent-delta local tables,,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,delta-major nested significand quotient table,shared NaN/zero/sign shell plus exponent-delta local tables,,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,delta-major nested significand quotient table,shared NaN/zero/sign shell plus exponent-delta local tables,,,,beats_frontend=0; beats_reference=0
ex242,float_fp8,fp8-region-r26,E4M3FN packed division low over high,delta-major nested significand quotient table,shared NaN/zero/sign shell plus exponent-delta local tables,,,,beats_frontend=0; beats_reference=0
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,shared product plus explicit RNE/GRS normalizer,"shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates","ex246|E5M2FN packed multiply|shared product plus explicit RNE/GRS normalizer|shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates|yosys_abc_g_and_official_evaluate|exact_e5m2fn_mul_high_times_low|rounding_predicate_magnitude|fp8_rounding_r26",OK,424/41/17384,official evaluate.py status OK; synth=abc_g_and; runtime_sec=0.955; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_formula_norm_grs_abc_g_and.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,shared product plus explicit RNE/GRS normalizer,"shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates","ex246|E5M2FN packed multiply|shared product plus explicit RNE/GRS normalizer|shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|rounding_predicate_magnitude|fp8_rounding_r26",OK,421/41/17261,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.950; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_formula_norm_grs_abc_g_aig.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,shared product plus explicit RNE/GRS normalizer,"shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates","ex246|E5M2FN packed multiply|shared product plus explicit RNE/GRS normalizer|shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates|yosys_synth_preset_and_official_evaluate|exact_e5m2fn_mul_high_times_low|rounding_predicate_magnitude|fp8_rounding_r26",OK,421/38/15998,official evaluate.py status OK; synth=synth_preset_and; runtime_sec=1.077; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_formula_norm_grs_synth_preset_and.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,shared product plus explicit RNE/GRS normalizer,"shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates","ex246|E5M2FN packed multiply|shared product plus explicit RNE/GRS normalizer|shared sign, exponent sum, 3x3 product, leading-bit, round/sticky and saturation predicates|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|rounding_predicate_magnitude|fp8_rounding_r26",OK,407/38/15466,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.087; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_formula_norm_grs_synth_preset_aig.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,exponent-sum outer table with product residual classes,shared product and exponent sum feeding compact residual lookup,ex246|E5M2FN packed multiply|exponent-sum outer table with product residual classes|shared product and exponent sum feeding compact residual lookup|yosys_abc_g_and_official_evaluate|exact_e5m2fn_mul_high_times_low|expsum_product_residual|fp8_rounding_r26,OK,434/24/10416,official evaluate.py status OK; synth=abc_g_and; runtime_sec=1.093; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_nested_exp_residual_abc_g_and.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,exponent-sum outer table with product residual classes,shared product and exponent sum feeding compact residual lookup,ex246|E5M2FN packed multiply|exponent-sum outer table with product residual classes|shared product and exponent sum feeding compact residual lookup|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|expsum_product_residual|fp8_rounding_r26,OK,431/23/9913,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.096; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_nested_exp_residual_abc_g_aig.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,exponent-sum outer table with product residual classes,shared product and exponent sum feeding compact residual lookup,ex246|E5M2FN packed multiply|exponent-sum outer table with product residual classes|shared product and exponent sum feeding compact residual lookup|yosys_synth_preset_and_official_evaluate|exact_e5m2fn_mul_high_times_low|expsum_product_residual|fp8_rounding_r26,OK,410/23/9430,official evaluate.py status OK; synth=synth_preset_and; runtime_sec=1.185; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_nested_exp_residual_synth_preset_and.yosys.log
ex246,float_fp8,fp8-rounding-r26,E5M2FN packed multiply,exponent-sum outer table with product residual classes,shared product and exponent sum feeding compact residual lookup,ex246|E5M2FN packed multiply|exponent-sum outer table with product residual classes|shared product and exponent sum feeding compact residual lookup|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_mul_high_times_low|expsum_product_residual|fp8_rounding_r26,OK,408/23/9384,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=1.184; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex246/logs/ex246_r26r_mul_nested_exp_residual_synth_preset_aig.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,semantic quotient threshold and RNE rounding predicates,"shared quotient shift, rounded significand, zero/saturation/low-boundary predicates","ex247|E5M2FN packed low-over-high division|semantic quotient threshold and RNE rounding predicates|shared quotient shift, rounded significand, zero/saturation/low-boundary predicates|yosys_abc_g_and_official_evaluate|exact_e5m2fn_div_low_over_high|threshold_quotient_magnitude|fp8_rounding_r26",OK,479/35/16765,official evaluate.py status OK; synth=abc_g_and; runtime_sec=0.852; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_threshold_grs_abc_g_and.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,semantic quotient threshold and RNE rounding predicates,"shared quotient shift, rounded significand, zero/saturation/low-boundary predicates","ex247|E5M2FN packed low-over-high division|semantic quotient threshold and RNE rounding predicates|shared quotient shift, rounded significand, zero/saturation/low-boundary predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|threshold_quotient_magnitude|fp8_rounding_r26",OK,473/35/16555,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.862; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_threshold_grs_abc_g_aig.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,semantic quotient threshold and RNE rounding predicates,"shared quotient shift, rounded significand, zero/saturation/low-boundary predicates","ex247|E5M2FN packed low-over-high division|semantic quotient threshold and RNE rounding predicates|shared quotient shift, rounded significand, zero/saturation/low-boundary predicates|yosys_synth_preset_and_official_evaluate|exact_e5m2fn_div_low_over_high|threshold_quotient_magnitude|fp8_rounding_r26",OK,453/33/14949,official evaluate.py status OK; synth=synth_preset_and; runtime_sec=0.966; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_threshold_grs_synth_preset_and.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,semantic quotient threshold and RNE rounding predicates,"shared quotient shift, rounded significand, zero/saturation/low-boundary predicates","ex247|E5M2FN packed low-over-high division|semantic quotient threshold and RNE rounding predicates|shared quotient shift, rounded significand, zero/saturation/low-boundary predicates|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|threshold_quotient_magnitude|fp8_rounding_r26",OK,448/32/14336,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.981; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_threshold_grs_synth_preset_aig.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,flat sigpair class-id to compact bound-smallpat residual attributes,"shared class id table, bound attributes, low-pattern residual decoder","ex247|E5M2FN packed low-over-high division|flat sigpair class-id to compact bound-smallpat residual attributes|shared class id table, bound attributes, low-pattern residual decoder|yosys_abc_g_and_official_evaluate|exact_e5m2fn_div_low_over_high|classid_bound_residual|fp8_rounding_r26",OK,448/33/14784,official evaluate.py status OK; synth=abc_g_and; runtime_sec=0.722; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_bound_classid_flat_abc_g_and.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,flat sigpair class-id to compact bound-smallpat residual attributes,"shared class id table, bound attributes, low-pattern residual decoder","ex247|E5M2FN packed low-over-high division|flat sigpair class-id to compact bound-smallpat residual attributes|shared class id table, bound attributes, low-pattern residual decoder|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_div_low_over_high|classid_bound_residual|fp8_rounding_r26",OK,440/33/14520,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.718; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_bound_classid_flat_abc_g_aig.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,flat sigpair class-id to compact bound-smallpat residual attributes,"shared class id table, bound attributes, low-pattern residual decoder","ex247|E5M2FN packed low-over-high division|flat sigpair class-id to compact bound-smallpat residual attributes|shared class id table, bound attributes, low-pattern residual decoder|yosys_synth_preset_and_official_evaluate|exact_e5m2fn_div_low_over_high|classid_bound_residual|fp8_rounding_r26",OK,441/32/14112,official evaluate.py status OK; synth=synth_preset_and; runtime_sec=0.867; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_bound_classid_flat_synth_preset_and.yosys.log
ex247,float_fp8,fp8-rounding-r26,E5M2FN packed low-over-high division,flat sigpair class-id to compact bound-smallpat residual attributes,"shared class id table, bound attributes, low-pattern residual decoder","ex247|E5M2FN packed low-over-high division|flat sigpair class-id to compact bound-smallpat residual attributes|shared class id table, bound attributes, low-pattern residual decoder|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_div_low_over_high|classid_bound_residual|fp8_rounding_r26",OK,424/32/13568,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.854; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex247/logs/ex247_r26r_div_bound_classid_flat_synth_preset_aig.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with cofactored normalizer by remainder,shared divisor-period residue and rem-first normalization tables,ex248|E5M2FN packed fmod low mod high|periodic residue with cofactored normalizer by remainder|shared divisor-period residue and rem-first normalization tables|yosys_abc_g_and_official_evaluate|exact_e5m2fn_fmod_low_mod_high|rem_cofactored_norm|fp8_rounding_r26,OK,308/28/8624,official evaluate.py status OK; synth=abc_g_and; runtime_sec=0.669; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_norm_by_rem_abc_g_and.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with cofactored normalizer by remainder,shared divisor-period residue and rem-first normalization tables,ex248|E5M2FN packed fmod low mod high|periodic residue with cofactored normalizer by remainder|shared divisor-period residue and rem-first normalization tables|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|rem_cofactored_norm|fp8_rounding_r26,OK,294/27/7938,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.677; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_norm_by_rem_abc_g_aig.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with cofactored normalizer by remainder,shared divisor-period residue and rem-first normalization tables,ex248|E5M2FN packed fmod low mod high|periodic residue with cofactored normalizer by remainder|shared divisor-period residue and rem-first normalization tables|yosys_synth_preset_and_official_evaluate|exact_e5m2fn_fmod_low_mod_high|rem_cofactored_norm|fp8_rounding_r26,OK,304/29/8816,official evaluate.py status OK; synth=synth_preset_and; runtime_sec=0.731; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_norm_by_rem_synth_preset_and.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with cofactored normalizer by remainder,shared divisor-period residue and rem-first normalization tables,ex248|E5M2FN packed fmod low mod high|periodic residue with cofactored normalizer by remainder|shared divisor-period residue and rem-first normalization tables|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|rem_cofactored_norm|fp8_rounding_r26,OK,287/28/8036,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.779; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_norm_by_rem_synth_preset_aig.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with arithmetic formula normalizer,"shared divisor-period residue, leading-bit and FTZ normalizer predicates","ex248|E5M2FN packed fmod low mod high|periodic residue with arithmetic formula normalizer|shared divisor-period residue, leading-bit and FTZ normalizer predicates|yosys_abc_g_and_official_evaluate|exact_e5m2fn_fmod_low_mod_high|formula_norm_residual|fp8_rounding_r26",OK,296/35/10360,official evaluate.py status OK; synth=abc_g_and; runtime_sec=0.683; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_formula_norm_abc_g_and.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with arithmetic formula normalizer,"shared divisor-period residue, leading-bit and FTZ normalizer predicates","ex248|E5M2FN packed fmod low mod high|periodic residue with arithmetic formula normalizer|shared divisor-period residue, leading-bit and FTZ normalizer predicates|yosys_abc_g_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|formula_norm_residual|fp8_rounding_r26",OK,286/35/10010,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.676; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_formula_norm_abc_g_aig.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with arithmetic formula normalizer,"shared divisor-period residue, leading-bit and FTZ normalizer predicates","ex248|E5M2FN packed fmod low mod high|periodic residue with arithmetic formula normalizer|shared divisor-period residue, leading-bit and FTZ normalizer predicates|yosys_synth_preset_and_official_evaluate|exact_e5m2fn_fmod_low_mod_high|formula_norm_residual|fp8_rounding_r26",OK,296/33/9768,official evaluate.py status OK; synth=synth_preset_and; runtime_sec=0.728; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_formula_norm_synth_preset_and.yosys.log
ex248,float_fp8,fp8-rounding-r26,E5M2FN packed fmod low mod high,periodic residue with arithmetic formula normalizer,"shared divisor-period residue, leading-bit and FTZ normalizer predicates","ex248|E5M2FN packed fmod low mod high|periodic residue with arithmetic formula normalizer|shared divisor-period residue, leading-bit and FTZ normalizer predicates|yosys_synth_preset_aig_official_evaluate|exact_e5m2fn_fmod_low_mod_high|formula_norm_residual|fp8_rounding_r26",OK,277/33/9141,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=0.768; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex248/logs/ex248_r26r_fmod_formula_norm_synth_preset_aig.yosys.log
ex249,float_fp8,fp8-rounding-r26,"E5M2FN packed hypot abs(high,low)",onehot shared gap0/gap1 delta predicates,"shared max/min raw exponent decode, onehot significand thresholds, delta/saturation predicates","ex249|E5M2FN packed hypot abs(high,low)|onehot shared gap0/gap1 delta predicates|shared max/min raw exponent decode, onehot significand thresholds, delta/saturation predicates|yosys_abc_g_and_official_evaluate|exact_e5m2fn_hypot_abs_high_low|onehot_delta_predicates|fp8_rounding_r26",OK,182/28/5096,official evaluate.py status OK; synth=abc_g_and; runtime_sec=0.644; yosys_log=student/work/ex240_ex299_frontend_gt2_round26_20260613_0556/fp8-rounding-r26/ex249/logs/ex249_r26r_hypot_onehot_delta_abc_g_and.yosys.log
