case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass,simulation_status,reason,verilog_path,source_family,simulation_type,passed,evidence_path
ex245,ex245_r67_active_desc_split,,,,,sub-fp8-mid-r67,official evaluate.py used; iverilog not needed for generated descriptor RTL,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/simulation_results.csv,float_fp8,not_run,,,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel2.v,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel2.v,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel4.v,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel4.v,,,,
ex260,ex260_smul_split2_csa_diag_default,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_split2_csa_diag.v,,,,
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi4_a_hi1_wordmux.v,,,,
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi4_a_hi1_wordmux.v,,,,
ex266,ex266_udiv_ex266_hybrid_top2_a43_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,,,,
ex266,ex266_udiv_ex266_hybrid_top2_a43_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_ex266_hybrid_top2_a43.v,,,,
ex266,ex266_udiv_radix4_compact_digit_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_radix4_compact_digit.v,,,,
ex266,ex266_udiv_radix4_compact_digit_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_radix4_compact_digit.v,,,,
ex266,ex266_udiv_restoring_narrow_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_restoring_narrow.v,,,,
ex266,ex266_udiv_restoring_narrow_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_restoring_narrow.v,,,,
ex266,ex266_udiv_shift_subtract_narrow_abc_g_aig,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,,,,
ex266,ex266_udiv_shift_subtract_narrow_synth_preset_d10,,,,,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/simulation_results.csv,,,not_run,iverilog not needed; official evaluate.py CEC used for final result,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,,,,
ex288,ex288_r67_lane_output_grouped_bdd_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,lane_output_grouped_bdd,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_lane_output_grouped_bdd_abc_g_aig.v
ex288,ex288_r67_symcof_f10_k6_keybdd7_case_group_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,symcof_keybdd_f10_k6_keybdd7_case_group,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_symcof_f10_k6_keybdd7_case_group_abc_g_aig.v
ex288,ex288_r67_symcof_f10_k6_keybdd7_tree_group_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,symcof_keybdd_f10_k6_keybdd7_tree_group,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_symcof_f10_k6_keybdd7_tree_group_abc_g_aig.v
ex288,ex288_r67_symcof_f10_k6_keybdd7_onehot_global_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,symcof_keybdd_f10_k6_keybdd7_onehot_global,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_symcof_f10_k6_keybdd7_onehot_global_abc_g_aig.v
ex288,ex288_r67_symcof_f10_k6_keybdd6_7_onehot_group_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,symcof_keybdd_f10_k6_keybdd6_7_onehot_group,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_symcof_f10_k6_keybdd6_7_onehot_group_abc_g_aig.v
ex288,ex288_r67_symcof_f00_k6_keybdd7_onehot_group_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,symcof_keybdd_f00_k6_keybdd7_onehot_group,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_symcof_f00_k6_keybdd7_onehot_group_abc_g_aig.v
ex288,ex288_r67_symcof_f10_bits_0_14_1_13_3_11_keybdd7_onehot_group_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 32768 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,symcof_keybdd_f10_bits_0_14_1_13_3_11_keybdd7_onehot_group,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/verilog/ex288_r67_symcof_f10_bits_0_14_1_13_3_11_keybdd7_onehot_group_abc_g_aig.v
ex288,ex288_r67_compact_descriptor_blocker,,,,,sub-unk-mid-r67,Blocked before Verilog by prior exact-key/table-sized evidence.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,compact_descriptor_screen,not_run,,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex295,ex295_r67_cell_value_cube_defaults_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 4096 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,cell_value_cube_defaults,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex295/verilog/ex295_r67_cell_value_cube_defaults_abc_g_aig.v
ex295,ex295_r67_bit_plane_cube_defaults_abc_g_aig,,,,,sub-unk-mid-r67,exact Python model over 4096 rows,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/simulation_results.csv,unknown,,,,,bit_plane_cube_defaults,python_truth_model,1,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex295/verilog/ex295_r67_bit_plane_cube_defaults_abc_g_aig.v
