case,candidate_id,high_level_description,shared_structures,output_grouping,estimated_reuse,observed_qor,method_signature,agent_id,notes,shard_csv,domain,hypothesis,representation,shared_structure,observed_area,observed_delay,observed_adp,conclusion,sharing_strategy,synth_flow,prior_low_value_signatures_avoided,status,evidence_path
ex245,ex245_r67_active_desc_dc,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E5M2FN packed add,reachable active-region descriptor table with x defaults,shared sorted field decode plus small-gap active descriptor tables,,,,,,,,,
ex245,ex245_r67_active_desc_split,,,,,,,sub-fp8-mid-r67,source-only RTL; no standalone AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/shared_structure_report.csv,float_fp8,E5M2FN packed add,output-clustered active descriptor high/low tables,shared sorted field decode; separate high/low output clusters,,,,,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig,,,,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared signed partial products and carry-select final carry,92,15,1380,nonwinning; do not repeat as-is,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9,,,,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared signed partial products and carry-select final carry,91,14,1274,nonwinning; do not repeat as-is,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,,,,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared signed partial products and carry-select final carry,90,16,1440,nonwinning; do not repeat as-is,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,,,,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared signed partial products and carry-select final carry,91,14,1274,nonwinning; do not repeat as-is,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,,,,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared signed partial products and carry-select final carry,94,13,1222,nonwinning; do not repeat as-is,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9,,,,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared signed partial products and carry-select final carry,95,15,1425,nonwinning; do not repeat as-is,,,,,
ex260,ex260_smul_split2_csa_diag_default,,,,,,ex260|signed_split2_carrysave_diag|2x2_signed_subproducts_with_CSA_recombine|shared_2x2_subproducts_and_carrysave_merge|default_yosys_abc_AND|signed_low4_high4_multiply|full_product_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared 2x2 subproducts and carry-save merge,103,18,1854,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,182,12,2184,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,171,11,1881,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,166,10,1660,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,163,10,1630,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_abc_g_aig,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,167,10,1670,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi3_bmid1_a_hi2_wordmux_synth_preset_d10,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,176,11,1936,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_abc_g_aig,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,176,12,2112,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_cof_bhi4_a_hi1_wordmux_synth_preset_d10,,,,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared quotient-word mux and local bit-BDD cofactors,169,10,1690,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_ex266_hybrid_top2_a43_abc_g_aig,,,,,,ex266|selected_topbit_cofactor_classifier|selected_top-bit_deeper_cofactor_hybrid|shared_low-bit_cofactor_mux_plus_deeper_top-bit_classifier|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared low-bit cofactor mux plus deeper top-bit classifier,151,11,1661,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_ex266_hybrid_top2_a43_synth_preset_d10,,,,,,ex266|selected_topbit_cofactor_classifier|selected_top-bit_deeper_cofactor_hybrid|shared_low-bit_cofactor_mux_plus_deeper_top-bit_classifier|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared low-bit cofactor mux plus deeper top-bit classifier,152,11,1672,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_radix4_compact_digit_abc_g_aig,,,,,,ex266|radix4_compact_divider|compact_radix-4_quotient_digit_divider|shared_radix-4_quotient_digit/remainder_logic|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared radix-4 quotient digit/remainder logic,130,22,2860,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_radix4_compact_digit_synth_preset_d10,,,,,,ex266|radix4_compact_divider|compact_radix-4_quotient_digit_divider|shared_radix-4_quotient_digit/remainder_logic|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared radix-4 quotient digit/remainder logic,128,20,2560,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_restoring_narrow_abc_g_aig,,,,,,ex266|restoring_divider|restoring_divider_diagnostic|shared_restoring_remainder_chain|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared restoring remainder chain,87,30,2610,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_restoring_narrow_synth_preset_d10,,,,,,ex266|restoring_divider|restoring_divider_diagnostic|shared_restoring_remainder_chain|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared restoring remainder chain,90,32,2880,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_shift_subtract_narrow_abc_g_aig,,,,,,ex266|shift_subtract_divider|shift-subtract_divider_diagnostic|shared_trial_subtract/remainder_chain|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared trial subtract/remainder chain,89,28,2492,nonwinning; do not repeat as-is,,,,,
ex266,ex266_udiv_shift_subtract_narrow_synth_preset_d10,,,,,,ex266|shift_subtract_divider|shift-subtract_divider_diagnostic|shared_trial_subtract/remainder_chain|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,sub-int-mid-r67,,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/shared_structure_report.csv,,,,shared trial subtract/remainder chain,88,28,2464,nonwinning; do not repeat as-is,,,,,
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|lane_output_grouped_bdd|four_mod4_output_root_pools_lane_major_input_order|yosys_internal_abc_g_aig|official_truth_exact_direct_bdd|output_bit_mod4_lanes,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with output-lane BDD root isolation,direct exact BDD roots grouped by output bit modulo 4,,,,,,four output-lane BDD pools with lane-major input order,yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|symcof_keybdd_mux_share_variants|f10_k6_keybdd7_case_group|yosys_internal_abc_g_aig|official_truth_exact_symmetry_cofactor_keybdd|pair_canonical_class_groups,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with revised symmetry-cofactor key-BDD sharing,symmetry-cofactor classes with selected key-BDD bit 7 and case mux,,,,,,"same canonical pair key as current best, but case-selected class output instead of onehot",yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|symcof_keybdd_mux_share_variants|f10_k6_keybdd7_tree_group|yosys_internal_abc_g_aig|official_truth_exact_symmetry_cofactor_keybdd|pair_canonical_class_groups,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with revised symmetry-cofactor key-BDD sharing,symmetry-cofactor classes with selected key-BDD bit 7 and tree mux,,,,,,"same canonical pair key as current best, but balanced tree-selected class output",yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|symcof_keybdd_mux_share_variants|f10_k6_keybdd7_onehot_global|yosys_internal_abc_g_aig|official_truth_exact_symmetry_cofactor_keybdd|pair_canonical_class_groups,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with revised symmetry-cofactor key-BDD sharing,symmetry-cofactor classes with selected key-BDD bit 7 and global BDD sharing,,,,,,single BDD node pool shared across all outer-key representatives,yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|symcof_keybdd_mux_share_variants|f10_k6_keybdd6_7_onehot_group|yosys_internal_abc_g_aig|official_truth_exact_symmetry_cofactor_keybdd|pair_canonical_class_groups,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with revised symmetry-cofactor key-BDD sharing,symmetry-cofactor classes with two selected key-BDD output bits,,,,,,"class BDDs skip output bits 6 and 7, which are reconstructed from full canonical key BDDs",yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|symcof_keybdd_mux_share_variants|f00_k6_keybdd7_onehot_group|yosys_internal_abc_g_aig|official_truth_exact_symmetry_cofactor_keybdd|pair_canonical_class_groups,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with revised symmetry-cofactor key-BDD sharing,symmetry-cofactor classes with alternate invalid-key policy and selected key-BDD bit,,,,,,alternate f00 canonical invalid policy while keeping the key-BDD selected output bit,yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex288,,,,,,,,sub-unk-mid-r67,ex288|hamming_weight_preserving_lossy_routing_normalizer|symcof_keybdd_mux_share_variants|f10_bits_0_14_1_13_3_11_keybdd7_onehot_group|yosys_internal_abc_g_aig|official_truth_exact_symmetry_cofactor_keybdd|pair_canonical_class_groups,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,Hamming-weight routing with revised symmetry-cofactor key-BDD sharing,symmetry-cofactor classes with alternate outer-key bits and selected key-BDD bit,,,,,,moves one outer discriminator from bit 2/12 pair to bit 3/11 corridor,yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex288/notes/high_level_dossier.md
ex295,,,,,,,,sub-unk-mid-r67,ex295|cyclic_2bit_symbol_source_factoring|cell_value_cube_defaults|shared_selector_inner_wildcard_cubes|yosys_internal_abc_g_aig|official_truth_exact_partition|2bit_cell_grouped_outputs,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,cyclic 2-bit-symbol source factoring over current symbol-plane split,cell-grouped 2-bit value wildcard-cube defaults,,,,,,round21 selector/inner split plus shared per-cell wildcard predicates,yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex295/notes/high_level_dossier.md
ex295,,,,,,,,sub-unk-mid-r67,ex295|cyclic_2bit_symbol_source_factoring|bit_plane_cube_defaults|shared_selector_inner_wildcard_cubes|yosys_internal_abc_g_aig|official_truth_exact_partition|per_output_bit_default_difference,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,cyclic 2-bit-symbol source factoring over current symbol-plane split,output-bit default-difference wildcard-cube predicates,,,,,,round21 selector/inner split plus shared bit-plane wildcard predicates,yosys_internal_abc_g_aig,"local-rule, direct descriptor, recurrence screen, table-sized descriptor, and unchanged BDD/cofactor signatures",planned,student/work/frontend_source_parallel_round67_20260613_1104/sub-unk-mid-r67/ex295/notes/high_level_dossier.md
ex292,,,,,,,,sub-unk-mid-r67,No new round67 search time spent on ex292; no official candidate claimed.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,deprioritized after current_frontend_gap rebuild,no_new_search,,,,,,n/a,not_run,coordinator update removed case from >1.5 active set,deprioritized_no_candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_summaries/sub-unk-mid-r67.md
ex294,,,,,,,,sub-unk-mid-r67,No new round67 search time spent on ex294; no official candidate claimed.,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-unk-mid-r67/shared_structure_report.csv,unknown,deprioritized after current_frontend_gap rebuild,no_new_search,,,,,,n/a,not_run,coordinator update removed case from >1.5 active set,deprioritized_no_candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_summaries/sub-unk-mid-r67.md
