case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,shard_csv,domain,evaluate_log,method_signature,hypothesis,variant,method_family,representation,shared_structure,official_aig_path,path_exists,official_status,official_area,official_delay,official_adp,previous_current_adp,previous_frontend_adp,reference_adp_rebuilt,improves_current,improves_frontend,official_eval_log,official_eval_dir,official_returncode,outcome,status
ex245,ex245_r67_active_desc_dc,,1,2497,40,99880,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex245/verilog/ex245_r67_active_desc_dc.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex245/aigs/ex245_r67_active_desc_dc.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=4.069; eval_sec=0.739,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex245/logs/ex245_r67_active_desc_dc.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex245,ex245_r67_active_desc_split,,1,4680,40,187200,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex245/verilog/ex245_r67_active_desc_split.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex245/aigs/ex245_r67_active_desc_split.aig,,sub-fp8-mid-r67,official evaluate.py OK; synth_sec=6.005; eval_sec=0.757,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-fp8-mid-r67/evaluation_results.csv,float_fp8,student/work/frontend_source_parallel_round67_20260613_1104/sub-fp8-mid-r67/ex245/logs/ex245_r67_active_desc_split.evaluate.py.log,,,,,,,,,,,,,,,,,,,,,,
ex260,ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel2.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig.aig,,sub-int-mid-r67,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel2; flow=abc_g_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,baugh_wooley_wallace_csel2+abc_g_aig,signed_partial_product_carry_select,Baugh-Wooley rows with carry-select final merge,shared signed partial products and carry-select final carry,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig/ex260.aig,1,OK,92,15,1380,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig,0,official_equivalent_no_current_improvement,
ex260,ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel2.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9.aig,,sub-int-mid-r67,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d9,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,baugh_wooley_wallace_csel2+synth_preset_d9,signed_partial_product_carry_select,Baugh-Wooley rows with carry-select final merge,shared signed partial products and carry-select final carry,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9/ex260.aig,1,OK,91,14,1274,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d9,0,official_equivalent_no_current_improvement,
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig.aig,,sub-int-mid-r67,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,baugh_wooley_wallace_csel3+abc_g_aig,signed_partial_product_carry_select,Baugh-Wooley rows with carry-select final merge,shared signed partial products and carry-select final carry,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig/ex260.aig,1,OK,90,16,1440,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,0,official_equivalent_no_current_improvement,
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9.aig,,sub-int-mid-r67,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d9,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,baugh_wooley_wallace_csel3+synth_preset_d9,signed_partial_product_carry_select,Baugh-Wooley rows with carry-select final merge,shared signed partial products and carry-select final carry,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9/ex260.aig,1,OK,91,14,1274,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,0,official_equivalent_no_current_improvement,
ex260,ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel4.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig.aig,,sub-int-mid-r67,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel4; flow=abc_g_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,baugh_wooley_wallace_csel4+abc_g_aig,signed_partial_product_carry_select,Baugh-Wooley rows with carry-select final merge,shared signed partial products and carry-select final carry,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig/ex260.aig,1,OK,94,13,1222,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,0,official_equivalent_no_current_improvement,
ex260,ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel4.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9.aig,,sub-int-mid-r67,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel4; flow=synth_preset_d9,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_partial_product_carry_select|Baugh-Wooley_rows_with_carry-select_final_merge|shared_signed_partial_products_and_carry-select_final_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,baugh_wooley_wallace_csel4+synth_preset_d9,signed_partial_product_carry_select,Baugh-Wooley rows with carry-select final merge,shared signed partial products and carry-select final carry,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9/ex260.aig,1,OK,95,15,1425,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d9,0,official_equivalent_no_current_improvement,
ex260,ex260_smul_split2_csa_diag_default,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/verilog/ex260_smul_split2_csa_diag.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/aigs/ex260_smul_split2_csa_diag_default.aig,,sub-int-mid-r67,custom worker diagnostic; exact split-half signed subproducts with carry-save recombination; official evaluate.py result recorded,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex260|signed_split2_carrysave_diag|2x2_signed_subproducts_with_CSA_recombine|shared_2x2_subproducts_and_carrysave_merge|default_yosys_abc_AND|signed_low4_high4_multiply|full_product_word,signed low4_high4:a*b,split2_csa_diag+default_yosys_abc_AND,signed_split2_carrysave_diag,2x2 signed subproducts with CSA recombine,shared 2x2 subproducts and carry-save merge,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_split2_csa_diag_default/ex260.aig,1,OK,103,18,1854,1066,1144,657,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/logs/ex260_smul_split2_csa_diag_default.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex260/official_eval/ex260_smul_split2_csa_diag_default,0,official_equivalent_no_current_improvement,
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/aigs/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig.aig,,sub-int-mid-r67,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_blo1_a_hi1_wordmux; flow=abc_g_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_blo1_a_hi1_wordmux+abc_g_aig,cofactor_wordmux_classifier,alternate quotient cofactor word mux,shared quotient-word mux and local bit-BDD cofactors,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig/ex266.aig,1,OK,182,12,2184,1296,1480,848,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/logs/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_abc_g_aig,0,official_equivalent_no_current_improvement,
ex266,ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/aigs/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10.aig,,sub-int-mid-r67,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi2_blo1_a_hi1_wordmux; flow=synth_preset_d10,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi2_blo1_a_hi1_wordmux+synth_preset_d10,cofactor_wordmux_classifier,alternate quotient cofactor word mux,shared quotient-word mux and local bit-BDD cofactors,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10/ex266.aig,1,OK,171,11,1881,1296,1480,848,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/logs/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi2_blo1_a_hi1_wordmux_synth_preset_d10,0,official_equivalent_no_current_improvement,
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/aigs/ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig.aig,,sub-int-mid-r67,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi2_wordmux; flow=abc_g_aig,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|abc_g_aig|unsigned_low5_high5_div_dbz_sat|quotient_word,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi2_wordmux+abc_g_aig,cofactor_wordmux_classifier,alternate quotient cofactor word mux,shared quotient-word mux and local bit-BDD cofactors,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig/ex266.aig,1,OK,166,10,1660,1296,1480,848,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/logs/ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi3_a_hi2_wordmux_abc_g_aig,0,official_equivalent_no_current_improvement,
ex266,ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10,,,,,,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/verilog/ex266_udiv_cof_bhi3_a_hi2_wordmux.v,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/aigs/ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10.aig,,sub-int-mid-r67,unsigned low5_high5:a/b dbz=max exact; source=udiv_cof_bhi3_a_hi2_wordmux; flow=synth_preset_d10,student/frontend_campaigns/campaigns/frontend_source_parallel_round67_20260613_1104/agent_shards/sub-int-mid-r67/evaluation_results.csv,,,ex266|cofactor_wordmux_classifier|alternate_quotient_cofactor_word_mux|shared_quotient-word_mux_and_local_bit-BDD_cofactors|synth_preset_d10|unsigned_low5_high5_div_dbz_sat|quotient_word,unsigned lowN_highN:a/b dbz=max,udiv_cof_bhi3_a_hi2_wordmux+synth_preset_d10,cofactor_wordmux_classifier,alternate quotient cofactor word mux,shared quotient-word mux and local bit-BDD cofactors,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10/ex266.aig,1,OK,163,10,1630,1296,1480,848,0,0,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/logs/ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10.evaluate.py.log,student/work/frontend_source_parallel_round67_20260613_1104/sub-int-mid-r67/ex266/official_eval/ex266_udiv_cof_bhi3_a_hi2_wordmux_synth_preset_d10,0,official_equivalent_no_current_improvement,
