case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset,unsigned low5_high5:a/b dbz=max,ex266_cof_bhi2_a4_bitbdd_wordmux+synth_preset,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset.aig,1,1,148,10,1480,848,1.745283,0,0,semantic_udiv_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex266_frontend_udiv_deeper_wordmux_20260609_1138/results/candidates.csv,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux.v,student/work/ex266_frontend_udiv_deeper_wordmux_20260609_1138/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=ex266_cof_bhi2_a4_bitbdd_wordmux; flow=synth_preset
ex267,ex267_udiv_hybrid_top2_deep_abc_g_aig_d10,unsigned lowN_highN:a/b dbz=max,udiv_hybrid_top2_deep+abc_g_aig_d10,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex267/verilog/ex267_udiv_hybrid_top2_deep_abc_g_aig_d10.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex267/aigs/ex267_udiv_hybrid_top2_deep_abc_g_aig_d10.aig,1,1,340,12,4080,2651,1.539042,0,0,semantic_udiv_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex267_frontend_udiv_hybrid_top2_flow_20260609_1805/results/candidates.csv,student/work/ex267_frontend_udiv_hybrid_top2_flow_20260609_1805/ex267/verilog/ex267_udiv_hybrid_top2_deep.v,student/work/ex267_frontend_udiv_hybrid_top2_flow_20260609_1805/ex267/aigs/ex267_udiv_hybrid_top2_deep_abc_g_aig_d10.aig,unsigned low6_high6:a/b dbz=max exact; source=udiv_hybrid_top2_deep; flow=abc_g_aig_d10
ex268,ex268_udiv_denom_lz_range_direct_synth_preset_d18,unsigned low7_high7:a/b dbz=max,denom_lz_range_direct+synth_preset_d18,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex268/verilog/ex268_udiv_denom_lz_range_direct_synth_preset_d18.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset_d18.aig,1,1,199,53,10547,7446,1.416465,1,0,semantic_udiv_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex268_ex269_frontend_udiv_lz_range_20260609_0915/results/candidates.csv,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/verilog/ex268_udiv_denom_lz_range_direct.v,student/work/ex268_ex269_frontend_udiv_lz_range_20260609_0915/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset_d18
ex269,ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_gt_guard+synth_preset,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex269/verilog/ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,1,1,382,42,16044,11760,1.364286,1,0,semantic_udiv_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/results/candidates.csv,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/verilog/ex269_udiv_radix4_shift_subtract_gt_guard.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_shift_20260609_1110/ex269/aigs/ex269_udiv_radix4_shift_subtract_gt_guard_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_gt_guard; flow=synth_preset
ex270,ex270_square_wallace_square_outside_csel5_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex270/verilog/ex270_square_wallace_square_outside_csel5_synth_preset.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex270/aigs/ex270_square_wallace_square_outside_csel5_synth_preset.aig,1,1,191,17,3247,2076,1.564066,0,0,square_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex270_ex271_square_fullcase_20260609_1138/results/candidates.csv,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_csel5.v,student/work/ex270_ex271_square_fullcase_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_csel5_synth_preset.aig,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_csel5; flow=synth_preset
ex271,ex271_square_wallace_square_outside_csel4_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel4+synth_preset_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex271/verilog/ex271_square_wallace_square_outside_csel4_synth_preset_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex271/aigs/ex271_square_wallace_square_outside_csel4_synth_preset_d20.aig,1,1,331,25,8275,5542,1.493143,1,0,square_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex270_ex274_square_carryselect2_20260609_1138/results/candidates.csv,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_csel4.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_csel4_synth_preset_d20.aig,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_csel4; flow=synth_preset_d20
ex272,ex272_square_wallace_square_outside_csel5_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel5+synth_preset_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex272/verilog/ex272_square_wallace_square_outside_csel5_synth_preset_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex272/aigs/ex272_square_wallace_square_outside_csel5_synth_preset_d20.aig,1,1,507,32,16224,10880,1.491176,1,0,square_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex270_ex274_square_carryselect2_20260609_1138/results/candidates.csv,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex272/verilog/ex272_square_wallace_square_outside_csel5.v,student/work/ex270_ex274_square_carryselect2_20260609_1138/ex272/aigs/ex272_square_wallace_square_outside_csel5_synth_preset_d20.aig,exact unsigned 12-bit square x*x over 4096 inputs; source=wallace_square_outside_csel5; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_perbit+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex273/verilog/ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig.aig,1,1,797,33,26301,15078,1.744329,0,0,square_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/results/candidates.csv,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/verilog/ex273_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_perbit_20260609_1240/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig.aig,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_perbit; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_synth_preset.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset.aig,1,1,985,42,41370,21630,1.912621,0,0,square_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/results/candidates.csv,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_hybrid_bddtop_trunc_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset.aig,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset
ex275,ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_ge_bitwise+arith_wreduce_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig.aig,1,1,48,7,336,204,1.647059,0,0,sqrt_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/results/candidates.csv,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/verilog/ex275_isqrt_prefix3_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_shared_ge_20260609_1656/ex275/aigs/ex275_isqrt_prefix3_ge_bitwise_arith_wreduce_aig.aig,exact unsigned floor isqrt over 256 inputs; source=prefix3_ge_bitwise; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d10,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10.aig,1,1,101,10,1010,632,1.598101,0,0,sqrt_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/results/candidates.csv,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_prefix_ge_tree_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10.aig,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d10
ex277,ex277_isqrt_cofbdd4_reverse_synth_preset_d10,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset_d10,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex277/verilog/ex277_isqrt_cofbdd4_reverse_synth_preset_d10.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset_d10.aig,1,1,237,12,2844,1980,1.436364,1,0,sqrt_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/results/candidates.csv,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex277/verilog/ex277_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset_d10.aig,exact unsigned floor isqrt over 4096 inputs; source=cofbdd4_reverse; flow=synth_preset_d10
ex278,ex278_isqrt_prefix5_range_synth_preset_d10,unsigned_floor_isqrt,prefix5_range+synth_preset_d10,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex278/verilog/ex278_isqrt_prefix5_range_synth_preset_d10.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex278/aigs/ex278_isqrt_prefix5_range_synth_preset_d10.aig,1,1,502,14,7028,5198,1.352058,1,0,sqrt_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/results/candidates.csv,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex278/verilog/ex278_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex278/aigs/ex278_isqrt_prefix5_range_synth_preset_d10.aig,exact unsigned floor isqrt over 16384 inputs; source=prefix5_range; flow=synth_preset_d10
ex279,ex279_isqrt_radix4_wires_synth_preset_d10,unsigned_floor_isqrt,radix4_wires+synth_preset_d10,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex279/verilog/ex279_isqrt_radix4_wires_synth_preset_d10.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex279/aigs/ex279_isqrt_radix4_wires_synth_preset_d10.aig,1,1,334,42,14028,10952,1.280862,1,0,sqrt_specific_structural_rtl,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex275_ex279_frontend_isqrt_new_structures_all_20260609_1618/results/candidates.csv,student/work/ex275_ex279_frontend_isqrt_new_structures_all_20260609_1618/ex279/verilog/ex279_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_new_structures_all_20260609_1618/ex279/aigs/ex279_isqrt_radix4_wires_synth_preset_d10.aig,exact unsigned floor isqrt over 65536 inputs; source=radix4_wires; flow=synth_preset_d10
