case,domain,agent_id,hypothesis,variant,method_signature,stage,status,reason,verilog_path,aig_path,log_path,next_action,notes
ex240,float_fp8,float-fp8-agent,E4M3FN packed add,semantic_add_same_grs_diff_grs,ex240|E4M3FN packed add|formula-based diff-sign GRS cancellation normalizer|shared gap-clamped decode with separate same and diff arithmetic paths|synth_preset_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,,NOT_EQUIV,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/float-fp8-agent/ex240/verilog/ex240_semantic_add_same_grs_diff_grs.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/float-fp8-agent/ex240/aigs/ex240_semantic_add_same_grs_diff_grs_synth_preset_aig_round2priority.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/float-fp8-agent/ex240/logs/ex240_semantic_add_same_grs_diff_grs_synth_preset_aig_round2priority.evaluate.log,,
ex287,unknown,unknown-highgap-agent,round2_shared_root_bdd,outside_in_root,ex287|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex287/logs/ex287_round2_outside_in_root_bdd_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex288,unknown,unknown-highgap-agent,round2_shared_root_bdd,outside_in_root,ex288|hamming_weight_preserving_lossy_routing_normalizer|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_routing_roots|full word root BDD outside-in routing order,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex288/logs/ex288_round2_outside_in_root_bdd_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex297,unknown,unknown-highgap-agent,round2_shared_root_bdd,outside_in_root,ex297|cyclic 2-bit-symbol ring descriptor|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_ring_roots|full word root BDD outside-in ring order,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex297/logs/ex297_round2_outside_in_root_bdd_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex299,unknown,unknown-highgap-agent,round2_shared_root_bdd,outside_in_root,ex299|cyclic 2-bit-symbol ring descriptor|shared_outside_in_root_bdd|single shared BDD node pool over all output roots|abc_g_aig|official_truth_shared_ring_roots|full word root BDD outside-in ring order,qor,,official equivalent but did not improve current frontend best,,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-highgap-agent/ex299/logs/ex299_round2_outside_in_root_bdd_abc_g_aig.evaluate.log,,recorded by unknown-highgap-agent
ex294,unknown,unknown-state-agent,,,ex294|global state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_sparse_linear_rotate_descriptor|all output roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 2282040 does not beat current frontend 246698,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex294/verilog/ex294_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex294/aigs/ex294_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex294/logs/ex294_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; bdd_nodes=41652; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8
ex292,unknown,unknown-state-agent,,,ex292|global state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_sparse_linear_rotate_descriptor|all output roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 627325 does not beat current frontend 142170,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex292/verilog/ex292_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex292/aigs/ex292_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex292/logs/ex292_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; bdd_nodes=13734; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7
ex295,unknown,unknown-state-agent,,,ex295|nonlocal ring/cell descriptor with cumulative bridge roots|cell-prefix bridge descriptor shared BDD|single representative-root BDD pool over cumulative two-bit cell descriptors|abc_g_aig|official_truth_exact_nonlocal_cell_descriptor|all pair-cell outputs share descriptor node pool,low_value_official_equivalent,,official evaluate.py OK but ADP 263926 does not beat current frontend 138448,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex295/verilog/ex295_cell_prefix_bridge_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex295/aigs/ex295_cell_prefix_bridge_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex295/logs/ex295_cell_prefix_bridge_shared_bdd_abc_g_aig.evaluate.log,,descriptor=cell_prefix_bridge; bdd_nodes=5913; order=0:11:10:1:2:9:8:3:4:7:6:5
ex294,unknown,unknown-state-agent,,,ex294|sparse correction over cyclic I plus R^-2 linear state|linear rotate base plus descriptor-key shared residual BDD|shared linear base and single residual BDD node pool|abc_g_aig|official_truth_exact_linear_rotate_residual|all output residual roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 2740256 does not beat current frontend 246698,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex294/verilog/ex294_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex294/aigs/ex294_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex294/logs/ex294_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=cyclic_ir2; bdd_nodes=46156; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8
ex292,unknown,unknown-state-agent,,,ex292|sparse correction over cyclic I plus R^-2 linear state|linear rotate base plus descriptor-key shared residual BDD|shared linear base and single residual BDD node pool|abc_g_aig|official_truth_exact_linear_rotate_residual|all output residual roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 747225 does not beat current frontend 142170,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex292/verilog/ex292_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex292/aigs/ex292_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex292/logs/ex292_cyclic_ir2_stride2_prefix_delta_residual_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=cyclic_ir2; bdd_nodes=14970; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7
ex295,unknown,unknown-state-agent,,,ex295|nonlocal 2-bit cell rotate base with shared residual roots|cell rot2 xor base plus cell-prefix bridge residual BDD|shared cell base and single residual BDD node pool|abc_g_aig|official_truth_exact_cell_rotate_residual|all pair-cell residual outputs share descriptor node pool,low_value_official_equivalent,,official evaluate.py OK but ADP 268569 does not beat current frontend 138448,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex295/verilog/ex295_cell_rot2_xor_cell_prefix_bridge_residual_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex295/aigs/ex295_cell_rot2_xor_cell_prefix_bridge_residual_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex295/logs/ex295_cell_rot2_xor_cell_prefix_bridge_residual_shared_bdd_abc_g_aig.evaluate.log,,descriptor=cell_prefix_bridge; base=cell_rot2_xor; bdd_nodes=6007; order=0:11:10:1:2:9:8:3:4:7:6:5
ex290,unknown,unknown-state-agent,,,ex290|global state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_sparse_linear_rotate_descriptor|all output roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 162120 does not beat current frontend 61992,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex290/verilog/ex290_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex290/aigs/ex290_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex290/logs/ex290_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=none; bdd_nodes=4190; order=0:11:1:10:2:9:3:8:4:7:5:6
ex291,unknown,unknown-state-agent,,,ex291|global state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_sparse_linear_rotate_descriptor|all output roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 342696 does not beat current frontend 97545,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex291/verilog/ex291_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex291/aigs/ex291_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex291/logs/ex291_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=none; bdd_nodes=7734; order=0:12:1:11:2:10:3:9:4:8:5:7:6
ex293,unknown,unknown-state-agent,,,ex293|global state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_sparse_linear_rotate_descriptor|all output roots over transformed state key,low_value_official_equivalent,,official evaluate.py OK but ADP 1162485 does not beat current frontend 144972,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex293/verilog/ex293_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex293/aigs/ex293_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex293/logs/ex293_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=none; bdd_nodes=23768; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7
ex296,unknown,unknown-state-agent,,,ex296|open-boundary state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible open stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_open_sparse_linear_descriptor|all output roots over transformed open state key,low_value_official_equivalent,,official evaluate.py OK but ADP 357840 does not beat current frontend 143792,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex296/verilog/ex296_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex296/aigs/ex296_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex296/logs/ex296_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=none; bdd_nodes=8476; order=0:12:1:11:2:10:3:9:4:8:5:7:6
ex298,unknown,unknown-state-agent,,,ex298|open-boundary state transform with sparse stride-2 delta roots|descriptor-key shared BDD after invertible open stride-2 prefix-delta transform|single multi-output BDD node pool plus shared descriptor wires|abc_g_aig|official_truth_exact_open_sparse_linear_descriptor|all output roots over transformed open state key,low_value_official_equivalent,,official evaluate.py OK but ADP 1570901 does not beat current frontend 645639,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex298/verilog/ex298_stride2_prefix_delta_shared_bdd_abc_g_aig.v,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex298/aigs/ex298_stride2_prefix_delta_shared_bdd_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-state-agent/ex298/logs/ex298_stride2_prefix_delta_shared_bdd_abc_g_aig.evaluate.log,,descriptor=stride2_prefix_delta; base=none; bdd_nodes=31591; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7
