case,domain,agent_id,method_signature,shared_structure,sharing_scope,estimated_benefit,evidence_path,notes
ex240,float_fp8,float-fp8-agent,ex240|E4M3FN packed add|same-sign delta table plus compact diff parameter normalizer|shared magnitude ordering with separate active same/diff correction paths|synth_preset_aig|exact_e4m3fn_add_high_plus_low|split_same_diff_paths,,split_same_diff_paths,OK,,OK
ex241,float_fp8,float-fp8-agent,ex241|E4M3FN packed multiply|product exponent formula with whole-magnitude exception overlay|shared product and exponent-sum decode|synth_preset_aig|exact_e4m3fn_mul_high_times_low|formula_with_exception_overlay,,formula_with_exception_overlay,OK,,OK
ex242,float_fp8,float-fp8-agent,ex242|E4M3FN packed low-over-high division|quotient formula with bitwise boundary exceptions|shared exponent-delta quotient decode and per-bit overlay|synth_preset_aig|exact_e4m3fn_div_low_over_high|formula_with_bit_exception_overlay,,formula_with_bit_exception_overlay,OK,,OK
ex244,float_fp8,float-fp8-agent,ex244|E4M3FN packed hypot|gap/sig threshold pack without max-eff BDD|shared max/min decode and packed delta threshold predicates|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_bits,,threshold_delta_predicate_bits,OK,,OK
ex245,float_fp8,float-fp8-agent,ex245|E5M2FN packed add|separate same-sign and diff-sign sorted-magnitude BDDs|shared sorted operand decode with split sign-path BDD predicates|synth_preset_aig|exact_e5m2fn_add_high_plus_low|split_same_diff_bdd_outputs,,split_same_diff_bdd_outputs,OK,,OK
ex246,float_fp8,float-fp8-agent,ex246|E5M2FN packed multiply|hand-written product leading-bit/RNE normalizer|shared significand product and exponent-sum normalizer|synth_preset_aig|exact_e5m2fn_mul_high_times_low|single_product_normalizer,,single_product_normalizer,OK,,OK
ex247,float_fp8,float-fp8-agent,ex247|E5M2FN packed low-over-high division|sig-pair ratio exponent-offset formula|shared sigpair quotient class and exponent-delta boundaries|synth_preset_aig|exact_e5m2fn_div_low_over_high|sigpair_class_formula,,sigpair_class_formula,OK,,OK
ex248,float_fp8,float-fp8-agent,ex248|E5M2FN packed fmod|shifted significand modulo with shared normalization table|shared exponent delta and divisor-significand modulo path|synth_preset_aig|exact_e5m2fn_fmod_low_by_high|arithmetic_modulo_normalizer,,arithmetic_modulo_normalizer,OK,,OK
ex249,float_fp8,float-fp8-agent,ex249|E5M2FN packed hypot|max magnitude plus interleaved delta BDD|shared abs max/min decode and delta BDD|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|max_plus_delta_shared_bdd,,max_plus_delta_shared_bdd,OK,,OK
ex253,float_fp8,float-fp8-agent,ex253|unsigned 2-bit lane reduction to E4M3FN|balanced lane-sum tree with reachable lane-sum qcase|shared balanced lane adder tree and quantization case|synth_preset_aig|exact_u2_sum8_times2_to_e4m3fn|balanced_sum_quant_case,,balanced_sum_quant_case,OK,,OK
ex260,integer,integer-agent,ex260|hand-minimized_shared_signed_4x4_product_predicates|multi-output_shared_QMC_cube_cover_over_signed_product_bits|shared_predicate_cubes_reused_across_all_output_bits|abc_g_aig|signed_low4_high4_multiply|full_product_word,shared predicate cubes reused across all output bits,,hand-minimized shared signed 4x4 product predicates,,hand-minimized shared signed 4x4 product predicates
ex260,integer,integer-agent,ex260|hand-minimized_shared_signed_4x4_product_predicates|multi-output_shared_QMC_cube_cover_over_signed_product_bits|shared_predicate_cubes_reused_across_all_output_bits|synth_preset_d10|signed_low4_high4_multiply|full_product_word,shared predicate cubes reused across all output bits,,hand-minimized shared signed 4x4 product predicates,,hand-minimized shared signed 4x4 product predicates
ex260,integer,integer-agent,ex260|sign-cofactored_shared_signed_4x4_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|abc_g_aig|signed_low4_high4_multiply|full_product_word,shared cubes inside each sign quadrant and one product word mux,,sign-cofactored shared signed 4x4 product predicates,,sign-cofactored shared signed 4x4 product predicates
ex260,integer,integer-agent,ex260|sign-cofactored_shared_signed_4x4_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|synth_preset_d10|signed_low4_high4_multiply|full_product_word,shared cubes inside each sign quadrant and one product word mux,,sign-cofactored shared signed 4x4 product predicates,,sign-cofactored shared signed 4x4 product predicates
ex266,integer,integer-agent,"ex266|smaller_predicates_inside_current_cofactor_word-mux_structure|shared_cube_covers_per_{b[4:3],a[4]}_cofactor|shared_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|abc_g_aig|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",shared cofactor-local predicate cubes plus one quotient word mux,,smaller predicates inside current cofactor word-mux structure,,smaller predicates inside current cofactor word-mux structure
ex266,integer,integer-agent,"ex266|smaller_predicates_inside_current_cofactor_word-mux_structure|shared_cube_covers_per_{b[4:3],a[4]}_cofactor|shared_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|synth_preset_d10|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",shared cofactor-local predicate cubes plus one quotient word mux,,smaller predicates inside current cofactor word-mux structure,,smaller predicates inside current cofactor word-mux structure
ex266,integer,integer-agent,"ex266|deeper_cofactor_predicate_sharing_inside_quotient_word_mux|shared_cube_covers_per_{b[4:3],a[4:3]}_cofactor|deeper_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|abc_g_aig|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",deeper cofactor-local predicate cubes plus one quotient word mux,,deeper cofactor predicate sharing inside quotient word mux,,deeper cofactor predicate sharing inside quotient word mux
ex266,integer,integer-agent,"ex266|deeper_cofactor_predicate_sharing_inside_quotient_word_mux|shared_cube_covers_per_{b[4:3],a[4:3]}_cofactor|deeper_cofactor-local_predicate_cubes_plus_one_quotient_word_mux|synth_preset_d10|unsigned_low5_high5_divide_dbz=max|whole_quotient_word",deeper cofactor-local predicate cubes plus one quotient word mux,,deeper cofactor predicate sharing inside quotient word mux,,deeper cofactor predicate sharing inside quotient word mux
ex256,integer,integer-agent,ex256|real_shared_partial-product_and_high-carry_recomposition|low4_product_plus_top-bit_cross_rows_with_explicit_CSA_high_merge|shared_partial-product_rows_and_two-stage_carry-save_high_correction|abc_g_aig|unsigned_low5_high5_multiply|full_product_word,shared partial-product rows and two-stage carry-save high correction,,real shared partial-product and high-carry recomposition,,real shared partial-product and high-carry recomposition
ex256,integer,integer-agent,ex256|real_shared_partial-product_and_high-carry_recomposition|low4_product_plus_top-bit_cross_rows_with_explicit_CSA_high_merge|shared_partial-product_rows_and_two-stage_carry-save_high_correction|synth_preset_d18|unsigned_low5_high5_multiply|full_product_word,shared partial-product rows and two-stage carry-save high correction,,real shared partial-product and high-carry recomposition,,real shared partial-product and high-carry recomposition
ex256,integer,integer-agent,ex256|partial-product_high-bit_rows_without_CSA_staging|low4_product_plus_direct_top-bit_cross-row_sum|shared_low_partial_products_and_explicit_top-bit_correction_rows|abc_g_aig|unsigned_low5_high5_multiply|full_product_word,shared low partial products and explicit top-bit correction rows,,partial-product high-bit rows without CSA staging,,partial-product high-bit rows without CSA staging
ex256,integer,integer-agent,ex256|truth-guided_high-bit_cofactor_product_predicates|a[4]/b[4]_cofactor_mux_with_shared_local_cube_covers|shared_local_product_predicates_inside_high-bit_cofactors|synth_preset_d18|unsigned_low5_high5_multiply|full_product_word,shared local product predicates inside high-bit cofactors,,truth-guided high-bit cofactor product predicates,,truth-guided high-bit cofactor product predicates
ex261,integer,integer-agent,ex261|sign-cofactored_shared_signed_5x5_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|abc_g_aig|signed_low5_high5_multiply|full_product_word,shared cubes inside each sign quadrant and one product word mux,,sign-cofactored shared signed 5x5 product predicates,,sign-cofactored shared signed 5x5 product predicates
ex261,integer,integer-agent,ex261|sign-cofactored_shared_signed_5x5_product_predicates|sign-bit_cofactor_mux_with_shared_local_cube_covers|shared_cubes_inside_each_sign_quadrant_and_one_product_word_mux|synth_preset_d13|signed_low5_high5_multiply|full_product_word,shared cubes inside each sign quadrant and one product word mux,,sign-cofactored shared signed 5x5 product predicates,,sign-cofactored shared signed 5x5 product predicates
ex270,integer,integer-agent,ex270|square_compressor_row_depth_can_improve_with_4:2_style_counters|triangular_square_columns_with_counter4x_carry-select_merge|shared_square_cross_terms_and_wider_column_counters|abc_g_aig|unsigned_square_x*x|full_square_word,shared square cross terms and wider column counters,,square compressor row depth can improve with 4:2 style counters,,square compressor row depth can improve with 4:2 style counters
ex270,integer,integer-agent,ex270|square_compressor_row_depth_can_improve_with_4:2_style_counters|triangular_square_columns_with_counter4x_carry-select_merge|shared_square_cross_terms_and_wider_column_counters|synth_preset_d18|unsigned_square_x*x|full_square_word,shared square cross terms and wider column counters,,square compressor row depth can improve with 4:2 style counters,,square compressor row depth can improve with 4:2 style counters
ex270,integer,integer-agent,ex270|MSB_split_may_reduce_square_high-carry_pressure|MSB-cofactored_lower_Wallace_square_with_csel6|shared_lower_square_and_high_correction_rows|abc_g_aig|unsigned_square_x*x|full_square_word,shared lower square and high correction rows,,MSB split may reduce square high-carry pressure,,MSB split may reduce square high-carry pressure
ex276,integer,integer-agent,ex276|lower-bit_shared_classifier_below_prefix4_can_replace_local_ge_formulas|prefix4_cofactor_shared_cube_covers|shared_local_cubes_reused_by_all_sqrt_output_bits|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,shared local cubes reused by all sqrt output bits,,lower-bit shared classifier below prefix4 can replace local ge formulas,,lower-bit shared classifier below prefix4 can replace local ge formulas
ex276,integer,integer-agent,ex276|lower-bit_shared_classifier_below_prefix4_can_replace_local_ge_formulas|prefix4_cofactor_shared_cube_covers|shared_local_cubes_reused_by_all_sqrt_output_bits|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,shared local cubes reused by all sqrt output bits,,lower-bit shared classifier below prefix4 can replace local ge formulas,,lower-bit shared classifier below prefix4 can replace local ge formulas
ex276,integer,integer-agent,ex276|coarser_prefix_decoder_may_reduce_mux_overhead_for_lower_classifier|prefix3_cofactor_shared_cube_covers|shared_local_cubes_reused_by_all_sqrt_output_bits|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,shared local cubes reused by all sqrt output bits,,coarser prefix decoder may reduce mux overhead for lower classifier,,coarser prefix decoder may reduce mux overhead for lower classifier
ex277,integer,integer-agent,ex277|cofbdd4_can_be_refined_with_shared_local_decoder_cubes|4-bit_high_cofactor_shared_cube_word_mux|shared_local_cubes_and_one_sqrt_word_mux|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,shared local cubes and one sqrt word mux,,cofbdd4 can be refined with shared local decoder cubes,,cofbdd4 can be refined with shared local decoder cubes
ex225,fp16,unary-agent,ex225|fp16_log_family_sparse_residual_compression|sparse_per_hi_low14_residual_defaults|shared_special_sign_exp_decode_plus_high_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_sparse_low14_residual,shared_special_sign_exp_decode_plus_high_bit_run_trees,high_bits_run_trees_sparse_low14_residual,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction",,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24918; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction"
ex223,fp16,unary-agent,ex223|fp16_log_family_sparse_residual_compression|sparse_per_hi_low14_residual_defaults|shared_special_sign_exp_decode_plus_high_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_sparse_low14_residual,shared_special_sign_exp_decode_plus_high_bit_run_trees,high_bits_run_trees_sparse_low14_residual,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction",,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=14; nested_hi=5; nested_lo=5; hi_groups=960; dense_entries=30720; sparse_overrides=24732; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; truth-derived decomposition exact by construction"
ex224,fp16,unary-agent,ex224|fp16_log_family_sparse_residual_compression|sparse_per_hi_low12_residual_defaults|shared_special_sign_exp_decode_plus_high_bit_run_trees|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_sparse_low12_residual,shared_special_sign_exp_decode_plus_high_bit_run_trees,high_bits_run_trees_sparse_low12_residual,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=12; nested_hi=6; nested_lo=4; hi_groups=1920; dense_entries=30720; sparse_overrides=20072; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; truth-derived decomposition exact by construction",,"positive-normal high-bit run trees plus sparse default residual low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; sparse_low_width=12; nested_hi=6; nested_lo=4; hi_groups=1920; dense_entries=30720; sparse_overrides=20072; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; truth-derived decomposition exact by construction"
ex200,bf16,unary-agent,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,shared_sign_exp_decode_per_hi_sparse_residual,full_word_sparse_signexp_hilo,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273,,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=480; variable_groups=32; hi_groups=256; dense_entries=4096; sparse_overrides=2273
ex204,bf16,unary-agent,ex204|bf16_log2_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_gates|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,shared_sign_exp_decode_per_hi_sparse_residual,full_word_sparse_signexp_hilo,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=6551,,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=6551
ex205,bf16,unary-agent,ex205|bf16_log10_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo,shared_sign_exp_decode_per_hi_sparse_residual,full_word_sparse_signexp_hilo,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=5584,,bf16 sparse sign_exp residual table; hi_bits=3; lo_bits=4; const_groups=257; variable_groups=255; hi_groups=2040; dense_entries=32640; sparse_overrides=5584
ex281,unknown,unknown-gf2-agent,ex281|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,shared_overlapping_linear_roots_with_linear_corrections,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex281/logs/ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,coord_width=18; candidate_products=8342; unique_products=38; roots=24; selected_terms=43; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 8192 rows; hash=52db2f74c162
ex282,unknown,unknown-gf2-agent,ex282|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,shared_overlapping_linear_roots_with_linear_corrections,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex282/logs/ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,coord_width=19; candidate_products=8254; unique_products=40; roots=26; selected_terms=45; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 16384 rows; hash=849a30061f66
ex280,unknown,unknown-gf2-agent,ex280|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,shared_overlapping_linear_roots_with_linear_corrections,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex280/logs/ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,coord_width=17; candidate_products=7240; unique_products=36; roots=22; selected_terms=41; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 4096 rows; hash=ec3b18668ee4
ex289,unknown,unknown-gf2-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_pairdelta_symcof|pair_shared_duality_wrapper_and_group_bdd_cofactors|yosys_abc_g_aig|exact_complement_reverse_duality|paired_output_delta_wrapper,pair_shared_duality_wrapper_and_group_bdd_cofactors,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/logs/ex289_duality_split2_pairdelta_f10_onehot_group_abc_g_aig.evaluate.log,"pairdelta_wrapper=1; pairs=3:4,5:6,7:8,9:10; order=interleave; policy=f10; mux_style=onehot; bdd_share=group; outer_bits=0:1:11:12; inner_bits=2:3:4:5:6:7:8:9:10:13:14; classes=14; group_nodes=190:196:196:180:183:199:199:169:183:169:168:178:178:187; total_group_nodes=2575; anf_bits=; key_bdd_bits=bits=:nodes=0; popcount_repair_bits=; parity_repair_bits=; exact duality-wrapped symcof model over 65536 inputs; hash=60544531d264"
ex289,unknown,unknown-gf2-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split2_group_symcof_resynth|group_bdd_node_sharing_with_existing_xor_wrapper|yosys_abc_g_gates|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,group_bdd_node_sharing_with_existing_xor_wrapper,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex289/logs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2.evaluate.log,existing compact split2 group-xor source resynthesized with abc_g_gates; official evaluate.py is equivalence source
ex283,unknown,unknown-gf2-agent,ex283|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,shared_overlapping_linear_roots_with_linear_corrections,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex283/logs/ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,coord_width=20; candidate_products=8164; unique_products=43; roots=29; selected_terms=49; linear_correction_bits=2; terms_by_bit=1:3:2:2:2:2:2:2:2:2:3:7:6:7:6; hash_pending=1; exact Python model over 32768 rows; hash=f12ea272c7fd
ex284,unknown,unknown-gf2-agent,ex284|quartic_gf2_event_filter|overlap_root_product_basis_small_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,shared_overlapping_linear_roots_with_linear_corrections,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/logs/ex284_gf2_overlap_roots_small_roots_balanced_abc_g_aig.evaluate.log,coord_width=21; candidate_products=8093; unique_products=57; roots=30; selected_terms=64; linear_correction_bits=1; terms_by_bit=1:3:2:2:2:2:2:2:2:4:3:4:8:9:9:9; hash_pending=1; exact Python model over 65536 rows; hash=819dcc5fa931
ex284,unknown,unknown-gf2-agent,ex284|quartic_gf2_event_filter|overlap_root_product_basis_wide_roots|shared_overlapping_linear_roots_with_linear_corrections|yosys_abc_g_aig|exact_full_clamp_mux_coordinate_degree2|balanced_multi_output_root_product_xor,shared_overlapping_linear_roots_with_linear_corrections,multi_output,tested_by_official_evaluate,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unknown-gf2-agent/ex284/logs/ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig.evaluate.log,coord_width=21; candidate_products=16980; unique_products=44; roots=30; selected_terms=49; linear_correction_bits=3; terms_by_bit=1:3:2:2:2:2:2:2:2:2:2:3:7:4:5:8; hash_pending=1; exact Python model over 65536 rows; hash=5ca96cc6aab4
ex286,unknown,unknown-highgap-agent,,shared anchored delta key wires with outside-in split,,invertible key: anchors 0/1 plus key[i]=in[i]^in[i-2],,invertible key: anchors 0/1 plus key[i]=in[i]^in[i-2]
ex287,unknown,unknown-highgap-agent,,shared anchored delta key wires with outside-in split,,invertible key: anchors 0/1 plus key[i]=in[i]^in[i-2],,invertible key: anchors 0/1 plus key[i]=in[i]^in[i-2]
ex299,unknown,unknown-highgap-agent,,shared anchored delta key wires with outside-in split,,invertible key: anchors 0/1 plus key[i]=in[i]^in[i-2],,invertible key: anchors 0/1 plus key[i]=in[i]^in[i-2]
ex285,unknown,unknown-highgap-agent,,single shared BDD node pool over all output roots,,order_name=outside_in_root; order=0:11:1:10:2:9:3:8:4:7:5:6; bdd_nodes=595,,order_name=outside_in_root; order=0:11:1:10:2:9:3:8:4:7:5:6; bdd_nodes=595
ex286,unknown,unknown-highgap-agent,,single shared BDD node pool over all output roots,,order_name=outside_in_root; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=837,,order_name=outside_in_root; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=837
ex287,unknown,unknown-highgap-agent,,single shared BDD node pool over all output roots,,order_name=outside_in_root; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=1088,,order_name=outside_in_root; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=1088
ex288,unknown,unknown-highgap-agent,,single shared BDD node pool over all output roots,,order_name=outside_in_root; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=1170,,order_name=outside_in_root; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=1170
ex297,unknown,unknown-highgap-agent,,single shared BDD node pool over all output roots,,order_name=outside_in_root; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=20614,,order_name=outside_in_root; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=20614
ex299,unknown,unknown-highgap-agent,,single shared BDD node pool over all output roots,,order_name=outside_in_root; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8; bdd_nodes=74217,,order_name=outside_in_root; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8; bdd_nodes=74217
ex294,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex292,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex295,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex294,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex292,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex295,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex290,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
ex291,unknown,unknown-state-agent,,,,invertible descriptor transform; no per-output BDD duplication,,invertible descriptor transform; no per-output BDD duplication
