round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,shard_csv,structure,sharing_strategy,source_change,synthesis_flow,outcome,area,delay,adp
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig_d11,,,,,,,,,,,,,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_default_exception,shared default/exception word table plus selected bit13 correction,reuse current default/exception source; vary only Yosys source-to-AIG flow,abc_g_aig_d11,replay_risk_tie,337,11,3707
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_abc_g_aig_d12,,,,,,,,,,,,,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_default_exception,shared default/exception word table plus selected bit13 correction,reuse current default/exception source; vary only Yosys source-to-AIG flow,abc_g_aig_d12,replay_risk_tie,337,11,3707
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_current_extra_opt_aig,,,,,,,,,,,,,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_default_exception,shared default/exception word table plus selected bit13 correction,reuse current default/exception source; vary only Yosys source-to-AIG flow,extra_opt_aig,replay_risk_tie,337,11,3707
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_bit13_exp_formula_abc_g_aig,,,,,,,,,,,,,official evaluate.py OK; frontend-only source/Yosys flow; factor selected bit13 by exponent ranges and mantissa thresholds instead of duplicated sign_exp casez groups; improved ex214 frontend best from 3707 to 3564 and crossed <1.5 target 3635,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_bit13_formula,shared sign-independent exponent predicate for selected output bit13,factor selected bit13 by exponent ranges and mantissa thresholds instead of duplicated sign_exp casez groups,abc_g_aig,official_ok_improvement_within_target,324,11,3564
,,sub-bf16-smallgap-flow-r96,ex214,,ex214_r96_bf16_recip_square_bit13_exp_casez_abc_g_aig,,,,,,,,,,,,,official OK 323/13/4199 is worse than existing frontend best 3707; lower area lost delay and missed <1.5 target 3635,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/shared_structure_report.csv,bf16_reciprocal_square_bit13_casez,shared exponent-only selected output bit13 casez,collapse selected bit13 casez groups from sign_exp to exponent-only decoder,abc_g_aig,official_ok_worse,323,13,4199
96,frontend_gt15_structural_round96_20260614_0651,sub-unknown286-state-r96,ex286,unknown,ex286_r96_whole_word_state_screen,diagnostic_descriptor_screen,26,none_full_compact,find compact state basis before RTL emission,,,,,home_collision_flow_without_raw_selectors,1389,full_word,student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown286-state-r96/ex286/diagnostics/ex286_r96_state_descriptor_screen.md,No compact exact r96 whole-word state descriptor; best nonexact home_collision_flow_without_raw_selectors majority 4774/8192 with 1389 conflict keys; exact guardrails colex_rank_mod_lane_endpoints:8192keys; prefix_suffix_mod4_lane_counts_with_pair_windows:8192keys; home_collision_plus_known_selector_guardrail:4608keys. Best nontrivial direct transform/parking match identity->swap67 reached 4096/8192 rows.,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown286-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_prefix_suffix_lane_state_natural,prefix_suffix_lane_state_natural,21,none,compress full-word conservative routing into shared descriptor,,,,,conflicting_descriptor,5184,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,not exact; representative conflicts are in diagnostics,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_prefix_suffix_lane_state_reverse,prefix_suffix_lane_state_reverse,21,none,compress full-word conservative routing into shared descriptor,,,,,conflicting_descriptor,5184,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,not exact; representative conflicts are in diagnostics,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_prefix_suffix_lane_state_home_order,prefix_suffix_lane_state_home_order,21,14/14,compress full-word conservative routing into shared descriptor,,,,46490,exact_descriptor,9216,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,exact full-word mapping but not compact enough for RTL,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_prefix_suffix_lane_state_center,prefix_suffix_lane_state_center,21,none,compress full-word conservative routing into shared descriptor,,,,,conflicting_descriptor,10752,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,not exact; representative conflicts are in diagnostics,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_home_collision_pairbucket_selector,home_collision_pairbucket_selector,12,none,compress full-word conservative routing into shared descriptor,,,,,conflicting_descriptor,5184,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,not exact; representative conflicts are in diagnostics,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_home_collision_mod_lane_moments,home_collision_mod_lane_moments,17,14/14,compress full-word conservative routing into shared descriptor,,,,18325,exact_descriptor,6912,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,exact full-word mapping but not compact enough for RTL,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_pairaware_token_rank_home_lane_state,pairaware_token_rank_home_lane_state,16,14/14,compress full-word conservative routing into shared descriptor,,,,40202,exact_descriptor,6912,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,exact full-word mapping but not compact enough for RTL,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_exact_residual_factorization_home_xor_shape,exact_residual_factorization_home_xor_shape,17,14/14,compress full-word conservative routing into shared descriptor,,,,33625,exact_descriptor,6912,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,exact full-word mapping but not compact enough for RTL,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_whole_word_permutation_invariants,whole_word_permutation_invariants,14,0/14,compress full-word conservative routing into shared descriptor,,,,,permutation_model,107,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_permutation_invariants.csv,known input pair swaps reconfirmed; no new output transform found,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_layer_rank_affine,token_rank_layer_affine_screen,14,0/14,compress full-word conservative routing into shared descriptor,,,,,rank_model,116,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_rank_models.csv,rank descriptors do not produce compact exact layer routing,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,ex287_r96_onehot_home_parking,stable_matching_parking_home_screen,14,0/14,compress full-word conservative routing into shared descriptor,,,,,parking_model,82,full_word,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_parking_models.csv,deterministic parking does not recover the conservative routing,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/shared_structure_report.csv,,,,,,,,
