round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,candidate_id,failure_reason,reuse_policy,next_action,evidence_path,shard_csv,variant,aig_path
,,sub-bf16-smallgap-flow-r96,ex205,,bf16_log10_field_decode,,,,OFFICIAL_OK_WORSE,official OK 4465/16/71440 is worse than existing frontend best 71104 and above <1.5 target 70691,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current shared sign/exponent/mantissa field source; vary only Yosys source-to-AIG flow,ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current field-decode source with extra_opt_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_sep_fields_current_extra_opt_aig/ex205.aig
,,sub-bf16-smallgap-flow-r96,ex205,,bf16_log10_selected_sign_formula,,,,REPLAY_RISK_TIE,official OK 4444/16/71104 ties existing frontend best 71104 and does not reach <1.5 target 70691; treat as nonwinning/replay-risk evidence,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/verilog/ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/logs/ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; replace selected bit15 casez tree with decoded sign/exp comparator formula,ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,decoded exponent formula for bit15 plus abc_g_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex205/official_eval/ex205_r96_bf16_log10_bit15_exp_formula_abc_g_aig/ex205.aig
,,sub-bf16-smallgap-flow-r96,ex214,,bf16_reciprocal_square_default_exception,,,,REPLAY_RISK_TIE,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_abc_g_aig.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214_r96_bf16_recip_square_current_abc_g_aig,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current selected-bit13 source with abc_g_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_abc_g_aig/ex214.aig
,,sub-bf16-smallgap-flow-r96,ex214,,bf16_reciprocal_square_default_exception,,,,REPLAY_RISK_TIE,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_abc_g_aig_d10.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_abc_g_aig_d10.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214_r96_bf16_recip_square_current_abc_g_aig_d10,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current selected-bit13 source with abc_g_aig_d10,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_abc_g_aig_d10/ex214.aig
,,sub-bf16-smallgap-flow-r96,ex214,,bf16_reciprocal_square_default_exception,,,,REPLAY_RISK_TIE,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_abc_g_aig_d11.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_abc_g_aig_d11.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214_r96_bf16_recip_square_current_abc_g_aig_d11,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current selected-bit13 source with abc_g_aig_d11,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_abc_g_aig_d11/ex214.aig
,,sub-bf16-smallgap-flow-r96,ex214,,bf16_reciprocal_square_default_exception,,,,REPLAY_RISK_TIE,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_abc_g_aig_d12.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_abc_g_aig_d12.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214_r96_bf16_recip_square_current_abc_g_aig_d12,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current selected-bit13 source with abc_g_aig_d12,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_abc_g_aig_d12/ex214.aig
,,sub-bf16-smallgap-flow-r96,ex214,,bf16_reciprocal_square_default_exception,,,,REPLAY_RISK_TIE,official OK 337/11/3707 ties existing frontend best 3707 and remains above <1.5 target 3635; source-flow replay did not improve,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_current_extra_opt_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_current_extra_opt_aig.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; reuse current default/exception source; vary only Yosys source-to-AIG flow,ex214_r96_bf16_recip_square_current_extra_opt_aig,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,current selected-bit13 source with extra_opt_aig,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_current_extra_opt_aig/ex214.aig
,,sub-bf16-smallgap-flow-r96,ex214,,bf16_reciprocal_square_bit13_casez,,,,OFFICIAL_OK_WORSE,official OK 323/13/4199 is worse than existing frontend best 3707; lower area lost delay and missed <1.5 target 3635,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/verilog/ex214_r96_bf16_recip_square_bit13_exp_casez_abc_g_aig.v,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/logs/ex214_r96_bf16_recip_square_bit13_exp_casez_abc_g_aig.evaluate.py.log,official evaluate.py OK; frontend-only source/Yosys flow; collapse selected bit13 casez groups from sign_exp to exponent-only decoder,ex214_r96_bf16_recip_square_bit13_exp_casez_abc_g_aig,,,,,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-bf16-smallgap-flow-r96/failed_hypotheses.csv,sign-independent exponent casez for bit13,student/work/frontend_gt15_structural_round96_20260614_0651/sub-bf16-smallgap-flow-r96/ex214/official_eval/ex214_r96_bf16_recip_square_bit13_exp_casez_abc_g_aig/ex214.aig
96,frontend_gt15_structural_round96_20260614_0651,sub-unknown286-state-r96,ex286,unknown,hamming_weight_preserving_lossy_routing_normalizer,r96_whole_word_state_descriptor_screen,permutation_matching_rank_prefix_home_collision_decision_graph,ex286|hamming_weight_preserving_lossy_routing_normalizer|r96_whole_word_state_descriptor_screen|permutation_matching_rank_prefix_home_collision_decision_graph|no_synth|diagnostic_backed_blocker|full_word,BLOCKED_NO_CANDIDATE,No compact exact r96 whole-word state descriptor; best nonexact home_collision_flow_without_raw_selectors majority 4774/8192 with 1389 conflict keys; exact guardrails colex_rank_mod_lane_endpoints:8192keys; prefix_suffix_mod4_lane_counts_with_pair_windows:8192keys; home_collision_plus_known_selector_guardrail:4608keys. Best nontrivial direct transform/parking match identity->swap67 reached 4096/8192 rows.,,student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown286-state-r96/ex286/diagnostics/ex286_r96_state_descriptor_screen.csv,No Verilog/AIG emitted; no evaluate.py row claimed.,,No compact exact r96 whole-word state descriptor; best nonexact home_collision_flow_without_raw_selectors majority 4774/8192 with 1389 conflict keys; exact guardrails colex_rank_mod_lane_endpoints:8192keys; prefix_suffix_mod4_lane_counts_with_pair_windows:8192keys; home_collision_plus_known_selector_guardrail:4608keys. Best nontrivial direct transform/parking match identity->swap67 reached 4096/8192 rows.,do_not_repeat_as_is,"Retry only with a materially different nonlinear routing state, not table-scale bucket selectors, symcof/casemux, selected-output BDD, or shallow parking/rank/prefix descriptors.",student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown286-state-r96/ex286/diagnostics/ex286_r96_state_descriptor_screen.md,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown286-state-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,hamming_weight_preserving_lossy_routing_normalizer,prefix_suffix_lane_state_natural,state_descriptor_screen,ex287|hamming_weight_preserving_lossy_routing_normalizer|prefix_suffix_lane_state_natural|state_descriptor_screen|no_synth|blocked_before_verilog|full_word,blocked_not_exact,descriptor has conflicting outputs for the same input-derived state,,,unique_keys=5184; conflict_keys=1690; max_outputs_per_key=2; exact_bits=none,ex287_r96_prefix_suffix_lane_state_natural,descriptor has conflicting outputs for the same input-derived state,do_not_repeat_as_is,continue only with a materially different nonlinear hidden-state basis or compact exact factorization,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,hamming_weight_preserving_lossy_routing_normalizer,prefix_suffix_lane_state_reverse,state_descriptor_screen,ex287|hamming_weight_preserving_lossy_routing_normalizer|prefix_suffix_lane_state_reverse|state_descriptor_screen|no_synth|blocked_before_verilog|full_word,blocked_not_exact,descriptor has conflicting outputs for the same input-derived state,,,unique_keys=5184; conflict_keys=1690; max_outputs_per_key=2; exact_bits=none,ex287_r96_prefix_suffix_lane_state_reverse,descriptor has conflicting outputs for the same input-derived state,do_not_repeat_as_is,continue only with a materially different nonlinear hidden-state basis or compact exact factorization,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/failed_hypotheses.csv,,
round96,frontend_gt15_structural_round96_20260614_0651,sub-unknown287-state-r96,ex287,unknown,hamming_weight_preserving_lossy_routing_normalizer,prefix_suffix_lane_state_home_order,state_descriptor_screen,ex287|hamming_weight_preserving_lossy_routing_normalizer|prefix_suffix_lane_state_home_order|state_descriptor_screen|no_synth|blocked_before_verilog|full_word,blocked_table_scale,descriptor is exact only with thousands of keys/MDD nodes,,,unique_keys=9216; mdd_nonterminals=46490; terminals=2609,ex287_r96_prefix_suffix_lane_state_home_order,descriptor is exact only with thousands of keys/MDD nodes,do_not_repeat_as_is,continue only with a materially different nonlinear hidden-state basis or compact exact factorization,/home/b10507053/ALS_Final_Project/student/work/frontend_gt15_structural_round96_20260614_0651/sub-unknown287-state-r96/ex287/diagnostics/ex287_state_screen_summary.csv,student/frontend_campaigns/campaigns/frontend_gt15_structural_round96_20260614_0651/agent_shards/sub-unknown287-state-r96/failed_hypotheses.csv,,
