round,run_id,agent_id,case,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,estimated_shared_terms,notes,shard_csv,descriptor_keys,output_grouping,observation
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex260,ex260_r76_sign_precond_booth_absb_abc_g_aig,signed low4*high4 can share negate/correction by preconditioning only the high operand sign,high operand sign-preconditioned Booth-like shifted rows,"shared a sign extension, high-operand magnitude rows, and one final conditional negate","shared a sign extension, high-operand magnitude rows, and one final conditional negate",source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex260,ex260_r76_sign_precond_booth_absb_synth_preset_d13,signed low4*high4 can share negate/correction by preconditioning only the high operand sign,high operand sign-preconditioned Booth-like shifted rows,"shared a sign extension, high-operand magnitude rows, and one final conditional negate","shared a sign extension, high-operand magnitude rows, and one final conditional negate",source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex260,ex260_r76_weighted_rows_csa_reuse_abc_g_aig,signed low4*high4 can expose reusable common carries from weighted signed rows,two's-complement weighted rows compressed by explicit 3:2 carry-save slice,shared row0-row2 sum/carry wires reused before adding the negative sign row,shared row0-row2 sum/carry wires reused before adding the negative sign row,source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex260,ex260_r76_weighted_rows_csa_reuse_synth_preset_d13,signed low4*high4 can expose reusable common carries from weighted signed rows,two's-complement weighted rows compressed by explicit 3:2 carry-save slice,shared row0-row2 sum/carry wires reused before adding the negative sign row,shared row0-row2 sum/carry wires reused before adding the negative sign row,source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex266,ex266_r76_region_prefix_compare_abc_g_aig,unsigned 5x5 division has high-denominator regions that can share quotient threshold prefixes,denominator high-bit decision tree with region-limited shifted-divisor comparisons,shared aw/bw prefixes and selected quotient-bit comparator thresholds per denominator region,shared aw/bw prefixes and selected quotient-bit comparator thresholds per denominator region,source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex266,ex266_r76_region_prefix_compare_synth_preset_d10,unsigned 5x5 division has high-denominator regions that can share quotient threshold prefixes,denominator high-bit decision tree with region-limited shifted-divisor comparisons,shared aw/bw prefixes and selected quotient-bit comparator thresholds per denominator region,shared aw/bw prefixes and selected quotient-bit comparator thresholds per denominator region,source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex266,ex266_r76_hi_cell_residual_lut_abc_g_aig,unsigned 5x5 division can split on denominator high bits and numerator top bits with tiny residual cells,decision tree over b[4:3] and a[4:3] with local residual truth cells over low bits,shared high-cell selector with compact residual quotient constants per ambiguous cell,shared high-cell selector with compact residual quotient constants per ambiguous cell,source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
round76,frontend_source_parallel_round76_20260613_1706,sub-integer-r76,ex266,ex266_r76_hi_cell_residual_lut_synth_preset_d10,unsigned 5x5 division can split on denominator high bits and numerator top bits with tiny residual cells,decision tree over b[4:3] and a[4:3] with local residual truth cells over low bits,shared high-cell selector with compact residual quotient constants per ambiguous cell,shared high-cell selector with compact residual quotient constants per ambiguous cell,source-declared,frontend source only; no standalone remap/post-AIG optimization,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-integer-r76/shared_structure_report.csv,,,
,,sub-unknown-r76,ex285,ex285_r76_swap45_tree_current,,,,input swap invariant before decision tree,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 13685; pre-normalization did not reduce tree area below current target.
,,sub-unknown-r76,ex285,ex285_r76_highsplit_baseline_control,,,,high split default source,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 53568; split control is not competitive.
,,sub-unknown-r76,ex288,ex288_r76_swap456789_keybdd,,,,three-pair input swap invariant before key-BDD,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 34005; loses to active 31598 frontend and current 26224.
,,sub-unknown-r76,ex288,ex288_r76_rotate_highsplit_control,,,,rotated split default source,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 69232; non-key-BDD split remains poor.
,,sub-unknown-r76,ex297,ex297_r76_fixed_phase_rotate_pairsel,,,,one-cell rotation equivariance wrapper,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 505172; rotation wrapper worsens delay versus current 425024.
,,sub-unknown-r76,ex297,ex297_r76_r74_pairxor_control,,,,pairxor/cell-local non-r75 control,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 479052; still worse than current 425024.
,,sub-unknown-r76,ex299,ex299_r76_fixed_phase_rotate_sel2_static,,,,one-cell rotation equivariance wrapper,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 1976980; latest target 1777230 not beaten.
,,sub-unknown-r76,ex299,ex299_r76_r74_pairxor_control,,,,pairxor/pairsel non-r75 control,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round76_20260613_1706/agent_shards/sub-unknown-r76/shared_structure_report.csv,,,Equivalent but ADP 1978460; latest target 1777230 not beaten.
