case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_bit_exception_synth_preset_aig_D20,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.aig,1,,703,40,28120,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=3.417; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_synth_preset_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_sem_product_bit_exception_abc_g_aig_D20,E4M3FN multiply with product bit exception predicates,bit-level product exception predicates around dominant exponent-offset formula,shared exponent/significand/product decode plus boundary exception predicates,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.aig,1,,734,41,30094,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=3.424; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_sem_product_bit_exception_abc_g_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.aig,0,,,,,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D16; runtime_sec=0.774; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D16.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.aig,0,,,,,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig_D20; runtime_sec=0.812; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_synth_preset_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_bound_direct_nested_abc_g_aig_D20,E4M3FN low-over-high division with direct boundary magnitudes,denominator-nested boundary attributes with low1/low2/low3 direct magnitudes,"NaN/divzero/sign shell, sig/eff decode, signed exponent delta, shared zero/sat/low/linear mux",ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.aig,0,,,,,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig_D20; runtime_sec=0.778; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16,E4M3FN division with formulaic bit exceptions,quotient formula plus bit-level boundary exceptions,"shared divide special shell, exponent delta, numerator/denominator significands, exception predicates",ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16.aig,1,,1328,25,33200,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=3.173; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20,E4M3FN division with formulaic bit exceptions,quotient formula plus bit-level boundary exceptions,"shared divide special shell, exponent delta, numerator/denominator significands, exception predicates",ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20.aig,1,,1328,25,33200,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.998; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_sem_formula_bit_exception_abc_g_aig_D20,E4M3FN division with formulaic bit exceptions,quotient formula plus bit-level boundary exceptions,"shared divide special shell, exponent delta, numerator/denominator significands, exception predicates",ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_sem_formula_bit_exception_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_sem_formula_bit_exception_abc_g_aig_D20.aig,1,,1423,25,35575,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.541; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_abc_g_aig_D20.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_packed_synth_preset_aig_D16,E4M3FN hypot with packed threshold delta predicates,small-gap threshold table independent of full max/min magnitude table,"shared abs max/min compare, effective exponent/significand, small-gap delta thresholds, saturation guard",ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_sem_threshold_packed_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_sem_threshold_packed_synth_preset_aig_D16.aig,1,,286,39,11154,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=0.926; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D16.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_packed_synth_preset_aig_D20,E4M3FN hypot with packed threshold delta predicates,small-gap threshold table independent of full max/min magnitude table,"shared abs max/min compare, effective exponent/significand, small-gap delta thresholds, saturation guard",ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_sem_threshold_packed_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_sem_threshold_packed_synth_preset_aig_D20.aig,1,,286,39,11154,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=0.925; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D20.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_packed_abc_g_aig_D20,E4M3FN hypot with packed threshold delta predicates,small-gap threshold table independent of full max/min magnitude table,"shared abs max/min compare, effective exponent/significand, small-gap delta thresholds, saturation guard",ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_sem_threshold_packed_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_sem_threshold_packed_abc_g_aig_D20.aig,1,,292,42,12264,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=0.812; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_abc_g_aig_D20.yosys.log
