case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,outcome,reason,evidence_path,next_action
ex242,float_fp8,fp8-semantic-r27,E4M3FN low-over-high division with direct boundary magnitudes,,,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|semantic_low_delay_attribute_family|abc_g_aig_D20,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,official evaluate.py status NOT_EQUIV; synth=abc_g_aig_D20; runtime_sec=0.778; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_bound_direct_nested_abc_g_aig_D20.evaluate.py.log,
ex242,float_fp8,fp8-semantic-r27,E4M3FN division with formulaic bit exceptions,,,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=3.173; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D16.evaluate.py.log,
ex242,float_fp8,fp8-semantic-r27,E4M3FN division with formulaic bit exceptions,,,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.998; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_synth_preset_aig_D20.evaluate.py.log,
ex242,float_fp8,fp8-semantic-r27,E4M3FN division with formulaic bit exceptions,,,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=2.541; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_sem_formula_bit_exception_abc_g_aig_D20.evaluate.py.log,
ex244,float_fp8,fp8-semantic-r27,E4M3FN hypot with packed threshold delta predicates,,,ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=0.926; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D16.evaluate.py.log,
ex244,float_fp8,fp8-semantic-r27,E4M3FN hypot with packed threshold delta predicates,,,ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=0.925; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_synth_preset_aig_D20.evaluate.py.log,
ex244,float_fp8,fp8-semantic-r27,E4M3FN hypot with packed threshold delta predicates,,,ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=0.812; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_packed_abc_g_aig_D20.evaluate.py.log,
ex244,float_fp8,fp8-semantic-r27,E4M3FN hypot with max exponent threshold packing,,,ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.085; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16.evaluate.py.log,
ex244,float_fp8,fp8-semantic-r27,E4M3FN hypot with max exponent threshold packing,,,ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.183; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20.evaluate.py.log,
ex244,float_fp8,fp8-semantic-r27,E4M3FN hypot with max exponent threshold packing,,,ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=0.933; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_abc_g_aig_D20.evaluate.py.log,
ex245,float_fp8,fp8-semantic-r27,E5M2FN add with formulaic gap-limited normalizer,,,ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.522; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D16.evaluate.py.log,
ex245,float_fp8,fp8-semantic-r27,E5M2FN add with formulaic gap-limited normalizer,,,ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.514; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D20.evaluate.py.log,
ex245,float_fp8,fp8-semantic-r27,E5M2FN add with formulaic gap-limited normalizer,,,ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.306; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_abc_g_aig_D20.evaluate.py.log,
ex245,float_fp8,fp8-semantic-r27,E5M2FN add with shared gap class formulas,,,ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D16,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.325; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D16.evaluate.py.log,
ex245,float_fp8,fp8-semantic-r27,E5M2FN add with shared gap class formulas,,,ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.337; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D20.evaluate.py.log,
ex245,float_fp8,fp8-semantic-r27,E5M2FN add with shared gap class formulas,,,ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|semantic_low_delay_attribute_family|abc_g_aig_D20,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.979; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_abc_g_aig_D20.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,verified FP8 semantic source with delay-targeted frontend synthesis,,,"ex240|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D16",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.480; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D16.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D16.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,verified FP8 semantic source with delay-targeted frontend synthesis,,,"ex240|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D20",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.466; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D20.evaluate.py.log,
ex240,float_fp8,fp8-semantic-r27,verified FP8 semantic source with delay-targeted frontend synthesis,,,"ex240|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|abc_g_aig_D20",EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.355; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_abc_g_aig_D20.yosys.log,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_abc_g_aig_D20.evaluate.py.log,
