case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex246,float_fp8,fp8-r26,no_frontend_improvement,ex246_r26_qclass_seed12_synth_preset_aig,371,24,8904,7502,2805,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex246/logs/ex246_r26_qclass_seed12_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex246_r26_qclass_seed12_synth_preset_aig,0,0,
ex244,float_fp8,fp8-r26,no_frontend_improvement,ex244_r26_threshold_packed_synth_preset_aig,286,39,11154,10234,4272,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex244_r26_threshold_packed_synth_preset_aig,0,0,
ex240,float_fp8,fp8-r26,no_frontend_improvement,ex240_r26_samedelta_diffdirect_synth_preset_aig,1078,49,52822,30090,13299,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex240_r26_samedelta_diffdirect_synth_preset_aig,0,0,
ex245,float_fp8,fp8-r26,no_frontend_improvement,ex245_r26_gap_class_synth_preset_aig,701,34,23834,23834,11050,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex245/logs/ex245_r26_gap_class_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex245_r26_gap_class_synth_preset_aig,0,0,
ex241,float_fp8,fp8-r26,no_frontend_improvement,ex241_r26_product_dc_low_synth_preset_aig,680,33,22440,15544,7224,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex241_r26_product_dc_low_synth_preset_aig,0,0,
ex242,float_fp8,fp8-r26,no_frontend_improvement,ex242_r26_formula_bit_exception_synth_preset_aig,1328,25,33200,25320,11900,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex242_r26_formula_bit_exception_synth_preset_aig,0,0,
ex249,float_fp8,fp8-r26,no_frontend_improvement,ex249_r26_threshold_case_synth_preset_aig,164,29,4756,4368,2079,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex249/logs/ex249_r26_threshold_case_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex249_r26_threshold_case_synth_preset_aig,0,0,
ex248,float_fp8,fp8-r26,no_frontend_improvement,ex248_r26_periodic_formula_norm_synth_preset_aig,277,33,9141,8550,4180,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex248/logs/ex248_r26_periodic_formula_norm_synth_preset_aig.evaluate.py.log,Try a new high-level representation; do not repeat this r26 source as-is.,,,,ex248_r26_periodic_formula_norm_synth_preset_aig,0,0,
ex225,fp16,mixed-r26,blocked_no_candidate,,,,,218728,116676,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex225/diagnostics/ex225_round26_dense_metrics.csv,,round26 diagnostic confirms dense positive-normal residual; min reused segment shapes hi3..hi6=0; nested/sparse/full-bitrun replay remains banned,,,,,,
ex223,fp16,mixed-r26,blocked_no_candidate,,,,,203756,120549,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex223/diagnostics/ex223_round26_dense_metrics.csv,,round26 diagnostic confirms dense positive-normal residual; min reused segment shapes hi3..hi6=0; nested/sparse/full-bitrun replay remains banned,,,,,,
ex274,integer,mixed-r26,evaluated_no_improvement,ex274_r26_square_frontend_hybrid_bddtop2_trunc_order_outside_synth_preset_d40,987,43,42441,41370,21630,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex274/logs/ex274_r26_square_frontend_hybrid_bddtop2_trunc_order_outside_synth_preset_d40.evaluate.py.log,,best official shard row; frontend=41370 overall=25454 reference=21630,,,ex274_r26_square_frontend_hybrid_bddtop2_trunc_order_outside_synth_preset_d40,,,
ex218,bf16,mixed-r26,evaluated_no_improvement,ex218_r26_bf16_recip_cube_delta_pair_mode_hilo4_bits_8_15_bh2_abc_g_gates,598,15,8970,5941,3222,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex218/logs/ex218_r26_bf16_recip_cube_delta_pair_mode_hilo4_bits_8_15_bh2_abc_g_gates.evaluate.py.log,,best official shard row; frontend=5941 overall=4120 reference=3222,,,ex218_r26_bf16_recip_cube_delta_pair_mode_hilo4_bits_8_15_bh2_abc_g_gates,,,
ex204,bf16,mixed-r26,evaluated_no_improvement,ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates,1528,17,25976,24576,15180,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex204/logs/ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates.evaluate.py.log,,best official shard row; frontend=24576 overall=21150 reference=15180,,,ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates,,,
ex266,integer,mixed-r26,evaluated_no_improvement,ex266_r26_int_highgap_udiv_ex266_hybrid_top1_a43_synth_preset_d10,142,11,1562,1480,848,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex266/logs/ex266_r26_int_highgap_udiv_ex266_hybrid_top1_a43_synth_preset_d10.evaluate.py.log,,best official shard row; frontend=1480 overall=1296 reference=848,,,ex266_r26_int_highgap_udiv_ex266_hybrid_top1_a43_synth_preset_d10,,,
ex273,integer,mixed-r26,evaluated_no_improvement,ex273_r26_square_frontend_wallace_square_outside_csel4_abc_g_gates,727,38,27626,26301,15078,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex273/logs/ex273_r26_square_frontend_wallace_square_outside_csel4_abc_g_gates.evaluate.py.log,,best official shard row; frontend=26301 overall=18860 reference=15078,,,ex273_r26_square_frontend_wallace_square_outside_csel4_abc_g_gates,,,
ex260,integer,mixed-r26,evaluated_no_improvement,ex260_r26_signed_mul_baugh_wooley_wallace_rev_hcla4_abc_g_gates,90,13,1170,1144,657,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/mixed-r26/ex260/logs/ex260_r26_signed_mul_baugh_wooley_wallace_rev_hcla4_abc_g_gates.evaluate.py.log,,best official shard row; frontend=1144 overall=1066 reference=657,,,ex260_r26_signed_mul_baugh_wooley_wallace_rev_hcla4_abc_g_gates,,,
ex276,integer,coordinator-integer-r26,tested_no_frontend_best,ex276_r26_prefix4_casebits_global_hi43_synth_preset,112,10,1120,1010,632,0,0,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/coordinator-integer-r26/ex276/logs/ex276_r26_prefix4_casebits_global_hi43_synth_preset.evaluate.py.log,,round26 coordinator per-output casebits probe,,,ex276_r26_prefix4_casebits_global_hi43_synth_preset,,,
