case,domain,agent_id,hypothesis,method_signature,status,evidence_path,notes,representation,reason
ex295,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex295|nonlocal_descriptor_basis_with_grouped_BDD_roots|cell_prefix_bridge_descriptor_grouped_bdd|shared_cell_prefix_bridge_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex295/logs/ex295_r26_cellprefix_mod4_descriptor_mod4_output_planes_abc_g_aig.evaluate.py.log,key_kind=cell_prefix_bridge; base_kind=none; group_name=mod4_output_planes; groups=0:4:8/1:5:9/2:6:10/3:7:11; bdd_nodes=6507; order=0:1:10:11:2:3:8:9:4:5:6:7,abc_g_aig,official equivalent but ADP 229471 does not beat frontend best 123270
ex292,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex292|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_prefix_delta_descriptor_grouped_bdd|shared_stride2_prefix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|mod4_output_planes,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2prefix_mod4_output_planes_abc_g_aig.evaluate.py.log,key_kind=stride2_prefix_delta; base_kind=none; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10/3:7:11; bdd_nodes=16765; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,abc_g_aig,official equivalent but ADP 626150 does not beat frontend best 135780
ex292,unknown,unknown-large-r26,nonlocal descriptor basis with grouped BDD roots,ex292|nonlocal_descriptor_basis_with_grouped_BDD_roots|stride2_suffix_delta_descriptor_grouped_bdd|shared_stride2_suffix_delta_key_wires_and_grouped_multi-output_BDD_roots|abc_g_aig|official_truth_exact_transformed_descriptor|adjacent_pairs,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2suffix_adjacent_adjacent_pairs_abc_g_aig.evaluate.py.log,key_kind=stride2_suffix_delta; base_kind=none; group_name=adjacent_pairs; groups=0:1/2:3/4:5/6:7/8:9/10:11/12:13; bdd_nodes=17288; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,abc_g_aig,official equivalent but ADP 630266 does not beat frontend best 135780
ex292,unknown,unknown-large-r26,sparse correction over a shared linear/rotation base,ex292|sparse_correction_over_a_shared_linear_rotation_base|stride2_prefix_delta_xor_rotr2_residual_bdd|shared_stride2_prefix_delta_key_wires_plus_xor_rotr2_base_and_grouped_residual_BDD_roots|abc_g_aig|official_truth_exact_transformed_residual|mod4_output_planes,EQUIVALENT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-large-r26/ex292/logs/ex292_r26_stride2prefix_xorrotr2_residual_mod4_output_planes_abc_g_aig.evaluate.py.log,key_kind=stride2_prefix_delta; base_kind=xor_rotr2; group_name=mod4_output_planes; groups=0:4:8:12/1:5:9:13/2:6:10/3:7:11; bdd_nodes=17630; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,abc_g_aig,official equivalent but ADP 768180 does not beat frontend best 135780
ex286,unknown,unknown-sym-r26,,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/logs/ex286_r26_pairfield_shared_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex286,unknown,unknown-sym-r26,,ex286|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/logs/ex286_r26_pairfield_split_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex287,unknown,unknown-sym-r26,,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/logs/ex287_r26_pairfield_shared_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex287,unknown,unknown-sym-r26,,ex287|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/logs/ex287_r26_pairfield_split_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex285,unknown,unknown-sym-r26,,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/logs/ex285_r26_pairfield_shared_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex285,unknown,unknown-sym-r26,,ex285|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/logs/ex285_r26_pairfield_split_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex288,unknown,unknown-sym-r26,,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_shared_bdd|adjacent_pair_count_orientation_single_node_pool|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/logs/ex288_r26_pairfield_shared_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex288,unknown,unknown-sym-r26,,ex288|hamming_weight_preserving_lossy_routing_normalizer|component_pairfield_split_bdd|separate_pair_count_and_orientation_node_pools|yosys_abc_g_aig|official_evaluate|pairfield_reconstruction,equivalent_but_no_frontend_improvement,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/logs/ex288_r26_pairfield_split_bdd.evaluate.py.log,Do not rerun unchanged; needs a different hidden-state basis or cheaper pairfield sharing.,,official evaluate.py OK but ADP did not beat current frontend
ex286,unknown,unknown-sym-r26,,ex286|hamming_weight_preserving_lossy_routing_normalizer|hidden_order_local_rule_screen|onehot_slot_order_local_window_with_popcount|no_synth|blocked_before_verilog|full_word,blocked_before_verilog,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex286/diagnostics/ex286_hidden_order_local_screen.csv,Do not emit local-rule RTL unless a new hidden order/state removes conflicts.,,best full-table local screen still has 37855 conflicts and 0 exact bits
ex287,unknown,unknown-sym-r26,,ex287|hamming_weight_preserving_lossy_routing_normalizer|hidden_order_local_rule_screen|onehot_slot_order_local_window_with_popcount|no_synth|blocked_before_verilog|full_word,blocked_before_verilog,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex287/diagnostics/ex287_hidden_order_local_screen.csv,Do not emit local-rule RTL unless a new hidden order/state removes conflicts.,,best full-table local screen still has 86961 conflicts and 0 exact bits
ex285,unknown,unknown-sym-r26,,ex285|hamming_weight_preserving_lossy_routing_normalizer|hidden_order_local_rule_screen|onehot_slot_order_local_window_with_popcount|no_synth|blocked_before_verilog|full_word,blocked_before_verilog,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex285/diagnostics/ex285_hidden_order_local_screen.csv,Do not emit local-rule RTL unless a new hidden order/state removes conflicts.,,best full-table local screen still has 14933 conflicts and 0 exact bits
ex288,unknown,unknown-sym-r26,,ex288|hamming_weight_preserving_lossy_routing_normalizer|hidden_order_local_rule_screen|onehot_slot_order_local_window_with_popcount|no_synth|blocked_before_verilog|full_word,blocked_before_verilog,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/unknown-sym-r26/ex288/diagnostics/ex288_hidden_order_local_screen.csv,Do not emit local-rule RTL unless a new hidden order/state removes conflicts.,,best full-table local screen still has 202488 conflicts and 0 exact bits
ex240,float_fp8,fp8-r26,E4M3FN packed add with same-sign delta and direct diff-normalization table,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|abc_g_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=1.881; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_abc_g_aig.yosys.log,,
ex240,float_fp8,fp8-r26,E4M3FN packed add with same-sign delta and direct diff-normalization table,ex240|E4M3FN packed add|same-sign delta with direct diff-normalizer table|shared max/min decode gap sig same-delta and diff residual table|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|same_diff_path_outputs|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=2.142; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samedelta_diffdirect_synth_preset_aig.yosys.log,,
ex240,float_fp8,fp8-r26,E4M3FN packed add with formulaic GRS for same and diff paths,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|abc_g_aig,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=1.428; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_abc_g_aig.yosys.log,,
ex240,float_fp8,fp8-r26,E4M3FN packed add with formulaic GRS for same and diff paths,ex240|E4M3FN packed add|dual GRS rounding paths|shared max/min decode gap sig same-GRS diff-GRS predicates|yosys_multi_official_evaluate|exact_e4m3fn_add_high_plus_low|rounded_path_outputs|synth_preset_aig,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=1.564; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex240/logs/ex240_r26_samegrs_diffgrs_synth_preset_aig.yosys.log,,
ex241,float_fp8,fp8-r26,E4M3FN multiply with unreachable product completion,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|abc_g_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=2.189; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_abc_g_aig.yosys.log,,
ex241,float_fp8,fp8-r26,E4M3FN multiply with unreachable product completion,ex241|E4M3FN packed multiply|unreachable product low-completion class formula|shared sign exponent sum significand product and product class rounding predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|product_class_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=2.834; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_dc_low_synth_preset_aig.yosys.log,,
ex241,float_fp8,fp8-r26,E4M3FN multiply with product bit exception predicates,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|abc_g_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=3.116; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_abc_g_aig.yosys.log,,
ex241,float_fp8,fp8-r26,E4M3FN multiply with product bit exception predicates,ex241|E4M3FN packed multiply|product bit exception predicates|shared exponent sum product and selected exception bit predicates|yosys_multi_official_evaluate|exact_e4m3fn_mul_high_times_low|bit_exception_magnitude|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=3.289; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex241/logs/ex241_r26_product_bit_exception_synth_preset_aig.yosys.log,,
ex242,float_fp8,fp8-r26,E4M3FN low-over-high division with direct boundary magnitudes,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|abc_g_aig,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_abc_g_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=abc_g_aig; runtime_sec=0.779; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_abc_g_aig.yosys.log,,
ex242,float_fp8,fp8-r26,E4M3FN low-over-high division with direct boundary magnitudes,ex242|E4M3FN packed low-over-high division|direct boundary magnitude attributes nested by denominator|shared sign exponent delta sig decode zero sat low and linear predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|boundary_region_magnitude|synth_preset_aig,FAILED_OFFICIAL_EVALUATE_OR_SYNTH,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_synth_preset_aig.evaluate.py.log,official evaluate.py status NOT_EQUIV; synth=synth_preset_aig; runtime_sec=0.740; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_bound_direct_nested_synth_preset_aig.yosys.log,,
ex242,float_fp8,fp8-r26,E4M3FN division with formulaic bit exceptions,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|abc_g_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=2.506; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_abc_g_aig.yosys.log,,
ex242,float_fp8,fp8-r26,E4M3FN division with formulaic bit exceptions,ex242|E4M3FN packed low-over-high division|formula bit exceptions|shared sign exponent delta sig decode and bitwise exception predicates|yosys_multi_official_evaluate|exact_e4m3fn_div_low_over_high|bit_exception_quotient|synth_preset_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; runtime_sec=3.020; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex242/logs/ex242_r26_formula_bit_exception_synth_preset_aig.yosys.log,,
ex244,float_fp8,fp8-r26,E4M3FN hypot with packed threshold delta predicates,ex244|E4M3FN packed hypot|packed small-gap threshold predicates|shared abs max/min decode gap sig thresholds and saturating max-plus-delta|yosys_multi_official_evaluate|exact_e4m3fn_hypot_abs_high_low|max_plus_threshold_delta|abc_g_aig,EQUIVALENT_BUT_NO_FRONTEND_IMPROVEMENT,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_abc_g_aig.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig; runtime_sec=0.794; yosys_log=student/work/ex200_ex299_frontend_refgap_round26_20260613_0539/fp8-r26/ex244/logs/ex244_r26_threshold_packed_abc_g_aig.yosys.log,,
