case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_high1_bdd_outside_abc_g_aig,unsigned_floor_isqrt,high1_bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_outside_abc_g_aig.aig,1,1,1,54,8,432,204,2.117647,0,0,0.202,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_high2_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,high2_bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.218,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_high2_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,high2_bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_arith_wreduce_aig.aig,1,1,1,54,8,432,204,2.117647,0,0,0.222,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_high2_bdd_outside_synth_preset,unsigned_floor_isqrt,high2_bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_synth_preset.aig,1,1,1,44,8,352,204,1.725490,0,0,0.272,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=synth_preset
ex275,ex275_isqrt_high2_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,high2_bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_synth_preset_d6.aig,1,1,1,44,8,352,204,1.725490,0,0,0.310,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_high2_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,high2_bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_synth_preset_d8.aig,1,1,1,44,8,352,204,1.725490,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_high2_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,high2_bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_synth_preset_d10.aig,1,1,1,44,8,352,204,1.725490,0,0,0.275,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=synth_preset_d10
ex275,ex275_isqrt_high2_bdd_outside_abc_g_aig_d6,unsigned_floor_isqrt,high2_bdd_outside+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_abc_g_aig_d6.aig,1,1,1,48,9,432,204,2.117647,0,0,0.250,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=abc_g_aig_d6
ex275,ex275_isqrt_high2_bdd_outside_abc_g_aig_d8,unsigned_floor_isqrt,high2_bdd_outside+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_abc_g_aig_d8.aig,1,1,1,48,9,432,204,2.117647,0,0,0.210,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=abc_g_aig_d8
ex275,ex275_isqrt_high2_bdd_outside_abc_g_aig_d10,unsigned_floor_isqrt,high2_bdd_outside+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_outside_abc_g_aig_d10.aig,1,1,1,48,9,432,204,2.117647,0,0,0.209,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_outside; flow=abc_g_aig_d10
ex275,ex275_isqrt_high3_bdd_outside_abc_g_aig,unsigned_floor_isqrt,high3_bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_abc_g_aig.aig,1,1,1,44,8,352,204,1.725490,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_high3_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,high3_bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,44,8,352,204,1.725490,0,0,0.241,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_high3_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,high3_bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_arith_wreduce_aig.aig,1,1,1,46,8,368,204,1.803922,0,0,0.241,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_high3_bdd_outside_synth_preset,unsigned_floor_isqrt,high3_bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_synth_preset.aig,1,1,1,45,8,360,204,1.764706,0,0,0.301,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=synth_preset
ex275,ex275_isqrt_high3_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,high3_bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_synth_preset_d6.aig,1,1,1,45,8,360,204,1.764706,0,0,0.307,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_high3_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,high3_bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_synth_preset_d8.aig,1,1,1,45,8,360,204,1.764706,0,0,0.300,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_high3_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,high3_bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_synth_preset_d10.aig,1,1,1,45,8,360,204,1.764706,0,0,0.322,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=synth_preset_d10
ex275,ex275_isqrt_high3_bdd_outside_abc_g_aig_d6,unsigned_floor_isqrt,high3_bdd_outside+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_abc_g_aig_d6.aig,1,1,1,44,8,352,204,1.725490,0,0,0.238,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=abc_g_aig_d6
ex275,ex275_isqrt_high3_bdd_outside_abc_g_aig_d8,unsigned_floor_isqrt,high3_bdd_outside+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_abc_g_aig_d8.aig,1,1,1,44,8,352,204,1.725490,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=abc_g_aig_d8
ex275,ex275_isqrt_high3_bdd_outside_abc_g_aig_d10,unsigned_floor_isqrt,high3_bdd_outside+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high3_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high3_bdd_outside_abc_g_aig_d10.aig,1,1,1,44,8,352,204,1.725490,0,0,0.238,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high3_bdd_outside; flow=abc_g_aig_d10
ex275,ex275_isqrt_high1_bdd_reverse_abc_g_aig,unsigned_floor_isqrt,high1_bdd_reverse+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=abc_g_aig
ex275,ex275_isqrt_high1_bdd_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,high1_bdd_reverse+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_wreduce_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_high1_bdd_reverse_arith_wreduce_aig,unsigned_floor_isqrt,high1_bdd_reverse+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_arith_wreduce_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.202,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=arith_wreduce_aig
ex275,ex275_isqrt_high1_bdd_reverse_synth_preset,unsigned_floor_isqrt,high1_bdd_reverse+synth_preset,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_synth_preset.aig,1,1,1,45,9,405,204,1.985294,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=synth_preset
ex275,ex275_isqrt_high1_bdd_reverse_synth_preset_d6,unsigned_floor_isqrt,high1_bdd_reverse+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_synth_preset_d6.aig,1,1,1,45,9,405,204,1.985294,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=synth_preset_d6
ex275,ex275_isqrt_high1_bdd_reverse_synth_preset_d8,unsigned_floor_isqrt,high1_bdd_reverse+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_synth_preset_d8.aig,1,1,1,45,9,405,204,1.985294,0,0,0.262,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=synth_preset_d8
ex275,ex275_isqrt_high1_bdd_reverse_synth_preset_d10,unsigned_floor_isqrt,high1_bdd_reverse+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_synth_preset_d10.aig,1,1,1,45,9,405,204,1.985294,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=synth_preset_d10
ex275,ex275_isqrt_high1_bdd_reverse_abc_g_aig_d6,unsigned_floor_isqrt,high1_bdd_reverse+abc_g_aig_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_abc_g_aig_d6.aig,1,1,1,49,9,441,204,2.161765,0,0,0.194,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=abc_g_aig_d6
ex275,ex275_isqrt_high1_bdd_reverse_abc_g_aig_d8,unsigned_floor_isqrt,high1_bdd_reverse+abc_g_aig_d8,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_abc_g_aig_d8.aig,1,1,1,49,9,441,204,2.161765,0,0,0.194,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=abc_g_aig_d8
ex275,ex275_isqrt_high1_bdd_reverse_abc_g_aig_d10,unsigned_floor_isqrt,high1_bdd_reverse+abc_g_aig_d10,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high1_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high1_bdd_reverse_abc_g_aig_d10.aig,1,1,1,49,9,441,204,2.161765,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high1_bdd_reverse; flow=abc_g_aig_d10
ex275,ex275_isqrt_high2_bdd_reverse_abc_g_aig,unsigned_floor_isqrt,high2_bdd_reverse+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_reverse_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.208,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_reverse; flow=abc_g_aig
ex275,ex275_isqrt_high2_bdd_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,high2_bdd_reverse+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_reverse_wreduce_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.212,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_high2_bdd_reverse_arith_wreduce_aig,unsigned_floor_isqrt,high2_bdd_reverse+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_reverse_arith_wreduce_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.213,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_reverse; flow=arith_wreduce_aig
ex275,ex275_isqrt_high2_bdd_reverse_synth_preset,unsigned_floor_isqrt,high2_bdd_reverse+synth_preset,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_reverse_synth_preset.aig,1,1,1,43,8,344,204,1.686275,0,0,0.269,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_reverse; flow=synth_preset
ex275,ex275_isqrt_high2_bdd_reverse_synth_preset_d6,unsigned_floor_isqrt,high2_bdd_reverse+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/verilog/ex275_isqrt_high2_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_highformula_lowbdd_20260609_1618/ex275/aigs/ex275_isqrt_high2_bdd_reverse_synth_preset_d6.aig,1,1,1,43,8,344,204,1.686275,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=high2_bdd_reverse; flow=synth_preset_d6
