case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_raw,FP8 source predicate/table restructuring,ex249_split_delta_pred + default + raw,split delta table into shared inc1/inc2 predicates,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_split_delta_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex249_effgap_split_delta + abc_g_aig + compress2rs_area,effective exponent gap plus split inc predicates,synth=abc_g_aig; post=compress2rs_area; Yosys abc gate set aig
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_split_delta_synth_preset_raw,FP8 source predicate/table restructuring,ex249_effgap_split_delta + synth_preset + raw,effective exponent gap plus split inc predicates,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_split_delta_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex249_effgap_split_delta + synth_preset + resyn2rs_area,effective exponent gap plus split inc predicates,synth=synth_preset; post=resyn2rs_area; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_split_delta_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex249_effgap_split_delta + synth_preset + compress2rs_area,effective exponent gap plus split inc predicates,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_default_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + default + raw,effective exponent gap with muxed increment paths,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_default_resyn2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + default + resyn2rs_area,effective exponent gap with muxed increment paths,synth=default; post=resyn2rs_area; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_default_compress2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + default + compress2rs_area,effective exponent gap with muxed increment paths,synth=default; post=compress2rs_area; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_extra_share_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + extra_share + raw,effective exponent gap with muxed increment paths,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_extra_share_resyn2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + extra_share + resyn2rs_area,effective exponent gap with muxed increment paths,synth=extra_share; post=resyn2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_extra_share_compress2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + extra_share + compress2rs_area,effective exponent gap with muxed increment paths,synth=extra_share; post=compress2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + abc_g_aig + raw,effective exponent gap with muxed increment paths,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_abc_g_aig_resyn2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + abc_g_aig + resyn2rs_area,effective exponent gap with muxed increment paths,synth=abc_g_aig; post=resyn2rs_area; Yosys abc gate set aig
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + abc_g_aig + compress2rs_area,effective exponent gap with muxed increment paths,synth=abc_g_aig; post=compress2rs_area; Yosys abc gate set aig
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_synth_preset_raw,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + synth_preset + raw,effective exponent gap with muxed increment paths,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + synth_preset + resyn2rs_area,effective exponent gap with muxed increment paths,synth=synth_preset; post=resyn2rs_area; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_effgap_inc_mux_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex249_effgap_inc_mux + synth_preset + compress2rs_area,effective exponent gap with muxed increment paths,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_default_raw,FP8 source predicate/table restructuring,ex245_active_table_mux + default + raw,gate same/diff table use before output mux,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_default_resyn2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + default + resyn2rs_area,gate same/diff table use before output mux,synth=default; post=resyn2rs_area; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_default_compress2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + default + compress2rs_area,gate same/diff table use before output mux,synth=default; post=compress2rs_area; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_extra_share_raw,FP8 source predicate/table restructuring,ex245_active_table_mux + extra_share + raw,gate same/diff table use before output mux,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_extra_share_resyn2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + extra_share + resyn2rs_area,gate same/diff table use before output mux,synth=extra_share; post=resyn2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_extra_share_compress2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + extra_share + compress2rs_area,gate same/diff table use before output mux,synth=extra_share; post=compress2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_abc_g_aig_raw,FP8 source predicate/table restructuring,ex245_active_table_mux + abc_g_aig + raw,gate same/diff table use before output mux,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_abc_g_aig_resyn2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + abc_g_aig + resyn2rs_area,gate same/diff table use before output mux,synth=abc_g_aig; post=resyn2rs_area; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + abc_g_aig + compress2rs_area,gate same/diff table use before output mux,synth=abc_g_aig; post=compress2rs_area; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_synth_preset_raw,FP8 source predicate/table restructuring,ex245_active_table_mux + synth_preset + raw,gate same/diff table use before output mux,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + synth_preset + resyn2rs_area,gate same/diff table use before output mux,synth=synth_preset; post=resyn2rs_area; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_active_table_mux_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex245_active_table_mux + synth_preset + compress2rs_area,gate same/diff table use before output mux,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_default_raw,FP8 source predicate/table restructuring,ex245_selected_mag_function + default + raw,selected same/diff table inside one function,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_default_resyn2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + default + resyn2rs_area,selected same/diff table inside one function,synth=default; post=resyn2rs_area; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_default_compress2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + default + compress2rs_area,selected same/diff table inside one function,synth=default; post=compress2rs_area; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_extra_share_raw,FP8 source predicate/table restructuring,ex245_selected_mag_function + extra_share + raw,selected same/diff table inside one function,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_extra_share_resyn2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + extra_share + resyn2rs_area,selected same/diff table inside one function,synth=extra_share; post=resyn2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_extra_share_compress2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + extra_share + compress2rs_area,selected same/diff table inside one function,synth=extra_share; post=compress2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_abc_g_aig_raw,FP8 source predicate/table restructuring,ex245_selected_mag_function + abc_g_aig + raw,selected same/diff table inside one function,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_abc_g_aig_resyn2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + abc_g_aig + resyn2rs_area,selected same/diff table inside one function,synth=abc_g_aig; post=resyn2rs_area; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + abc_g_aig + compress2rs_area,selected same/diff table inside one function,synth=abc_g_aig; post=compress2rs_area; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_synth_preset_raw,FP8 source predicate/table restructuring,ex245_selected_mag_function + synth_preset + raw,selected same/diff table inside one function,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + synth_preset + resyn2rs_area,selected same/diff table inside one function,synth=synth_preset; post=resyn2rs_area; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_selected_mag_function_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex245_selected_mag_function + synth_preset + compress2rs_area,selected same/diff table inside one function,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_default_raw,FP8 source predicate/table restructuring,ex245_key_gated_tables + default + raw,gate same/diff table keys when inactive,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_default_resyn2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + default + resyn2rs_area,gate same/diff table keys when inactive,synth=default; post=resyn2rs_area; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_default_compress2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + default + compress2rs_area,gate same/diff table keys when inactive,synth=default; post=compress2rs_area; project default proc/techmap/abc AND/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_extra_share_raw,FP8 source predicate/table restructuring,ex245_key_gated_tables + extra_share + raw,gate same/diff table keys when inactive,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_extra_share_resyn2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + extra_share + resyn2rs_area,gate same/diff table keys when inactive,synth=extra_share; post=resyn2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_extra_share_compress2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + extra_share + compress2rs_area,gate same/diff table keys when inactive,synth=extra_share; post=compress2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_abc_g_aig_raw,FP8 source predicate/table restructuring,ex245_key_gated_tables + abc_g_aig + raw,gate same/diff table keys when inactive,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_abc_g_aig_resyn2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + abc_g_aig + resyn2rs_area,gate same/diff table keys when inactive,synth=abc_g_aig; post=resyn2rs_area; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + abc_g_aig + compress2rs_area,gate same/diff table keys when inactive,synth=abc_g_aig; post=compress2rs_area; Yosys abc gate set aig
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_synth_preset_raw,FP8 source predicate/table restructuring,ex245_key_gated_tables + synth_preset + raw,gate same/diff table keys when inactive,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + synth_preset + resyn2rs_area,gate same/diff table keys when inactive,synth=synth_preset; post=resyn2rs_area; Yosys synth -flatten then abc/aigmap
ex245,float_fp8,local-fp8-source-r35,ex245_ex245_key_gated_tables_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex245_key_gated_tables + synth_preset + compress2rs_area,gate same/diff table keys when inactive,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
