agent_id,domain,case,method_signature,hypothesis_family,reason,best_area,best_delay,best_adp,verilog_path,aig_path,log_path,source_csv,notes,area,delay,adp,old_adp
unknown-large-r4,unknown,ex294,ex294|global_state_descriptor_mask_mix|r80_mirror_odd_planes_over_octant_base|octant_base_r80_odd_mod4_mirror_highodd|yosys_internal_abc_g_aig|official_evaluate|odd_planes_1_3_5_7_9_11_13_15,routing/state descriptor grouped output masks,equivalent but ADP 1137100 did not beat target frontend ADP 234608,45484,25,1137100,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/verilog/ex294_r4_r80_mirror_odd_mask_mix.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/aigs/ex294_r4_r80_mirror_odd_mask_mix.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/logs/ex294_r4_r80_mirror_odd_mask_mix.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,45484,25,1137100,
unknown-large-r4,unknown,ex297,ex297|cyclic_2bit_pairsel_cell_bit_template|single_source_delay_target|preserve_pairsel_cell_bit_template|yosys_internal_abc_g_aig_d15|official_evaluate|cell_pair_outputs,hybrid low-delay source synthesis,equivalent but ADP 426160 did not beat target frontend ADP 425024,26635,16,426160,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/verilog/ex297_r4_pairsel_d15.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/aigs/ex297_r4_pairsel_d15.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/logs/ex297_r4_pairsel_d15.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,26635,16,426160,
unknown-large-r4,unknown,ex297,ex297|cyclic_2bit_cross_output_descriptor_masks|lowpair_midpair_over_pairsel_base|pairsel_base_sel2_lowpair_pairxor_midpair|yosys_internal_abc_g_aig|official_evaluate|cell_pairs_0_1_2_5_6,pair/cell-local templates with cross-output descriptors,equivalent but ADP 426064 did not beat target frontend ADP 425024,26629,16,426064,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/verilog/ex297_r4_lowpair_midpair_mask_mix.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/aigs/ex297_r4_lowpair_midpair_mask_mix.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/logs/ex297_r4_lowpair_midpair_mask_mix.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,26629,16,426064,
unknown-large-r4,unknown,ex299,ex299|cyclic_2bit_celllocal_quad_source|single_source_delay_target|preserve_celllocal_quad_source|yosys_internal_abc_g_aig_d17|official_evaluate|celllocal_bits_6_7_8_9,hybrid low-delay source synthesis,equivalent but ADP 1777968 did not beat target frontend ADP 1774260,98776,18,1777968,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/verilog/ex299_r4_celllocal_d17.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/aigs/ex299_r4_celllocal_d17.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/logs/ex299_r4_celllocal_d17.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,98776,18,1777968,
unknown-large-r4,unknown,ex299,ex299|cyclic_2bit_cross_output_descriptor_masks|pairsel_lowmid_over_celllocal_base|celllocal_base_pairsel_high_tail_lowmid_cluster|yosys_internal_abc_g_aig|official_evaluate|cell_pairs_1_2_5_7,pair/cell-local templates with cross-output descriptors,yosys_exit_code=124,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/verilog/ex299_r4_pairsel_lowmid_mask_mix.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/aigs/ex299_r4_pairsel_lowmid_mask_mix.aig,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/logs/ex299_r4_pairsel_lowmid_mask_mix.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,do not repeat unchanged,,,,
unknown-large-r4,unknown,ex285,ex285|route_state_table_recurrence_screen|blocked_prior_screen|no_synth|prior_evidence|assigned_scope,routing/state descriptor,round88/round89 showed descriptor tables still had hundreds of keys plus residual samples; no compact nonlinear route state,,,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex285/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,blocked before Verilog to avoid repeating prior do-not-repeat family,,,,
unknown-large-r4,unknown,ex288,ex288|bucket_key_table_or_sop_replay|blocked_prior_screen|no_synth|prior_evidence|assigned_scope,split decision graph,bucket-count key is exact but table/SOP/MDD forms remain table-sized and explicitly do-not-repeat,,,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex288/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,blocked before Verilog to avoid repeating prior do-not-repeat family,,,,
unknown-large-r4,unknown,ex292,ex292|stride2_state_descriptor_replay|blocked_prior_screen|no_synth|prior_evidence|assigned_scope,routing/state descriptor,round26 stride2 prefix/suffix descriptor rows were exact but expanded to 626150 ADP,,,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex292/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,blocked before Verilog to avoid repeating prior do-not-repeat family,,,,
unknown-large-r4,unknown,ex294,ex294|octant_even_plane_replay|blocked_prior_screen|no_synth|prior_evidence|assigned_scope,routing/state descriptor,current r81 octant/even-plane form is already the baseline; repeating it as-is is disallowed,,,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex294/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,blocked before Verilog to avoid repeating prior do-not-repeat family,,,,
unknown-large-r4,unknown,ex297,ex297|cell_recurrence_table_replay|blocked_prior_screen|no_synth|prior_evidence|assigned_scope,pair/cell-local template,round65 found exact transition descriptor only as a 114688-key table,,,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex297/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,blocked before Verilog to avoid repeating prior do-not-repeat family,,,,
unknown-large-r4,unknown,ex299,ex299|celllocal_vector_overlay_replay|blocked_prior_screen|no_synth|prior_evidence|assigned_scope,pair/cell-local template,round92 marked static celllocal pair89 vector overlay as syntactic replay without a new selector/state basis,,,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/unknown-large-r4/ex299/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/failed_hypotheses.csv,blocked before Verilog to avoid repeating prior do-not-repeat family,,,,
fp8-tail-transfer-r2,float_fp8,ex241,ex241|E4M3FN packed multiply high byte times low byte|product-tail attr table with direct zero/tail/normal/saturation regions|shared sign xor exponent sum product and direct tail steps|abc_g_aig_frontend|official_evaluate|product_tail_direct_region,tail_direct_low_predicate_table,equivalent_but_nonwinning_vs_frontend_best,569,41,23329,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/verilog/ex241_r2_tail_product_attr_direct_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/aigs/ex241_r2_tail_product_attr_direct_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_tail_product_attr_direct_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Scoped rerun of ex247-style tail-only product attributes for comparison.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_tail_product_attr_direct_abc_g_aig_frontend.yosys.log,569,41,23329,
fp8-tail-transfer-r2,float_fp8,ex241,ex241|E4M3FN packed multiply high byte times low byte|tail attr table with low nibble overlay instead of full magnitude mux|high bits share saturation/linear exponent while low tail bits are residual|abc_g_aig_frontend|official_evaluate|tail_low_nibble_overlay,selected_residual_overlay,equivalent_but_nonwinning_vs_frontend_best,562,39,21918,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/verilog/ex241_r2_tail_product_low_overlay_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/aigs/ex241_r2_tail_product_low_overlay_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_tail_product_low_overlay_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Selected residual overlay family for hard product tail bits.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_tail_product_low_overlay_abc_g_aig_frontend.yosys.log,562,39,21918,
fp8-tail-transfer-r2,float_fp8,ex241,ex241|E4M3FN packed multiply high byte times low byte|current nested product high bits with tail-overlay low bits|Yosys flattens two exact sources and can share sign/product/exponent cones|abc_g_aig_frontend|official_evaluate|current_high_tail_low,output_grouping_cone_mix,equivalent_but_nonwinning_vs_frontend_best,621,39,24219,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/verilog/ex241_r2_current_tail_conemix_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/aigs/ex241_r2_current_tail_conemix_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_current_tail_conemix_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,"Area/delay output grouping contrast, materially different from single-source tail table.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_current_tail_conemix_abc_g_aig_frontend.yosys.log",621,39,24219,
fp8-tail-transfer-r2,float_fp8,ex244,ex244|E4M3FN packed hypot abs high low|small-gap delta bits as direct correction predicates|shared max/min decode and max-eff gap/sig residual drive direct saturation|abc_g_aig_frontend|official_evaluate|small_gap_tail_direct_region,tail_direct_low_predicate_table,equivalent_but_nonwinning_vs_frontend_best,313,37,11581,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/verilog/ex244_r2_tail_delta_pred_region_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/aigs/ex244_r2_tail_delta_pred_region_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_tail_delta_pred_region_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Direct tail/predicate transfer for hypot delta.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_tail_delta_pred_region_abc_g_aig_frontend.yosys.log,313,37,11581,
fp8-tail-transfer-r2,float_fp8,ex244,ex244|E4M3FN packed hypot abs high low|delta residual overlay with explicit low-bit carry propagation|delta bits overlay maxc low bits while high bits reuse carry/saturation|abc_g_aig_frontend|official_evaluate|delta_lowbit_carry_overlay,selected_residual_overlay,equivalent_but_nonwinning_vs_frontend_best,314,38,11932,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/verilog/ex244_r2_delta_carry_overlay_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/aigs/ex244_r2_delta_carry_overlay_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_delta_carry_overlay_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Residual BDD/table only for hard delta bits.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_delta_carry_overlay_abc_g_aig_frontend.yosys.log,314,38,11932,
fp8-tail-transfer-r2,float_fp8,ex244,ex244|E4M3FN packed hypot abs high low|current max-eff BDD high bits with direct-tail low bits|two exact hypot shells are flattened for output-specific residual sharing|abc_g_aig_frontend|official_evaluate|current_high_tail_low,output_grouping_cone_mix,equivalent_but_nonwinning_vs_frontend_best,311,36,11196,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/verilog/ex244_r2_current_tail_conemix_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/aigs/ex244_r2_current_tail_conemix_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_current_tail_conemix_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Area/delay output grouping contrast for the hypot residual path.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_current_tail_conemix_abc_g_aig_frontend.yosys.log,311,36,11196,
fp8-tail-transfer-r2,float_fp8,ex246,ex246|E5M2FN packed multiply high byte times low byte|seed12 product-class source recut as direct product-tail attributes|shared sign xor exponent sum product and only four tail steps|abc_g_aig_frontend|official_evaluate|product_tail_direct_region,tail_direct_low_predicate_table,equivalent_but_nonwinning_vs_frontend_best,371,31,11501,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/verilog/ex246_r2_tail_product_attr_direct_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/aigs/ex246_r2_tail_product_attr_direct_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_tail_product_attr_direct_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Product/delta predicate grouping transfer from ex247 tail-direct.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_tail_product_attr_direct_abc_g_aig_frontend.yosys.log,371,31,11501,
fp8-tail-transfer-r2,float_fp8,ex246,ex246|E5M2FN packed multiply high byte times low byte|product-tail low residual bits overlaid on normal/saturation high bits|high magnitude bits share exponent/saturation; low bits carry selected residual|abc_g_aig_frontend|official_evaluate|tail_low_bits_overlay,selected_residual_overlay,equivalent_but_nonwinning_vs_frontend_best,372,31,11532,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/verilog/ex246_r2_tail_product_low_overlay_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/aigs/ex246_r2_tail_product_low_overlay_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_tail_product_low_overlay_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/failed_hypotheses.csv,Residual-only product tail representation.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_tail_product_low_overlay_abc_g_aig_frontend.yosys.log,372,31,11532,
