agent_id,domain,case,candidate,method_signature,shared_structure,result,area,delay,adp,source_csv,notes,log_path,aig_path,old_adp
unknown-large-r4,unknown,ex294,ex294_r4_octant_d21,ex294|global_state_octant_descriptor_cofactor|single_source_delay_target|preserve_octant_even_plane_mux|yosys_internal_abc_g_aig_d21|official_evaluate|even_plane_0_2_4_6_8_10_12_14,preserves endpoint/midpoint descriptor and even-plane donor mux,OK,10675,22,234850,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 234608,,,
unknown-large-r4,unknown,ex294,ex294_r4_r80_mirror_odd_mask_mix,ex294|global_state_descriptor_mask_mix|r80_mirror_odd_planes_over_octant_base|octant_base_r80_odd_mod4_mirror_highodd|yosys_internal_abc_g_aig|official_evaluate|odd_planes_1_3_5_7_9_11_13_15,octant base plus sparse mirror and center-order mirror donors,OK,45484,25,1137100,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 234608,,,
unknown-large-r4,unknown,ex297,ex297_r4_pairsel_d15,ex297|cyclic_2bit_pairsel_cell_bit_template|single_source_delay_target|preserve_pairsel_cell_bit_template|yosys_internal_abc_g_aig_d15|official_evaluate|cell_pair_outputs,preserves shared selector-pair and cell/bit default templates,OK,26635,16,426160,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 425024,,,
unknown-large-r4,unknown,ex297,ex297_r4_lowpair_midpair_mask_mix,ex297|cyclic_2bit_cross_output_descriptor_masks|lowpair_midpair_over_pairsel_base|pairsel_base_sel2_lowpair_pairxor_midpair|yosys_internal_abc_g_aig|official_evaluate|cell_pairs_0_1_2_5_6,current pairsel base plus lowpair and midpair exact descriptor donors,OK,26629,16,426064,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 425024,,,
unknown-large-r4,unknown,ex299,ex299_r4_celllocal_d17,ex299|cyclic_2bit_celllocal_quad_source|single_source_delay_target|preserve_celllocal_quad_source|yosys_internal_abc_g_aig_d17|official_evaluate|celllocal_bits_6_7_8_9,preserves static celllocal pair89 plus sel2 celllocal donor grouping,OK,98776,18,1777968,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,equivalent but did not improve target frontend ADP 1774260,,,
unknown-large-r4,unknown,ex299,ex299_r4_pairsel_lowmid_mask_mix,ex299|cyclic_2bit_cross_output_descriptor_masks|pairsel_lowmid_over_celllocal_base|celllocal_base_pairsel_high_tail_lowmid_cluster|yosys_internal_abc_g_aig|official_evaluate|cell_pairs_1_2_5_7,current celllocal base plus pairsel and lowmid exact descriptor donors,SYNTH_TIMEOUT,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/unknown-large-r4/shared_structure_report.csv,yosys_exit_code=124,,,
fp8-tail-transfer-r2,float_fp8,ex241,ex241_r2_tail_product_attr_direct_abc_g_aig_frontend,ex241|E4M3FN packed multiply high byte times low byte|product-tail attr table with direct zero/tail/normal/saturation regions|shared sign xor exponent sum product and direct tail steps|abc_g_aig_frontend|official_evaluate|product_tail_direct_region,shared sign xor exponent sum product and direct tail steps,equivalent,569,41,23329,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Scoped rerun of ex247-style tail-only product attributes for comparison.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_tail_product_attr_direct_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex241,ex241_r2_tail_product_low_overlay_abc_g_aig_frontend,ex241|E4M3FN packed multiply high byte times low byte|tail attr table with low nibble overlay instead of full magnitude mux|high bits share saturation/linear exponent while low tail bits are residual|abc_g_aig_frontend|official_evaluate|tail_low_nibble_overlay,high bits share saturation/linear exponent while low tail bits are residual,equivalent,562,39,21918,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Selected residual overlay family for hard product tail bits.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_tail_product_low_overlay_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex241,ex241_r2_current_tail_conemix_abc_g_aig_frontend,ex241|E4M3FN packed multiply high byte times low byte|current nested product high bits with tail-overlay low bits|Yosys flattens two exact sources and can share sign/product/exponent cones|abc_g_aig_frontend|official_evaluate|current_high_tail_low,Yosys flattens two exact sources and can share sign/product/exponent cones,equivalent,621,39,24219,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,"Area/delay output grouping contrast, materially different from single-source tail table.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex241/logs/ex241_r2_current_tail_conemix_abc_g_aig_frontend.yosys.log",,,
fp8-tail-transfer-r2,float_fp8,ex244,ex244_r2_tail_delta_pred_region_abc_g_aig_frontend,ex244|E4M3FN packed hypot abs high low|small-gap delta bits as direct correction predicates|shared max/min decode and max-eff gap/sig residual drive direct saturation|abc_g_aig_frontend|official_evaluate|small_gap_tail_direct_region,shared max/min decode and max-eff gap/sig residual drive direct saturation,equivalent,313,37,11581,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Direct tail/predicate transfer for hypot delta.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_tail_delta_pred_region_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex244,ex244_r2_delta_carry_overlay_abc_g_aig_frontend,ex244|E4M3FN packed hypot abs high low|delta residual overlay with explicit low-bit carry propagation|delta bits overlay maxc low bits while high bits reuse carry/saturation|abc_g_aig_frontend|official_evaluate|delta_lowbit_carry_overlay,delta bits overlay maxc low bits while high bits reuse carry/saturation,equivalent,314,38,11932,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Residual BDD/table only for hard delta bits.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_delta_carry_overlay_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex244,ex244_r2_current_tail_conemix_abc_g_aig_frontend,ex244|E4M3FN packed hypot abs high low|current max-eff BDD high bits with direct-tail low bits|two exact hypot shells are flattened for output-specific residual sharing|abc_g_aig_frontend|official_evaluate|current_high_tail_low,two exact hypot shells are flattened for output-specific residual sharing,equivalent,311,36,11196,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Area/delay output grouping contrast for the hypot residual path.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex244/logs/ex244_r2_current_tail_conemix_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex246,ex246_r2_tail_product_attr_direct_abc_g_aig_frontend,ex246|E5M2FN packed multiply high byte times low byte|seed12 product-class source recut as direct product-tail attributes|shared sign xor exponent sum product and only four tail steps|abc_g_aig_frontend|official_evaluate|product_tail_direct_region,shared sign xor exponent sum product and only four tail steps,equivalent,371,31,11501,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Product/delta predicate grouping transfer from ex247 tail-direct.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_tail_product_attr_direct_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex246,ex246_r2_tail_product_low_overlay_abc_g_aig_frontend,ex246|E5M2FN packed multiply high byte times low byte|product-tail low residual bits overlaid on normal/saturation high bits|high magnitude bits share exponent/saturation; low bits carry selected residual|abc_g_aig_frontend|official_evaluate|tail_low_bits_overlay,high magnitude bits share exponent/saturation; low bits carry selected residual,equivalent,372,31,11532,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Residual-only product tail representation.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_tail_product_low_overlay_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex246,ex246_r2_current_tail_conemix_abc_g_aig_frontend,ex246|E5M2FN packed multiply high byte times low byte|current seed12 high bits with tail-overlay low bits|two exact multiply shells are flattened for output-specific cone sharing|abc_g_aig_frontend|official_evaluate|current_high_tail_low,two exact multiply shells are flattened for output-specific cone sharing,equivalent,442,31,13702,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Area/delay output grouping contrast for product residual bits.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex246/logs/ex246_r2_current_tail_conemix_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex247,ex247_r2_lowpred_truth_case_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-direct table with 16-row low residual truth case|low_step/pat table only covers the low-underflow residual|abc_g_aig_frontend|official_evaluate|lowpred_truth_case,low_step/pat table only covers the low-underflow residual,equivalent,249,26,6474,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Continuation of r4 breakthrough; ports the r5 area cut into this shard.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_truth_case_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex247,ex247_r2_lowpred_step_mux_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-direct table with low residual selected by low_step mux|step2 and step3 residual rows are named once and selected by low_step|abc_g_aig_frontend|official_evaluate|lowpred_step_mux,step2 and step3 residual rows are named once and selected by low_step,equivalent,250,26,6500,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Second low-tail predicate spelling to test area sensitivity.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_lowpred_step_mux_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex247,ex247_r2_split_region_predicates_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|split step and saturation predicates before low residual selection|special/exp-first decode exposes step_nonpos step_small_pos and sat_hit|abc_g_aig_frontend|official_evaluate|split_tail_predicates,special/exp-first decode exposes step_nonpos step_small_pos and sat_hit,equivalent,253,26,6578,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Delay-biased contrast for r4's 26-level region compare path.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_split_region_predicates_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex247,ex247_r2_current_r5_conemix_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|r4 current high bits with r5 low-tail truth-case residual bits|two exact division shells are flattened; only low three output bits use r5 residual|abc_g_aig_frontend|official_evaluate|r4_high_r5_low,two exact division shells are flattened; only low three output bits use r5 residual,equivalent,252,26,6552,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Area/delay output grouping contrast around the r4/r5 low-tail boundary.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex247/logs/ex247_r2_current_r5_conemix_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex249,ex249_r2_tail_delta_pred_region_abc_g_aig_frontend,ex249|E5M2FN packed hypot abs high low|raw-exp active-gap delta-is-one/two predicates|shared ordered magnitude and active-gap predicates feed saturation/delta tail|abc_g_aig_frontend|official_evaluate|active_gap_tail_direct_region,shared ordered magnitude and active-gap predicates feed saturation/delta tail,equivalent,172,28,4816,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Direct predicate grouping for E5M2 hypot tail.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex249/logs/ex249_r2_tail_delta_pred_region_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex249,ex249_r2_delta_carry_overlay_abc_g_aig_frontend,ex249|E5M2FN packed hypot abs high low|delta residual overlay with explicit low-bit carry|delta table remains only as a small residual source|abc_g_aig_frontend|official_evaluate|delta_lowbit_carry_overlay,delta table remains only as a small residual source,equivalent,177,30,5310,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Residual-only active-gap delta representation.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex249/logs/ex249_r2_delta_carry_overlay_abc_g_aig_frontend.yosys.log,,,
fp8-tail-transfer-r2,float_fp8,ex249,ex249_r2_current_tail_conemix_abc_g_aig_frontend,ex249|E5M2FN packed hypot abs high low|current rawexp high bits with direct-tail low bits|two exact hypot shells are flattened for output-specific delta sharing|abc_g_aig_frontend|official_evaluate|current_high_tail_low,two exact hypot shells are flattened for output-specific delta sharing,equivalent,169,28,4732,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-tail-transfer-r2/shared_structure_report.csv,Area/delay output grouping contrast for active-gap residual bits.; synth_log=student/work/ex204_ex299_frontend_continuation_20260614_1216/fp8-tail-transfer-r2/ex249/logs/ex249_r2_current_tail_conemix_abc_g_aig_frontend.yosys.log,,,
fp8-semantic-r2,float_fp8,ex240,ex240_r2_direct_arith_norm_default_and,ex240|E4M3FN packed add|direct integer add/sub normalizer|shared decoded magnitude arithmetic and one exact RNE quantizer|default_and|official_evaluate|full_word,shared sign/exponent/mantissa decode feeding one quantizer,OK,1037,89,92293,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,decoded scaled integer add/sub with exact RNE normalizer,,,
fp8-semantic-r2,float_fp8,ex240,ex240_r2_direct_arith_norm_abc_g_aig,ex240|E4M3FN packed add|direct integer add/sub normalizer|shared decoded magnitude arithmetic and one exact RNE quantizer|abc_g_aig|official_evaluate|full_word,shared sign/exponent/mantissa decode feeding one quantizer,OK,921,88,81048,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,decoded scaled integer add/sub with exact RNE normalizer,,,
fp8-semantic-r2,float_fp8,ex240,ex240_r2_shared_bdd_interleave_default_and,ex240|E4M3FN packed add|byte-interleaved shared output BDD|single shared exact decision graph over high/low fields|default_and|official_evaluate|full_word_bdd,one shared BDD node pool for all output bits,OK,2786,26,72436,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,truth-root BDD over byte-interleaved FP fields,,,
fp8-semantic-r2,float_fp8,ex240,ex240_r2_shared_bdd_interleave_abc_g_aig,ex240|E4M3FN packed add|byte-interleaved shared output BDD|single shared exact decision graph over high/low fields|abc_g_aig|official_evaluate|full_word_bdd,one shared BDD node pool for all output bits,OK,2755,23,63365,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,truth-root BDD over byte-interleaved FP fields,,,
fp8-semantic-r2,float_fp8,ex245,ex245_r2_direct_integer_norm_default_and,ex245|E5M2FN packed add|direct integer add/sub normalizer|shared decoded magnitude arithmetic and one exact RNE quantizer|default_and|official_evaluate|full_word,shared signed magnitude arithmetic path,OK,1841,128,235648,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,decoded integer add/sub with exact RNE normalizer,,,
fp8-semantic-r2,float_fp8,ex245,ex245_r2_direct_integer_norm_abc_g_aig,ex245|E5M2FN packed add|direct integer add/sub normalizer|shared decoded magnitude arithmetic and one exact RNE quantizer|abc_g_aig|official_evaluate|full_word,shared signed magnitude arithmetic path,OK,1630,125,203750,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,decoded integer add/sub with exact RNE normalizer,,,
fp8-semantic-r2,float_fp8,ex245,ex245_r2_split_bdd_interleave_default_and,ex245|E5M2FN packed add|split same-diff byte-interleaved BDD|shared sorted decode plus separate same/diff output roots|default_and|official_evaluate|same_diff_bdd,shared sorted operand decode with split sign-path BDD roots,OK,1228,36,44208,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,same-sign and diff-sign sorted-magnitude BDDs,,,
fp8-semantic-r2,float_fp8,ex245,ex245_r2_split_bdd_interleave_abc_g_aig,ex245|E5M2FN packed add|split same-diff byte-interleaved BDD|shared sorted decode plus separate same/diff output roots|abc_g_aig|official_evaluate|same_diff_bdd,shared sorted operand decode with split sign-path BDD roots,OK,1187,36,42732,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,same-sign and diff-sign sorted-magnitude BDDs,,,
fp8-semantic-r2,float_fp8,ex248,ex248_r2_direct_arith_mod_default_and,ex248|E5M2FN packed fmod low mod high|direct shifted-significand modulo|shared delta and modulo arithmetic with exact norm table|default_and|official_evaluate|full_word,shared exponent delta and divisor-significand modulo path,OK,1276,305,389180,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,small shifted significand modulo with exact normalization,,,
fp8-semantic-r2,float_fp8,ex248,ex248_r2_direct_arith_mod_abc_g_aig,ex248|E5M2FN packed fmod low mod high|direct shifted-significand modulo|shared delta and modulo arithmetic with exact norm table|abc_g_aig|official_evaluate|full_word,shared exponent delta and divisor-significand modulo path,OK,1159,305,353495,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,small shifted significand modulo with exact normalization,,,
fp8-semantic-r2,float_fp8,ex248,ex248_r2_formula_norm_lowarea_default_and,ex248|E5M2FN packed fmod low mod high|periodic remainder formula normalizer|shared period decode and formula norm residual|default_and|official_evaluate|formula_norm_lowarea,shared period decode and arithmetic normalization path,OK,296,35,10360,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,periodic remainder with formula normalizer,,,
fp8-semantic-r2,float_fp8,ex248,ex248_r2_formula_norm_lowarea_abc_g_aig,ex248|E5M2FN packed fmod low mod high|periodic remainder formula normalizer|shared period decode and formula norm residual|abc_g_aig|official_evaluate|formula_norm_lowarea,shared period decode and arithmetic normalization path,OK,286,35,10010,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,periodic remainder with formula normalizer,,,
fp8-semantic-r2,float_fp8,ex248,ex248_r2_den_remainder_graph_default_and,ex248|E5M2FN packed fmod low mod high|denominator grouped remainder graph|denominator class plus local numerator residual tables|default_and|official_evaluate|den_grouped_graph,first-stage denominator class selects local numerator table,OK,5511,47,259017,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,denominator-grouped exact remainder decision graph,,,
fp8-semantic-r2,float_fp8,ex248,ex248_r2_den_remainder_graph_abc_g_aig,ex248|E5M2FN packed fmod low mod high|denominator grouped remainder graph|denominator class plus local numerator residual tables|abc_g_aig|official_evaluate|den_grouped_graph,first-stage denominator class selects local numerator table,OK,5475,47,257325,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp8-semantic-r2/shared_structure_report.csv,denominator-grouped exact remainder decision graph,,,
arith-unary-r2,bf16,ex204,ex204_bf16_output_grouped_low8_hi3_abc_g_aig,ex204|bf16_output_grouped_truth_structure|low8_nested_hi3_highbit_runs|shared_signexp_highbit_runs_plus_nested_low_lut|abc_g_aig|abc_xf_truth_derived|full_word_bitgroup,shared sign_exp high-bit run trees plus nested low-bit LUT,official_ok_nonwinning,2379,15,35685,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/arith-unary-r2/shared_structure_report.csv,"low_width=8; nested_hi=3; nested_lo=4; items=18931; const_blocks=3107; b15:runs=512,max=1,const_groups=512; b14:runs=513,max=2,const_groups=511; b13:runs=514,max=2,const_groups=510; b12:runs=514,max=2,const_groups=510; b11:runs=514,max=2,const_groups=510; b10:runs=515,max=2,const_groups=509; b9:runs=518,max=3,const_groups=507; b8:runs=525,max=5,const_groups=504",,,
