case,agent_id,hypothesis,representation,shared_structure,expected_sharing,observed_result,notes,candidate_id,synth_flow,domain,method_signature,sharing_scope,verification_status,evidence_path
ex224,mixed-r24,fp16_log2_field_shell_selected_lowbit,nested positive-normal low11 hi6 LUT plus high-bit run trees,shared sign/exp special decode and extra high-bit run predicates,,,word output low11 plus high-bit runs,ex224_r24_fp16_nested_low11_hi6_abc_g_aig,abc_g_aig,,,,,
ex224,mixed-r24,fp16_log2_field_shell_selected_lowbit,nested positive-normal low12 hi5 LUT plus high-bit run trees,shared sign/exp special decode and coarser mantissa-hi grouping,,,word output low12 plus high-bit runs,ex224_r24_fp16_nested_low12_hi5_abc_g_aig,abc_g_aig,,,,,
ex274,mixed-r24,unsigned square compressor restructure,full-row CSA square terms with carry-select final merge,shared triangular partial products and CSA rows,,,full square word,ex274_r24_int_highgap_square_fullrow_csa_csel4_abc_g_aig,abc_g_aig,,,,,
ex274,mixed-r24,unsigned square balanced adder restructure,balanced pairwise adder tree over triangular square terms,shared triangular terms with balanced final addition,,,full square word,ex274_r24_int_highgap_square_pairadder_tree_abc_g_aig,abc_g_aig,,,,,
ex266,mixed-r24,unsigned divider cofactor quotient predicate,mixed high/mid divisor cofactor word mux,shared cofactor-local bit-BDDs and quotient word mux,,,quotient word,ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,abc_g_aig,,,,,
ex266,mixed-r24,unsigned divider hybrid top-bit predicate,top quotient bit deeper cofactor and low-bit shallow cofactor,shared low/top quotient BDD groups with separate selectors,,,quotient word,ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_abc_g_aig,abc_g_aig,,,,,
ex260,mixed-r24,signed multiplier correction compressor restructure,Baugh-Wooley correction-zipped Wallace rows with reverse hybrid CLA2,shared signed partial products and correction columns,,,product word,ex260_r24_signed_mul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig,abc_g_aig,,,,,
ex260,mixed-r24,signed multiplier Booth compressor alternative,radix-4 Booth partial products with CSA and CLA,shared Booth recode terms and compressor rows,,,product word,ex260_r24_signed_mul_booth_radix4_csa_cla_abc_g_aig,abc_g_aig,,,,,
ex276,mixed-r24,isqrt hand high-bit residual classifier,hand q4/q3 formulas plus prefix3 ge low bits,shared high-bit range predicates and prefix-ge residuals,,,sqrt word,ex276_r24_int_highgap_isqrt_p3ge_hand_hi_abc_g_aig,abc_g_aig,,,,,
ex276,mixed-r24,isqrt shared threshold toggle classifier,shared square-threshold comparators with output-bit XOR toggles,shared ge(q*q) predicates reused across all output bits,,,sqrt word,ex276_r24_int_highgap_isqrt_threshold_toggle_shared_abc_g_aig,abc_g_aig,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_correction,hilo2 selected-bit correction over arithmetic exponent base,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo2_bits_11_14_bh2_abc_g_gates,abc_g_gates,,,,,
ex204,mixed-r24,bf16_log2_separate_field_formula_correction,separate sign/exp/mant field tables plus formula selected bits,shared field selectors and hand formula overrides,,,field-reassembled word output,ex204_r24_bf16_log2_sep_fields_e4_m3_s1_formula_bits_11_14_abc_g_gates,abc_g_gates,,,,,
ex218,mixed-r24,bf16_reciprocal_cube_exp_delta_selected_bits,aggressive exp-delta fields plus selected-bit grouped LUT,shared reciprocal-cube exponent zone and selected mantissa predicates,,,field-reassembled word output,ex218_r24_bf16_recip_cube_aggr_semantic_exp_delta_fields_bits_8_9_bh3_abc_g_aig,abc_g_aig,,,,,
ex218,mixed-r24,bf16_reciprocal_cube_field_selector_minimax,separate exp/mant/sign field selector,shared sign/exp/mant field decode without round19 value-case replay,,,field-reassembled word output,ex218_r24_bf16_recip_cube_sep_fields_e4_m2_s1_abc_g_aig,abc_g_aig,,,,,
ex225,mixed-r24,fp16_log10_field_shell_selected_lowbit_neighbor,nested positive-normal low14 hi4 LUT plus high-bit run trees,shared sign/exp special decode with coarser mantissa-hi grouping,,,word output low14 plus high-bit runs,ex225_r24_fp16_nested_low14_hi4_abc_g_aig,abc_g_aig,,,,,
ex225,mixed-r24,fp16_log10_field_shell_gateflow_neighbor,nested positive-normal low13 hi5 LUT plus high-bit run trees,shared sign/exp special decode and gate-set variant,,,word output low13 plus high-bit runs,ex225_r24_fp16_nested_low13_hi5_abc_g_gates,abc_g_gates,,,,,
ex223,mixed-r24,fp16_log_field_shell_gateflow_neighbor,nested positive-normal low13 hi5 LUT plus high-bit run trees,shared sign/exp special decode and gate-set variant,,,word output low13 plus high-bit runs,ex223_r24_fp16_nested_low13_hi5_abc_g_gates,abc_g_gates,,,,,
ex223,mixed-r24,fp16_log_field_shell_boundary_neighbor,nested positive-normal low14 hi4 LUT plus high-bit run trees,shared sign/exp special decode with fewer high-bit predicates,,,word output low14 plus high-bit runs,ex223_r24_fp16_nested_low14_hi4_abc_g_aig,abc_g_aig,,,,,
ex224,mixed-r24,fp16_log2_field_shell_gateflow_neighbor,nested positive-normal low12 hi5 LUT plus high-bit run trees,shared sign/exp special decode and gate-set variant,,,word output low12 plus high-bit runs,ex224_r24_fp16_nested_low12_hi5_abc_g_gates,abc_g_gates,,,,,
ex224,mixed-r24,fp16_log2_field_shell_boundary_neighbor,nested positive-normal low13 hi4 LUT plus high-bit run trees,shared sign/exp special decode with fewer high-bit predicates,,,word output low13 plus high-bit runs,ex224_r24_fp16_nested_low13_hi4_abc_g_aig,abc_g_aig,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD,top3 truncated shared BDD plus arithmetic lower square,shared selected top-output BDD and arithmetic residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop3_trunc_synth_preset_d16,synth_preset_d16,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD order,top2 truncated shared BDD with center variable order,shared selected top-output BDD and center-ordered residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop2_trunc_order_center_synth_preset_d16,synth_preset_d16,,,,,
ex266,mixed-r24,unsigned divider hybrid top-bit flow neighbor,top quotient bit deeper cofactor and low-bit shallow cofactor,shared low/top quotient BDD groups with delay-target flow,,,quotient word,ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_synth_preset_d10,synth_preset_d10,,,,,
ex266,mixed-r24,unsigned divider hybrid top2 predicate,top2 quotient bits deeper a43 cofactor and low-bit shallow cofactor,shared low/top quotient BDD groups with delay-target flow,,,quotient word,ex266_r24_int_highgap_udiv_ex266_hybrid_top2_a43_synth_preset_d10,synth_preset_d10,,,,,
ex260,mixed-r24,signed multiplier centered correction compressor,Baugh-Wooley centered Wallace rows with reverse hybrid CLA3,shared signed partial products and centered correction columns,,,product word,ex260_r24_signed_mul_baugh_wooley_wallace_center_rhcla3_abc_g_aig,abc_g_aig,,,,,
ex260,mixed-r24,signed multiplier modulo carry prune neighbor,reverse Baugh-Wooley Wallace hCLA4 with modulo carry pruning,shared signed partial products with pruned overflow carry,,,product word,ex260_r24_signed_mul_baugh_wooley_wallace_rev_hcla4_mod_abc_g_aig,abc_g_aig,,,,,
ex276,mixed-r24,isqrt hand high-bit prefix4 classifier,hand q4/q3 formulas plus prefix4 ge low bits,shared high-bit range predicates and prefix4 residuals,,,sqrt word,ex276_r24_int_highgap_isqrt_p4ge_hand_hi_abc_g_aig,abc_g_aig,,,,,
ex276,mixed-r24,isqrt hand high-bit prefix4 flow neighbor,hand q4/q3 formulas plus prefix4 ge low bits,shared high-bit range predicates and delay-target prefix4 residuals,,,sqrt word,ex276_r24_int_highgap_isqrt_p4ge_hand_hi_synth_preset_d10,synth_preset_d10,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_hilo4_neighbor,hilo4 selected-bit correction over arithmetic exponent base,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo4_bits_11_14_bh3_abc_g_gates,abc_g_gates,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_bitgroup_neighbor,hilo3 selected-bit correction with smaller bit_hi grouping,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_gates,abc_g_gates,,,,,
ex218,mixed-r24,bf16_reciprocal_cube_delta_pair_selected_bits,delta-pair mode hilo3 with selected high-bit grouped LUT,shared delta pair plus selected output-bit correction,,,grouped word output,ex218_r24_bf16_recip_cube_delta_pair_mode_hilo3_bits_14_15_bh3_abc_g_aig,abc_g_aig,,,,,
ex218,mixed-r24,bf16_reciprocal_cube_field_selector_gateflow,separate exp/mant/sign field selector gate-set variant,shared sign/exp/mant field decode without value-case replay,,,field-reassembled word output,ex218_r24_bf16_recip_cube_sep_fields_e3_m3_s3_abc_g_gates,abc_g_gates,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD order neighbor,top3 truncated shared BDD with center order,shared selected top-output BDD and center-ordered residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop3_trunc_order_center_synth_preset_d16,synth_preset_d16,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD hcla neighbor,top3 truncated shared BDD with hCLA4 merge,shared selected top-output BDD and hybrid-CLA residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop3_trunc_hcla4_synth_preset_d16,synth_preset_d16,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD factored neighbor,top2 truncated shared BDD with factored residual,shared selected top-output BDD and factored arithmetic residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop2_trunc_factored_synth_preset_d16,synth_preset_d16,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD hcla top2 neighbor,top2 truncated shared BDD with hCLA4 merge,shared selected top-output BDD and hybrid-CLA residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop2_trunc_hcla4_synth_preset_d16,synth_preset_d16,,,,,
ex274,mixed-r24,unsigned square hybrid selected-top-BDD csel neighbor,top3 truncated shared BDD with carry-select residual,shared selected top-output BDD and carry-select residual,,,full square word,ex274_r24_square_frontend_hybrid_bddtop3_trunc_csel4_synth_preset_d16,synth_preset_d16,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_bitgroup_bh1,hilo3 selected-bit correction with bit_hi1 grouping,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh1_abc_g_gates,abc_g_gates,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_bitgroup_bh4,hilo3 selected-bit correction with bit_hi4 grouping,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh4_abc_g_gates,abc_g_gates,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_extra_bit10,hilo3 selected-bit correction with extra bit10,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_10_11_14_bh2_abc_g_gates,abc_g_gates,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_extra_bit13,hilo3 selected-bit correction with extra bit13,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_13_14_bh2_abc_g_gates,abc_g_gates,,,,,
ex204,mixed-r24,bf16_log2_arithbase_delta_bitgroup_flow_neighbor,hilo3 selected-bit correction with bit_hi2 grouping and aig gate flow,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r24_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh2_abc_g_aig,abc_g_aig,,,,,
ex260,mixed-r24,signed multiplier centered correction flow neighbor,Baugh-Wooley centered Wallace rows with reverse hybrid CLA3,shared signed partial products and centered correction columns,,,product word,ex260_r24_signed_mul_baugh_wooley_wallace_center_rhcla3_synth_preset_d9,synth_preset_d9,,,,,
ex260,mixed-r24,signed multiplier reverse hcla3 neighbor,reverse Baugh-Wooley Wallace rows with hCLA3,shared signed partial products and correction columns,,,product word,ex260_r24_signed_mul_baugh_wooley_wallace_rev_hcla3_abc_g_aig,abc_g_aig,,,,,
ex266,mixed-r24,unsigned divider hybrid top-bit d8 flow neighbor,top quotient bit deeper cofactor and low-bit shallow cofactor,shared low/top quotient BDD groups with lower delay-target flow,,,quotient word,ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_synth_preset_d8,synth_preset_d8,,,,,
ex266,mixed-r24,unsigned divider hybrid top2 aig flow neighbor,top2 quotient bits deeper a43 cofactor and low-bit shallow cofactor,shared low/top quotient BDD groups with aig gate flow,,,quotient word,ex266_r24_int_highgap_udiv_ex266_hybrid_top2_a43_abc_g_aig,abc_g_aig,,,,,
ex276,mixed-r24,isqrt hand high-bit prefix4 d8 flow neighbor,hand q4/q3 formulas plus prefix4 ge low bits,shared high-bit range predicates and delay-target prefix4 residuals,,,sqrt word,ex276_r24_int_highgap_isqrt_p4ge_hand_hi_synth_preset_d8,synth_preset_d8,,,,,
ex276,mixed-r24,isqrt hand high-bit prefix4 abc d8 flow neighbor,hand q4/q3 formulas plus prefix4 ge low bits,shared high-bit range predicates and abc delay-target prefix4 residuals,,,sqrt word,ex276_r24_int_highgap_isqrt_p4ge_hand_hi_abc_g_aig_d8,abc_g_aig_d8,,,,,
ex292,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=142170; reference=84854,,,unknown,ex292|unknown_large_r24|current_source_synthflow_variant|ex292_r24_current_source_abc_g_aig_d18|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex292/logs/ex292_r24_current_source_abc_g_aig_d18.evaluate.py.log
ex292,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=142170; reference=84854,,,unknown,ex292|unknown_large_r24|current_source_synthflow_variant|ex292_r24_current_source_abc_g_and_mux|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex292/logs/ex292_r24_current_source_abc_g_and_mux.evaluate.py.log
ex292,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=142170; reference=84854,,,unknown,ex292|unknown_large_r24|current_source_synthflow_variant|ex292_r24_current_source_extra_opt_share|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex292/logs/ex292_r24_current_source_extra_opt_share.evaluate.py.log
ex292,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=142170; reference=84854,,,unknown,ex292|unknown_large_r24|current_source_synthflow_variant|ex292_r24_current_source_synth_preset|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex292/logs/ex292_r24_current_source_synth_preset.evaluate.py.log
ex292,unknown-large-r24,,,output-grouped BDD pools over even/odd planes,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=142170; reference=84854,,,unknown,ex292|unknown_large_r24|output_grouped_bdd_pools_even_odd_planes|ex292_r24_output_grouped_bdd_pools_abc_g_aig|official_evaluate_py,grouped_outputs,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex292/logs/ex292_r24_output_grouped_bdd_pools_abc_g_aig.evaluate.py.log
ex292,unknown-large-r24,,,output-grouped BDD pools over even/odd planes,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=142170; reference=84854,,,unknown,ex292|unknown_large_r24|output_grouped_bdd_pools_even_odd_planes|ex292_r24_output_grouped_bdd_pools_synth_preset|official_evaluate_py,grouped_outputs,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex292/logs/ex292_r24_output_grouped_bdd_pools_synth_preset.evaluate.py.log
ex294,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=246698; reference=133365,,,unknown,ex294|unknown_large_r24|current_source_synthflow_variant|ex294_r24_current_source_abc_g_aig|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex294/logs/ex294_r24_current_source_abc_g_aig.evaluate.py.log
ex294,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=246698; reference=133365,,,unknown,ex294|unknown_large_r24|current_source_synthflow_variant|ex294_r24_current_source_abc_g_aig_d18|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex294/logs/ex294_r24_current_source_abc_g_aig_d18.evaluate.py.log
ex294,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=246698; reference=133365,,,unknown,ex294|unknown_large_r24|current_source_synthflow_variant|ex294_r24_current_source_abc_g_and_mux|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex294/logs/ex294_r24_current_source_abc_g_and_mux.evaluate.py.log
ex294,unknown-large-r24,,,shared selector decoders and symbol-plane exact partition replay with changed synth flow,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=246698; reference=133365,,,unknown,ex294|unknown_large_r24|current_source_synthflow_variant|ex294_r24_current_source_extra_opt_share|official_evaluate_py,all_outputs_grouped,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex294/logs/ex294_r24_current_source_extra_opt_share.evaluate.py.log
ex294,unknown-large-r24,,,output-grouped BDD pools over even/odd planes,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=246698; reference=133365,,,unknown,ex294|unknown_large_r24|output_grouped_bdd_pools_even_odd_planes|ex294_r24_output_grouped_bdd_pools_abc_g_aig|official_evaluate_py,grouped_outputs,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex294/logs/ex294_r24_output_grouped_bdd_pools_abc_g_aig.evaluate.py.log
ex294,unknown-large-r24,,,output-grouped BDD pools over even/odd planes,,,official evaluate.py OK; reconstructed by coordinator from worker log; current_frontend=246698; reference=133365,,,unknown,ex294|unknown_large_r24|output_grouped_bdd_pools_even_odd_planes|ex294_r24_output_grouped_bdd_pools_synth_preset|official_evaluate_py,grouped_outputs,official_evaluate_ok,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/unknown-large-r24/ex294/logs/ex294_r24_output_grouped_bdd_pools_synth_preset.evaluate.py.log
