case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes,status,official_output_dir,runtime_sec
ex249,float_fp8,fp8-r24,ex249_r24_compact_delta_case_default_aig,ex249|E5M2FN packed hypot|compact maxeff-gap-sig delta case table|shared abs max min effective exponent gap and delta predicates|yosys_multi_official_evaluate|exact_e5m2fn_hypot_abs_high_low|compact_delta_case|default_aig,OK,1,295,38,11210,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/verilog/ex249_r24_compact_delta_case_default_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/aigs/ex249_r24_compact_delta_case_default_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_default_aig.yosys.log,,,
ex249,float_fp8,fp8-r24,ex249_r24_compact_delta_case_synth_preset_aig,ex249|E5M2FN packed hypot|compact maxeff-gap-sig delta case table|shared abs max min effective exponent gap and delta predicates|yosys_multi_official_evaluate|exact_e5m2fn_hypot_abs_high_low|compact_delta_case|synth_preset_aig,OK,1,234,38,8892,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/verilog/ex249_r24_compact_delta_case_synth_preset_aig.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/aigs/ex249_r24_compact_delta_case_synth_preset_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/fp8-r24/ex249/logs/ex249_r24_compact_delta_case_synth_preset_aig.yosys.log,,,
ex225,,mixed-r24,ex225_r24_fp16_nested_low13_hi6_abc_g_aig,,,,12712,18,228816,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/verilog/ex225_r24_fp16_nested_low13_hi6.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/aigs/ex225_r24_fp16_nested_low13_hi6_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/logs/ex225_r24_fp16_nested_low13_hi6_abc_g_aig.evaluate.py.log,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=6; nested_lo=4; low_items=30645; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction",OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/official_eval/ex225_r24_fp16_nested_low13_hi6_abc_g_aig,1.309
ex225,,mixed-r24,ex225_r24_fp16_nested_low12_hi7_abc_g_aig,,,,14482,18,260676,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/verilog/ex225_r24_fp16_nested_low12_hi7.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/aigs/ex225_r24_fp16_nested_low12_hi7_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/logs/ex225_r24_fp16_nested_low12_hi7_abc_g_aig.evaluate.py.log,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=7; nested_lo=3; low_items=28466; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction",OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex225/official_eval/ex225_r24_fp16_nested_low12_hi7_abc_g_aig,1.275
ex223,,mixed-r24,ex223_r24_fp16_nested_low13_hi5_abc_g_aig,,,,10754,19,204326,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/verilog/ex223_r24_fp16_nested_low13_hi5.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/aigs/ex223_r24_fp16_nested_low13_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/logs/ex223_r24_fp16_nested_low13_hi5_abc_g_aig.evaluate.py.log,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=13; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction",OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/official_eval/ex223_r24_fp16_nested_low13_hi5_abc_g_aig,1.328
ex223,,mixed-r24,ex223_r24_fp16_nested_low12_hi6_abc_g_aig,,,,11517,19,218823,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/verilog/ex223_r24_fp16_nested_low12_hi6.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/aigs/ex223_r24_fp16_nested_low12_hi6_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/logs/ex223_r24_fp16_nested_low12_hi6_abc_g_aig.evaluate.py.log,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30660; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction",OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex223/official_eval/ex223_r24_fp16_nested_low12_hi6_abc_g_aig,1.447
ex224,,mixed-r24,ex224_r24_fp16_nested_low11_hi6_abc_g_aig,,,,6020,17,102340,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/verilog/ex224_r24_fp16_nested_low11_hi6.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/aigs/ex224_r24_fp16_nested_low11_hi6_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/logs/ex224_r24_fp16_nested_low11_hi6_abc_g_aig.evaluate.py.log,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=6; nested_lo=4; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; b11:runs=43,max=6,const=25; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction",OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/official_eval/ex224_r24_fp16_nested_low11_hi6_abc_g_aig,1.173
ex224,,mixed-r24,ex224_r24_fp16_nested_low12_hi5_abc_g_aig,,,,5787,17,98379,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/verilog/ex224_r24_fp16_nested_low12_hi5.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/aigs/ex224_r24_fp16_nested_low12_hi5_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/logs/ex224_r24_fp16_nested_low12_hi5_abc_g_aig.evaluate.py.log,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=31,max=2,const=29; b13:runs=33,max=2,const=27; b12:runs=36,max=4,const=27; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction",OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex224/official_eval/ex224_r24_fp16_nested_low12_hi5_abc_g_aig,1.169
ex274,,mixed-r24,ex274_r24_int_highgap_square_fullrow_csa_csel4_abc_g_aig,,,,1340,48,64320,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/verilog/ex274_r24_int_highgap_square_fullrow_csa_csel4.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/aigs/ex274_r24_int_highgap_square_fullrow_csa_csel4_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/logs/ex274_r24_int_highgap_square_fullrow_csa_csel4_abc_g_aig.evaluate.py.log,integer highgap renderer source=square_fullrow_csa_csel4; official evaluate.py OK; semantic_check=exact unsigned 16-bit square x*x over 65536 inputs,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/official_eval/ex274_r24_int_highgap_square_fullrow_csa_csel4_abc_g_aig,3.102
ex274,,mixed-r24,ex274_r24_int_highgap_square_pairadder_tree_abc_g_aig,,,,1042,67,69814,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/verilog/ex274_r24_int_highgap_square_pairadder_tree.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/aigs/ex274_r24_int_highgap_square_pairadder_tree_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/logs/ex274_r24_int_highgap_square_pairadder_tree_abc_g_aig.evaluate.py.log,integer highgap renderer source=square_pairadder_tree; official evaluate.py OK; semantic_check=exact unsigned 16-bit square x*x over 65536 inputs,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex274/official_eval/ex274_r24_int_highgap_square_pairadder_tree_abc_g_aig,3.086
ex266,,mixed-r24,ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,,,,303,11,3333,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/verilog/ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/aigs/ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/logs/ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig.evaluate.py.log,integer highgap renderer source=udiv_cof_bhi2_bmid2_a_hi3_wordmux; official evaluate.py OK; semantic_check=unsigned low5_high5:a/b dbz=max exact,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/official_eval/ex266_r24_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,0.153
ex266,,mixed-r24,ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_abc_g_aig,,,,150,12,1800,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/verilog/ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/aigs/ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/logs/ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_abc_g_aig.evaluate.py.log,integer highgap renderer source=udiv_ex266_hybrid_top1_b2a4; official evaluate.py OK; semantic_check=unsigned low5_high5:a/b dbz=max exact,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex266/official_eval/ex266_r24_int_highgap_udiv_ex266_hybrid_top1_b2a4_abc_g_aig,0.217
ex260,,mixed-r24,ex260_r24_signed_mul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig,,,,92,14,1288,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/verilog/ex260_r24_signed_mul_baugh_wooley_wallace_corrzip_rhcla2.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/aigs/ex260_r24_signed_mul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/logs/ex260_r24_signed_mul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig.evaluate.py.log,signed multiplier renderer source=baugh_wooley_wallace_corrzip_rhcla2; official evaluate.py OK; semantic_check=exact signed low4 * signed high4 over 256 inputs,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/official_eval/ex260_r24_signed_mul_baugh_wooley_wallace_corrzip_rhcla2_abc_g_aig,0.160
ex260,,mixed-r24,ex260_r24_signed_mul_booth_radix4_csa_cla_abc_g_aig,,,,102,16,1632,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/verilog/ex260_r24_signed_mul_booth_radix4_csa_cla.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/aigs/ex260_r24_signed_mul_booth_radix4_csa_cla_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/logs/ex260_r24_signed_mul_booth_radix4_csa_cla_abc_g_aig.evaluate.py.log,signed multiplier renderer source=booth_radix4_csa_cla; official evaluate.py OK; semantic_check=exact signed low4 * signed high4 over 256 inputs,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex260/official_eval/ex260_r24_signed_mul_booth_radix4_csa_cla_abc_g_aig,0.193
ex276,,mixed-r24,ex276_r24_int_highgap_isqrt_p3ge_hand_hi_abc_g_aig,,,,113,11,1243,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/verilog/ex276_r24_int_highgap_isqrt_p3ge_hand_hi.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/aigs/ex276_r24_int_highgap_isqrt_p3ge_hand_hi_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/logs/ex276_r24_int_highgap_isqrt_p3ge_hand_hi_abc_g_aig.evaluate.py.log,integer highgap renderer source=isqrt_p3ge_hand_hi; official evaluate.py OK; semantic_check=exact unsigned floor isqrt over 1024 inputs,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/official_eval/ex276_r24_int_highgap_isqrt_p3ge_hand_hi_abc_g_aig,0.149
ex276,,mixed-r24,ex276_r24_int_highgap_isqrt_threshold_toggle_shared_abc_g_aig,,,,131,11,1441,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/verilog/ex276_r24_int_highgap_isqrt_threshold_toggle_shared.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/aigs/ex276_r24_int_highgap_isqrt_threshold_toggle_shared_abc_g_aig.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/logs/ex276_r24_int_highgap_isqrt_threshold_toggle_shared_abc_g_aig.evaluate.py.log,integer highgap renderer source=isqrt_threshold_toggle_shared; official evaluate.py OK; semantic_check=exact unsigned floor isqrt over 1024 inputs,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex276/official_eval/ex276_r24_int_highgap_isqrt_threshold_toggle_shared_abc_g_aig,0.168
ex204,,mixed-r24,ex204_r24_bf16_log2_log2_arithbase_delta_hilo2_bits_11_14_bh2_abc_g_gates,,,,1553,18,27954,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/verilog/ex204_r24_bf16_log2_log2_arithbase_delta_hilo2_bits_11_14_bh2.v,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/aigs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo2_bits_11_14_bh2_abc_g_gates.aig,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/logs/ex204_r24_bf16_log2_log2_arithbase_delta_hilo2_bits_11_14_bh2_abc_g_gates.evaluate.py.log,log2 arithmetic base delta_mode=hilo2 items=10415 bit_overrides=11_14 bit_items=40; official evaluate.py OK; semantic_check=truth-derived table decomposition exact by construction,OK,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435/mixed-r24/ex204/official_eval/ex204_r24_bf16_log2_log2_arithbase_delta_hilo2_bits_11_14_bh2_abc_g_gates,1.011
