round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,shard_csv,shared_structure,method_signature,area,delay,adp,hypothesis,representation,expected_sharing,observed_result,variant,structure_family
,,sub-bf16-recip-power-r94,ex212,bf16,ex212_r94_bf16_square_hand_square_formula_mant_lut,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/aigs/ex212_r94_bf16_square_hand_square_formula_mant_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/logs/ex212_r94_bf16_square_hand_square_formula_mant_lut.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex212|round94_frontend_structural_bf16|bf16_square|hand_square_formula_mant_lut|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,300,12,3600,,,,,,
,,sub-bf16-recip-power-r94,ex212,bf16,ex212_r94_bf16_square_pos_same_fields_e4_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/aigs/ex212_r94_bf16_square_pos_same_fields_e4_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/logs/ex212_r94_bf16_square_pos_same_fields_e4_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex212|round94_frontend_structural_bf16|bf16_square|pos_same_fields_e4_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,476,13,6188,,,,,,
,,sub-bf16-recip-power-r94,ex212,bf16,ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/aigs/ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex212/logs/ex212_r94_bf16_square_delta_pair_mode_hilo3_bits_15_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex212|round94_frontend_structural_bf16|bf16_square|delta_pair_mode_hilo3_bits_15_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,302,11,3322,,,,,,
,,sub-bf16-recip-power-r94,ex213,bf16,ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/aigs/ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/logs/ex213_r94_bf16_sqrt_sqrt_pos_nan_fields_e4_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex213|round94_frontend_structural_bf16|bf16_sqrt|sqrt_pos_nan_fields_e4_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,372,13,4836,,,,,,
,,sub-bf16-recip-power-r94,ex213,bf16,ex213_r94_bf16_sqrt_sep_fields_e4_m3_s3_bits_1_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/aigs/ex213_r94_bf16_sqrt_sep_fields_e4_m3_s3_bits_1_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/logs/ex213_r94_bf16_sqrt_sep_fields_e4_m3_s3_bits_1_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex213|round94_frontend_structural_bf16|bf16_sqrt|sep_fields_e4_m3_s3_bits_1_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,346,11,3806,,,,,,
,,sub-bf16-recip-power-r94,ex213,bf16,ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/aigs/ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex213/logs/ex213_r94_bf16_sqrt_sep_fields_e2_m4_s3_bits_1_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex213|round94_frontend_structural_bf16|bf16_sqrt|sep_fields_e2_m4_s3_bits_1_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,359,12,4308,,,,,,
,,sub-bf16-recip-power-r94,ex214,bf16,ex214_r94_bf16_reciprocal_square_hand_recip_square_formula_mant_lut,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/aigs/ex214_r94_bf16_reciprocal_square_hand_recip_square_formula_mant_lut.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/logs/ex214_r94_bf16_reciprocal_square_hand_recip_square_formula_mant_lut.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex214|round94_frontend_structural_bf16|bf16_reciprocal_square|hand_recip_square_formula_mant_lut|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,358,18,6444,,,,,,
,,sub-bf16-recip-power-r94,ex214,bf16,ex214_r94_bf16_reciprocal_square_pos_same_fields_e4_m3,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/aigs/ex214_r94_bf16_reciprocal_square_pos_same_fields_e4_m3.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/logs/ex214_r94_bf16_reciprocal_square_pos_same_fields_e4_m3.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex214|round94_frontend_structural_bf16|bf16_reciprocal_square|pos_same_fields_e4_m3|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,646,12,7752,,,,,,
,,sub-bf16-recip-power-r94,ex214,bf16,ex214_r94_bf16_reciprocal_square_delta_pair_mode_hilo3_bits_13_cmp,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/aigs/ex214_r94_bf16_reciprocal_square_delta_pair_mode_hilo3_bits_13_cmp.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex214/logs/ex214_r94_bf16_reciprocal_square_delta_pair_mode_hilo3_bits_13_cmp.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex214|round94_frontend_structural_bf16|bf16_reciprocal_square|delta_pair_mode_hilo3_bits_13_cmp|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,368,11,4048,,,,,,
,,sub-bf16-recip-power-r94,ex215,bf16,ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/aigs/ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/logs/ex215_r94_bf16_reciprocal_sqrt_arith_semantic_fields.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex215|round94_frontend_structural_bf16|bf16_reciprocal_sqrt|arith_semantic_fields|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,408,13,5304,,,,,,
,,sub-bf16-recip-power-r94,ex215,bf16,ex215_r94_bf16_reciprocal_sqrt_sep_fields_e4_m3_s3_bits_9_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/aigs/ex215_r94_bf16_reciprocal_sqrt_sep_fields_e4_m3_s3_bits_9_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/logs/ex215_r94_bf16_reciprocal_sqrt_sep_fields_e4_m3_s3_bits_9_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex215|round94_frontend_structural_bf16|bf16_reciprocal_sqrt|sep_fields_e4_m3_s3_bits_9_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,963,15,14445,,,,,,
,,sub-bf16-recip-power-r94,ex215,bf16,ex215_r94_bf16_reciprocal_sqrt_delta_pair_mode_hilo4_bits_9_bh1,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/aigs/ex215_r94_bf16_reciprocal_sqrt_delta_pair_mode_hilo4_bits_9_bh1.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex215/logs/ex215_r94_bf16_reciprocal_sqrt_delta_pair_mode_hilo4_bits_9_bh1.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex215|round94_frontend_structural_bf16|bf16_reciprocal_sqrt|delta_pair_mode_hilo4_bits_9_bh1|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,392,13,5096,,,,,,
,,sub-bf16-recip-power-r94,ex216,bf16,ex216_r94_bf16_cube_hand_cube_guard_lut_normal_first,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex216/aigs/ex216_r94_bf16_cube_hand_cube_guard_lut_normal_first.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex216/logs/ex216_r94_bf16_cube_hand_cube_guard_lut_normal_first.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex216|round94_frontend_structural_bf16|bf16_cube|hand_cube_guard_lut_normal_first|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,437,17,7429,,,,,,
,,sub-bf16-recip-power-r94,ex216,bf16,ex216_r94_bf16_cube_aggr_semantic_exp_delta_fields_cube_bit14_boundary,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex216/aigs/ex216_r94_bf16_cube_aggr_semantic_exp_delta_fields_cube_bit14_boundary.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex216/logs/ex216_r94_bf16_cube_aggr_semantic_exp_delta_fields_cube_bit14_boundary.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex216|round94_frontend_structural_bf16|bf16_cube|aggr_semantic_exp_delta_fields_cube_bit14_boundary|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,423,22,9306,,,,,,
,,sub-bf16-recip-power-r94,ex216,bf16,ex216_r94_bf16_cube_delta_pair_mode_hilo4_cube_bit14_boundary,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex216/aigs/ex216_r94_bf16_cube_delta_pair_mode_hilo4_cube_bit14_boundary.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex216/logs/ex216_r94_bf16_cube_delta_pair_mode_hilo4_cube_bit14_boundary.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex216|round94_frontend_structural_bf16|bf16_cube|delta_pair_mode_hilo4_cube_bit14_boundary|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,482,13,6266,,,,,,
,,sub-bf16-recip-power-r94,ex217,bf16,ex217_r94_bf16_cbrt_aggr_semantic_exp_delta_fields_mod3_bit0,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex217/aigs/ex217_r94_bf16_cbrt_aggr_semantic_exp_delta_fields_mod3_bit0.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex217/logs/ex217_r94_bf16_cbrt_aggr_semantic_exp_delta_fields_mod3_bit0.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex217|round94_frontend_structural_bf16|bf16_cbrt|aggr_semantic_exp_delta_fields_mod3_bit0|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,1128,26,29328,,,,,,
,,sub-bf16-recip-power-r94,ex217,bf16,ex217_r94_bf16_cbrt_delta_pair_mode_hilo3_bits_0_bh3_manual_sign_non_nan_caseattrs,,,,,,,,,,,,,semantic model exact over 65536 inputs; official evaluate.py OK; collected from existing log; synth_aig=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex217/aigs/ex217_r94_bf16_cbrt_delta_pair_mode_hilo3_bits_0_bh3_manual_sign_non_nan_caseattrs.aig; yosys_log=student/work/frontend_bf16_unknown_struct_round94_20260614_0552/sub-bf16-recip-power-r94/ex217/logs/ex217_r94_bf16_cbrt_delta_pair_mode_hilo3_bits_0_bh3_manual_sign_non_nan_caseattrs.yosys.log,student/frontend_campaigns/campaigns/frontend_bf16_unknown_struct_round94_20260614_0552/agent_shards/sub-bf16-recip-power-r94/shared_structure_report.csv,BF16 special-case shell plus grouped output/source-level selected correction,ex217|round94_frontend_structural_bf16|bf16_cbrt|delta_pair_mode_hilo3_bits_0_bh3_manual_sign_non_nan_caseattrs|shared_shell_or_grouped_output|yosys_aigmap_then_official_evaluate|abc_read_truth_xf,687,16,10992,,,,,,
