case,hypothesis,representation,sharing_strategy,synth_flow,method_signature,status,reason,artifact_path,agent_id,failure_stage,evidence_path,notes,shard_csv,domain,shared_structure,outcome,next_action,candidate_id,variant,verilog_path,aig_path,stage,failure_reason,reuse_policy,log_path
ex244,E4M3FN packed hypot,sum high-bit saturation predicate,keep max-eff delta BDD and replace raw compare with high-bit saturation,yosys_synth_default_abc_g_AND,ex244|E4M3FN packed hypot|sum high-bit saturation predicate|keep max-eff delta BDD and replace raw compare with high-bit saturation|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/verilog/ex244_r72_sum_sat_highbits.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_sum_sat_highbits.evaluate.py.log,ADP 12198 exceeded current target 8928 and frontend best 9120,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,max/min decode plus max-eff gap/sig delta BDD plus high-bit sat predicate,,,ex244_r72_sum_sat_highbits,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/verilog/ex244_r72_sum_sat_highbits.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/aigs/ex244_r72_sum_sat_highbits.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_sum_sat_highbits.evaluate.py.log
ex244,E4M3FN packed hypot,comparator polarity sharing,replace max/min >= comparator with shared b_gt_a polarity while keeping delta/output cones,yosys_synth_default_abc_g_AND,ex244|E4M3FN packed hypot|comparator polarity sharing|replace max-min comparator with b_gt_a polarity|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/verilog/ex244_r72_bgt_maxmin.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_bgt_maxmin.evaluate.py.log,ADP 12948 exceeded current target 8928 and frontend best 9120,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,shared b_gt_a comparator feeding max/min and existing delta BDD,,,ex244_r72_bgt_maxmin,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/verilog/ex244_r72_bgt_maxmin.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/aigs/ex244_r72_bgt_maxmin.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_bgt_maxmin.evaluate.py.log
ex246,E5M2FN packed multiply,final output mask mux,replace ternary NaN output cone with bit-mask mux over product-class source,yosys_synth_default_abc_g_AND,ex246|E5M2FN packed multiply|final output mask mux|replace ternary NaN output cone with bit-mask mux|yosys_synth_default_abc_g_AND|official_evaluate|product-class magnitude output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/verilog/ex246_r72_output_mask_mux.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_output_mask_mux.evaluate.py.log,ADP 8520 exceeded current target 5984 and frontend best 6888,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,sign xor plus exp-sum product class table with masked final output,,,ex246_r72_output_mask_mux,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/verilog/ex246_r72_output_mask_mux.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/aigs/ex246_r72_output_mask_mux.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_output_mask_mux.evaluate.py.log
ex246,E5M2FN packed multiply,shared sig and exponent predecode,materialize sig_a sig_b exp_a exp_b before product-class table,yosys_synth_default_abc_g_AND,ex246|E5M2FN packed multiply|shared sig exponent predecode|materialize sig and exponent wires before product-class table|yosys_synth_default_abc_g_AND|official_evaluate|product-class magnitude output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/verilog/ex246_r72_predecoded_sigexp.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_predecoded_sigexp.evaluate.py.log,ADP 8520 exceeded current target 5984 and frontend best 6888,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,explicit shared sig and exponent wires feeding existing product-class magnitude table,,,ex246_r72_predecoded_sigexp,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/verilog/ex246_r72_predecoded_sigexp.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/aigs/ex246_r72_predecoded_sigexp.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_predecoded_sigexp.evaluate.py.log
ex247,E5M2FN low-over-high division,encoded small region mux,encode zero low linear saturation region before selecting magnitude,yosys_synth_default_abc_g_AND,ex247|E5M2FN low-over-high division|encoded small region mux|encode zero low linear saturation region before magnitude select|yosys_synth_default_abc_g_AND|official_evaluate|region-selected magnitude output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/verilog/ex247_r72_encoded_region_mux.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_encoded_region_mux.evaluate.py.log,ADP 9225 exceeded current target 6804 and frontend best 7291,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,denominator boundary attrs plus encoded zero low linear saturation selector,,,ex247_r72_encoded_region_mux,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/verilog/ex247_r72_encoded_region_mux.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/aigs/ex247_r72_encoded_region_mux.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_encoded_region_mux.evaluate.py.log
ex247,E5M2FN low-over-high division,shared middle-region predicate,share zero and saturation comparisons before low-underflow predicate,yosys_synth_default_abc_g_AND,ex247|E5M2FN low-over-high division|shared middle-region predicate|share zero and saturation comparisons before low-underflow predicate|yosys_synth_default_abc_g_AND|official_evaluate|priority region magnitude output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/verilog/ex247_r72_shared_mid_region.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_shared_mid_region.evaluate.py.log,ADP 8808 exceeded current target 6804 and frontend best 7291,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,denominator boundary attrs plus shared mid-region compare predicate and low-pattern reconstruction,,,ex247_r72_shared_mid_region,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/verilog/ex247_r72_shared_mid_region.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/aigs/ex247_r72_shared_mid_region.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_shared_mid_region.evaluate.py.log
ex249,E5M2FN packed hypot,sum high-bit saturation predicate,replace raw-exp threshold explicit saturation with raw sum high-bit predicate,yosys_synth_default_abc_g_AND,ex249|E5M2FN packed hypot|sum high-bit saturation predicate|replace explicit saturation with raw sum high-bit predicate|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,equivalent_but_no_improvement,did not beat current overall frontend or reference ADP,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/verilog/ex249_r72_sum_sat_highbits.v,sub-fp8-worst-micro-r72,,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/logs/ex249_r72_sum_sat_highbits.evaluate.py.log,ADP 5890 was over 50 percent worse than current target 3339 so family stopped,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/failed_hypotheses.csv,float_fp8,raw exponent max/min decode plus active-gap delta table plus high-bit sat predicate,,,ex249_r72_sum_sat_highbits,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/verilog/ex249_r72_sum_sat_highbits.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/aigs/ex249_r72_sum_sat_highbits.aig,official_evaluate,low QoR,do_not_repeat_as_is,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/logs/ex249_r72_sum_sat_highbits.evaluate.py.log
ex285,tiny_local_boundary_or_bypass,source_verilog,none,not_run,r72_micro_blocker_source_size_guard,blocked,current_target_requires_no_expansion_and_prior_notes_reject_low_value_bypass,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex285/diagnostics/ex285_r72_micro_blocker.md,sub-unknown-micro-r72,,,avoided_do_not_repeat_signatures,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/failed_hypotheses.csv,,,,,,no_candidate,,,screen,no_tiny_predicate_likely_to_beat_target_without_source_expansion,record_blocker,
ex288,tiny_local_boundary_or_bypass,source_verilog,none,not_run,r72_micro_blocker_source_size_guard,blocked,current_target_requires_no_expansion_and_prior_notes_reject_low_value_bypass,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex288/diagnostics/ex288_r72_micro_blocker.md,sub-unknown-micro-r72,,,avoided_do_not_repeat_signatures,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/failed_hypotheses.csv,,,,,,no_candidate,,,screen,no_tiny_predicate_likely_to_beat_target_without_source_expansion,record_blocker,
ex297,partial_sel0_identity_bypass_on_even_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass,evaluated_non_improving,equivalent_but_worse_adp_than_current,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/logs/ex297_r72_sel0_even_cells_bypass_abc_g_aig.evaluate.py.log,sub-unknown-micro-r72,,,bounded_source_only_variant,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/failed_hypotheses.csv,,,,,ex297_r72_sel0_even_cells_bypass_abc_g_aig,sel0_even_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/verilog/ex297_r72_sel0_even_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/aigs/ex297_r72_sel0_even_cells_bypass_abc_g_aig.aig,official_evaluate,delay_penalty_overwhelmed_area_reduction,do_not_repeat_as_is,
ex297,partial_sel0_identity_bypass_on_odd_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass,evaluated_non_improving,equivalent_but_worse_adp_than_current,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/logs/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.evaluate.py.log,sub-unknown-micro-r72,,,bounded_source_only_variant_best_r72_for_case,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/failed_hypotheses.csv,,,,,ex297_r72_sel0_odd_cells_bypass_abc_g_aig,sel0_odd_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/verilog/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/aigs/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.aig,official_evaluate,delay_penalty_overwhelmed_small_area_change,do_not_repeat_as_is,
ex299,partial_sel0_identity_bypass_on_even_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass,evaluated_non_improving,equivalent_but_worse_adp_than_current,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/logs/ex299_r72_sel0_even_cells_bypass_abc_g_aig.evaluate.py.log,sub-unknown-micro-r72,,,bounded_source_only_variant,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/failed_hypotheses.csv,,,,,ex299_r72_sel0_even_cells_bypass_abc_g_aig,sel0_even_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/verilog/ex299_r72_sel0_even_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/aigs/ex299_r72_sel0_even_cells_bypass_abc_g_aig.aig,official_evaluate,delay_penalty_overwhelmed_area_change,do_not_repeat_as_is,
ex299,partial_sel0_identity_bypass_on_odd_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass,evaluated_non_improving,equivalent_but_worse_adp_than_current,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/logs/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.evaluate.py.log,sub-unknown-micro-r72,,,bounded_source_only_variant_best_r72_for_case,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/failed_hypotheses.csv,,,,,ex299_r72_sel0_odd_cells_bypass_abc_g_aig,sel0_odd_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/verilog/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/aigs/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.aig,official_evaluate,delay_penalty_overwhelmed_small_area_reduction,do_not_repeat_as_is,
