case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,shared_structure,simulation_pass,shard_csv,domain,evaluate_log,variant,official_output_dir,verified_truth,reference_adp,beats_overall_current,beats_current_best,method_signature_original
ex244,ex244_r72_sum_sat_highbits,E4M3FN packed hypot,sum high-bit saturation predicate,keep max-eff delta BDD and replace raw >= compare with sum high-bit saturation,yosys_synth_default_abc_g_AND,ex244|E4M3FN packed hypot|sum high-bit saturation predicate|keep max-eff delta BDD and replace raw compare with high-bit saturation|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/verilog/ex244_r72_sum_sat_highbits.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/aigs/ex244_r72_sum_sat_highbits.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_sum_sat_highbits.yosys.log,1,321,38,12198,0,0,official evaluate.py OK; current_overall=8928; frontend_best=9120; reference=4272,sub-fp8-worst-micro-r72,max/min decode plus max-eff gap/sig delta BDD plus high-bit sat predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_sum_sat_highbits.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/official_output/ex244_r72_sum_sat_highbits,1,4272,0,,
ex244,ex244_r72_bgt_maxmin,E4M3FN packed hypot,comparator polarity sharing,replace max/min >= comparator with shared b_gt_a polarity while keeping delta/output cones,yosys_synth_default_abc_g_AND,ex244|E4M3FN packed hypot|comparator polarity sharing|replace max-min comparator with b_gt_a polarity|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/verilog/ex244_r72_bgt_maxmin.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/aigs/ex244_r72_bgt_maxmin.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_bgt_maxmin.yosys.log,1,332,39,12948,0,0,official evaluate.py OK; current_overall=8928; frontend_best=9120; reference=4272,sub-fp8-worst-micro-r72,shared b_gt_a comparator feeding max/min and existing delta BDD,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/logs/ex244_r72_bgt_maxmin.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex244/official_output/ex244_r72_bgt_maxmin,1,4272,0,,
ex246,ex246_r72_output_mask_mux,E5M2FN packed multiply,final output mask mux,replace ternary NaN output cone with bit-mask mux over product-class source,yosys_synth_default_abc_g_AND,ex246|E5M2FN packed multiply|final output mask mux|replace ternary NaN output cone with bit-mask mux|yosys_synth_default_abc_g_AND|official_evaluate|product-class magnitude output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/verilog/ex246_r72_output_mask_mux.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/aigs/ex246_r72_output_mask_mux.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_output_mask_mux.yosys.log,1,355,24,8520,0,0,official evaluate.py OK; current_overall=5984; frontend_best=6888; reference=2805,sub-fp8-worst-micro-r72,sign xor plus exp-sum product class table with masked final output,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_output_mask_mux.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/official_output/ex246_r72_output_mask_mux,1,2805,0,,
ex246,ex246_r72_predecoded_sigexp,E5M2FN packed multiply,shared sig and exponent predecode,materialize sig_a sig_b exp_a exp_b before product-class table,yosys_synth_default_abc_g_AND,ex246|E5M2FN packed multiply|shared sig exponent predecode|materialize sig and exponent wires before product-class table|yosys_synth_default_abc_g_AND|official_evaluate|product-class magnitude output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/verilog/ex246_r72_predecoded_sigexp.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/aigs/ex246_r72_predecoded_sigexp.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_predecoded_sigexp.yosys.log,1,355,24,8520,0,0,official evaluate.py OK; current_overall=5984; frontend_best=6888; reference=2805,sub-fp8-worst-micro-r72,explicit shared sig and exponent wires feeding existing product-class magnitude table,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/logs/ex246_r72_predecoded_sigexp.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex246/official_output/ex246_r72_predecoded_sigexp,1,2805,0,,
ex247,ex247_r72_encoded_region_mux,E5M2FN low-over-high division,encoded small region mux,encode zero low linear saturation region before selecting magnitude,yosys_synth_default_abc_g_AND,ex247|E5M2FN low-over-high division|encoded small region mux|encode zero low linear saturation region before magnitude select|yosys_synth_default_abc_g_AND|official_evaluate|region-selected magnitude output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/verilog/ex247_r72_encoded_region_mux.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/aigs/ex247_r72_encoded_region_mux.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_encoded_region_mux.yosys.log,1,369,25,9225,0,0,official evaluate.py OK; current_overall=6804; frontend_best=7291; reference=2975,sub-fp8-worst-micro-r72,denominator boundary attrs plus encoded zero low linear saturation selector,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_encoded_region_mux.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/official_output/ex247_r72_encoded_region_mux,1,2975,0,,
ex247,ex247_r72_shared_mid_region,E5M2FN low-over-high division,shared middle-region predicate,share zero and saturation comparisons before low-underflow predicate,yosys_synth_default_abc_g_AND,ex247|E5M2FN low-over-high division|shared middle-region predicate|share zero and saturation comparisons before low-underflow predicate|yosys_synth_default_abc_g_AND|official_evaluate|priority region magnitude output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/verilog/ex247_r72_shared_mid_region.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/aigs/ex247_r72_shared_mid_region.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_shared_mid_region.yosys.log,1,367,24,8808,0,0,official evaluate.py OK; current_overall=6804; frontend_best=7291; reference=2975,sub-fp8-worst-micro-r72,denominator boundary attrs plus shared mid-region compare predicate and low-pattern reconstruction,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/logs/ex247_r72_shared_mid_region.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex247/official_output/ex247_r72_shared_mid_region,1,2975,0,,
ex249,ex249_r72_sum_sat_highbits,E5M2FN packed hypot,sum high-bit saturation predicate,replace raw-exp threshold explicit saturation with raw sum high-bit predicate,yosys_synth_default_abc_g_AND,ex249|E5M2FN packed hypot|sum high-bit saturation predicate|replace explicit saturation with raw sum high-bit predicate|yosys_synth_default_abc_g_AND|official_evaluate|max-plus-delta output,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/verilog/ex249_r72_sum_sat_highbits.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/aigs/ex249_r72_sum_sat_highbits.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/logs/ex249_r72_sum_sat_highbits.yosys.log,1,190,31,5890,0,0,official evaluate.py OK; current_overall=3339; frontend_best=4342; reference=2079; stopped family because ADP worse than current by over 50 percent,sub-fp8-worst-micro-r72,raw exponent max/min decode plus active-gap delta table plus high-bit sat predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/candidates.csv,float_fp8,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/logs/ex249_r72_sum_sat_highbits.evaluate.py.log,default_abc_g_AND,student/work/frontend_source_parallel_round72_20260613_1347/sub-fp8-worst-micro-r72/ex249/official_output/ex249_r72_sum_sat_highbits,1,2079,0,,
ex297,ex297_r72_sel0_even_cells_bypass_abc_g_aig,partial_sel0_identity_bypass_on_even_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass|variant:ex297_sel0_even_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/verilog/ex297_r72_sel0_even_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/aigs/ex297_r72_sel0_even_cells_bypass_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/logs/ex297_r72_sel0_even_cells_bypass_abc_g_aig.yosys.log,true,26592,19,505248,false,false,equivalent_but_worse_than_current_target_426176,sub-unknown-micro-r72,sel_zero_shared_predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/candidates.csv,,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/logs/ex297_r72_sel0_even_cells_bypass_abc_g_aig.evaluate.py.log,sel0_even_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/official_outputs/ex297_r72_sel0_even_cells_bypass_abc_g_aig,abc_xf_evaluate_py,225900,,false,r72_selector_cell_subset_bypass
ex297,ex297_r72_sel0_odd_cells_bypass_abc_g_aig,partial_sel0_identity_bypass_on_odd_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass|variant:ex297_sel0_odd_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/verilog/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/aigs/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/logs/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.yosys.log,true,26642,18,479556,false,false,equivalent_but_worse_than_current_target_426176,sub-unknown-micro-r72,sel_zero_shared_predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/candidates.csv,,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/logs/ex297_r72_sel0_odd_cells_bypass_abc_g_aig.evaluate.py.log,sel0_odd_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex297/official_outputs/ex297_r72_sel0_odd_cells_bypass_abc_g_aig,abc_xf_evaluate_py,225900,,false,r72_selector_cell_subset_bypass
ex299,ex299_r72_sel0_even_cells_bypass_abc_g_aig,partial_sel0_identity_bypass_on_even_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass|variant:ex299_sel0_even_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/verilog/ex299_r72_sel0_even_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/aigs/ex299_r72_sel0_even_cells_bypass_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/logs/ex299_r72_sel0_even_cells_bypass_abc_g_aig.yosys.log,true,98972,21,2078412,false,false,equivalent_but_worse_than_current_target_1778940,sub-unknown-micro-r72,sel_zero_shared_predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/candidates.csv,,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/logs/ex299_r72_sel0_even_cells_bypass_abc_g_aig.evaluate.py.log,sel0_even_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/official_outputs/ex299_r72_sel0_even_cells_bypass_abc_g_aig,abc_xf_evaluate_py,1013807,,false,r72_selector_cell_subset_bypass
ex299,ex299_r72_sel0_odd_cells_bypass_abc_g_aig,partial_sel0_identity_bypass_on_odd_selector_cells,source_verilog,shared_sel_zero_predicate,yosys_synth_abc_g_AND,r72_selector_cell_subset_bypass|variant:ex299_sel0_odd_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/verilog/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.v,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/aigs/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.aig,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/logs/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.yosys.log,true,98807,20,1976140,false,false,equivalent_but_worse_than_current_target_1778940,sub-unknown-micro-r72,sel_zero_shared_predicate,not_run,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/candidates.csv,,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/logs/ex299_r72_sel0_odd_cells_bypass_abc_g_aig.evaluate.py.log,sel0_odd_cells,student/work/frontend_source_parallel_round72_20260613_1347/sub-unknown-micro-r72/ex299/official_outputs/ex299_r72_sel0_odd_cells_bypass_abc_g_aig,abc_xf_evaluate_py,1013807,,false,r72_selector_cell_subset_bypass
