case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary,shard_csv,domain,result,simulation_pass
ex245,ex245_r72_explicit_table_keys,iverilog,,,,sub-fp8-mid-micro-r72,official evaluate.py used for final validity and found NOT_EQUIV,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-mid-micro-r72/simulation_results.csv,float_fp8,not_run,
ex244,ex244_r72_sum_sat_highbits,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex244,ex244_r72_bgt_maxmin,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex246,ex246_r72_output_mask_mux,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex246,ex246_r72_predecoded_sigexp,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex247,ex247_r72_encoded_region_mux,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex247,ex247_r72_shared_mid_region,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex249,ex249_r72_sum_sat_highbits,iverilog,not_run,0,,sub-fp8-worst-micro-r72,official evaluate.py used for acceptance,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-fp8-worst-micro-r72/simulation_results.csv,float_fp8,,not_run
ex297,ex297_r72_sel0_even_cells_bypass_abc_g_aig,iverilog,skipped,0,,sub-unknown-micro-r72,official_evaluate_py_used_for_equivalence,r72_selector_cell_subset_bypass,,not_run,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/simulation_results.csv,,,
ex297,ex297_r72_sel0_odd_cells_bypass_abc_g_aig,iverilog,skipped,0,,sub-unknown-micro-r72,official_evaluate_py_used_for_equivalence,r72_selector_cell_subset_bypass,,not_run,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/simulation_results.csv,,,
ex299,ex299_r72_sel0_even_cells_bypass_abc_g_aig,iverilog,skipped,0,,sub-unknown-micro-r72,official_evaluate_py_used_for_equivalence,r72_selector_cell_subset_bypass,,not_run,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/simulation_results.csv,,,
ex299,ex299_r72_sel0_odd_cells_bypass_abc_g_aig,iverilog,skipped,0,,sub-unknown-micro-r72,official_evaluate_py_used_for_equivalence,r72_selector_cell_subset_bypass,,not_run,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round72_20260613_1347/agent_shards/sub-unknown-micro-r72/simulation_results.csv,,,
