case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex244,float_fp8,local-fp8-source-r41,ex244_ex244_current_source_resynth_default_raw,FP8 source predicate/table restructuring,ex244_current_source_resynth + default + raw,resynthesize current max-eff delta BDD source through fresh Yosys/post-flow combinations,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,local-fp8-source-r41,ex244_ex244_current_source_resynth_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex244_current_source_resynth + synth_preset + compress2rs_area,resynthesize current max-eff delta BDD source through fresh Yosys/post-flow combinations,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_default_raw,FP8 source predicate/table restructuring,ex240_current_source_resynth + default + raw,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_default_resyn2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + default + resyn2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=default; post=resyn2rs_area; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_default_compress2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + default + compress2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=default; post=compress2rs_area; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_extra_share_raw,FP8 source predicate/table restructuring,ex240_current_source_resynth + extra_share + raw,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_extra_share_resyn2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + extra_share + resyn2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=extra_share; post=resyn2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_extra_share_compress2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + extra_share + compress2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=extra_share; post=compress2rs_area; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_current_source_resynth + abc_g_aig + raw,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_abc_g_aig_resyn2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + abc_g_aig + resyn2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=abc_g_aig; post=resyn2rs_area; Yosys abc gate set aig
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_abc_g_aig_compress2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + abc_g_aig + compress2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=abc_g_aig; post=compress2rs_area; Yosys abc gate set aig
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_synth_preset_raw,FP8 source predicate/table restructuring,ex240_current_source_resynth + synth_preset + raw,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_synth_preset_resyn2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + synth_preset + resyn2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=synth_preset; post=resyn2rs_area; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,local-fp8-source-r41,ex240_ex240_current_source_resynth_synth_preset_compress2rs_area,FP8 source predicate/table restructuring,ex240_current_source_resynth + synth_preset + compress2rs_area,resynthesize current same-sign GRS/diff-param source through fresh Yosys/post-flow combinations,synth=synth_preset; post=compress2rs_area; Yosys synth -flatten then abc/aigmap
