case,agent_id,hypothesis,method_signature,status,reason,evidence_path,next_action,domain,candidate_id,representation,shared_structure,verilog_path,aig_path,log_path,notes,shard_csv,variant,outcome,failure_reason,reuse_policy
ex285,sub-unk285-localrule-r65,Hamming-weight local-rule movement,ex285|hamming_weight_preserving_lossy_routing_normalizer|compact_central_layer_state_descriptors|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,BLOCKED_NO_RTL,blocked_central_conflicts; best_variant=pair_counts_lanes; row_matches=; residual_rows=74; conflict_keys=36,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,,unknown,,,,,,,no exact compact local-rule screen; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/failed_hypotheses.csv,,,,
ex285,sub-unk285-localrule-r65,Hamming-weight local-rule movement,ex285|hamming_weight_preserving_lossy_routing_normalizer|monotone_layer_transition_predicates|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,BLOCKED_NO_RTL,blocked_many_layer_transitions; best_variant=numeric; row_matches=; residual_rows=; conflict_keys=,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,,unknown,,,,,,,no exact compact local-rule screen; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/failed_hypotheses.csv,,,,
ex285,sub-unk285-localrule-r65,Hamming-weight local-rule movement,ex285|hamming_weight_preserving_lossy_routing_normalizer|popcount_window_movement|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,BLOCKED_NO_RTL,blocked_key_space_too_large; best_variant=r1_linear_noprefix; row_matches=4096; residual_rows=0; conflict_keys=0,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,,unknown,,,,,,,no exact compact local-rule screen; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/failed_hypotheses.csv,,,,
ex285,sub-unk285-localrule-r65,Hamming-weight local-rule movement,ex285|hamming_weight_preserving_lossy_routing_normalizer|reversible_local_majority_movement|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,BLOCKED_NO_RTL,blocked_not_exact; best_variant=r1_layers8_left_majority; row_matches=109; residual_rows=4072; conflict_keys=62,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,,unknown,,,,,,,no exact compact local-rule screen; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/failed_hypotheses.csv,,,,
ex285,sub-unk285-localrule-r65,Hamming-weight local-rule movement,ex285|hamming_weight_preserving_lossy_routing_normalizer|small_swap_network_descriptor|exact_local_rule_screen|no_synth|blocked_before_rtl|full_word,BLOCKED_NO_RTL,blocked_not_exact; best_variant=odd_even_sort_down_p2; row_matches=34; residual_rows=4025; conflict_keys=344,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,,unknown,,,,,,,no exact compact local-rule screen; no Verilog emitted,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/failed_hypotheses.csv,,,,
ex297,sub-unklarge-rule-r65,local_ca_rule,ex297|cyclic_2bit_symbol_non_table_rule|local_ca_rule|radius1_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius1_cell,blocked_table_sized_or_conflicted,residual_rows=64197; estimated_entries=64645; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,local_ca_rule,ex297|cyclic_2bit_symbol_non_table_rule|local_ca_rule|radius2_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius2_cell,blocked_table_sized_or_conflicted,residual_rows=53116; estimated_entries=60284; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,transition_delta_rule,ex297|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius1_stride1_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius1_stride1_cell,blocked_table_sized_or_conflicted,residual_rows=56091; estimated_entries=57883; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,transition_delta_rule,ex297|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius2_stride1_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius2_stride1_cell,blocked_table_sized_or_conflicted,residual_rows=40537; estimated_entries=69209; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,transition_delta_rule,ex297|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius1_stride2_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius1_stride2_cell,blocked_table_sized_or_conflicted,residual_rows=49154; estimated_entries=56322; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,transition_delta_rule,ex297|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius2_stride2_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius2_stride2_cell,blocked_table_sized_or_conflicted,residual_rows=0; estimated_entries=114688; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,ring_conservation_descriptor,ex297|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|hist_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,hist_local,blocked_table_sized_or_conflicted,residual_rows=52213; estimated_entries=67893; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,ring_conservation_descriptor,ex297|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|adjhist_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,adjhist_local,blocked_table_sized_or_conflicted,residual_rows=21210; estimated_entries=97594; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,ring_conservation_descriptor,ex297|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|adjdist2hist_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,adjdist2hist_local,blocked_table_sized_or_conflicted,residual_rows=3808; estimated_entries=111440; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,ring_conservation_descriptor,ex297|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|conservation_delta_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,conservation_delta_local,blocked_table_sized_or_conflicted,residual_rows=42063; estimated_entries=82831; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,cyclic_prefix_state,ex297|cyclic_2bit_symbol_non_table_rule|cyclic_prefix_state|xor_prefix_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,xor_prefix_cell,blocked_table_sized_or_conflicted,residual_rows=0; estimated_entries=114688; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,cyclic_prefix_state,ex297|cyclic_2bit_symbol_non_table_rule|cyclic_prefix_state|sum_prefix_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,sum_prefix_cell,blocked_table_sized_or_conflicted,residual_rows=0; estimated_entries=114688; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,cyclic_prefix_state,ex297|cyclic_2bit_symbol_non_table_rule|cyclic_prefix_state|mixed_prefix_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,mixed_prefix_cell,blocked_table_sized_or_conflicted,residual_rows=33796; estimated_entries=62468; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,sparse_exception_free_formula,ex297|cyclic_2bit_symbol_non_table_rule|sparse_exception_free_formula|quadratic_local_ring_predicates|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,quadratic_local_ring_predicates,blocked_no_exception_free_formula,residual_rows=14; estimated_entries=0; exact_bits=,repeat_only_with_new_structure
ex297,sub-unklarge-rule-r65,sparse_exception_free_formula,ex297|cyclic_2bit_symbol_non_table_rule|sparse_exception_free_formula|quadratic_local_ring_predicates_capped|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex297/diagnostics/ex297_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,quadratic_local_ring_predicates_capped,blocked_no_exception_free_formula,residual_rows=14; estimated_entries=947; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,local_ca_rule,ex299|cyclic_2bit_symbol_non_table_rule|local_ca_rule|radius1_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius1_cell,blocked_table_sized_or_conflicted,residual_rows=288240; estimated_entries=288752; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,local_ca_rule,ex299|cyclic_2bit_symbol_non_table_rule|local_ca_rule|radius2_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius2_cell,blocked_table_sized_or_conflicted,residual_rows=263696; estimated_entries=271888; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,transition_delta_rule,ex299|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius1_stride1_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius1_stride1_cell,blocked_table_sized_or_conflicted,residual_rows=267072; estimated_entries=269120; exact_bits=,repeat_only_with_new_structure
