case,agent_id,hypothesis,shared_structure,estimated_saved_logic,observed_qor,notes,domain,candidate_id,representation,shard_csv,structure,shared_nodes,output_bits,evidence,result,family,variant,keys,residual_rows,residual_ratio,estimated_entries,exact_bits,source_decision
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,reachable-state per-delta-bit cube classifiers over max_eff/gap/max_sig/min_sig with shared saturation shell,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r65_delta_bit_cubes_default_raw,ex244_r65_delta_bit_cubes + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,reachable-state per-delta-bit cube classifiers over max_eff/gap/max_sig/min_sig with shared saturation shell,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r65_delta_bit_cubes_extra_share_raw,ex244_r65_delta_bit_cubes + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,reachable-state per-delta-bit cube classifiers over max_eff/gap/max_sig/min_sig with shared saturation shell,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r65_delta_bit_cubes_abc_g_aig_raw,ex244_r65_delta_bit_cubes + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,reachable-state per-delta-bit cube classifiers over max_eff/gap/max_sig/min_sig with shared saturation shell,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r65_delta_bit_cubes_synth_preset_raw,ex244_r65_delta_bit_cubes + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact reachable class case with constant increment/saturation tail instead of BDD replay,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex244_ex244_r65_class_case_increment_default_raw,ex244_r65_class_case_increment + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact reachable class case with constant increment/saturation tail instead of BDD replay,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex244_ex244_r65_class_case_increment_extra_share_raw,ex244_r65_class_case_increment + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact reachable class case with constant increment/saturation tail instead of BDD replay,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex244_ex244_r65_class_case_increment_abc_g_aig_raw,ex244_r65_class_case_increment + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex244,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact reachable class case with constant increment/saturation tail instead of BDD replay,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex244_ex244_r65_class_case_increment_synth_preset_raw,ex244_r65_class_case_increment + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,shared active-gap shell plus threshold cube classifiers over smax/smin and muxed increment tail,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r65_threshold_cubes_default_raw,ex249_r65_threshold_cubes + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,shared active-gap shell plus threshold cube classifiers over smax/smin and muxed increment tail,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r65_threshold_cubes_extra_share_raw,ex249_r65_threshold_cubes + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,shared active-gap shell plus threshold cube classifiers over smax/smin and muxed increment tail,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r65_threshold_cubes_abc_g_aig_raw,ex249_r65_threshold_cubes + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,shared active-gap shell plus threshold cube classifiers over smax/smin and muxed increment tail,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_r65_threshold_cubes_synth_preset_raw,ex249_r65_threshold_cubes + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact active-gap per-delta-bit cubes over reachable gap/smax/smin states with shared saturation shell,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap,float_fp8,ex249_ex249_r65_exact_state_cubes_default_raw,ex249_r65_exact_state_cubes + default + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact active-gap per-delta-bit cubes over reachable gap/smax/smin states with shared saturation shell,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap,float_fp8,ex249_ex249_r65_exact_state_cubes_extra_share_raw,ex249_r65_exact_state_cubes + extra_share + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact active-gap per-delta-bit cubes over reachable gap/smax/smin states with shared saturation shell,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig,float_fp8,ex249_ex249_r65_exact_state_cubes_abc_g_aig_raw,ex249_r65_exact_state_cubes + abc_g_aig + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex249,sub-fp8-hypot-classifier-r65,FP8 source predicate/table restructuring,exact active-gap per-delta-bit cubes over reachable gap/smax/smin states with shared saturation shell,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap,float_fp8,ex249_ex249_r65_exact_state_cubes_synth_preset_raw,ex249_r65_exact_state_cubes + synth_preset + raw,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-fp8-hypot-classifier-r65/shared_structure_report.csv,,,,,,,,,,,,,
ex285,sub-unk285-localrule-r65,,,,,blocked_central_conflicts; best_variant=pair_counts_lanes; row_matches=; residual_rows=74; conflict_keys=36,unknown,ex285_r65_compact_central_layer_state_descriptors,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/shared_structure_report.csv,compact_central_layer_state_descriptors,2468,12,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,blocked_central_conflicts,,,,,,,,
ex285,sub-unk285-localrule-r65,,,,,blocked_many_layer_transitions; best_variant=numeric; row_matches=; residual_rows=; conflict_keys=,unknown,ex285_r65_monotone_layer_transition_predicates,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/shared_structure_report.csv,monotone_layer_transition_predicates,,12,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,blocked_many_layer_transitions,,,,,,,,
ex285,sub-unk285-localrule-r65,,,,,blocked_key_space_too_large; best_variant=r1_linear_noprefix; row_matches=4096; residual_rows=0; conflict_keys=0,unknown,ex285_r65_popcount_window_movement,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/shared_structure_report.csv,popcount_window_movement,4096,12,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,blocked_key_space_too_large,,,,,,,,
ex285,sub-unk285-localrule-r65,,,,,blocked_not_exact; best_variant=r1_layers8_left_majority; row_matches=109; residual_rows=4072; conflict_keys=62,unknown,ex285_r65_reversible_local_majority_movement,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/shared_structure_report.csv,reversible_local_majority_movement,86,12,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,blocked_not_exact,,,,,,,,
ex285,sub-unk285-localrule-r65,,,,,blocked_not_exact; best_variant=odd_even_sort_down_p2; row_matches=34; residual_rows=4025; conflict_keys=344,unknown,ex285_r65_small_swap_network_descriptor,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unk285-localrule-r65/shared_structure_report.csv,small_swap_network_descriptor,377,12,student/work/frontend_source_parallel_round65_20260613_1029/sub-unk285-localrule-r65/ex285/diagnostics/ex285_r65_local_rule_screens.csv,blocked_not_exact,,,,,,,,
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,local_ca_rule,radius1_cell,448,64197,0.559753,64645,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,local_ca_rule,radius2_cell,7168,53116,0.463135,60284,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius1_stride1_cell,1792,56091,0.489075,57883,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius2_stride1_cell,28672,40537,0.353455,69209,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius1_stride2_cell,7168,49154,0.428589,56322,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius2_stride2_cell,114688,0,0.000000,114688,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,hist_local,15680,52213,0.455261,67893,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,adjhist_local,76384,21210,0.184937,97594,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,adjdist2hist_local,107632,3808,0.033203,111440,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,conservation_delta_local,40768,42063,0.366760,82831,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,cyclic_prefix_state,xor_prefix_cell,114688,0,0.000000,114688,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,cyclic_prefix_state,sum_prefix_cell,114688,0,0.000000,114688,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,cyclic_prefix_state,mixed_prefix_cell,28672,33796,0.294678,62468,,blocked_table_sized_or_conflicted
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,sparse_exception_free_formula,quadratic_local_ring_predicates,0,14,1.000000,0,,blocked_no_exception_free_formula
ex297,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,sparse_exception_free_formula,quadratic_local_ring_predicates_capped,0,14,1.000000,947,,blocked_no_exception_free_formula
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,local_ca_rule,radius1_cell,512,288240,0.549774,288752,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,local_ca_rule,radius2_cell,8192,263696,0.502960,271888,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius1_stride1_cell,2048,267072,0.509399,269120,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius2_stride1_cell,32768,228896,0.436584,261664,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius1_stride2_cell,8192,239840,0.457458,248032,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,transition_delta_rule,radius2_stride2_cell,131072,173728,0.331360,304800,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,hist_local,28672,263288,0.502182,291960,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,adjhist_local,252544,145336,0.277206,397880,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,adjdist2hist_local,469376,30640,0.058441,500016,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,ring_conservation_descriptor,conservation_delta_local,186368,194096,0.370209,380464,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,cyclic_prefix_state,xor_prefix_cell,524288,0,0.000000,524288,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,cyclic_prefix_state,sum_prefix_cell,524288,0,0.000000,524288,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,cyclic_prefix_state,mixed_prefix_cell,131072,141560,0.270004,272632,,blocked_table_sized_or_conflicted
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,sparse_exception_free_formula,quadratic_local_ring_predicates,0,16,1.000000,0,,blocked_no_exception_free_formula
ex299,sub-unklarge-rule-r65,,,,,screen only; no table-sized RTL emitted,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/shared_structure_report.csv,,,,,,sparse_exception_free_formula,quadratic_local_ring_predicates_capped,0,16,1.000000,1177,,blocked_no_exception_free_formula
