case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex241,float_fp8,fp8-b-r27,completed_no_frontend_improvement,,,,,15544,7224,0,0,,need new semantic coordinates or lower-delay source factoring; this shard avoided r26 replay signatures,,,,,0,0,
ex242,float_fp8,fp8-b-r27,completed_no_frontend_improvement,,,,,25320,11900,0,0,,need new semantic coordinates or lower-delay source factoring; this shard avoided r26 replay signatures,,,,,0,0,
ex245,float_fp8,fp8-b-r27,completed_no_frontend_improvement,ex245_r27b_add_active_gap_bitplanes_abc_g_aig,2980,36,107280,23834,11050,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex245/logs/ex245_r27b_add_active_gap_bitplanes_abc_g_aig.evaluate.py.log,need new semantic coordinates or lower-delay source factoring; this shard avoided r26 replay signatures,,,,ex245_r27b_add_active_gap_bitplanes_abc_g_aig,0,0,
ex265,integer,mixed-uncovered-r27,evaluated_no_frontend_improvement,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,63,8,504,504,322,0,0,,try only materially different selector sharing; current cofactor word-mux ties frontend but remains above reference,8 official evaluate.py rows written,,,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,0,0,
ex270,integer,mixed-uncovered-r27,evaluated_no_frontend_improvement,ex270_square_wallace_square_outside_csel3_synth_preset,188,19,3572,3230,2076,0,0,,do not repeat block/column/booth/csel3 as-is; current csel5 remains better,8 official evaluate.py rows written; 2 NOT_EQUIV booth probes,,,ex270_square_wallace_square_outside_csel3_synth_preset,0,0,
ex267,integer,mixed-uncovered-r27,evaluated_no_frontend_improvement,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset,333,14,4662,4080,2651,0,0,,do not repeat ahi2/comp/tree/reciprocal correction as-is; current hybrid top2 remains better,8 official evaluate.py rows written,,,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset,0,0,
ex297,unknown,coordinator-unknown-large-r27-blocker,blocked_no_worker_output,,,,,568674,225900,0,0,prompt_log.md,restart with a narrower non-fork worker per case or coordinator-local small probe,two round27 large-unknown workers failed to produce durable output,,,,0,0,
ex299,unknown,coordinator-unknown-large-r27-blocker,blocked_no_worker_output,,,,,2486379,1013807,0,0,prompt_log.md,restart with a narrower non-fork worker per case or coordinator-local small probe,two round27 large-unknown workers failed to produce durable output,,,,0,0,
ex294,unknown,coordinator-unknown-large-r27-blocker,blocked_no_worker_output,,,,,246698,133365,0,0,prompt_log.md,restart with a narrower non-fork worker per case or coordinator-local small probe,two round27 large-unknown workers failed to produce durable output,,,,0,0,
ex295,unknown,coordinator-unknown-large-r27-blocker,blocked_no_worker_output,,,,,123270,68064,0,0,prompt_log.md,restart with a narrower non-fork worker per case or coordinator-local small probe,two round27 large-unknown workers failed to produce durable output,,,,0,0,
ex292,unknown,coordinator-unknown-large-r27-blocker,blocked_no_worker_output,,,,,135780,84854,0,0,prompt_log.md,restart with a narrower non-fork worker per case or coordinator-local small probe,two round27 large-unknown workers failed to produce durable output,,,,0,0,
