case,domain,agent_id,candidate_id,simulation_status,sim_log,notes,log_path,method_signature,simulation_type,rows_checked
ex240,float_fp8,fp8-a-r27,ex240_r27_field_override_flat_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex240,float_fp8,fp8-a-r27,ex240_r27_field_override_gap_outer_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex249,float_fp8,fp8-b-r27,ex249_r27b_hypot_smalladd_delta_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex249,float_fp8,fp8-b-r27,ex249_r27b_hypot_smalladd_delta_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex249,float_fp8,fp8-b-r27,ex249_r27b_hypot_split_bits_delta_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex249,float_fp8,fp8-b-r27,ex249_r27b_hypot_split_bits_delta_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex248,float_fp8,fp8-b-r27,ex248_r27b_fmod_norm_by_eff_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex248,float_fp8,fp8-b-r27,ex248_r27b_fmod_norm_by_eff_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex248,float_fp8,fp8-b-r27,ex248_r27b_fmod_split_norm_bits_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex248,float_fp8,fp8-b-r27,ex248_r27b_fmod_split_norm_bits_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_bitplane_product_exp_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_bitplane_product_exp_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_product_cofactored_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_product_cofactored_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_bitplane_delta_sig_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_bitplane_delta_sig_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_den_cofactored_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_den_cofactored_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex245,float_fp8,fp8-b-r27,ex245_r27b_add_active_gap_bitplanes_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex245,float_fp8,fp8-b-r27,ex245_r27b_add_active_gap_bitplanes_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_e4_bitplane_product_exp_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_e4_bitplane_product_exp_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_e4_product_cofactored_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex241,float_fp8,fp8-b-r27,ex241_r27b_mul_e4_product_cofactored_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_e4_bitplane_delta_sig_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_e4_bitplane_delta_sig_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_e4_den_cofactored_abc_g_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex242,float_fp8,fp8-b-r27,ex242_r27b_div_e4_den_cofactored_synth_preset_aig,not_run_debug_only,,Official evaluate.py was run or attempted for final equivalence/QoR.,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_direct_guarded_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_direct_guarded_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_denom_split_direct_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_denom_split_direct_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_small_divisor_fast_direct_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_small_divisor_fast_direct_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex265,integer,mixed-uncovered-r27,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_block4_decomp_csel4_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_block4_decomp_csel4_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_column_count_case_tight_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_column_count_case_tight_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_booth_radix4_csa_csel4_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_booth_radix4_csa_csel4_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_wallace_square_outside_csel3_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex270,integer,mixed-uncovered-r27,ex270_square_wallace_square_outside_csel3_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_ex266_cof_bhi2_a43_comp_wordmux_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_ex266_cof_bhi2_a43_comp_wordmux_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_ex266_cof_bhi2_a43_tree_wordmux_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_ex266_cof_bhi2_a43_tree_wordmux_synth_preset,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_recip_floor_sn_abc_g_aig,not_run,,official evaluate.py used for final validity,,,,
ex267,integer,mixed-uncovered-r27,ex267_udiv_recip_floor_sn_synth_preset,not_run,,official evaluate.py used for final validity,,,,
