round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shared_structure,inputs_or_fields,outputs_or_groups,expected_benefit,status,shard_csv,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path
,,sub-fp8-arith-flow-r90,ex245,ex245_r90_current_abc_g_aig,,,,,,,,Bounded lower-priority source-to-AIG flow check for ex245.,shared sorted E5M2 decode and active same/diff tables,same_sign;gap;maxc;minc;same_mag_tbl;diff_mag_tbl;nan,active_same_diff_mux,Yosys frontend with abc -g aig before aigmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex245,ex245_r90_keep_no_flatten,,,,,,,,Small source-boundary check for ex245 without replaying backend remap.,kept sorted field and active table source boundaries,same_sign;gap;maxc;minc;same_mag_tbl;diff_mag_tbl;nan,active_same_diff_mux,preserve source module boundary by omitting flatten,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex247,ex247_r90_current_abc_g_aig,current_best_source_abc_g_aig,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,363,23,8349,official evaluate.py OK; nonwinning,denominator numerator decode exponent delta boundary mux,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex247/verilog/ex247_r90_current_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex247/aigs/ex247_r90_current_abc_g_aig.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex247/logs/ex247_r90_current_abc_g_aig.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex247,ex247_r90_r89_noabc,round89_equiv_source_noabc,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,602,41,24682,official evaluate.py OK; nonwinning,denominator numerator decode exponent delta boundary mux,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex247/verilog/ex247_r90_r89_noabc.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex247/aigs/ex247_r90_r89_noabc.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex247/logs/ex247_r90_r89_noabc.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex246,ex246_r90_current_abc_g_aig,current_best_source_abc_g_aig,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,354,24,8496,official evaluate.py OK; nonwinning,sign xor exponent sum significand product product magnitude mux,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex246/verilog/ex246_r90_current_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex246/aigs/ex246_r90_current_abc_g_aig.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex246/logs/ex246_r90_current_abc_g_aig.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex246,ex246_r90_r89_noabc,round89_equiv_source_noabc,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,1211,34,41174,official evaluate.py OK; nonwinning,sign xor exponent sum significand product product magnitude mux,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex246/verilog/ex246_r90_r89_noabc.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex246/aigs/ex246_r90_r89_noabc.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex246/logs/ex246_r90_r89_noabc.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex244,ex244_r90_current_abc_g_aig,current_best_source_abc_g_aig,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,312,37,11544,official evaluate.py OK; nonwinning,ordered abs max min maxeff gap delta saturation source,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex244/verilog/ex244_r90_current_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex244/aigs/ex244_r90_current_abc_g_aig.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex244/logs/ex244_r90_current_abc_g_aig.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex244,ex244_r90_r89_noabc,round89_equiv_source_noabc,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,509,58,29522,official evaluate.py OK; nonwinning,ordered abs max min maxeff gap delta saturation source,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex244/verilog/ex244_r90_r89_noabc.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex244/aigs/ex244_r90_r89_noabc.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex244/logs/ex244_r90_r89_noabc.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex249,ex249_r90_current_abc_g_aig,current_best_source_abc_g_aig,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,173,30,5190,official evaluate.py OK; nonwinning,ordered abs max min active gap delta saturation source,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex249/verilog/ex249_r90_current_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex249/aigs/ex249_r90_current_abc_g_aig.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex249/logs/ex249_r90_current_abc_g_aig.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-fp8-top-flow-r90,ex249,ex249_r90_r89_noabc,round89_equiv_source_noabc,4,8,bounded frontend source-to-AIG flow comparison around current best and round89 equivalent sources,307,40,12280,official evaluate.py OK; nonwinning,ordered abs max min active gap delta saturation source,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-top-flow-r90/shared_structure_report.csv,,full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex249/verilog/ex249_r90_r89_noabc.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex249/aigs/ex249_r90_r89_noabc.aig,frontend_synthflow_mutation,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-top-flow-r90/ex249/logs/ex249_r90_r89_noabc.evaluate.py.log
90,frontend_synthflow_mutation_round90_20260614_0014,sub-unknown-flow-r90,ex285,ex285_r90_proc_abc_aig,current_source_preserved_proc_abc_aig,preserved,all,proc/techmap with Yosys internal abc -g aig before AIG emission,807,17,13719,current exact 12x12 decision-tree source,,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-unknown-flow-r90/shared_structure_report.csv,,,,,,
90,frontend_synthflow_mutation_round90_20260614_0014,sub-unknown-flow-r90,ex288,ex288_r90_proc_abc_aig,current_source_preserved_proc_abc_aig,preserved,all,proc/techmap with Yosys internal abc -g aig before AIG emission,2257,14,31598,current exact symcof keyBDD source,,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-unknown-flow-r90/shared_structure_report.csv,,,,,,
90,frontend_synthflow_mutation_round90_20260614_0014,sub-unknown-flow-r90,ex297,ex297_r90_proc_abc_aig,current_source_preserved_proc_abc_aig,preserved,all,proc/techmap with Yosys internal abc -g aig before AIG emission,26564,16,425024,current exact pairsel cell-bit template source,,,,,,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-unknown-flow-r90/shared_structure_report.csv,,,,,,
