round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,outcome,failure_reason,reuse_policy,next_action,expected_or_evidence_path,shard_csv,candidate_id,evidence_path,variant,sharing,area,delay,adp,aig_path,expected_next_artifact_path,evaluate_log,blocked_reason,next_non_repeated_route_hypothesis
,,sub-fp8-arith-r87,ex241,,,,,ex241|E4M3FN packed multiply high byte times low byte|product round bucket decision DAG|shared sign xor exponent sum product class and round increment predicates|repo_yosys_frontend_default|official_evaluate|full_word,equivalent_nonwinning,,,,,,official evaluate.py OK; ADP 23280; frontend best 14094,repeat_only_with_new_structure,Change high-level sharing or residual basis before retrying,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/failed_hypotheses.csv,ex241_r87_product_round_bucket_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-arith-r87/ex241/official_eval/ex241_r87_product_round_bucket_dag/ex241_r87_product_round_bucket_dag.evaluate.py.log,,,,,,,,,,
,,sub-fp8-arith-r87,ex245,,,,,ex245|E5M2FN packed add high byte plus low byte|active-region leading-one bucket decision DAG|shared sorted E5M2 decode same-diff small-gap buckets and saturation predicates|repo_yosys_frontend_default|official_evaluate|full_word,equivalent_nonwinning,,,,,,official evaluate.py OK; ADP 43523; frontend best 22077,repeat_only_with_new_structure,Change high-level sharing or residual basis before retrying,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/failed_hypotheses.csv,ex245_r87_active_lzd_bucket_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-arith-r87/ex245/official_eval/ex245_r87_active_lzd_bucket_dag/ex245_r87_active_lzd_bucket_dag.evaluate.py.log,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex247,float_fp8,E5M2FN packed low-over-high division,guarded denominator-bound lowpat predicate datapath,shared sign exponent-delta denominator-bound shell with factored lowpat predicates,ex247|E5M2FN packed low-over-high division|round87 guarded lowpat predicate datapath|shared sign exponent-delta denominator-bound shell with factored lowpat predicates|repo_yosys_frontend|official_evaluate|guarded_lowpat_predicates,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 7291,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/verilog/ex247_r87_guarded_lowpat_predicates.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/logs/ex247_r87_guarded_lowpat_predicates.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex247_r87_guarded_lowpat_predicates,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/logs/ex247_r87_guarded_lowpat_predicates.evaluate.py.log,guarded denominator-bound lowpat predicate datapath,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/aigs/ex247_r87_guarded_lowpat_predicates.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex247,float_fp8,E5M2FN packed low-over-high division,denominator step residual decision graph,shared denominator/numerator sig decode plus delta step guards feeding low/linear/sat outputs,ex247|E5M2FN packed low-over-high division|round87 denominator step residual decision graph|shared denominator numerator sig decode plus delta step guards feeding low/linear/sat outputs|repo_yosys_frontend|official_evaluate|den_step_residual_dag,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 7291,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/verilog/ex247_r87_den_step_residual_dag.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/logs/ex247_r87_den_step_residual_dag.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex247_r87_den_step_residual_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/logs/ex247_r87_den_step_residual_dag.evaluate.py.log,denominator step residual decision graph,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/aigs/ex247_r87_den_step_residual_dag.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex246,float_fp8,E5M2FN packed multiply,guarded product shell with separated zero/product core,shared sign exponent-sum product and selected underflow/saturation guards,ex246|E5M2FN packed multiply|round87 guarded product shell with separated zero/sat/linear regions|shared sign exponent-sum product and selected underflow/saturation guards|repo_yosys_frontend|official_evaluate|guarded_product_shell,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 6888,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/verilog/ex246_r87_guarded_product_shell.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/logs/ex246_r87_guarded_product_shell.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex246_r87_guarded_product_shell,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/logs/ex246_r87_guarded_product_shell.evaluate.py.log,guarded product shell with separated zero/product core,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/aigs/ex246_r87_guarded_product_shell.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex246,float_fp8,E5M2FN packed multiply,product boundary residual DAG,shared product and exponent nodes feeding compact zero/saturation/linear muxes,ex246|E5M2FN packed multiply|round87 product boundary residual DAG|shared product and exponent nodes feeding compact zero/saturation/linear muxes|repo_yosys_frontend|official_evaluate|product_boundary_dag,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 6888,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/verilog/ex246_r87_product_boundary_dag.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/logs/ex246_r87_product_boundary_dag.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex246_r87_product_boundary_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/logs/ex246_r87_product_boundary_dag.evaluate.py.log,product boundary residual DAG,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/aigs/ex246_r87_product_boundary_dag.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex244,float_fp8,E4M3FN packed hypot abs high low,guarded max-plus-delta saturation datapath,shared max/min field decode with small-gap delta and explicit saturation guard,ex244|E4M3FN packed hypot abs high low|round87 guarded delta saturation datapath|shared max/min field decode with small-gap delta and explicit saturation guard|repo_yosys_frontend|official_evaluate|guarded_delta_sat,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 9120,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/verilog/ex244_r87_guarded_delta_sat.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/logs/ex244_r87_guarded_delta_sat.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex244_r87_guarded_delta_sat,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/logs/ex244_r87_guarded_delta_sat.evaluate.py.log,guarded max-plus-delta saturation datapath,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/aigs/ex244_r87_guarded_delta_sat.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex244,float_fp8,E4M3FN packed hypot abs high low,gap-bucket delta decision graph,shared max/min comparator and gap bucket predicates feeding compact delta output DAG,ex244|E4M3FN packed hypot abs high low|round87 gap-bucket delta decision graph|shared max/min comparator and gap bucket predicates feeding compact delta output DAG|repo_yosys_frontend|official_evaluate|gap2_decision_dag,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 9120,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/verilog/ex244_r87_gap2_decision_dag.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/logs/ex244_r87_gap2_decision_dag.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex244_r87_gap2_decision_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/logs/ex244_r87_gap2_decision_dag.evaluate.py.log,gap-bucket delta decision graph,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/aigs/ex244_r87_gap2_decision_dag.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex249,float_fp8,E5M2FN packed hypot abs high low,guarded active-gap saturation datapath,shared max/min decode with active-gap and saturation predicates feeding delta add,ex249|E5M2FN packed hypot abs high low|round87 guarded active-gap saturation datapath|shared max/min decode with active-gap and saturation predicates feeding delta add|repo_yosys_frontend|official_evaluate|guarded_activegap_sat,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 4342,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/verilog/ex249_r87_guarded_activegap_sat.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/logs/ex249_r87_guarded_activegap_sat.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex249_r87_guarded_activegap_sat,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/logs/ex249_r87_guarded_activegap_sat.evaluate.py.log,guarded active-gap saturation datapath,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/aigs/ex249_r87_guarded_activegap_sat.aig,,,,different semantic predicate basis or smaller residual
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex249,float_fp8,E5M2FN packed hypot abs high low,significand-bucket active-gap delta DAG,shared max/min and gap predicates with sig bucket nodes feeding delta and saturation,ex249|E5M2FN packed hypot abs high low|round87 sigbucket active-gap delta DAG|shared max/min and gap predicates with sig bucket nodes feeding delta and saturation|repo_yosys_frontend|official_evaluate|sigbucket_delta_dag,equivalent_no_frontend_gain,official evaluate.py OK; nonwinning did not beat frontend 4342,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/verilog/ex249_r87_sigbucket_delta_dag.v,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/logs/ex249_r87_sigbucket_delta_dag.evaluate.py.log,do not repeat unchanged; mutate semantic fields or sharing,,,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/failed_hypotheses.csv,ex249_r87_sigbucket_delta_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/logs/ex249_r87_sigbucket_delta_dag.evaluate.py.log,significand-bucket active-gap delta DAG,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/aigs/ex249_r87_sigbucket_delta_dag.aig,,,,different semantic predicate basis or smaller residual
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,unknown,full-ring local-window descriptor replay,,,ex297|round87_precheck|full_ring_local_window_replay|blocked_before_generation|no_synth|prior_round84_diagnostic|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,Prior r84 showed radius3 is exact only because it covers the full 7-cell ring and smaller local windows conflict,,prior_table_sized_descriptor,,Try compact symbolic state or residual compression instead,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex297_r87_blocked_full_ring_window,,local_window_r3_or_full_ring,truth_conflict_screen,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_cell_screen.csv,,,
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,unknown,full-ring local-window descriptor replay,,,ex299|round87_precheck|full_ring_local_window_replay|blocked_before_generation|no_synth|prior_round84_diagnostic|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,Prior r84 showed radius4 is exact only because it covers the full 8-cell ring and smaller local windows conflict,,prior_table_sized_descriptor,,Try compact symbolic state or residual compression instead,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex299_r87_blocked_full_ring_window,,local_window_r4_or_full_ring,truth_conflict_screen,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_cell_screen.csv,,,
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,unknown,learned natural cell-bit decision DAG replay,,,ex297|round87_precheck|learned_natural_cell_bit_dag_replay|blocked_before_generation|no_synth|prior_round86_official_nonwinning|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,Prior r86 natural cell-bit DAG was official equivalent but ADP 719774 versus current 425024,,prior_equivalent_nonwinning,,Use different predicate roots or semantic state split if revisiting decision graphs,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex297_r87_blocked_natural_cell_dag,,natural_cell_bits,multi-output shared mux DAG,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_predicate_screen.csv,,,
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,unknown,learned natural cell-bit decision DAG replay,,,ex299|round87_precheck|learned_natural_cell_bit_dag_replay|blocked_before_generation|no_synth|prior_round86_official_nonwinning|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,Prior r86 natural cell-bit DAG was official equivalent but ADP 3082482 versus current 1777032,,prior_equivalent_nonwinning,,Use different predicate roots or semantic state split if revisiting decision graphs,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex299_r87_blocked_natural_cell_dag,,natural_cell_bits,multi-output shared mux DAG,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_predicate_screen.csv,,,
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,unknown,selected output graft replay,,,ex297|round87_precheck|r85_selected_output_graft_replay|blocked_before_generation|no_synth|prior_round85_nonwinning|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,Prior r85 pairxor and celllocal grafts were official equivalent but did not beat current frontend,,prior_equivalent_nonwinning,,Replace descriptor body rather than graft more selected POs,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex297_r87_blocked_r85_graft,,pairsel_pairxor_or_celllocal_static_graft,output_cluster_substitution,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_tiled_screen.csv,,,
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,unknown,selected output graft replay,,,ex299|round87_precheck|r85_pairsel_bit_graft_replay|blocked_before_generation|no_synth|prior_round85_synth_timeout|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,Prior r85 pairsel bit grafts on r78 best timed out in Yosys and repeated r78-r80 graft families were nonwinning,,prior_synth_timeout_or_nonwinning,,Replace descriptor body rather than graft more selected POs,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex299_r87_blocked_r85_graft,,r78_base_pairsel_bit_add,output_cluster_substitution,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_tiled_screen.csv,,,
round87,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,unknown,tiled cofactor reuse,,,ex297|round87_tiled_cofactor_reuse|selector_state_tiled_local_module|reused_small_cell_module_by_selector_phase|yosys_internal_abc_g_aig|official_evaluate|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,current=425024 reference=225900; hist_local_r1_shared residual=30198 keys=8560 exact_bits= rank=; hist_local_r1_phase2 residual=30198 keys=17120 exact_bits= rank=; hist_local_r2_phase2 residual=6258 keys=29696 exact_bits= rank=,,shared tile split was not exact with enough position reuse,,look for a different compact global state before module emission,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/failed_hypotheses.csv,ex297_r87_blocked_round87_tiled_cofactor_reuse,,selector_state_tiled_local_module,reused_small_cell_module_by_selector_phase,,,,,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_tiled_screen.csv,,,
