round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path,method_signature,expected_outputs_affected,status,inputs_or_fields,outputs_or_groups,expected_benefit,structure_name,structure_kind,inputs_or_roots,sharing_scope,expected_artifact_path,shared_structures
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex244,ex244_r87_guarded_delta_sat,guarded_semantic_datapath,5,8,large ADP reduction through shared semantic fields,328,37,12136,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"max/min decode, effective exponent, gap, delta, saturation guard",,full_word,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/verilog/ex244_r87_guarded_delta_sat.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/aigs/ex244_r87_guarded_delta_sat.aig,guarded_semantic_datapath,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/logs/ex244_r87_guarded_delta_sat.evaluate.py.log,,,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex244,ex244_r87_gap2_decision_dag,decision_graph_semantic_fields,5,8,large ADP reduction through shared semantic fields,325,36,11700,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"max/min comparator, gap buckets, sig4 delta nodes",,field_grouped,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/verilog/ex244_r87_gap2_decision_dag.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/aigs/ex244_r87_gap2_decision_dag.aig,decision_graph_semantic_fields,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex244/logs/ex244_r87_gap2_decision_dag.evaluate.py.log,,,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex249,ex249_r87_guarded_activegap_sat,guarded_semantic_datapath,5,8,large ADP reduction through shared semantic fields,176,30,5280,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"max/min decode, active-gap, delta and saturation predicates",,full_word,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/verilog/ex249_r87_guarded_activegap_sat.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/aigs/ex249_r87_guarded_activegap_sat.aig,guarded_semantic_datapath,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/logs/ex249_r87_guarded_activegap_sat.evaluate.py.log,,,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex249,ex249_r87_sigbucket_delta_dag,decision_graph_semantic_fields,5,8,large ADP reduction through shared semantic fields,213,31,6603,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"max/min decode, active-gap, sig buckets, delta and saturation nodes",,field_grouped,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/verilog/ex249_r87_sigbucket_delta_dag.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/aigs/ex249_r87_sigbucket_delta_dag.aig,decision_graph_semantic_fields,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex249/logs/ex249_r87_sigbucket_delta_dag.evaluate.py.log,,,,,,,,,,,,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,,,,,,,,,materially different from full-ring local-window descriptor replay,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,SCREENING,,,,transition_count_phase_roots,2bit_cell_state,cell symbols adjacent xor distance2 counts parity roots,cell_pair_outputs,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_cell_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,,,,,,,,,requires residual below source-size gate,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,SCREENING,,,,group_parity_anf_roots,predicate_dag,group parity transition parity nonlinear residual bits,selected_cell_groups,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_predicate_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,,,,,,,,,requires repeated tile fingerprint,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,PLANNED,,,,selector_state_tile,tiled_cofactor,compact selector state local cell module,cell_positions,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_tiled_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,,,,,,,,,materially different from full-ring local-window descriptor replay,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,SCREENING,,,,transition_count_phase_roots,2bit_cell_state,cell symbols adjacent xor distance2 counts parity roots,cell_pair_outputs,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_cell_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,,,,,,,,,requires residual below source-size gate,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,SCREENING,,,,group_parity_anf_roots,predicate_dag,group parity transition parity nonlinear residual bits,selected_cell_groups,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_predicate_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,,,,,,,,,requires repeated tile fingerprint,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,PLANNED,,,,selector_state_tile,tiled_cofactor,compact selector state local cell module,cell_positions,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_tiled_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex297,,,,,,,,,best screened tile still residual 6258 of 114688 samples with 29696 keys and only 2 unique tile fingerprints so no compact exact RTL emitted,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,BLOCKED_NO_CANDIDATE,,,,hist_local_r2_phase2_tile,tiled_cofactor,cell histogram adjacent-xor histogram xor state phase and radius2 local window,cell_positions,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex297/diagnostics/ex297_r87_tiled_screen.csv,
,frontend_structural_dag_parallel_round87_20260613_2305,sub-unknown-cell-r87,ex299,,,,,,,,,best screened tile still residual 75304 of 524288 samples with 97280 keys and only 2 unique tile fingerprints so no compact exact RTL emitted,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-cell-r87/shared_structure_report.csv,,,,,,,,,,BLOCKED_NO_CANDIDATE,,,,hist_local_r2_phase2_tile,tiled_cofactor,cell histogram adjacent-xor histogram xor state phase and radius2 local window,cell_positions,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-cell-r87/ex299/diagnostics/ex299_r87_tiled_screen.csv,
,,sub-unknown-route-r87,ex285,ex285_r87_popcount_route_decision_graph,,,,,,,,popcount_layer_split_nodes=2080; leaves=903; order=4 5 6 7 0 11 1 10 2 9 3 8; frontend_target=11033; current_best=9132; reference=5499,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/shared_structure_report.csv,,,,,,route_popcount_descriptor_graph,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-route-r87/ex285/diagnostics/ex285_r87_descriptor_diagnostics.csv,,,,,,,,,,,,shared popcount layer and route-biased DAG nodes; prefix/suffix/first-last-median descriptors reserved for cofactor screen
,,sub-unknown-route-r87,ex285,ex285_r87_small_cofactor_module_reuse,,,,,,,,cofactor_groups=937; cofactor_nodes=5364; leaves=3307; frontend_target=11033; current_best=9132; reference=5499,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/shared_structure_report.csv,,,,,,small_cofactor_module_reuse,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-route-r87/ex285/diagnostics/ex285_r87_descriptor_diagnostics.csv,,,,,,,,,,,,"route_key from first/median/last buckets, lane parity, and low/middle/high occupancy counts"
,,sub-unknown-route-r87,ex288,ex288_r87_popcount_route_decision_graph,,,,,,,,popcount_layer_split_nodes=12339; leaves=6734; order=4 5 6 7 8 9 0 14 1 13 2 12 3 11 10; frontend_target=31598; current_best=26224; reference=16394,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/shared_structure_report.csv,,,,,,route_popcount_descriptor_graph,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-route-r87/ex288/diagnostics/ex288_r87_descriptor_diagnostics.csv,,,,,,,,,,,,shared popcount layer and route-biased DAG nodes; prefix/suffix/first-last-median descriptors reserved for cofactor screen
,,sub-unknown-route-r87,ex288,ex288_r87_small_cofactor_module_reuse,,,,,,,,cofactor_groups=2167; cofactor_nodes=49167; leaves=30149; frontend_target=31598; current_best=26224; reference=16394,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/shared_structure_report.csv,,,,,,small_cofactor_module_reuse,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-unknown-route-r87/ex288/diagnostics/ex288_r87_descriptor_diagnostics.csv,,,,,,,,,,,,"route_key from first/median/last buckets, lane parity, and low/middle/high occupancy counts"
