case,hypothesis,representation_family,sharing_strategy,source,confidence,novelty,expected_gain,status,reason,created_by,created_at
ex241,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex241,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex241,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex242,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex242,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex242,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex244,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex244,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex244,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex245,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex245,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex245,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex246,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex246,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex246,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex247,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex247,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex247,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex248,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex248,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex248,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex249,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex249,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex249,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex253,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex253,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex253,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex255,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex255,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex255,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex256,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex256,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex256,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex257,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex257,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex257,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex258,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex258,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex258,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex259,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex259,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex259,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex260,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex260,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex260,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex261,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex261,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex261,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex263,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex263,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex263,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex264,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex264,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex264,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex266,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex266,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex266,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex267,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex267,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex267,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex268,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex268,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex268,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex270,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex270,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex270,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex273,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex273,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex273,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex274,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex274,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex274,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex276,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex276,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex276,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex277,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex277,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex277,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex278,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex278,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex278,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex279,operation-specific arithmetic sharing,shared compressor/comparator/prefix network,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex279,alternative arithmetic algorithm,Booth/Dadda/restoring/prefix variant as applicable,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex279,truth-guided selected-output correction,shared residual correction over arithmetic baseline,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex280,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex280,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex280,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex281,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex281,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex281,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex282,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex282,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex282,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex283,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex283,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex283,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex284,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex284,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex284,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex285,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex285,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex285,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex286,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex286,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex286,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex287,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex287,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex287,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex288,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex288,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex288,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex289,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex289,ANF/cofactor decomposition,shared symbolic monomials and grouped outputs,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex289,non-PPT structural hypothesis,truth-clustered state/routing model,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex290,PPT family transform,shared GF(2)/routing/state descriptors,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
