case,domain,stage,method_hint,method_signature,run_count,best_adp,current_best_adp,reference_adp,ratio_to_reference,ratio_to_current_best,outcome,failure_reason,reuse_policy,judgment_confidence,next_action,case_notes_paths,summary_csvs,evidence_paths,source_roots,runs
ex200,bf16,backend,backend_v3_ga_commandfix,ex200|backend|backend_v3_ga_commandfix,1,49294,47698,40052,1.230750,1.033461,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/summary.csv,student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/summary.csv;student/work/ex200_ex219_backend_v3_ga_commandfix_20260613_1404,student/runs;student/work,ex200_ex219_backend_v3_ga_commandfix_20260613_1404
ex200,bf16,backend,backend_v3b_bounded,ex200|backend|backend_v3b_bounded,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex219_backend_v3b_bounded_20260613_2237,student/work,ex200_ex219_backend_v3b_bounded_20260613_2237
ex200,bf16,backend,backend_v3b_postpareto,ex200|backend|backend_v3b_postpareto,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex219_backend_v3b_postpareto_20260613_1706,student/work,ex200_ex219_backend_v3b_postpareto_20260613_1706
ex200,bf16,backend,backend_v3b_postrefine,ex200|backend|backend_v3b_postrefine,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex219_backend_v3b_postrefine_20260614_0116,student/work,ex200_ex219_backend_v3b_postrefine_20260614_0116
ex200,bf16,backend,backend_v3b_smoke,ex200|backend|backend_v3b_smoke,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_backend_v3b_smoke_20260613_1430,student/work,ex200_backend_v3b_smoke_20260613_1430
ex200,bf16,backend,backend_v3b_smoke_fix,ex200|backend|backend_v3b_smoke_fix,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_backend_v3b_smoke_fix_20260613_1430,student/work,ex200_backend_v3b_smoke_fix_20260613_1430
ex200,bf16,backend,newseeds_backend_full_20260614_1420_bf16_feedback_short,ex200|backend|newseeds_backend_full_20260614_1420_bf16_feedback_short,1,47698,47698,40052,1.190902,1.000000,current_best_or_tied,method is current best or tied current best,worth_extending,medium,Use as the baseline structure before trying material changes.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/summary.csv,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_feedback_short/results/summary.csv,student/runs,newseeds_backend_full_20260614_1420_bf16_feedback_short
ex200,bf16,backend,newseeds_backend_full_20260614_1420_bf16_v3a,ex200|backend|newseeds_backend_full_20260614_1420_bf16_v3a,1,47782,47698,40052,1.192999,1.001761,near_current_best,method is close to current best,repeat_with_material_change,medium,"Only repeat with a new high-level model, sharing strategy, or synthesis flow.",student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_v3a/results/summary.csv,student/runs/bf16/newseeds_backend_full_20260614_1420_bf16_v3a/results/summary.csv,student/runs,newseeds_backend_full_20260614_1420_bf16_v3a
ex200,bf16,backend,v3_ga_smoke_ex200,ex200|backend|v3_ga_smoke_ex200,1,58000,47698,40052,1.448117,1.215984,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/v3_ga_smoke_ex200_20260613_0845/results/summary.csv,student/runs/bf16/v3_ga_smoke_ex200_20260613_0845/results/summary.csv;student/work/v3_ga_smoke_ex200_20260613_0845,student/runs;student/work,v3_ga_smoke_ex200_20260613_0845
ex200,bf16,backend,v3_ga_smoke_mt_combo,ex200|backend|v3_ga_smoke_mt_combo,1,62713,47698,40052,1.565789,1.314793,equivalent_but_bad_qor,verified result is far from reference,do_not_repeat_as_is,medium,Do not repeat this direction unchanged; rethink high-level structure or sharing.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/v3_ga_smoke_mt_combo_20260613_0958/results/summary.csv,student/runs/bf16/v3_ga_smoke_mt_combo_20260613_0958/results/summary.csv,student/runs,v3_ga_smoke_mt_combo_20260613_0958
ex200,bf16,frontend,codex_v3b3_smoke_ex200,ex200|frontend|codex_v3b3_smoke_ex200,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/codex_v3b3_smoke_ex200_20260614_2022,student/work,codex_v3b3_smoke_ex200_20260614_2022
ex200,bf16,frontend,codex_v3b3_smoke_ex200_fix,ex200|frontend|codex_v3b3_smoke_ex200_fix,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/codex_v3b3_smoke_ex200_fix_20260614_2022,student/work,codex_v3b3_smoke_ex200_fix_20260614_2022
ex200,bf16,frontend,current,ex200|frontend|current,1,63189,47698,40052,1.577674,1.324773,equivalent_but_bad_qor,verified result is far from reference,do_not_repeat_as_is,medium,Do not repeat this direction unchanged; rethink high-level structure or sharing.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex219_current/results/summary.csv,student/runs/bf16/ex200_ex219_current/results/summary.csv,student/runs,ex200_ex219_current
ex200,bf16,frontend,frontend_bf16_semantic,ex200|frontend|frontend_bf16_semantic,1,63189,47698,40052,1.577674,1.324773,equivalent_but_bad_qor,verified result is far from reference,do_not_repeat_as_is,medium,Do not repeat this direction unchanged; rethink high-level structure or sharing.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_frontend_bf16_semantic_20260605_0748/results/summary.csv,student/runs/bf16/ex200_frontend_bf16_semantic_20260605_0748/results/summary.csv;student/work/ex200_frontend_bf16_semantic_20260605_0748,student/runs;student/work,ex200_frontend_bf16_semantic_20260605_0748
ex200,bf16,frontend,frontend_parallel_shared,ex200|frontend|frontend_parallel_shared,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422,student/work,ex200_ex299_frontend_parallel_shared_20260612_1422
ex200,bf16,frontend,frontend_refgap_round10,ex200|frontend|frontend_refgap_round10,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911,student/work,ex200_ex299_frontend_refgap_round10_20260612_1911
ex200,bf16,frontend,frontend_refgap_round11,ex200|frontend|frontend_refgap_round11,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944,student/work,ex200_ex299_frontend_refgap_round11_20260612_1944
ex200,bf16,frontend,frontend_refgap_round12,ex200|frontend|frontend_refgap_round12,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015,student/work,ex200_ex299_frontend_refgap_round12_20260612_2015
ex200,bf16,frontend,frontend_refgap_round13,ex200|frontend|frontend_refgap_round13,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round13_20260612_2045,student/work,ex200_ex299_frontend_refgap_round13_20260612_2045
ex200,bf16,frontend,frontend_refgap_round14,ex200|frontend|frontend_refgap_round14,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round14_20260612_2150,student/work,ex200_ex299_frontend_refgap_round14_20260612_2150
ex200,bf16,frontend,frontend_refgap_round15,ex200|frontend|frontend_refgap_round15,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round15_20260612_2211,student/work,ex200_ex299_frontend_refgap_round15_20260612_2211
ex200,bf16,frontend,frontend_refgap_round16,ex200|frontend|frontend_refgap_round16,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round16_20260612_2233,student/work,ex200_ex299_frontend_refgap_round16_20260612_2233
ex200,bf16,frontend,frontend_refgap_round17,ex200|frontend|frontend_refgap_round17,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round17_20260612_2300,student/work,ex200_ex299_frontend_refgap_round17_20260612_2300
ex200,bf16,frontend,frontend_refgap_round18,ex200|frontend|frontend_refgap_round18,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round18_20260612_2321,student/work,ex200_ex299_frontend_refgap_round18_20260612_2321
ex200,bf16,frontend,frontend_refgap_round19,ex200|frontend|frontend_refgap_round19,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346,student/work,ex200_ex299_frontend_refgap_round19_20260612_2346
ex200,bf16,frontend,frontend_refgap_round2,ex200|frontend|frontend_refgap_round2,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512,student/work,ex200_ex299_frontend_refgap_round2_20260612_1512
ex200,bf16,frontend,frontend_refgap_round20,ex200|frontend|frontend_refgap_round20,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015,student/work,ex200_ex299_frontend_refgap_round20_20260613_0015
ex200,bf16,frontend,frontend_refgap_round21,ex200|frontend|frontend_refgap_round21,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040,student/work,ex200_ex299_frontend_refgap_round21_20260613_0040
ex200,bf16,frontend,frontend_refgap_round22,ex200|frontend|frontend_refgap_round22,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218,student/work,ex200_ex299_frontend_refgap_round22_20260613_0218
ex200,bf16,frontend,frontend_refgap_round23,ex200|frontend|frontend_refgap_round23,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317,student/work,ex200_ex299_frontend_refgap_round23_20260613_0317
ex200,bf16,frontend,frontend_refgap_round24,ex200|frontend|frontend_refgap_round24,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435,student/work,ex200_ex299_frontend_refgap_round24_20260613_0435
ex200,bf16,frontend,frontend_refgap_round25,ex200|frontend|frontend_refgap_round25,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506,student/work,ex200_ex299_frontend_refgap_round25_20260613_0506
ex200,bf16,frontend,frontend_refgap_round25_20260613_0506_coordinator_bf16,ex200|frontend|frontend_refgap_round25_20260613_0506_coordinator_bf16,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506_coordinator_bf16,student/work,ex200_ex299_frontend_refgap_round25_20260613_0506_coordinator_bf16
ex200,bf16,frontend,frontend_refgap_round26,ex200|frontend|frontend_refgap_round26,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539,student/work,ex200_ex299_frontend_refgap_round26_20260613_0539
