case,domain,status,assigned_agent,current_focus,next_hypothesis,next_representation,budget,blocked_reason,last_update,priority,current_best_adp,reference_adp,ratio_to_reference,recommendation
ex223,fp16,round86_frontend_improved_gap_remains,sub-fp16-int-root-r86,round86 truthroot bit11 improved frontend best 203490->203395; decision-DAG/structural RTL variants were exact but nonwinning; current backend best 189468 remains lower,derive a larger exact log/log10 high-level description; single-bit truthroot and full-output MTBDD decision DAG are low-value as-is,multi-bit shared positive-normal log roots or alternative shallow log correction RTL with shared dense predicates,continue,,2026-06-13 round86 coordinator merge,frontend_high,180738,120549,1.499291,rethink high-level description and shared-structure RTL
ex224,fp16,frontend_improved_gap_remains,fp16-r2-agent,ex224 expbase-xor low12/hi6 source RTL improved clean frontend ADP to 93072,derive a more semantic FP16 log/log10 high-level form instead of local output recuts,shared exponent/mantissa range decoder plus compact residual predicates,continue,,2026-06-14 ex223_ex299_frontend_parallel_deep_20260614_0943 merge,frontend_high,85680,64708,1.324102,rethink high-level description and shared-structure RTL
ex225,fp16,round26_blocked_no_candidate,unary-agent,round26 official evaluate.py produced no frontend improvement; sparse residual source-level compression evaluated by official evaluate.py,round26 diagnostic only; derive a new high-level/shared structure before more RTL candidates,shallow exponent-base residual normalizer or selected-bit predecode with lower delay,continue,,2026-06-13 round26 coordinator merge,frontend_high,196560,116676,1.684665,rethink high-level description and shared-structure RTL
ex226,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,607536,587790,1.033594,case is close; prefer backend micro-optimization
ex227,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,729144,721639,1.010400,case is close; prefer backend micro-optimization
ex228,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,108868,101205,1.075718,case is close; prefer backend micro-optimization
ex229,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,50070,57968,0.863752,do not spend frontend time unless polishing
ex230,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_more_first,118133,108320,1.090593,case is close enough for targeted backend
ex231,fp16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,13325,14066,0.947320,do not spend frontend time unless polishing
ex232,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,14222,13392,1.061977,case is close; prefer backend micro-optimization
ex233,fp16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,18410,20174,0.912561,do not spend frontend time unless polishing
ex234,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,15408,15561,0.990168,do not spend frontend time unless polishing
ex235,fp16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,19922,20800,0.957788,do not spend frontend time unless polishing
ex236,fp16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,16471,17290,0.952632,do not spend frontend time unless polishing
ex237,fp16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,24276,25440,0.954245,do not spend frontend time unless polishing
ex238,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_more_first,18070,16549,1.091909,case is close enough for targeted backend
ex239,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,25382,25965,0.977547,do not spend frontend time unless polishing
ex240,float_fp8,round64_frontend_improved_gap_remains,sub-mixed-diffroute-r64,sign/magnitude selected-output factoring improved frontend best 26772 to 26230 but did not beat reference,reduce selected-output muxing or derive smaller exact diff-sign cancellation predicates beyond signmag factoring,field decode plus compact cancellation/normalizer predicates targeting lower area at <=43 delay,high,,2026-06-13 round64 frontend improvement,frontend_high,14300,13299,1.075269,rethink high-level description and shared-structure RTL
ex241,float_fp8,round27_partial_no_frontend_best,float-fp8-agent,round27 partial official rows did not improve frontend; infer exact FP conversion/arithmetic variant and shared field-decode structure,avoid round27 partial nonwinning/blocker no_candidate; use materially different high-level/shared structure next,product exponent formula with whole-magnitude exception overlay,high,,2026-06-13 round27 partial coordinator merge,frontend_high,7258,7224,1.004707,rethink high-level description and shared-structure RTL
ex242,float_fp8,round27_partial_no_frontend_best,float-fp8-agent,round27 partial official rows did not improve frontend; infer exact FP conversion/arithmetic variant and shared field-decode structure,avoid round27 partial nonwinning/blocker no_candidate; use materially different high-level/shared structure next,quotient formula with bitwise boundary exceptions,high,,2026-06-13 round27 partial coordinator merge,already_beat_or_low_priority,8880,11900,0.746218,do not spend frontend time unless polishing
ex243,float_fp8,low_priority,,infer exact FP conversion/arithmetic variant and shared field-decode structure,exact FP8 format/rounding/saturation hypothesis with shared exponent/mantissa decode,field-split decode + shared rounding/saturation predicates,hold,,auto,already_beat_or_low_priority,24940,53227,0.468559,do not spend frontend time unless polishing
ex244,float_fp8,round65_source_only_no_frontend_gain,sub-fp8-hypot-classifier-r65,reachable-state classifier exact best 18768 did not beat frontend best 9120,new representation closer to current best source or structural factoring of exact max/min delta path,source-level factoring of current best predicates; avoid r65 class/cube classifier replay,high,,2026-06-13 round65 no frontend gain,frontend_high,4968,4272,1.162921,rethink high-level description and shared-structure RTL
ex245,float_fp8,round27_partial_no_frontend_best,float-fp8-agent,round27 partial official rows did not improve frontend; infer exact FP conversion/arithmetic variant and shared field-decode structure,avoid round27 partial nonwinning/blocker ex245_r27b_add_active_gap_bitplanes_abc_g_aig ADP=107280; use materially different high-level/shared structure next,separate same-sign and diff-sign sorted-magnitude BDDs,high,,2026-06-13 round27 partial coordinator merge,already_beat_or_low_priority,9900,11050,0.895928,do not spend frontend time unless polishing
ex246,float_fp8,round65_source_only_no_frontend_gain,sub-fp8-codearith-r65,code-arithmetic boundary residual SOP best 11129 did not beat frontend best 6888,extract and refactor current best product seed structure instead of new semantic encodings,source-level current-best factoring and selected boundary predicate minimization; avoid r65 codearith replay,high,,2026-06-13 round65 no frontend gain,frontend_high,3750,2805,1.336898,rethink high-level description and shared-structure RTL
ex247,float_fp8,frontend_breakthrough_gap_remains,ex247-breakthrough-r4,tail-only bound table plus minimized low-underflow pat/step predicates improved clean frontend ADP to 6526,recover delay from 26 while preserving the tail-direct lowpred-min area cut,"direct-region source RTL with shallower tail predicates; avoid full bound_attr table, full-output BDD, and zero-bucket comparator path",medium,,2026-06-14 ex204_ex299_frontend_breakthrough_20260614_1051 r4 breakthrough,frontend_high,3222,2975,1.083025,rethink high-level description and shared-structure RTL
ex248,float_fp8,round27_partial_no_frontend_best,fp8-rounding-r26,round27 partial official rows did not improve frontend; r26 fmod rem-cofactored normalizer improved frontend best 8550->7938 by official evaluate.py,avoid round27 partial nonwinning/blocker ex248_r27b_fmod_norm_by_eff_synth_preset_aig ADP=9030; use materially different high-level/shared structure next,shared remainder/divisor-period decode with smaller normalization predicates; avoid formula_norm high-delay replay,high,reference gap remains after frontend improvement,2026-06-13 round27 partial coordinator merge,frontend_high,4256,4180,1.018182,rethink high-level description and shared-structure RTL
ex249,float_fp8,round65_source_only_no_frontend_gain,sub-fp8-hypot-classifier-r65,threshold cube classifier best 4671 did not beat frontend best 4342,new shallow source-level factoring of rawexp threshold current best rather than cube classifier,compact saturation/delta predicates with fewer levels; avoid r65 threshold/exact-state cubes,high,,2026-06-13 round65 no frontend gain,already_beat_or_low_priority,1755,2079,0.844156,do not spend frontend time unless polishing
ex250,float_fp8,low_priority,,infer exact FP conversion/arithmetic variant and shared field-decode structure,exact FP8 format/rounding/saturation hypothesis with shared exponent/mantissa decode,field-split decode + shared rounding/saturation predicates,hold,,auto,already_beat_or_low_priority,12818,20355,0.629722,do not spend frontend time unless polishing
ex251,float_fp8,low_priority,,infer exact FP conversion/arithmetic variant and shared field-decode structure,exact FP8 format/rounding/saturation hypothesis with shared exponent/mantissa decode,field-split decode + shared rounding/saturation predicates,hold,,auto,already_beat_or_low_priority,7344,39270,0.187013,do not spend frontend time unless polishing
ex252,float_fp8,backend_or_low_frontend,,infer exact FP conversion/arithmetic variant and shared field-decode structure,exact FP8 format/rounding/saturation hypothesis with shared exponent/mantissa decode,field-split decode + shared rounding/saturation predicates,low,,auto,already_beat_or_low_priority,2432,2603,0.934307,do not spend frontend time unless polishing
ex253,float_fp8,active,float-fp8-agent,infer exact FP conversion/arithmetic variant and shared field-decode structure,continue with source-level factoring; priority pass did not beat reference,balanced lane-sum tree with reachable lane-sum qcase,high,,2026-06-12 15:12 +0800,frontend_high,2023,1845,1.096477,rethink high-level description and shared-structure RTL
ex254,float_fp8,low_priority,,infer exact FP conversion/arithmetic variant and shared field-decode structure,exact FP8 format/rounding/saturation hypothesis with shared exponent/mantissa decode,field-split decode + shared rounding/saturation predicates,hold,,auto,already_beat_or_low_priority,15840,38220,0.414443,do not spend frontend time unless polishing
ex255,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,1023,836,1.223684,add diverse frontend seeds before deeper backend
ex256,integer,tested_no_frontend_best,integer-agent,derive arithmetic structure with shared partial products/comparators,next: use true 5x5 Dadda/Wallace partial-product compressor with controlled final adder; current best ADP=3750,shared compressor/comparator/prefix structure,high,,auto,frontend_high,2660,1911,1.391941,rethink high-level description and shared-structure RTL
ex257,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,4454,3952,1.127024,add diverse frontend seeds before deeper backend
ex258,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,7636,6289,1.214183,add diverse frontend seeds before deeper backend
ex259,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,11178,10000,1.117800,add diverse frontend seeds before deeper backend
ex260,integer,frontend_improved_gap_remains,integer-agent,ex260 signed multiplier bw4 center rhcla2 source RTL improved clean frontend ADP to 1104,look for a lower-area signed multiply decomposition rather than small prefix variants,shared Booth/partial-product compressor or narrower correction network,high,,2026-06-14 ex223_ex299_frontend_parallel_deep_20260614_0943 merge,frontend_high,790,657,1.202435,rethink high-level description and shared-structure RTL
ex261,integer,tested_no_frontend_best,integer-agent,derive arithmetic structure with shared partial products/comparators,next: avoid 5x5 sign-cofactor cubes and try signed Baugh-Wooley or Booth compressor rows; current best ADP=12285,shared compressor/comparator/prefix structure,high,,auto,frontend_high,2520,2041,1.234689,rethink high-level description and shared-structure RTL
ex262,integer,backend_or_low_frontend,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,low,,auto,already_beat_or_low_priority,4408,4900,0.899592,do not spend frontend time unless polishing
ex263,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,7992,6840,1.168421,add diverse frontend seeds before deeper backend
ex264,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,10890,9724,1.119910,add diverse frontend seeds before deeper backend
ex265,integer,round27_partial_no_frontend_best,,round27 partial official rows did not improve frontend; derive arithmetic structure with shared partial products/comparators,avoid round27 partial nonwinning/blocker ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset ADP=504; use materially different high-level/shared structure next,shared compressor/comparator/prefix structure,low,,2026-06-13 round27 partial coordinator merge,already_beat_or_low_priority,301,322,0.934783,do not spend frontend time unless polishing
ex266,integer,round26_tested_no_frontend_best,integer-agent,round26 official evaluate.py produced no frontend improvement; derive arithmetic structure with shared partial products/comparators,avoid r26 nonwinning family ex266_r26_int_highgap_udiv_ex266_hybrid_top1_a43_synth_preset_d10 ADP=1562; continue only with materially different semantic/shared-structure hypothesis,shared compressor/comparator/prefix structure,high,,2026-06-13 round26 coordinator merge,frontend_high,927,848,1.093160,rethink high-level description and shared-structure RTL
ex267,integer,round27_partial_no_frontend_best,,round27 partial official rows did not improve frontend; derive arithmetic structure with shared partial products/comparators,avoid round27 partial nonwinning/blocker ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset ADP=4662; use materially different high-level/shared structure next,shared compressor/comparator/prefix structure,medium,,2026-06-13 round27 partial coordinator merge,frontend_medium,2959,2651,1.116183,add diverse frontend seeds before deeper backend
ex268,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,7752,7446,1.041096,add diverse frontend seeds before deeper backend
ex269,integer,low_priority,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,hold,,auto,already_beat_or_low_priority,10034,11760,0.853231,do not spend frontend time unless polishing
ex270,integer,round27_partial_no_frontend_best,integer-agent,round27 partial official rows did not improve frontend; derive arithmetic structure with shared partial products/comparators,avoid round27 partial nonwinning/blocker ex270_square_wallace_square_outside_csel3_synth_preset ADP=3572; use materially different high-level/shared structure next,shared compressor/comparator/prefix structure,high,,2026-06-13 round27 partial coordinator merge,frontend_high,2670,2076,1.286127,rethink high-level description and shared-structure RTL
ex271,integer,backend_or_low_frontend,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,low,,auto,backend_close,5916,5542,1.067485,case is close; prefer backend micro-optimization
ex272,integer,backend_or_low_frontend,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,low,,auto,backend_close,10920,10880,1.003676,case is close; prefer backend micro-optimization
ex273,integer,round26_tested_no_frontend_best,,round26 official evaluate.py produced no frontend improvement; derive arithmetic structure with shared partial products/comparators,avoid r26 nonwinning family ex273_r26_square_frontend_wallace_square_outside_csel4_abc_g_gates ADP=27626; continue only with materially different semantic/shared-structure hypothesis,shared compressor/comparator/prefix structure,medium,,2026-06-13 round26 coordinator merge,frontend_medium,18744,15078,1.243136,add diverse frontend seeds before deeper backend
ex274,integer,round26_tested_no_frontend_best,,round26 official evaluate.py produced no frontend improvement; derive arithmetic structure with shared partial products/comparators,avoid r26 nonwinning family ex274_r26_square_frontend_hybrid_bddtop2_trunc_order_outside_synth_preset_d40 ADP=42441; continue only with materially different semantic/shared-structure hypothesis,shared compressor/comparator/prefix structure,medium,,2026-06-13 round26 coordinator merge,frontend_medium,23966,21630,1.107998,add diverse frontend seeds before deeper backend
ex275,integer,backend_or_low_frontend,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,low,,auto,already_beat_or_low_priority,198,204,0.970588,do not spend frontend time unless polishing
ex276,integer,round26_tested_no_frontend_best,integer-agent,round26 official evaluate.py produced no frontend improvement; derive shallower shared isqrt classifier below prefix4,avoid r26 nonwinning family ex276_r26_prefix4_casebits_global_hi43_synth_preset ADP=1120; continue only with materially different semantic/shared-structure hypothesis,hand-minimized shared low-bit classifier,high,,2026-06-13 round26 coordinator merge,already_beat_or_low_priority,576,632,0.911392,do not spend frontend time unless polishing
ex277,integer,tested_no_frontend_best,integer-agent,derive arithmetic structure with shared partial products/comparators,next: rerun cof3/cof4 decoder refinements after adding the missing synth_preset_d12 flow key; current best ADP=3480,shared compressor/comparator/prefix structure,high,,auto,already_beat_or_low_priority,1837,1980,0.927778,do not spend frontend time unless polishing
ex278,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,frontend_medium,5664,5198,1.089650,add diverse frontend seeds before deeper backend
ex279,integer,queued,,derive arithmetic structure with shared partial products/comparators,operation-specific shared arithmetic network,shared compressor/comparator/prefix structure,medium,,auto,already_beat_or_low_priority,10098,10952,0.922023,do not spend frontend time unless polishing
ex280,unknown,round3_improved_gap_remains,unknown-gf2-r3,round3 linear-factored/delaycap overlap-root improvement accepted by coordinator replay,continue per-output small-wide root-pool selection and delay-capped scheduling toward reference,overlap_root_product_basis_linfact_delaycap_hybrid,continue,,2026-06-12 round3 coordinator,frontend_high,2756,2415,1.141201,rethink high-level description and shared-structure RTL
ex281,unknown,round3_improved_gap_remains,unknown-gf2-r3,round3 linear-factored/delaycap overlap-root improvement accepted by coordinator replay,continue per-output small-wide root-pool selection and delay-capped scheduling toward reference,overlap_root_product_basis_linfact_delaycap_hybrid,continue,,2026-06-12 round3 coordinator,frontend_high,3094,2336,1.324486,rethink high-level description and shared-structure RTL
ex282,unknown,round3_improved_gap_remains,unknown-gf2-r3,round3 linear-factored/delaycap overlap-root improvement accepted by coordinator replay,continue per-output small-wide root-pool selection and delay-capped scheduling toward reference,overlap_root_product_basis_linfact_delaycap_hybrid,continue,,2026-06-12 round3 coordinator,frontend_high,3696,2704,1.366864,rethink high-level description and shared-structure RTL
ex283,unknown,round3_improved_gap_remains,unknown-gf2-r3,round3 linear-factored/delaycap overlap-root improvement accepted by coordinator replay,continue per-output small-wide root-pool selection and delay-capped scheduling toward reference,overlap_root_product_basis_linfact_delaycap_hybrid,continue,,2026-06-12 round3 coordinator,frontend_high,4384,3168,1.383838,rethink high-level description and shared-structure RTL
ex284,unknown,round3_improved_gap_remains,unknown-gf2-r3,round3 linear-factored/delaycap overlap-root improvement accepted by coordinator replay,continue per-output small-wide root-pool selection and delay-capped scheduling toward reference,overlap_root_product_basis_linfact_delaycap_hybrid,continue,,2026-06-12 round3 coordinator,frontend_high,4830,4240,1.139151,rethink high-level description and shared-structure RTL
ex285,unknown,frontend_improved_gap_remains_clean_registry_repaired,unknown-cell-agent,ex285 boundary-alt source RTL improved clean frontend ADP to 12800 and replaced backend-derived registry row,derive exact symmetry/routing descriptor instead of ABC structural remap or local-rule screens,decision graph with shared boundary predicates and compact central residual,high,,2026-06-14 ex223_ex299_frontend_parallel_deep_20260614_0943 merge,frontend_high,9132,5499,1.660666,rethink high-level description and shared-structure RTL
ex286,unknown,round27_partial_no_frontend_best,local-ex286-innerorder,round27 partial official rows did not improve frontend; r26 fixed-outer symcof inner-BDD order probe official OK but worse than frontend best,avoid round27 partial nonwinning/blocker ex286_r27_directed_move_shared_bdd ADP=61864; use materially different high-level/shared structure next,"avoid current outer bits 0:12:1:10 selector, mux/share, and plain inner-BDD order replays",high,current symcof family appears delay-limited; lower BDD nodes increased critical path to 16,2026-06-13 round27 partial coordinator merge,frontend_high,15210,2376,6.401515,rethink high-level description and shared-structure RTL
ex287,unknown,frontend_improved_gap_remains,unknown-ex287-agent,ex287 output-image adjacent-pair orientation + symmetry-key k6 cofactor frontend seed improved ADP to 24675,continue from orientation-encoded output image; reduce k6 outer mux/decoder area or find cheaper pair-count field source,symmetry-key k6/k7 cofactor BDD over encoded pair-count/orientation fields with fixed decoder variants,high,,2026-06-14 ex286_ex287_frontend_structural_decomp_20260614_2320 merge,frontend_high,13455,5782,2.327049,rethink high-level description and shared-structure RTL
ex288,unknown,round27_partial_no_frontend_best,unknown-highgap-agent,round27 partial official rows did not improve frontend; round2 prioritized plus shared-root BDD candidates evaluated,avoid round27 partial nonwinning/blocker ex288_r27_directed_move_split_bdd ADP=139860; use materially different high-level/shared structure next,see agent summary next recommended hypotheses,high,,2026-06-13 round27 partial coordinator merge,frontend_high,26224,16394,1.599610,rethink high-level description and shared-structure RTL
ex289,unknown,active,unknown-gf2-agent,round-2 split2 duality tie plus worse pairdelta tested,no improvement; stay within lower-delay split2 representative-half sharing or different inner cofactor root,complement_reverse_split2_group_symcof_resynth,high,,2026-06-12,frontend_high,18164,13620,1.333627,rethink high-level description and shared-structure RTL
ex290,unknown,active,unknown-state-agent,round-2 descriptor factorization prioritized shard,continue from descriptor basis only if node count or ADP improves; otherwise switch to sparse correction over current split source,state/cell descriptor plus compact correction or source-level split compression,high,,2026-06-12 unknown-state-agent shard,frontend_high,50604,42328,1.195521,rethink high-level description and shared-structure RTL
