case,domain,agent_id,hypothesis,variant,method_signature,stage,status,reason,verilog_path,aig_path,log_path,next_action,notes
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_cmos2|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set cmos2
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_and_mux|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating","Yosys abc gate set AND,MUX"
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_simple|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set simple
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_fast|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc fast script
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_no_internal_abc|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",skip Yosys internal abc pass
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_synth_preset_noabc|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys synth preset without abc
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_d20|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 20
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_d21|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 21
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_d22|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 22
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_d24|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 24
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_default_recheck|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",current project Yosys script sanity recheck
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_late_flatten|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",move flatten after techmap
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_cmos2|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set cmos2
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut|shared exponent/mantissa delta base plus selected output-bit correction|yosys_synth_preset|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/source_synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys synth preset with flatten
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut|shared exponent/mantissa delta base plus selected output-bit correction|yosys_default_abc_and|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/runs/bf16/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/results/candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",delta pair base_policy=first delta_mode=hilo3 items=8847; formula bit overrides bits=14 bit_items=1
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_synth_preset|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys synth preset with flatten
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_extra_opt_share|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_and_mux|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating","Yosys abc gate set AND,MUX"
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_simple|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set simple
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_fast|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc fast script
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_no_internal_abc|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",skip Yosys internal abc pass
ex204,bf16,bf16-agent,,,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_synth_preset_noabc|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys synth preset without abc
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_d20|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 20
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_d21|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 21
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_d22|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 22
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_d24|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 24
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_default_recheck|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",current project Yosys script sanity recheck
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_late_flatten|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",move flatten after techmap
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_extra_opt_share|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|mantissa_hilo_grouped_lut|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_gates|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|mantissa hi/lo grouped word outputs,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/source_synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set gates
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|mantissa_hilo_grouped_lut|shared sign/exponent/mantissa field decode plus sign predicate|yosys_default_abc_and|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|mantissa hi/lo grouped word outputs,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/runs/bf16/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/results/candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",hi_lo split field_mode=False hi_bits=3 default_mode=default_override items=7626
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_cmos2|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set cmos2
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|shared_special_case_shell|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_aig|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/source_synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set aig
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|shared_special_case_shell|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_gates|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/source_synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set gates
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_and_mux|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating","Yosys abc gate set AND,MUX"
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_simple|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set simple
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|shared_special_case_shell|shared sign/exponent/mantissa field decode plus sign predicate|yosys_synth_preset|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/source_synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys synth preset with flatten
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|shared_special_case_shell|shared sign/exponent/mantissa field decode plus sign predicate|yosys_default_abc_and|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/runs/bf16/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/results/candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",log10 positive exp range runs plus mant sep mhi=3 exp_items=194 items=7826
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_fast|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc fast script
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_no_internal_abc|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",skip Yosys internal abc pass
ex205,bf16,bf16-agent,,,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_synth_preset_noabc|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys synth preset without abc
