case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_field_sparse_clean_synth_preset_aig_fp8agent,ex242|E4M3FN packed low-over-high division|sparse exponent-delta and significand-pair field table|shared divisor special decode and quotient field table|synth_preset_aig|exact_e4m3fn_div_low_over_high|sparse_shared_field_table,OK,1,1266,20,25320,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/logs/ex242_semantic_div_field_sparse_clean_synth_preset_aig_fp8agent.evaluate.log,
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_field_sparse_clean_abc_g_aig_fp8agent,ex242|E4M3FN packed low-over-high division|sparse exponent-delta and significand-pair field table|shared divisor special decode and quotient field table|abc_g_aig|exact_e4m3fn_div_low_over_high|sparse_shared_field_table,OK,1,1304,20,26080,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/verilog/ex242_semantic_div_field_sparse_clean.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/aigs/ex242_semantic_div_field_sparse_clean_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/logs/ex242_semantic_div_field_sparse_clean_abc_g_aig_fp8agent.evaluate.log,
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_formula_bit_exception_synth_preset_aig_fp8agent,ex242|E4M3FN packed low-over-high division|compact quotient formula with per-bit exception overlay|shared exponent-delta quotient decode|synth_preset_aig|exact_e4m3fn_div_low_over_high|formula_with_bit_exception_overlay,OK,1,1328,25,33200,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/verilog/ex242_semantic_div_formula_bit_exception.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/aigs/ex242_semantic_div_formula_bit_exception_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex242/logs/ex242_semantic_div_formula_bit_exception_synth_preset_aig_fp8agent.evaluate.log,
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig_fp8agent,ex244|E4M3FN packed hypot|max magnitude plus max-eff/gap/sig delta BDD|shared abs max/min decode and delta correction|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_shared_bdd,OK,1,301,34,10234,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/logs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig_fp8agent.evaluate.log,
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_abc_g_aig_fp8agent,ex244|E4M3FN packed hypot|max magnitude plus max-eff/gap/sig delta BDD|shared abs max/min decode and delta correction|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_shared_bdd,OK,1,312,37,11544,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/verilog/ex244_semantic_hypot_delta_maxeff_bdd_expfirst.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/logs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_abc_g_aig_fp8agent.evaluate.log,
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_threshold_maxeff_packed_synth_preset_aig_fp8agent,ex244|E4M3FN packed hypot|max-eff threshold pack with parallel min-sig predicates|shared max/min decode and packed threshold predicates|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_bits,OK,1,351,40,14040,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/verilog/ex244_semantic_hypot_threshold_maxeff_packed.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/aigs/ex244_semantic_hypot_threshold_maxeff_packed_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex244/logs/ex244_semantic_hypot_threshold_maxeff_packed_synth_preset_aig_fp8agent.evaluate.log,
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_gap_class_synth_preset_aig_fp8agent,ex245|E5M2FN packed add|small-gap class formula|shared gap max/min significand decode|synth_preset_aig|exact_e5m2fn_add_high_plus_low|gap_class_shared_formula,OK,1,701,34,23834,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/aigs/ex245_semantic_add_gap_class_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/logs/ex245_semantic_add_gap_class_synth_preset_aig_fp8agent.evaluate.log,
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_gap_class_abc_g_aig_fp8agent,ex245|E5M2FN packed add|small-gap class formula|shared gap max/min significand decode|abc_g_aig|exact_e5m2fn_add_high_plus_low|gap_class_shared_formula,OK,1,719,34,24446,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/verilog/ex245_semantic_add_gap_class.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/aigs/ex245_semantic_add_gap_class_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/logs/ex245_semantic_add_gap_class_abc_g_aig_fp8agent.evaluate.log,
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_norm_synth_preset_aig_fp8agent,ex245|E5M2FN packed add|decoded integer add/sub with RNE normalizer|shared signed magnitude arithmetic path|synth_preset_aig|exact_e5m2fn_add_high_plus_low|single_normalizer_full_output,OK,1,1592,120,191040,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/verilog/ex245_semantic_add_norm.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/aigs/ex245_semantic_add_norm_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex245/logs/ex245_semantic_add_norm_synth_preset_aig_fp8agent.evaluate.log,
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig_fp8agent,ex246|E5M2FN packed multiply|product-class formula with seed12 unreachable-code completion|shared sign xor exponent sum product class|synth_preset_aig|exact_e5m2fn_mul_high_times_low|product_class_shared_formula,OK,1,341,22,7502,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/logs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig_fp8agent.evaluate.log,
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_product_dc_seed12_set11to10_abc_g_aig_fp8agent,ex246|E5M2FN packed multiply|product-class formula with seed12 unreachable-code completion|shared sign xor exponent sum product class|abc_g_aig|exact_e5m2fn_mul_high_times_low|product_class_shared_formula,OK,1,354,24,8496,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/verilog/ex246_semantic_mul_product_dc_seed12_set11to10.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/logs/ex246_semantic_mul_product_dc_seed12_set11to10_abc_g_aig_fp8agent.evaluate.log,
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent,ex246|E5M2FN packed multiply|sigpair product-code table plus product-class completion|shared product-code decode and boundary reassembly|synth_preset_aig|exact_e5m2fn_mul_high_times_low|factored_product_code,OK,1,364,21,7644,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/verilog/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/aigs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex246/logs/ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent.evaluate.log,
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig_fp8agent,ex247|E5M2FN packed low-over-high division|denominator-nested bound/smallpat classifier|shared denominator decode and low-underflow pattern reconstruction|synth_preset_aig|exact_e5m2fn_div_low_over_high|nested_denominator_attribute_table,OK,1,365,25,9125,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/verilog/ex247_semantic_div_bound_smallpat_nested_den.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/aigs/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/logs/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig_fp8agent.evaluate.log,
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_bound_smallpat_nested_den_abc_g_aig_fp8agent,ex247|E5M2FN packed low-over-high division|denominator-nested bound/smallpat classifier|shared denominator decode and low-underflow pattern reconstruction|abc_g_aig|exact_e5m2fn_div_low_over_high|nested_denominator_attribute_table,OK,1,373,26,9698,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/verilog/ex247_semantic_div_bound_smallpat_nested_den.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/aigs/ex247_semantic_div_bound_smallpat_nested_den_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/logs/ex247_semantic_div_bound_smallpat_nested_den_abc_g_aig_fp8agent.evaluate.log,
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_qclass_smallpat_nested_den_synth_preset_aig_fp8agent,ex247|E5M2FN packed low-over-high division|denominator-nested quotient class plus 2-bit underflow pattern|shared quotient classifier and pattern reassembly|synth_preset_aig|exact_e5m2fn_div_low_over_high|nested_quotient_class,OK,1,309,30,9270,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/verilog/ex247_semantic_div_qclass_smallpat_nested_den.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/aigs/ex247_semantic_div_qclass_smallpat_nested_den_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex247/logs/ex247_semantic_div_qclass_smallpat_nested_den_synth_preset_aig_fp8agent.evaluate.log,
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_periodic_rem_abc_g_aig_fp8agent,ex248|E5M2FN packed fmod|periodic 2^delta modulo significand remainder|shared divisor period and remainder normalizer|abc_g_aig|exact_e5m2fn_fmod_low_by_high|periodic_remainder_shared_table,OK,1,285,30,8550,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/verilog/ex248_semantic_fmod_periodic_rem.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/aigs/ex248_semantic_fmod_periodic_rem_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/logs/ex248_semantic_fmod_periodic_rem_abc_g_aig_fp8agent.evaluate.log,
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_periodic_rem_synth_preset_aig_fp8agent,ex248|E5M2FN packed fmod|periodic 2^delta modulo significand remainder|shared divisor period and remainder normalizer|synth_preset_aig|exact_e5m2fn_fmod_low_by_high|periodic_remainder_shared_table,OK,1,286,31,8866,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/verilog/ex248_semantic_fmod_periodic_rem.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/aigs/ex248_semantic_fmod_periodic_rem_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/logs/ex248_semantic_fmod_periodic_rem_synth_preset_aig_fp8agent.evaluate.log,
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_periodic_formula_norm_synth_preset_aig_fp8agent,ex248|E5M2FN packed fmod|periodic remainder with formula normalizer|shared period decode and normalization path|synth_preset_aig|exact_e5m2fn_fmod_low_by_high|formula_normalizer_full_output,OK,1,277,33,9141,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/verilog/ex248_semantic_fmod_periodic_formula_norm.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/aigs/ex248_semantic_fmod_periodic_formula_norm_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex248/logs/ex248_semantic_fmod_periodic_formula_norm_synth_preset_aig_fp8agent.evaluate.log,
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig_fp8agent,ex249|E5M2FN packed hypot|raw-exponent gap0/gap1 threshold predicates|shared abs max/min decode and saturation guard|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|threshold_delta_predicate_bits,OK,1,168,26,4368,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/logs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig_fp8agent.evaluate.log,
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_threshold_rawexp_abc_g_aig_fp8agent,ex249|E5M2FN packed hypot|raw-exponent gap0/gap1 threshold predicates|shared abs max/min decode and saturation guard|abc_g_aig|exact_e5m2fn_hypot_abs_high_low|threshold_delta_predicate_bits,OK,1,173,30,5190,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/verilog/ex249_semantic_hypot_threshold_rawexp.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/logs/ex249_semantic_hypot_threshold_rawexp_abc_g_aig_fp8agent.evaluate.log,
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_delta_bdd_keymajor_synth_preset_aig_fp8agent,ex249|E5M2FN packed hypot|max magnitude plus delta BDD key-major order|shared abs max/min decode and delta BDD|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|max_plus_delta_shared_bdd,OK,1,389,36,14004,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/verilog/ex249_semantic_hypot_delta_bdd_keymajor.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/aigs/ex249_semantic_hypot_delta_bdd_keymajor_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex249/logs/ex249_semantic_hypot_delta_bdd_keymajor_synth_preset_aig_fp8agent.evaluate.log,
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_popcount_laneqcase_default_fp8agent,ex253|unsigned 2-bit lane reduction to E4M3FN|low/high bit popcounts plus reachable lane-sum qcase|shared weighted popcount and quantization table|default|exact_u2_sum8_times2_to_e4m3fn|popcount_shared_quant_case,OK,1,126,18,2268,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex253/verilog/ex253_semantic_u2_sum8_popcount_laneqcase.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex253/aigs/ex253_semantic_u2_sum8_popcount_laneqcase_default_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex253/logs/ex253_semantic_u2_sum8_popcount_laneqcase_default_fp8agent.evaluate.log,
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_popcount_laneqcase_abc_g_aig_fp8agent,ex253|unsigned 2-bit lane reduction to E4M3FN|low/high bit popcounts plus reachable lane-sum qcase|shared weighted popcount and quantization table|abc_g_aig|exact_u2_sum8_times2_to_e4m3fn|popcount_shared_quant_case,OK,1,126,18,2268,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex253/verilog/ex253_semantic_u2_sum8_popcount_laneqcase.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex253/aigs/ex253_semantic_u2_sum8_popcount_laneqcase_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex253/logs/ex253_semantic_u2_sum8_popcount_laneqcase_abc_g_aig_fp8agent.evaluate.log,
