case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,reference_adp,beats_reference,current_overall_adp,current_overall_source,current_overall_run,agent_result,next_recommendation
ex248,float_fp8,8550,285,30,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,4180,0,6116,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex249,float_fp8,4368,168,26,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,2079,0,3339,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex253,float_fp8,2268,126,18,ex252_ex253_frontend_weighted_popcount_20260608_2224,1845,0,2250,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex280,unknown,4712,152,31,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,2415,0,4712,frontend,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex281,unknown,5474,161,34,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,2336,0,5474,frontend,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex282,unknown,6336,176,36,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,2704,0,6336,frontend,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex283,unknown,6516,181,36,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,3168,0,6516,frontend,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex284,unknown,7800,200,39,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,4240,0,7800,frontend,ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex285,unknown,13175,775,17,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,5499,0,13175,frontend,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex286,unknown,21705,1447,15,ex286_frontend_multipair_symcof_synthflow_20260609_0634,2376,0,21705,frontend,ex286_frontend_multipair_symcof_synthflow_20260609_0634,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex287,unknown,27480,1832,15,ex287_frontend_multipair_symcof_synthflow_20260609_0634,5782,0,27480,frontend,ex287_frontend_multipair_symcof_synthflow_20260609_0634,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex288,unknown,31598,2257,14,ex286_ex288_frontend_keybdd_selected_synth_20260609_1448,16394,0,31598,frontend,ex286_ex288_frontend_keybdd_selected_synth_20260609_1448,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex289,unknown,19893,1047,19,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128,13620,0,19893,frontend,ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128,no_frontend_best_improvement,continue with materially different nonlinear sharing; current shard found no ADP improvement
ex290,unknown,61992,4428,14,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,42328,0,61992,frontend,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex290_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex291,unknown,97545,6503,15,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,66850,0,97545,frontend,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex291_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex292,unknown,142170,6770,21,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,84854,0,142170,frontend,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex292_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex293,unknown,144972,8054,18,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,112966,0,144972,frontend,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex293_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex294,unknown,246698,10726,23,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,133365,0,246698,frontend,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex294_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex295,unknown,138448,8653,16,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,68064,0,138448,frontend,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex295_cell_rot2_descriptor_cell_delta_order_abc_g_aig
ex296,unknown,143792,8987,16,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,104025,0,143792,frontend,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex296_open_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex297,unknown,583596,32422,18,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,225900,0,583596,frontend,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex297_cell_rot2_descriptor_cell_delta_order_abc_g_aig
ex298,unknown,645639,33981,19,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,442296,0,645639,frontend,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex298_open_state_ir2_descriptor_state_delta_outside_in_abc_g_aig
ex299,unknown,2604734,118397,22,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,1013807,0,2604734,frontend,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,no_frontend_best_improvement,No improvement; continue with deeper descriptor factorization beyond ex299_cell_rot2_descriptor_cell_delta_order_abc_g_aig
ex256,integer,2844,158,18,ex200_ex299_frontend_parallel_shared_20260612_1422,1911,0,2790,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,frontend_best_improved,coordinator should merge proposed frontend-best update
ex260,integer,1144,88,13,ex260_ex263_frontend_smul_constfa_signbit_20260609_0638,657,0,1066,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,no_frontend_best_improvement,try hand-minimized shared 4x4 signed compressor predicates; final merge variants remain above reference
ex261,integer,2952,164,18,ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558,2041,0,2808,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,no_frontend_best_improvement,search signed 5x5 compressor row factoring rather than final merge templates
ex266,integer,1480,148,10,ex266_frontend_udiv_best_wordmux_flow_20260609_1204,848,0,1296,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,no_frontend_best_improvement,"derive smaller predicates inside the {b[4:3],a[4]} cofactor word-mux structure"
ex270,integer,3230,190,17,ex200_ex299_frontend_parallel_shared_20260612_1422,2076,0,2786,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,frontend_best_improved,coordinator should merge proposed frontend-best update
ex276,integer,1010,101,10,ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656,632,0,900,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,no_frontend_best_improvement,derive lower-bit shared classifier below prefix4_ge_bitwise; cofactor and word-tree variants are nonwinning
ex277,integer,2844,237,12,ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618,1980,0,2640,backend,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,no_frontend_best_improvement,keep cofbdd4 as frontend seed; further frontend work is lower priority than backend refinement
ex200,bf16,59232,3702,16,ex200_ex299_frontend_parallel_shared_20260612_1422,40052,0,52740,backend,ex200_ex219_backend_portfolio_v2_full_20260610_2152,frontend_best_improved,derive lower-area exp mantissa mapping or backend-like balancing from frontend AIG
ex204,bf16,25670,1510,17,ex200_ex299_frontend_parallel_shared_20260612_1422,15180,0,21150,backend,ex200_ex219_backend_portfolio_v2_full_20260610_2152,frontend_best_improved,reduce log2 arithbase/delta table area while preserving 17 levels
ex205,bf16,71104,4444,16,ex200_ex299_frontend_parallel_shared_20260612_1422,47128,0,64944,backend,ex200_ex219_backend_portfolio_v2_full_20260610_2152,frontend_best_improved,reduce log10 field table area enough to cross 1.5x reference without adding delay
