case,domain,agent_id,method_signature,shared_structure,sharing_scope,estimated_benefit,evidence_path,notes
ex200,bf16,bf16-agent,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,full word output grouped by sign_exp/mant,,,
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi6,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi6,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low14_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low15_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi4,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi6,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi6,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low14_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex224,fp16,fp16-agent,ex224|fp16_log2 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low15_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi4,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi6,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low12_nested_hi6,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low14_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex225,fp16,fp16-agent,ex225|fp16_log10 positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low15_nested_hi5,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
ex256,integer,integer-agent,ex256|partial-product_compressor_final_carry_is_bottleneck|unsigned_Wallace_columns_with_carry-select_final_merge|shared_partial_products_and_column_compressor_rows|abc_g_aig|unsigned_low5_high5_multiply|full_product_word,shared partial products and column compressor rows,,partial-product compressor final carry is bottleneck,,partial-product compressor final carry is bottleneck
ex256,integer,integer-agent,ex256|partial-product_compressor_final_carry_is_bottleneck|unsigned_Wallace_columns_with_carry-select_final_merge|shared_partial_products_and_column_compressor_rows|synth_preset_d18|unsigned_low5_high5_multiply|full_product_word,shared partial products and column compressor rows,,partial-product compressor final carry is bottleneck,,partial-product compressor final carry is bottleneck
ex256,integer,integer-agent,ex256|drop_provably_unused_final_overflow_carry_before_merge|modulo_Wallace_columns_with_hybrid_CLA_final_merge|shared_partial_products_and_pruned_final_carry_network|abc_g_aig|unsigned_low5_high5_multiply|full_product_word,shared partial products and pruned final carry network,,drop provably unused final overflow carry before merge,,drop provably unused final overflow carry before merge
ex256,integer,integer-agent,ex256|drop_provably_unused_final_overflow_carry_before_merge|modulo_Wallace_columns_with_hybrid_CLA_final_merge|shared_partial_products_and_pruned_final_carry_network|synth_preset_d18|unsigned_low5_high5_multiply|full_product_word,shared partial products and pruned final carry network,,drop provably unused final overflow carry before merge,,drop provably unused final overflow carry before merge
ex260,integer,integer-agent,ex260|small_signed_product_final_carry_is_bottleneck|Baugh-Wooley_Wallace_with_carry-select_final_merge|shared_signed_partial_products_and_compressor_rows|abc_g_aig|signed_low4_high4_multiply|full_product_word,shared signed partial products and compressor rows,,small signed product final carry is bottleneck,,small signed product final carry is bottleneck
ex260,integer,integer-agent,ex260|small_signed_product_final_carry_is_bottleneck|Baugh-Wooley_Wallace_with_carry-select_final_merge|shared_signed_partial_products_and_compressor_rows|synth_preset_d9|signed_low4_high4_multiply|full_product_word,shared signed partial products and compressor rows,,small signed product final carry is bottleneck,,small signed product final carry is bottleneck
ex260,integer,integer-agent,ex260|small_signed_product_final_carry_is_bottleneck|Baugh-Wooley_Wallace_with_carry-select_final_merge|shared_signed_partial_products_and_compressor_rows|synth_preset_d13|signed_low4_high4_multiply|full_product_word,shared signed partial products and compressor rows,,small signed product final carry is bottleneck,,small signed product final carry is bottleneck
ex260,integer,integer-agent,ex260|signed_modulo_carry_pruning_can_reduce_final_merge_cost|reverse_Baugh-Wooley_Wallace_modulo_hybrid_CLA|shared_signed_partial_products_with_pruned_overflow_carry|abc_g_aig|signed_low4_high4_multiply|full_product_word,shared signed partial products with pruned overflow carry,,signed modulo carry pruning can reduce final merge cost,,signed modulo carry pruning can reduce final merge cost
ex260,integer,integer-agent,ex260|signed_modulo_carry_pruning_can_reduce_final_merge_cost|reverse_Baugh-Wooley_Wallace_modulo_hybrid_CLA|shared_signed_partial_products_with_pruned_overflow_carry|synth_preset_d9|signed_low4_high4_multiply|full_product_word,shared signed partial products with pruned overflow carry,,signed modulo carry pruning can reduce final merge cost,,signed modulo carry pruning can reduce final merge cost
ex260,integer,integer-agent,ex260|signed_modulo_carry_pruning_can_reduce_final_merge_cost|reverse_Baugh-Wooley_Wallace_modulo_hybrid_CLA|shared_signed_partial_products_with_pruned_overflow_carry|synth_preset_d13|signed_low4_high4_multiply|full_product_word,shared signed partial products with pruned overflow carry,,signed modulo carry pruning can reduce final merge cost,,signed modulo carry pruning can reduce final merge cost
ex261,integer,integer-agent,ex261|signed_5x5_final_carry_grouping_may_beat_hCLA4|Baugh-Wooley_Wallace_with_carry-select_final_merge|shared_signed_partial_products_and_compressor_rows|abc_g_aig|signed_low5_high5_multiply|full_product_word,shared signed partial products and compressor rows,,signed 5x5 final carry grouping may beat hCLA4,,signed 5x5 final carry grouping may beat hCLA4
ex261,integer,integer-agent,ex261|signed_5x5_final_carry_grouping_may_beat_hCLA4|Baugh-Wooley_Wallace_with_carry-select_final_merge|shared_signed_partial_products_and_compressor_rows|synth_preset_d13|signed_low5_high5_multiply|full_product_word,shared signed partial products and compressor rows,,signed 5x5 final carry grouping may beat hCLA4,,signed 5x5 final carry grouping may beat hCLA4
ex261,integer,integer-agent,ex261|signed_5x5_final_carry_grouping_may_beat_hCLA4|Baugh-Wooley_Wallace_with_carry-select_final_merge|shared_signed_partial_products_and_compressor_rows|synth_preset_d18|signed_low5_high5_multiply|full_product_word,shared signed partial products and compressor rows,,signed 5x5 final carry grouping may beat hCLA4,,signed 5x5 final carry grouping may beat hCLA4
ex261,integer,integer-agent,ex261|4-input_counters_reduce_signed_5x5_compressor_depth|Baugh-Wooley_4-input_column_compressor_with_hCLA2|shared_signed_partial_products_and_4-input_compressor_rows|abc_g_aig|signed_low5_high5_multiply|full_product_word,shared signed partial products and 4-input compressor rows,,4-input counters reduce signed 5x5 compressor depth,,4-input counters reduce signed 5x5 compressor depth
ex261,integer,integer-agent,ex261|4-input_counters_reduce_signed_5x5_compressor_depth|Baugh-Wooley_4-input_column_compressor_with_hCLA2|shared_signed_partial_products_and_4-input_compressor_rows|synth_preset_d13|signed_low5_high5_multiply|full_product_word,shared signed partial products and 4-input compressor rows,,4-input counters reduce signed 5x5 compressor depth,,4-input counters reduce signed 5x5 compressor depth
ex261,integer,integer-agent,ex261|4-input_counters_reduce_signed_5x5_compressor_depth|Baugh-Wooley_4-input_column_compressor_with_hCLA2|shared_signed_partial_products_and_4-input_compressor_rows|synth_preset_d18|signed_low5_high5_multiply|full_product_word,shared signed partial products and 4-input compressor rows,,4-input counters reduce signed 5x5 compressor depth,,4-input counters reduce signed 5x5 compressor depth
ex266,integer,integer-agent,ex266|shared_cofactor_word_tree_may_lower_mux_delay|magnitude_cofactor_bit-BDD_with_shared_tree_word_mux|shared_quotient-word_mux_across_output_bits|abc_g_aig|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,shared quotient-word mux across output bits,,shared cofactor word tree may lower mux delay,,shared cofactor word tree may lower mux delay
ex266,integer,integer-agent,ex266|shared_cofactor_word_tree_may_lower_mux_delay|magnitude_cofactor_bit-BDD_with_shared_tree_word_mux|shared_quotient-word_mux_across_output_bits|synth_preset_d8|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,shared quotient-word mux across output bits,,shared cofactor word tree may lower mux delay,,shared cofactor word tree may lower mux delay
ex266,integer,integer-agent,ex266|shared_cofactor_word_tree_may_lower_mux_delay|magnitude_cofactor_bit-BDD_with_shared_tree_word_mux|shared_quotient-word_mux_across_output_bits|synth_preset_d10|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,shared quotient-word mux across output bits,,shared cofactor word tree may lower mux delay,,shared cofactor word tree may lower mux delay
ex266,integer,integer-agent,ex266|binary_quotient_threshold_word_tree_can_share_product_tests|recursive_q>=mid_comparator_tree_using_constant_b_multiples|shared_word-level_quotient_decisions|abc_g_aig|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,shared word-level quotient decisions,,binary quotient threshold word tree can share product tests,,binary quotient threshold word tree can share product tests
ex266,integer,integer-agent,ex266|binary_quotient_threshold_word_tree_can_share_product_tests|recursive_q>=mid_comparator_tree_using_constant_b_multiples|shared_word-level_quotient_decisions|synth_preset_d8|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,shared word-level quotient decisions,,binary quotient threshold word tree can share product tests,,binary quotient threshold word tree can share product tests
ex266,integer,integer-agent,ex266|binary_quotient_threshold_word_tree_can_share_product_tests|recursive_q>=mid_comparator_tree_using_constant_b_multiples|shared_word-level_quotient_decisions|synth_preset_d10|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,shared word-level quotient decisions,,binary quotient threshold word tree can share product tests,,binary quotient threshold word tree can share product tests
ex270,integer,integer-agent,ex270|alternate_carry-select_group_can_reduce_square_final_carry_ADP|triangular_square_Wallace_columns_with_csel7|shared_cross_terms_and_square-column_compressor_rows|abc_g_aig|unsigned_square_x*x|full_square_word,shared cross terms and square-column compressor rows,,alternate carry-select group can reduce square final carry ADP,,alternate carry-select group can reduce square final carry ADP
ex270,integer,integer-agent,ex270|alternate_carry-select_group_can_reduce_square_final_carry_ADP|triangular_square_Wallace_columns_with_csel7|shared_cross_terms_and_square-column_compressor_rows|synth_preset_d12|unsigned_square_x*x|full_square_word,shared cross terms and square-column compressor rows,,alternate carry-select group can reduce square final carry ADP,,alternate carry-select group can reduce square final carry ADP
ex270,integer,integer-agent,ex270|alternate_carry-select_group_can_reduce_square_final_carry_ADP|triangular_square_Wallace_columns_with_csel7|shared_cross_terms_and_square-column_compressor_rows|synth_preset_d18|unsigned_square_x*x|full_square_word,shared cross terms and square-column compressor rows,,alternate carry-select group can reduce square final carry ADP,,alternate carry-select group can reduce square final carry ADP
ex270,integer,integer-agent,ex270|factored_compressors_can_lower_square_area_at_csel5_grouping|factored_full-adder_square_compressor_with_csel5|shared_propagate/generate_inside_square-column_compressors|abc_g_aig|unsigned_square_x*x|full_square_word,shared propagate/generate inside square-column compressors,,factored compressors can lower square area at csel5 grouping,,factored compressors can lower square area at csel5 grouping
ex270,integer,integer-agent,ex270|factored_compressors_can_lower_square_area_at_csel5_grouping|factored_full-adder_square_compressor_with_csel5|shared_propagate/generate_inside_square-column_compressors|synth_preset_d12|unsigned_square_x*x|full_square_word,shared propagate/generate inside square-column compressors,,factored compressors can lower square area at csel5 grouping,,factored compressors can lower square area at csel5 grouping
ex270,integer,integer-agent,ex270|factored_compressors_can_lower_square_area_at_csel5_grouping|factored_full-adder_square_compressor_with_csel5|shared_propagate/generate_inside_square-column_compressors|synth_preset_d18|unsigned_square_x*x|full_square_word,shared propagate/generate inside square-column compressors,,factored compressors can lower square area at csel5 grouping,,factored compressors can lower square area at csel5 grouping
ex276,integer,integer-agent,ex276|shared_whole-word_prefix-ge_muxing_may_beat_bitwise_output_logic|prefix4_shared_threshold/ge_tree_LSB-first|shared_range_predicates_and_whole-word_mux|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,shared range predicates and whole-word mux,,shared whole-word prefix-ge muxing may beat bitwise output logic,,shared whole-word prefix-ge muxing may beat bitwise output logic
ex276,integer,integer-agent,ex276|shared_whole-word_prefix-ge_muxing_may_beat_bitwise_output_logic|prefix4_shared_threshold/ge_tree_LSB-first|shared_range_predicates_and_whole-word_mux|synth_preset_d8|unsigned_floor_isqrt|whole_sqrt_word,shared range predicates and whole-word mux,,shared whole-word prefix-ge muxing may beat bitwise output logic,,shared whole-word prefix-ge muxing may beat bitwise output logic
ex276,integer,integer-agent,ex276|shared_whole-word_prefix-ge_muxing_may_beat_bitwise_output_logic|prefix4_shared_threshold/ge_tree_LSB-first|shared_range_predicates_and_whole-word_mux|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,shared range predicates and whole-word mux,,shared whole-word prefix-ge muxing may beat bitwise output logic,,shared whole-word prefix-ge muxing may beat bitwise output logic
ex276,integer,integer-agent,ex276|cofactored_local_BDD_can_reduce_mid-bit_classifier_delay|4-bit_high-prefix_cofactor_reverse_BDD|local_BDD_sharing_inside_high-prefix_buckets|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,local BDD sharing inside high-prefix buckets,,cofactored local BDD can reduce mid-bit classifier delay,,cofactored local BDD can reduce mid-bit classifier delay
ex276,integer,integer-agent,ex276|cofactored_local_BDD_can_reduce_mid-bit_classifier_delay|4-bit_high-prefix_cofactor_reverse_BDD|local_BDD_sharing_inside_high-prefix_buckets|synth_preset_d8|unsigned_floor_isqrt|whole_sqrt_word,local BDD sharing inside high-prefix buckets,,cofactored local BDD can reduce mid-bit classifier delay,,cofactored local BDD can reduce mid-bit classifier delay
